Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,2.45,2.537,2.36,2.5,939424,0
2017-01-04,2.5,2.65,2.5,2.55,679719,0
2017-01-05,2.55,2.7,2.475,2.7,476342,0
2017-01-06,2.7,2.75,2.6,2.75,188153,0
2017-01-09,2.7,3,2.7,2.95,446779,0
2017-01-10,2.95,2.95,2.8,2.85,233062,0
2017-01-11,2.85,2.9,2.755,2.85,212248,0
2017-01-12,2.8,2.9,2.8,2.85,130109,0
2017-01-13,2.85,3.01,2.85,3,341574,0
2017-01-17,3,3,2.8,2.85,136994,0
2017-01-18,2.85,2.85,2.6,2.65,291364,0
2017-01-19,2.65,2.65,2.55,2.55,168539,0
2017-01-20,2.6,2.65,2.5,2.6,200756,0
2017-01-23,2.55,2.65,2.55,2.55,119274,0
2017-01-24,2.55,2.6,2.35,2.6,106602,0
2017-01-25,2.6,2.65,2.475,2.6,67353,0
2017-01-26,2.55,2.65,2.5,2.6,86375,0
2017-01-27,2.55,2.65,2.5,2.55,70905,0
2017-01-30,2.55,2.6,2.5,2.55,54432,0
2017-01-31,2.55,2.675,2.5,2.65,87286,0
2017-02-01,2.75,2.75,2.55,2.55,88583,0
2017-02-02,2.6,2.6,2.5,2.55,143181,0
2017-02-03,2.6,2.65,2.55,2.55,90752,0
2017-02-06,2.55,2.6,2.55,2.55,67550,0
2017-02-07,2.5,2.55,2.5,2.55,92583,0
2017-02-08,2.5,2.6,2.5,2.525,171045,0
2017-02-09,2.5,2.6,2.45,2.55,254189,0
2017-02-10,2.55,2.55,2.5,2.55,56833,0
2017-02-13,2.55,2.7,2.5,2.65,122371,0
2017-02-14,2.65,2.7141,2.6,2.65,62449,0
2017-02-15,2.65,2.75,2.6,2.75,82061,0
2017-02-16,2.7,2.85,2.65,2.7,87234,0
2017-02-17,2.7,2.8,2.7,2.7,49633,0
2017-02-21,2.7,2.75,2.7,2.7,41684,0
2017-02-22,2.7,2.745,2.6,2.6,70400,0
2017-02-23,2.6,2.65,2.6,2.65,25730,0
2017-02-24,2.6,2.7,2.55,2.65,40740,0
2017-02-27,2.7,2.75,2.6,2.75,50192,0
2017-02-28,2.7,2.75,2.6,2.65,71983,0
2017-03-01,2.7,2.75,2.65,2.7,43511,0
2017-03-02,2.7,2.8,2.6,2.65,117172,0
2017-03-03,2.6,2.725,2.6,2.7,73510,0
2017-03-06,2.7,2.7,2.6,2.7,67399,0
2017-03-07,2.65,2.7,2.6,2.65,41630,0
2017-03-08,2.6,2.7,2.6,2.65,57940,0
2017-03-09,2.65,2.75,2.6,2.75,49244,0
2017-03-10,2.7,2.71,2.55,2.65,122808,0
