Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,115.06,115.48,113.53,114.15,2400102,0
2017-01-04,114.6,115.47,114.12,114.43,2692975,0
2017-01-05,114.67,114.83,112.68,112.72,3759680,0
2017-01-06,112.72,114.43,112.08,114.01,4208398,0
2017-01-09,113.85,114.05,112.65,112.73,2602296,0
2017-01-10,112.67,113.7,112.37,112.79,2601484,0
2017-01-11,113.12,113.97,112.64,113.83,2903218,0
2017-01-12,113.33,113.67,112.57,113.49,2153336,0
2017-01-13,113.07,115.12,113.07,114.64,2720122,0
2017-01-17,113.63,114.07,113.18,113.74,2422185,0
2017-01-18,114.23,114.64,113.45,113.66,2307768,0
2017-01-19,113.31,113.71,113,113.21,1680317,0
2017-01-20,113.59,113.96,112.54,112.8,2837461,0
2017-01-23,112.51,113,112.34,112.55,2366724,0
2017-01-24,112.93,114.33,112.57,114.17,2866355,0
2017-01-25,114.59,116.02,114.39,115.24,2964431,0
2017-01-26,114.68,115.12,113.34,113.64,2922832,0
2017-01-27,113.91,114.13,112.8,113.07,2596492,0
2017-01-30,113.05,113.06,111.17,112.36,2580716,0
2017-01-31,111.72,111.77,110.38,111.62,2386099,0
2017-02-01,111.55,112.5,110.09,110.98,2521467,0
2017-02-02,110.92,111.52,110.48,111.39,2499866,0
2017-02-03,111.75,112.56,111.1,112.22,1697763,0
2017-02-06,111.82,112.95,111.13,111.93,2060125,0
2017-02-07,112.73,113.88,112.68,113.63,2589400,0
2017-02-08,113.86,113.86,112.65,113.14,2421589,0
2017-02-09,113.22,115.13,113.18,114.67,2159750,0
2017-02-10,114.39,116.49,114.21,115.27,2227027,0
2017-02-13,115.57,116.6,115.4,116.24,2028529,0
2017-02-14,116.13,117.63,116.07,117.63,2611298,0
2017-02-15,117.24,117.79,116.95,117.56,1990467,0
2017-02-16,117.56,118.6,117.17,118.33,2006628,0
2017-02-17,118.13,118.89,117.73,118.84,1943335,0
2017-02-21,118.24,119.81,118.19,119.69,2159817,0
2017-02-22,119.25,120.45,119.18,119.8,1588429,0
2017-02-23,120.17,120.28,119.32,120.06,1468578,0
2017-02-24,119.59,120.99,119.2,120.99,1476849,0
2017-02-27,120.58,120.99,120.06,120.36,1713699,0
2017-02-28,120.32,120.66,119.52,120.08,1780559,0
2017-03-01,120.8,121.83,120.04,121.62,1917603,0
2017-03-02,121.54,121.97,121.12,121.89,1934955,0
2017-03-03,121.79,121.79,120.55,121.2,2165755,0
