Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,30.588,30.932,30.122,30.785,4620,0
2017-01-04,30.735,30.785,30.393,30.638,4891,0
2017-01-05,30.687,30.687,30.197,30.197,7160,0
2017-01-06,30.246,30.785,30.246,30.294,3304,0
2017-01-09,30.164,30.441,30.001,30.393,5354,0
2017-01-10,30.294,30.294,29.879,30.099,4568,0
2017-01-11,30.197,30.588,29.952,30.197,3016,0
2017-01-12,30.294,30.294,29.512,29.512,3791,0
2017-01-13,29.61,30.05,29.414,29.855,7693,0
2017-01-17,29.903,29.903,28.875,28.925,7981,0
2017-01-18,29.022,29.366,28.803,28.925,2071,0
2017-01-19,28.875,29.12,28.875,29.12,3398,0
2017-01-20,28.974,29.267,28.875,29.022,5285,0
2017-01-23,29.366,29.366,28.974,29.169,2797,0
2017-01-24,29.267,29.316,28.778,29.316,1525,0
2017-01-25,29.855,29.855,29.267,29.806,1186,0
2017-01-26,29.366,29.463,29.366,29.463,606,0
2017-01-27,29.308,29.316,28.875,29.219,5670,0
2017-01-30,29.219,29.254,29.169,29.254,4695,0
2017-01-31,28.875,29.366,28.875,29.366,4186,0
2017-02-01,29.806,29.806,29.366,29.366,1259,0
2017-02-02,29.855,29.855,29.291,29.291,2183,0
2017-02-03,29.127,29.366,29.127,29.267,3981,0
2017-02-06,29.072,29.267,28.534,28.581,10039,0
2017-02-07,29.12,29.12,27.847,27.847,2517,0
2017-02-08,27.75,28.288,27.7,27.994,4864,0
2017-02-09,28.076,28.778,27.994,28.19,2092,0
2017-02-10,28.705,29.022,28.435,29.022,6709,0
2017-02-13,28.974,29.12,28.435,28.875,3117,0
2017-02-14,28.387,28.974,28.19,28.925,11924,0
2017-02-15,28.827,29.072,28.435,28.875,4748,0
2017-02-16,28.68,29.022,28.631,28.68,4386,0
2017-02-17,28.827,28.875,28.524,28.827,6830,0
2017-02-21,28.863,29.072,28.778,28.875,3295,0
2017-02-22,28.827,29.067,28.584,28.728,5967,0
2017-02-23,28.778,29.022,28.778,28.827,3729,0
2017-02-24,28.947,28.947,28.631,28.778,2274,0
2017-02-27,28.63,29.172,28.63,28.827,5864,0
2017-02-28,28.68,28.827,28.482,28.58,7416,0
2017-03-01,28.827,29.074,28.68,28.876,4367,0
2017-03-02,28.876,29.32,28.876,29.222,6860,0
2017-03-03,29.222,29.32,29.147,29.27,3420,0
2017-03-06,29.27,29.566,29.074,29.418,11032,0
2017-03-07,29.024,29.566,29.024,29.418,8565,0
2017-03-08,29.074,30.059,28.876,29.468,12347,0
2017-03-09,28.58,30.01,28.58,29.468,12622,0
2017-03-10,29.862,30.256,29.172,29.862,14771,0
2017-03-13,30.207,31.341,29.812,30.749,20589,0
2017-03-14,30.847,30.847,29.616,30.601,14253,0
2017-03-15,30.749,32.03,29.764,30.256,27649,0
2017-03-16,30.207,30.749,29.812,30.651,10155,0
2017-03-17,30.503,31.291,30.01,30.503,123678,0
2017-03-20,30.158,31.537,30.108,30.158,10268,0
2017-03-21,30.576,30.897,28.876,29.122,24177,0
2017-03-22,28.827,28.827,27.768,28.137,21956,0
2017-03-23,28.482,29.074,28.482,28.926,5131,0
2017-03-24,28.876,29.024,28.334,28.482,4052,0
2017-03-27,28.088,28.58,28.088,28.58,5109,0
2017-03-28,28.827,29.418,28.63,28.926,8799,0
2017-03-29,29.074,29.074,28.63,28.827,5128,0
2017-03-30,28.728,28.974,28.088,28.482,18135,0
2017-03-31,28.532,28.876,28.433,28.433,6003,0
