Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,9.7,10.2,9.7,10,12441,0
2017-01-04,10,10.35,9.85,10.3348,10972,0
2017-01-05,10.45,10.45,10.25,10.35,11343,0
2017-01-06,10.35,10.45,10.3397,10.45,1019,0
2017-01-09,10.45,10.45,10.3,10.4375,3703,0
2017-01-10,10.25,10.4247,10.1,10.4247,2101,0
2017-01-11,10.2498,10.2498,10.2498,10.2498,300,0
2017-01-12,10.4,10.45,10.2,10.45,3665,0
2017-01-13,10.4,10.4,10.25,10.25,422,0
2017-01-17,10.45,11.1,10.45,10.75,9056,0
2017-01-18,10.65,10.95,10.65,10.95,9290,0
2017-01-19,11.095,11.095,10.55,10.55,8711,0
2017-01-20,10.8,10.8,10.6,10.795,1924,0
2017-01-23,10.95,11,10.5656,11,392,0
2017-01-24,10.6173,10.75,10.45,10.5,8863,0
2017-01-25,10.59,10.75,10.59,10.75,1065,0
2017-01-26,10.7,10.75,10.505,10.75,529,0
2017-01-27,10.55,10.5815,10.55,10.5815,1519,0
2017-01-30,10.6,10.6,10.205,10.3753,1800,0
2017-01-31,10.37,10.4347,10.37,10.4347,400,0
2017-02-01,10.45,10.455,10,10.1,3926,0
2017-02-02,9.7,10.0027,9.7,9.975,1336,0
2017-02-03,10.05,10.25,10,10.07,1754,0
2017-02-06,9.75,10,9.75,9.85,4686,0
2017-02-07,9.9,9.945,9.9,9.945,2723,0
2017-02-09,9.8752,9.8752,9.825,9.825,780,0
2017-02-10,9.8,9.8,9.705,9.8,3355,0
2017-02-13,9.7,9.7853,9.7,9.7,2761,0
2017-02-14,9.65,9.65,9.65,9.65,823,0
2017-02-15,9.525,10.2,9.525,10.1,10292,0
2017-02-16,10.2,10.95,10.2,10.4,21219,0
2017-02-17,10.45,10.45,10.05,10.35,767,0
2017-02-21,10.35,10.55,10.3,10.3155,2110,0
2017-02-22,10.45,10.45,10.2,10.2,2429,0
2017-02-24,9.755,10,9.755,10,2702,0
2017-02-27,9.85,10.145,9.85,9.9687,4183,0
2017-02-28,10,10,9.95,9.9799,860,0
2017-03-01,9.95,10.2,9.95,9.9799,3974,0
2017-03-02,10.005,10.005,9.95,9.9794,2921,0
2017-03-03,9.95,9.95,9.6,9.65,16627,0
2017-03-06,9.75,9.75,9.65,9.675,1227,0
2017-03-07,9.95,9.95,9,9.35,42424,0
2017-03-08,9.15,10.35,9.15,10.2,64001,0
2017-03-09,10.25,10.55,10.08,10.5,2005,0
2017-03-10,10.45,10.65,10.45,10.65,12014,0
2017-03-13,10.505,10.55,10.1,10.15,9891,0
2017-03-14,10.045,10.2,10.02,10.05,5465,0
2017-03-15,9.7341,10.495,9.7341,9.75,1203,0
2017-03-16,9.95,9.9752,9.7075,9.9752,4860,0
2017-03-17,9.9,10.5,9.9,10.5,882,0
2017-03-21,10.1,10.1,9.75,9.95,2508,0
2017-03-22,9.7,9.8,9.7,9.8,3465,0
2017-03-23,9.8852,9.8852,9.8852,9.8852,310,0
2017-03-24,9.9,10,9.85,10,600,0
2017-03-27,10,10,10,10,300,0
2017-03-28,10,10,9.7146,9.7146,2499,0
2017-03-30,9.75,9.8,9.7,9.8,5188,0
2017-03-31,9.7,9.8,9.7,9.8,1800,0
2017-04-03,9.65,9.8247,9.65,9.8005,2465,0
2017-04-04,9.7,10,9.65,10,11724,0
2017-04-05,9.65,9.7455,9.65,9.679,1428,0
2017-04-10,9.7793,9.95,9.7793,9.945,1917,0
2017-04-11,9.9,10.1503,9.9,10.15,14155,0
2017-04-12,10.1,10.15,10,10.0496,814,0
2017-04-13,10.05,10.05,10,10,6465,0
2017-04-17,9.7598,9.7598,9.7598,9.7598,1110,0
2017-04-18,9.65,9.7,9.65,9.7,2566,0
2017-04-19,9.95,10,9.7887,10,1508,0
2017-04-20,9.65,10,9.65,9.9902,3821,0
2017-04-24,10,10,9.8,9.8,2871,0
2017-04-25,9.85,9.85,9.7822,9.85,845,0
2017-04-26,9.75,9.85,9.75,9.85,806,0
2017-04-28,9.7,9.7598,9.7,9.7598,748,0
2017-05-01,9.83,9.83,9.8,9.8,2817,0
2017-05-02,9.705,9.8068,9.7,9.7,1229,0
2017-05-08,9.705,9.705,9.7,9.7,907,0
2017-05-10,9.7291,9.7291,9.7291,9.7291,113,0
2017-05-11,9.95,10.4372,9.95,10.25,6690,0
2017-05-12,10.3445,10.5,10.3368,10.5,16738,0
2017-05-15,10.5,10.9,10.5,10.8,5549,0
2017-05-16,10.8,10.8,10.65,10.65,322,0
2017-05-17,10.5659,10.5659,10.5659,10.5659,238,0
2017-05-18,10.555,10.6031,10.55,10.55,906,0
2017-05-22,10.4,10.4,9.975,10.2,7500,0
2017-05-23,10.4398,10.445,9.995,10.3,16979,0
2017-05-24,10.5,10.5,10.2442,10.2442,2638,0
2017-05-25,10.4,10.4,10.2,10.4,3582,0
2017-05-26,10.2695,10.311,10.2695,10.2808,3177,0
2017-05-30,10.1,10.4,10.1,10.4,4428,0
2017-05-31,10.4,10.4,10.255,10.35,3016,0
2017-06-01,10.3846,10.5,10.25,10.35,7940,0
2017-06-02,10.25,10.35,10.25,10.35,1464,0
2017-06-05,10.45,10.5,10.25,10.5,2207,0
2017-06-06,10.5,10.9,10.4,10.9,8339,0
2017-06-07,10.71,11.7,10.71,11.6644,7664,0
2017-06-08,11.7,11.85,11.5999,11.85,7481,0
2017-06-09,12.15,12.15,11.15,11.95,12774,0
2017-06-12,11.9,12.4,11.67,12.05,5816,0
2017-06-13,11.1942,11.8813,11.1942,11.5172,3195,0
2017-06-14,11.555,12,11.555,12,881,0
2017-06-15,12.1,12.5,12.0624,12.25,12569,0
2017-06-16,13.1,13.1,12.25,12.4,6534,0
2017-06-19,12.4,12.9,12.35,12.9,7375,0
2017-06-20,12.8346,12.8346,12.35,12.35,3453,0
2017-06-21,12.5,12.8,12.45,12.8,1549,0
2017-06-22,12.85,12.9308,12.4,12.8,5303,0
