Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,44.859,44.975,44.122,44.781,186512,0
2017-01-04,45.013,45.962,44.891,45.788,196635,0
2017-01-05,44.093,45.764,43.366,45.614,278126,0
2017-01-06,45.072,45.711,44.849,44.975,229053,0
2017-01-09,45.043,45.333,44.499,44.509,197651,0
2017-01-10,44.384,44.762,43.996,44.297,347794,0
2017-01-11,44.334,44.684,43.855,44.394,140152,0
2017-01-12,44.635,44.635,43.826,44.491,173732,0
2017-01-13,44.384,44.665,44.18,44.374,104267,0
2017-01-17,44.441,45.052,44.267,44.702,176001,0
2017-01-18,44.587,45.169,44.461,44.762,284787,0
2017-01-19,44.481,44.57,43.744,43.831,151852,0
2017-01-20,43.705,44.606,43.56,44.568,174621,0
2017-01-23,44.568,45.304,44.518,45.246,107545,0
2017-01-24,45.11,45.585,45.11,45.478,154774,0
2017-01-25,45.468,45.643,44.916,45.139,233558,0
2017-01-26,44.878,45.187,44.655,45.159,235640,0
2017-01-27,45.333,45.333,44.471,44.859,223362,0
2017-01-30,44.742,45.172,44.334,44.896,203668,0
2017-01-31,44.829,45.798,44.829,45.45,213466,0
2017-02-01,45.197,46.021,44.518,44.878,165640,0
2017-02-02,45.13,45.634,45.052,45.246,125908,0
2017-02-03,45.604,45.856,45.304,45.42,123945,0
2017-02-06,45.459,45.759,45.236,45.42,117016,0
2017-02-07,45.537,45.691,45.197,45.284,134557,0
2017-02-08,45.585,45.962,45.256,45.624,117680,0
2017-02-09,45.45,46.302,45.1,46.05,127950,0
2017-02-10,45.778,46.68,45.756,46.564,108446,0
2017-02-13,46.728,46.903,46.191,46.67,126401,0
2017-02-14,46.467,46.574,45.74,46.273,133061,0
2017-02-15,45.875,46.574,45.532,46.389,189367,0
2017-02-16,46.506,46.947,46.331,46.612,293768,0
2017-02-17,46.815,47.242,46.534,47.174,488573,0
2017-02-21,47.155,48.181,47.019,47.987,324478,0
2017-02-22,47.92,48.347,46.564,47.397,299675,0
2017-02-23,47.669,47.669,46.758,47.116,144361,0
2017-02-24,47.445,49.393,47.213,49.171,278369,0
2017-02-27,48.599,49.52,48.492,48.532,241456,0
2017-02-28,48.609,48.609,47.915,48.094,314303,0
2017-03-01,47.91,48.356,47.039,47.619,256637,0
2017-03-02,47.445,47.596,47.039,47.174,172292,0
2017-03-03,47.271,47.348,46.099,47.329,193589,0
2017-03-06,46.98,46.98,46.031,46.806,148079,0
2017-03-07,46.651,46.922,46.419,46.641,85792,0
2017-03-08,46.293,46.704,45.197,45.284,191950,0
2017-03-09,45.284,45.924,44.645,44.809,152376,0
2017-03-10,45.169,45.507,44.625,44.975,109853,0
2017-03-13,44.983,45.556,44.906,45.265,148630,0
2017-03-14,45.023,45.381,44.878,45.236,82910,0
2017-03-15,45.42,46.409,45.323,46.138,197065,0
2017-03-16,46.108,46.544,45.982,46.273,103316,0
2017-03-17,46.263,46.825,46.089,46.728,244791,0
