Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,229.16,231.09,227.46,230.96,473560,0
2017-01-04,233.21,236.2,230.06,235.69,516398,0
2017-01-05,234.2,236.19,231.96,233.74,436905,0
2017-01-06,233.48,235.63,231.94,234.24,511716,0
2017-01-09,234.76,236.3,233.03,235.5,465287,0
2017-01-10,235.41,236.55,232.37,233.19,572620,0
2017-01-11,233.32,233.97,229.89,232.53,660275,0
2017-01-12,231.32,233.96,230.27,233.6,304129,0
2017-01-13,233.75,236.18,233.4,235.46,416021,0
2017-01-17,234.21,234.52,226.52,227.97,967120,0
2017-01-18,228.04,230.43,227.86,229.58,431428,0
2017-01-19,230.36,230.81,227.66,228.19,377893,0
2017-01-20,229.56,229.56,227.19,228.52,556634,0
2017-01-23,228.55,228.96,225.6,226.54,673683,0
2017-01-24,225.6,226.08,221.51,224.22,701424,0
2017-01-25,225.48,228.51,224.06,225.25,728339,0
2017-01-26,218.07,224.75,212.79,219.75,1878141,0
2017-01-27,221.54,223.56,218.23,220.38,644499,0
2017-01-30,219.82,226.52,219.5,226.17,705736,0
2017-01-31,225.25,228.48,224.44,226.37,662824,0
2017-02-01,227.15,228.37,226.14,228.36,600075,0
2017-02-02,227.27,227.88,223.53,223.99,674903,0
2017-02-03,225.37,227.55,225.37,226.13,468410,0
2017-02-06,226.09,227.71,223.68,224.5,480162,0
2017-02-07,224.12,225.65,222.74,223.12,599805,0
2017-02-08,223.16,226.1,222.85,223.77,614747,0
2017-02-09,223.9,227.91,223.9,226.63,500716,0
2017-02-10,226.63,226.63,222.41,225.02,468221,0
2017-02-13,226.45,227.77,226.05,226.32,396038,0
2017-02-14,225.3,229.04,224.99,227.89,665057,0
2017-02-15,227.3,229.82,226.07,229.07,327037,0
2017-02-16,229.97,230.44,228.43,229.89,365696,0
2017-02-17,229.67,233.61,228.74,233.51,718816,0
2017-02-21,232.95,238.34,232.41,237.9,644935,0
2017-02-22,236.6,239.83,234.83,238.3,443561,0
2017-02-23,239.02,241.93,237.72,240.83,657676,0
2017-02-24,240.41,243.51,238.25,243.21,767325,0
2017-02-27,243.21,245.86,242.25,245.15,740921,0
2017-02-28,245.51,245.54,240.57,241.39,928786,0
2017-03-01,243.06,247.59,241.8,246,626063,0
2017-03-02,246.12,247.13,242.1,242.35,471443,0
2017-03-03,241.8,243.82,240.43,243.03,783891,0
2017-03-06,240.99,245,239.07,243.85,517742,0
2017-03-07,244.2,244.33,241.95,243.45,345738,0
2017-03-08,244.48,247.18,242.99,244.57,394396,0
2017-03-09,244.78,246.98,243.7,246.31,384505,0
2017-03-10,247.37,249.54,245.49,246.58,498538,0
2017-03-13,247.15,248.31,245.82,246.2,300148,0
2017-03-14,244.92,245.35,242.58,243.93,597422,0
2017-03-15,244.77,245.24,239.91,243.95,779238,0
2017-03-16,244.56,245.17,242.01,243.49,392101,0
2017-03-17,244,245.05,242.77,243.41,690403,0
2017-03-20,243.92,244.41,241.81,242.94,507409,0
2017-03-21,243.26,244.43,237.45,237.73,698158,0
2017-03-22,237.89,240.65,237.45,239.3,335262,0
2017-03-23,239.33,243.18,239.08,241.33,374605,0
2017-03-24,242.62,244.1,240.46,242.2,343614,0
2017-03-27,239.83,242.73,237.04,241.84,621644,0
2017-03-28,241.4,243.94,240.98,243.1,505518,0
2017-03-29,242.98,244.04,241.9,243.73,274055,0
2017-03-30,243.73,247.8,243.11,247.25,458951,0
2017-03-31,247.13,248.37,246.31,247.37,503527,0
2017-04-03,248.12,249.61,245.61,248.7,737496,0
2017-04-04,247.57,251.64,247.33,249.33,974768,0
2017-04-05,250.34,253.27,248.15,248.63,634066,0
2017-04-06,249.32,253.05,248.47,251.7,424945,0
2017-04-07,250.55,252.54,249.22,249.4,554653,0
2017-04-10,248.68,250.51,245.73,246.04,611483,0
2017-04-11,243.41,244.81,233.56,236.78,1840452,0
2017-04-12,236.78,239.85,236.71,237.34,681506,0
2017-04-13,237.06,237.42,233.25,233.38,487723,0
2017-04-17,235.03,238.29,233.93,236.95,595655,0
2017-04-18,236.4,238.41,235.16,236.44,500612,0
2017-04-19,237.16,239.64,234.67,239.07,804812,0
2017-04-20,250.3,261.68,246.8,258.92,1409003,0
2017-04-21,259.3,264.51,256.79,257.81,1097622,0
2017-04-24,261.92,262.22,258.91,259.17,761354,0
2017-04-25,259.74,262.5,259.57,261.29,481118,0
2017-04-26,261.2,261.99,259.88,260.61,361115,0
2017-04-27,261.12,261.12,258.36,258.84,411417,0
2017-04-28,257.53,257.8,242.05,248,1848738,0
2017-05-01,248.34,252.5,246.9,251.82,696349,0
2017-05-02,251.52,254.31,250.11,254.23,617221,0
2017-05-03,253.97,254,249.74,252.61,1053616,0
2017-05-04,254.65,255.45,251.61,252.02,503526,0
2017-05-05,252.93,253.85,250.42,253.82,362795,0
2017-05-08,253.26,256.22,252.12,255.68,505230,0
2017-05-09,255.99,259.52,255.77,258.51,402283,0
2017-05-10,257.27,259.26,256.74,256.87,421730,0
2017-05-11,255.45,255.59,247.95,249.96,725561,0
2017-05-12,249.11,250.01,241.63,242.37,908888,0
2017-05-15,241.8,244.98,237.75,243.74,882026,0
2017-05-16,244.59,246.6,243.18,243.95,490876,0
2017-05-17,240.64,241.53,235.59,237.11,650621,0
2017-05-18,235.97,237.45,231.75,233.6,756765,0
2017-05-19,234.22,235.07,233.37,234.1,591445,0
2017-05-22,235.22,237.53,234.04,237.19,432725,0
2017-05-23,236.91,236.91,232.29,235.14,544522,0
2017-05-24,235.14,237.35,232.95,236.63,435765,0
2017-05-25,242.4,248.04,241.73,244.5,1077485,0
2017-05-26,244.3,244.31,240.14,242.93,441073,0
2017-05-30,242.89,243.89,240.19,241.05,611883,0
2017-05-31,241.2,241.85,235.78,240.04,717140,0
2017-06-01,239.7,242.28,236,240.55,663767,0
2017-06-02,240.16,240.25,234.18,236.76,972448,0
2017-06-05,236.76,237.42,233.98,235.44,944883,0
2017-06-06,234.44,240.51,232.72,239.17,756968,0
2017-06-07,240.56,241.39,236.84,237.16,539689,0
2017-06-08,237.02,241,236.01,240.91,614503,0
2017-06-09,240.36,245.31,238.49,240.26,579309,0
2017-06-12,239.91,244.8,239.45,243.28,762558,0
2017-06-13,244.39,247.94,244.39,245.17,631531,0
2017-06-14,245.17,245.53,237.39,242.21,844885,0
2017-06-15,240.21,250.46,239.96,248.9,856717,0
2017-06-16,249.24,253.78,247.28,253.74,1095001,0
2017-06-19,254.6,258.58,253.25,256.24,806488,0
2017-06-20,255.02,258.46,255.02,256.93,539182,0
2017-06-21,257.82,259.11,255.05,257.76,602455,0
2017-06-22,257.18,259.02,255.47,258.49,343593,0
2017-06-23,259.34,262.37,256.93,260.07,888587,0
2017-06-26,259.82,262.85,258.21,259.73,693780,0
2017-06-27,259.85,263.26,258.4,258.78,403103,0
2017-06-28,260.26,262.47,258.84,261.41,439330,0
2017-06-29,262.02,262.96,255.69,256.95,529256,0
2017-06-30,258.58,258.95,255.47,255.53,566553,0
2017-07-03,256.09,257.42,254.93,257.06,308762,0
2017-07-05,257.5,258.91,256.43,258.1,351404,0
2017-07-06,255.86,256.49,252.07,253.17,425798,0
2017-07-07,253.58,256.94,253.33,255.01,344437,0
2017-07-10,254.34,255.88,252.16,254.88,565459,0
2017-07-11,255.44,260.03,254.11,258.14,570782,0
2017-07-12,259.38,262.4,258.53,259.09,459285,0
2017-07-13,260.46,264.08,259.84,263.37,499999,0
2017-07-14,263.35,264.07,260.24,262.94,587743,0
2017-07-17,263.9,264.48,259.2,260.88,594523,0
2017-07-18,260.17,261.86,258.32,260.81,397334,0
2017-07-19,261.05,262.59,259.82,262.33,759065,0
2017-07-20,242.77,251.3,234.82,237.54,2104134,0
2017-07-21,234.91,237,231.49,235.47,1573997,0
2017-07-24,235.56,239.17,234.9,239.06,952425,0
2017-07-25,239.8,243.76,238.78,240.97,629517,0
2017-07-26,241.57,241.57,237.48,237.68,510461,0
2017-07-27,241.9,242.03,236.47,239.62,635581,0
2017-07-28,239.09,240.42,237.83,239.96,533580,0
2017-07-31,240.2,241.46,239.46,240.33,351136,0
2017-08-01,240.92,241.38,238.74,238.78,370694,0
2017-08-02,238.79,240.21,237.93,239.35,483501,0
2017-08-03,239.12,240.24,237.92,238.9,380430,0
2017-08-04,239.92,240.3,237.91,238.18,296687,0
2017-08-07,237.46,239.48,237.37,237.89,274728,0
2017-08-08,236.94,238.14,233.98,234.38,501037,0
2017-08-09,233.93,233.93,230.32,231.39,493611,0
2017-08-10,228.8,229.05,220.65,221.7,1263772,0
2017-08-11,220.91,222.89,220.26,222.13,549672,0
2017-08-14,224.15,225.87,220.53,221.9,761294,0
2017-08-15,222.49,227.59,220.53,225.93,901484,0
2017-08-16,226.59,229.92,225.99,228.09,558754,0
2017-08-17,227.44,228.97,222.33,222.51,510835,0
2017-08-18,222.05,223.22,220.53,220.76,394529,0
2017-08-21,220.57,221.86,219.81,220.64,463491,0
2017-08-22,221.49,223.72,221.12,222.37,441812,0
2017-08-23,221.17,221.75,218.54,220.32,556383,0
2017-08-24,220.87,224.48,220.87,222.39,332890,0
2017-08-25,222.82,223.98,220.9,221.51,395576,0
2017-08-28,222.87,223.83,221.39,223.16,278944,0
2017-08-29,221.14,223.4,220.63,223.12,322581,0
2017-08-30,222.81,224.75,221.16,224.57,315571,0
2017-08-31,225.48,226.38,223.2,224.98,387236,0
2017-09-01,225.43,225.61,223.25,224.66,270601,0
2017-09-05,223.61,224.33,216.81,218.99,563909,0
2017-09-06,220.12,221.74,218.64,219.87,448002,0
2017-09-07,220.04,221.16,215.49,215.55,518384,0
2017-09-08,214.46,215.5,213.1,213.83,594838,0
2017-09-11,216.6,219.49,215.5,218.68,543568,0
2017-09-12,218.63,221.35,217,221.1,578269,0
2017-09-13,220.55,222.83,219.47,221.95,590315,0
2017-09-14,221.45,221.5,217.61,218.37,662551,0
2017-09-15,217.93,218.71,212.95,215.5,2224875,0
2017-09-18,215.95,219.26,215.59,216.59,722525,0
2017-09-19,217.32,217.39,214.41,214.55,518837,0
2017-09-20,214.55,214.59,208.52,209.94,1006451,0
2017-09-21,210.81,215.7,210.08,215.31,523848,0
2017-09-22,214.6,217.37,214.6,216.26,305914,0
2017-09-25,216.78,217.64,214.98,216.89,455032,0
2017-09-26,218.15,220.28,217.25,218.43,675626,0
2017-09-27,219.95,220.47,217.43,219.35,459006,0
2017-09-28,219.33,220.35,216.64,220.1,430152,0
2017-09-29,220.5,225.49,220.47,221.04,602262,0
2017-10-02,221.49,223.47,219.52,223.18,414025,0
2017-10-03,223.48,225.52,221.47,225.23,532311,0
2017-10-04,226.24,226.31,224.01,225.19,366019,0
2017-10-05,225.44,226.77,223.91,226.18,414130,0
2017-10-06,225.74,226.42,224.83,225.7,287020,0
2017-10-09,225.73,227.5,225.47,225.7,188268,0
2017-10-10,226.49,227.72,225.71,226.07,267978,0
2017-10-11,225.96,226.65,223.59,224.28,601035,0
2017-10-12,223.45,223.45,219.38,219.63,593684,0
2017-10-13,221.03,233.64,220.34,230.33,955307,0
2017-10-16,231.72,231.72,225.73,228.24,628675,0
2017-10-17,228.22,229.42,226,226.42,412354,0
2017-10-18,226.98,230.92,226.98,227.85,582800,0
2017-10-19,228.47,232.39,214.87,232.26,1325798,0
2017-10-20,234.82,242.43,234.82,238.82,902921,0
2017-10-23,239.84,243.87,238.46,238.78,597304,0
2017-10-24,239.39,240.39,238.36,239.25,531541,0
2017-10-25,239.47,239.47,233.44,235.28,378283,0
2017-10-26,235.5,237.25,232.02,232.05,335440,0
2017-10-27,233.59,234.64,228.76,231.3,390086,0
2017-10-30,229.51,230.71,223.95,223.95,550609,0
2017-10-31,224.24,227.38,222.9,223.21,745402,0
2017-11-01,223.94,226.12,220.08,225.68,482828,0
2017-11-02,226.37,227.21,222.38,225.72,353685,0
2017-11-03,225.73,225.87,224.25,225.07,276611,0
2017-11-06,230.16,231.94,230.16,230.16,444649,0
2017-11-07,229.87,231.13,228.36,229.19,440252,0
2017-11-08,229.19,230.14,227.65,229.08,413716,0
2017-11-09,227.35,228.41,225.48,227.38,319788,0
2017-11-10,227.15,228.38,224.1,224.93,343723,0
