Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,35.4,36,34.855,35.95,46137,0
2017-01-04,36.4,36.4,35.65,36.1,40890,0
2017-01-05,35.75,36.1,35.25,35.7,31383,0
2017-01-06,35.85,35.85,35.2,35.35,16887,0
2017-01-09,35.5,35.65,34.85,35.05,20692,0
2017-01-10,35.05,35.1,34.75,34.95,29169,0
2017-01-11,35.05,35.1,34.4,35,34144,0
2017-01-12,34.8,34.8,33.2,34.1,31247,0
2017-01-13,34.3,34.85,34.3,34.55,20578,0
2017-01-17,34.65,34.9,34,34.7,34615,0
2017-01-18,34.65,34.95,34.35,34.9,20785,0
2017-01-19,34.95,34.9565,33.5,33.7,47892,0
2017-01-20,33.65,34.1,33.35,33.9,27143,0
2017-01-23,33.65,34.1,32.4,33.95,59051,0
2017-01-24,34,34.8,33.5,34.75,18642,0
2017-01-25,34.95,35.1,34.7,34.8,21491,0
2017-01-26,34.95,34.95,33.45,33.65,55808,0
2017-01-27,33.5,34.1,33.15,34,19517,0
2017-01-30,33.85,33.85,33,33.2,50139,0
2017-01-31,33,34.505,32.75,34.15,75083,0
2017-02-01,34.5,34.95,33.75,33.85,74621,0
2017-02-02,33.95,34.55,33.75,34.1,16666,0
2017-02-03,34.5,35.7,34.4,35.7,37693,0
2017-02-06,35.6,35.6,34.9,35.45,37631,0
2017-02-07,35.7,35.7,35.05,35.3,15559,0
2017-02-08,35.1,35.2,34.3,35.1,52447,0
2017-02-09,34.85,35.2,34.75,35.1,25106,0
2017-02-10,35.3,35.6,35,35.1,43660,0
2017-02-13,35.4,35.95,35.05,35.9,27698,0
2017-02-14,35.7,36.15,35.3,35.45,33498,0
2017-02-15,35.4,35.95,35.25,35.3,32085,0
2017-02-16,35.4,35.75,34.25,34.8,20358,0
2017-02-17,34.5,35,34.25,34.4,36325,0
2017-02-21,34.75,34.8,33.75,33.95,35527,0
2017-02-22,33.9,33.95,32.65,33.2,68930,0
2017-02-23,33.4,33.9,32.9,33.75,37974,0
2017-02-24,33.7,34.05,33.25,33.9,20076,0
2017-02-27,33.7,34.35,33.65,33.95,16652,0
2017-02-28,33.9,33.9,32.055,32.25,39542,0
2017-03-01,32.75,33.7,32.75,33.7,35347,0
2017-03-02,33.7,33.9,33.1,33.65,28598,0
2017-03-03,33.75,34.15,33.3642,34.05,31273,0
2017-03-06,33.95,34.55,33.35,33.45,126913,0
2017-03-07,34.25,37.35,33.6,34.45,238902,0
2017-03-08,34.65,34.95,34.08,34.2,67128,0
2017-03-09,34.1,34.5,32.95,33.05,82891,0
2017-03-10,33.45,34.65,33.35,34.1,74398,0
2017-03-13,34.35,34.75,33.8,34.05,27743,0
2017-03-14,34.1,34.1,33.2,33.25,26470,0
2017-03-15,33.25,33.8,32.45,32.5,47853,0
2017-03-16,32.8,33.5,32.8,33.45,40452,0
2017-03-17,33.45,33.85,33.15,33.3,90567,0
2017-03-20,33.4,33.85,31.75,31.95,30100,0
2017-03-21,32.1,32.15,30.3,30.3,47728,0
2017-03-22,30.9,30.95,30.4,30.7,53244,0
2017-03-23,30.5,31.15,30.3,30.4,42934,0
2017-03-24,30.45,30.8,29.9,30.7,74187,0
2017-03-27,30.55,31.125,30.35,30.7,48274,0
2017-03-28,30.65,30.85,30.35,30.65,34827,0
2017-03-29,30.65,31.15,30.575,30.85,53790,0
2017-03-30,30.95,32.45,30.95,32.25,53097,0
2017-03-31,32.3,32.45,31.75,31.9,32083,0
2017-04-03,31.95,32.2,31.5,31.6,33361,0
2017-04-04,31.5,31.8,30.75,31.3,33664,0
2017-04-05,30.8,31.75,30.75,31.5,35109,0
2017-04-06,31.4,32.75,30.85,32.75,52389,0
2017-04-07,32.55,32.75,32.1,32.4,38398,0
2017-04-10,32.25,32.51,31.6,31.75,36239,0
2017-04-11,31.65,32.45,31.65,32.15,53768,0
2017-04-12,31.95,31.95,30.7,31.65,24436,0
2017-04-13,31.65,31.8,31.3,31.6,13846,0
2017-04-17,31.65,32.55,31.55,32.35,34612,0
2017-04-18,31.85,31.95,31.2,31.5,24217,0
2017-04-19,31.65,32.05,31,31.8,24211,0
2017-04-20,31.8,32.65,31.5,32.5,21097,0
2017-04-21,32.5,33.05,32.25,32.8,53598,0
2017-04-24,33.3,33.6499,32.6,33.4,44431,0
2017-04-25,33.8,34,33.1,33.25,29002,0
2017-04-26,33.25,33.6,33.2,33.35,31400,0
2017-04-27,33.45,34.2,33.45,33.85,23371,0
2017-04-28,33.4,34.1,33.4,33.95,20931,0
2017-05-01,33.9,34.2107,33.65,33.85,18932,0
2017-05-02,33.75,34.55,33.75,34.3,41661,0
2017-05-03,34.15,34.7,34.05,34.6,45270,0
2017-05-04,34.5,36.25,34.45,36,43650,0
2017-05-05,36.05,36.3,34.7,36.15,51827,0
2017-05-08,36.25,37.05,36.25,36.9,40382,0
2017-05-09,35.41,40.5,35.41,40.25,131531,0
2017-05-10,40.2,40.75,40.125,40.4,67650,0
2017-05-11,40.15,40.55,40.1,40.2,204124,0
2017-05-12,40.15,40.25,39.3,39.55,44879,0
2017-05-15,39.6,39.7,37.7,37.9,51779,0
2017-05-16,38.35,38.35,36.41,37.95,82570,0
2017-05-17,37.4,37.8,36.75,36.8,48629,0
2017-05-18,36.7,37.9,36.65,37.75,107105,0
2017-05-19,37.75,38.4,37.5,37.95,76899,0
2017-05-22,38.05,38.05,37.4,37.75,48347,0
2017-05-23,37.8,37.9024,37.15,37.35,31054,0
2017-05-24,37.65,37.65,36.55,36.95,30615,0
2017-05-25,37.1,37.975,37.1,37.75,33644,0
2017-05-26,37.85,39.35,37.45,39.2,78702,0
2017-05-30,39.25,39.3312,37.5,37.65,30224,0
2017-05-31,37.9,37.9,36.46,37.1,43135,0
2017-06-01,37.2,38.4225,36.95,38.35,36536,0
2017-06-02,38.15,39.35,38.15,38.4,77193,0
2017-06-05,38.3,38.3,37.35,37.55,33244,0
2017-06-06,37.6,37.85,36.75,37.6,50704,0
2017-06-07,37.6,37.77,36.9,37.1,40427,0
2017-06-08,36.95,38.75,36.95,38.3,64322,0
2017-06-09,38.3,39.4,38.2,38.65,61653,0
2017-06-12,38.6,38.6,36.95,37.55,41865,0
2017-06-13,37.95,38.4,37.35,37.6,20478,0
2017-06-14,37.6,37.75,36.9,37.05,17978,0
2017-06-15,36.85,36.9,35.99,36.5,31674,0
2017-06-16,36.15,36.7,35.91,36.55,36157,0
2017-06-19,36.65,37.1,36.5,37.05,17801,0
2017-06-20,36.75,37.15,36.6,36.7,16503,0
2017-06-21,36.75,36.75,36.05,36.45,25885,0
2017-06-22,36.5,37.4,36.25,37,16482,0
2017-06-23,37.05,37.5,36.75,37.2,253677,0
2017-06-26,37.3,38.65,37.15,38.5,24597,0
2017-06-27,38.6,39.15,38.125,38.9,51731,0
2017-06-28,38.15,39.25,38.15,38.4,36381,0
2017-06-29,38.4,39.2336,36.8,37.25,24722,0
2017-06-30,37.25,37.425,37,37.2,20294,0
2017-07-03,37.35,37.35,36.95,37.05,11002,0
2017-07-05,37.1,37.4,36.65,37.2,26971,0
2017-07-06,37.05,37.7,36.7,37.55,31884,0
2017-07-07,37.74,39.3,37.65,39,76559,0
2017-07-10,38.8,39,37.95,38.05,31373,0
2017-07-11,38.3,38.6,38.05,38.25,22752,0
2017-07-12,38.35,38.95,37.1,37.55,33924,0
