Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,57.462,57.689,56.411,56.98,48323,0
2017-01-04,57.591,57.993,57.108,57.945,66983,0
2017-01-05,57.974,58.008,56.195,56.588,47093,0
2017-01-06,57.08,58.564,56.666,57.581,64821,0
2017-01-09,57.344,57.344,55.909,56.716,43935,0
2017-01-10,56.813,58.436,56.631,58.053,29937,0
2017-01-11,58.092,58.751,57.08,58.534,50893,0
2017-01-12,58.23,58.348,56.244,57.394,67795,0
2017-01-13,57.247,58.18,55.988,56.027,35600,0
2017-01-17,55.604,55.628,54.089,54.129,29497,0
2017-01-18,54.079,55.191,53.441,54.797,26242,0
2017-01-19,54.877,55.742,54.037,55.683,47089,0
2017-01-20,55.811,56.381,55.693,55.821,34061,0
2017-01-23,55.3,57.404,55.3,57.01,44524,0
2017-01-24,57.108,58.072,56.636,57.738,41878,0
2017-01-25,58.19,58.751,57.444,57.797,32426,0
2017-01-26,57.856,57.856,56.224,56.401,36012,0
2017-01-27,56.125,56.793,55.457,55.565,51605,0
2017-01-30,55.457,55.457,54.739,55.123,27131,0
2017-01-31,54.759,55.211,54.169,54.73,22967,0
2017-02-01,54.926,55.712,54.72,55.171,34390,0
2017-02-02,54.877,55.594,54.877,55.113,24090,0
2017-02-03,55.732,57.07,55.654,56.893,31861,0
2017-02-06,56.352,57.925,56.216,56.499,51114,0
2017-02-07,56.893,56.97,55.427,55.624,24652,0
2017-02-08,55.191,55.338,54.199,54.513,34848,0
2017-02-09,54.827,56.429,54.601,55.919,27092,0
2017-02-10,56.135,56.439,55.644,56.292,20047,0
2017-02-13,56.429,57.177,56.105,56.626,55440,0
2017-02-14,56.352,57.414,55.958,57.177,39243,0
2017-02-15,56.951,57.281,55.811,56.893,36072,0
2017-02-16,56.598,57.63,56.509,57.462,87206,0
2017-02-17,57.531,57.531,56.706,57.384,36138,0
2017-02-21,57.404,58.23,57.275,57.512,35735,0
2017-02-22,57.374,57.62,56.549,57.512,30811,0
2017-02-23,57.718,57.718,56.755,57.482,24429,0
2017-02-24,56.941,57.864,56.941,57.689,37964,0
2017-02-27,57.698,58.996,57.541,58.239,54874,0
2017-02-28,58.357,58.662,56.214,56.616,54349,0
2017-03-01,57.689,58.539,57.118,57.62,42642,0
2017-03-02,57.379,57.664,55.752,55.84,25357,0
2017-03-03,56.057,56.057,55.211,55.673,30979,0
2017-03-06,55.181,55.565,54.443,55.211,25162,0
2017-03-07,55.074,55.437,54.63,54.64,22671,0
2017-03-08,55.309,55.594,54.276,54.356,41749,0
2017-03-09,56.539,63.204,56.175,59.97,142567,0
2017-03-10,60.472,60.884,59.537,59.793,58245,0
2017-03-13,59.901,60.305,59.685,59.881,36003,0
2017-03-14,59.724,59.98,59.026,59.822,27383,0
2017-03-15,59.842,61.169,59.734,60.914,54178,0
2017-03-16,61.132,61.3,60.558,60.845,30141,0
2017-03-17,60.825,61.062,59.509,60.894,51049,0
2017-03-20,60.884,60.884,58.075,58.293,50266,0
2017-03-21,58.629,59.697,55.633,55.682,64682,0
2017-03-22,55.287,56.394,54.031,56.157,82301,0
2017-03-23,55.939,56.651,55.395,55.88,44439,0
2017-03-24,56.067,56.414,55.36,55.741,22639,0
2017-03-27,54.753,55.405,53.665,55.326,28001,0
2017-03-28,55.227,57.324,54.97,57.215,33322,0
2017-03-29,56.829,57.136,56.038,56.245,35827,0
2017-03-30,56.275,57.977,56.245,57.621,29999,0
2017-03-31,57.502,58.016,56.78,56.938,47662,0
2017-04-03,56.424,56.909,55.821,56.582,24955,0
2017-04-04,56.463,57.215,55.692,56.127,34730,0
2017-04-05,56.631,57.155,54.545,54.594,72626,0
2017-04-06,54.585,55.157,53.556,54.683,87801,0
2017-04-07,54.406,55.109,54.109,54.317,28825,0
2017-04-10,54.387,55.306,53.803,54.129,52038,0
2017-04-11,54.021,55.969,54.021,55.939,75752,0
2017-04-12,55.919,55.919,54.307,54.703,40063,0
2017-04-13,54.455,54.519,53.417,53.545,23103,0
2017-04-17,53.921,54.337,53.417,54.199,84070,0
2017-04-18,54.031,54.149,53.189,53.347,62712,0
2017-04-19,53.882,54.342,53.407,53.991,35073,0
2017-04-20,54.238,54.921,53.951,54.387,28197,0
2017-04-21,54.347,55.049,53.965,54.455,75001,0
2017-04-24,55.543,55.692,54.931,55.237,40044,0
2017-04-25,55.88,57.868,55.88,56.928,83459,0
2017-04-26,57.047,58.511,56.542,58.253,60854,0
2017-04-27,58.451,59.134,57.348,57.383,52330,0
2017-04-28,57.423,58.174,56.414,56.424,60927,0
2017-05-01,56.968,58.59,56.275,57.907,55009,0
2017-05-02,57.957,58.298,56.177,56.483,68128,0
2017-05-03,56.206,56.508,55.899,56.226,25623,0
2017-05-04,56.443,56.968,54.881,55.909,56132,0
2017-05-05,56.365,56.671,54.119,54.228,64161,0
2017-05-08,54.397,55.623,53.911,54.169,84976,0
2017-05-09,54.515,55.761,53.971,55.623,84281,0
2017-05-10,57.858,64.346,56.572,63.624,204748,0
2017-05-11,63.624,63.624,60.616,62.338,170893,0
2017-05-12,62.071,63.298,59.697,59.945,120464,0
2017-05-15,61.013,62.388,60.35,62.21,64249,0
2017-05-16,62.298,62.872,60.632,60.864,59902,0
2017-05-17,60.34,61.319,58.787,59.875,92960,0
2017-05-18,59.757,60.607,59.47,60.231,49702,0
2017-05-19,60.133,60.667,59.233,59.341,54197,0
2017-05-22,59.411,61.042,59.312,60.864,44886,0
2017-05-23,60.845,60.845,59.49,60.35,59599,0
2017-05-24,60.775,62.051,60.35,61.211,69116,0
2017-05-25,61.557,62.229,61.25,62.13,88582,0
2017-05-26,62.13,62.13,60.993,61.013,42566,0
2017-05-30,61.319,61.418,58.58,59.074,81294,0
2017-05-31,59.094,60.024,57.531,59.935,74325,0
2017-06-01,60.667,61.666,59.737,61.537,66282,0
2017-06-02,61.547,62.269,60.311,61.082,50892,0
2017-06-05,61.448,61.942,60.924,61.211,44474,0
2017-06-06,60.815,61.448,60.212,61.003,46233,0
2017-06-07,61.29,61.29,60.321,61.052,31346,0
2017-06-08,61.25,64.969,60.469,64.178,145649,0
2017-06-09,64.781,66.314,64.535,65.859,114379,0
2017-06-12,66.72,67.224,64.143,64.534,83115,0
2017-06-13,64.852,65.608,63.678,65.598,63800,0
2017-06-14,65.3,66.155,63.728,66.135,82835,0
2017-06-15,65.27,66.831,65.011,66.592,68869,0
2017-06-16,65.757,67.517,64.946,67.507,194293,0
2017-06-19,67.279,67.676,65.757,66.205,62576,0
2017-06-20,65.717,66.085,64.743,65.28,50967,0
2017-06-21,65.409,65.697,64.017,64.902,38138,0
2017-06-22,65.001,66.334,64.643,65.638,55546,0
2017-06-23,65.608,65.787,63.887,65.14,119139,0
2017-06-26,65.24,66.334,64.877,65.936,46143,0
2017-06-27,66.095,66.433,65.14,65.697,55576,0
2017-06-28,66.433,68.124,65.469,67.706,92430,0
2017-06-29,68.273,68.273,65.169,66.085,62933,0
2017-06-30,66.572,66.572,63.929,64.345,68926,0
2017-07-03,64.395,66.96,64.395,66.433,41121,0
2017-07-05,66.453,66.453,64.534,66.085,72808,0
2017-07-06,66.025,66.025,64.156,65.21,90193,0
2017-07-07,65.618,66.319,64.991,65.996,37979,0
2017-07-10,65.896,66.284,65.498,65.926,28379,0
2017-07-11,65.916,65.991,65.041,65.747,35913,0
2017-07-12,65.757,67.995,65.757,67.656,64380,0
2017-07-13,67.647,67.736,66.662,67.647,46820,0
2017-07-14,67.159,67.736,66.314,66.602,49150,0
2017-07-17,66.771,67.935,66.334,66.891,32784,0
2017-07-18,66.254,67.637,65.767,66.592,35505,0
2017-07-19,66.881,68.82,66.622,68.084,105504,0
2017-07-20,68.154,68.154,67.179,67.497,37477,0
2017-07-21,68.124,68.134,66.771,68.034,71683,0
2017-07-24,68.472,68.939,67.487,68.721,41074,0
2017-07-25,69.287,70.909,68.999,70.352,78370,0
2017-07-26,70.342,70.988,69.839,70.163,76353,0
2017-07-27,70.381,70.401,69.009,69.427,39175,0
2017-07-28,69.307,69.506,68.43,68.561,33919,0
2017-07-31,69.049,69.424,67.746,68.184,85061,0
