Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,7.3411,7.492,7.3208,7.4732,678186,0
2017-01-04,7.1618,7.4826,7.077,7.4826,804657,0
2017-01-05,7.3788,7.4732,7.3221,7.3694,548126,0
2017-01-06,7.3599,7.4072,7.1051,7.3221,679065,0
2017-01-09,7.3127,7.3268,7.1287,7.2656,854424,0
2017-01-10,7.2562,7.5109,7.209,7.426,741596,0
2017-01-11,7.275,7.4449,7.2279,7.3788,737006,0
2017-01-12,7.3599,7.3694,7.0769,7.1995,715794,0
2017-01-13,7.2279,7.3882,7.2137,7.2656,608012,0
2017-01-17,7.3127,7.3316,7.209,7.2656,413947,0
2017-01-18,7.2844,7.3411,7.1901,7.3127,370608,0
2017-01-19,7.3033,7.3411,7.0817,7.1712,488036,0
2017-01-20,7.1712,7.3317,7.1524,7.1712,279783,0
2017-01-23,7.1901,7.2844,7.1712,7.2467,536923,0
2017-01-24,7.2467,7.4826,7.1806,7.4166,619556,0
2017-01-25,7.4355,7.6242,7.4072,7.492,437717,0
2017-01-26,7.5298,7.7374,7.492,7.728,618272,0
2017-01-27,7.7657,7.7657,7.5674,7.7562,684199,0
2017-01-30,7.6902,7.6902,7.275,7.275,682054,0
2017-01-31,7.275,7.3127,7.0863,7.1712,582808,0
2017-02-01,7.209,7.3882,7.0674,7.0957,513891,0
2017-02-02,7.0863,7.1899,7.0297,7.1712,521571,0
2017-02-03,7.2656,7.5298,7.2279,7.5203,641416,0
2017-02-06,7.492,7.492,7.2467,7.2844,501833,0
2017-02-07,7.3317,7.4072,7.1995,7.2279,382416,0
2017-02-08,7.2373,7.2609,7.1334,7.2467,424638,0
2017-02-09,7.275,7.2939,7.1995,7.2373,315789,0
2017-02-10,7.275,7.3977,7.2373,7.3694,504198,0
2017-02-13,7.3599,7.4072,7.308,7.3317,297748,0
2017-02-14,7.2844,7.3599,7.2184,7.3505,404096,0
2017-02-15,7.3033,7.3977,7.2232,7.3599,388718,0
2017-02-16,7.3411,7.4542,7.2184,7.2467,378314,0
