Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,32.989,33.385,32.824,32.979,206581,0
2017-01-04,33.139,33.286,32.899,33.167,241766,0
2017-01-05,33.099,33.197,31.897,32.007,279631,0
2017-01-06,32.195,32.323,31.868,32.047,150817,0
2017-01-09,31.788,31.982,31.471,31.719,155776,0
2017-01-10,31.58,32.156,31.58,31.987,130909,0
2017-01-11,32.106,32.232,31.66,32.047,163775,0
2017-01-12,32.017,32.017,30.946,31.67,186646,0
2017-01-13,31.878,32.106,31.64,32.017,217872,0
2017-01-17,31.729,31.788,31.005,31.233,349835,0
2017-01-18,31.302,31.67,31.104,31.67,179448,0
2017-01-19,32.231,32.777,31.526,31.953,245251,0
2017-01-20,32.023,32.162,31.56,31.843,150335,0
2017-01-23,31.833,32.043,31.257,31.605,165217,0
2017-01-24,31.685,32.256,31.536,32.172,127844,0
2017-01-25,32.31,32.698,31.943,32.45,127609,0
2017-01-26,32.52,32.917,32.34,32.37,129071,0
2017-01-27,32.38,32.5,32.043,32.261,87395,0
2017-01-30,31.893,32.023,31.048,31.555,136304,0
2017-01-31,31.356,31.893,31.068,31.803,143345,0
2017-02-01,32.142,32.57,31.675,31.863,101609,0
2017-02-02,31.714,32.083,31.546,31.943,109857,0
2017-02-03,32.31,32.857,32.023,32.788,102049,0
2017-02-06,32.927,33.364,32.738,32.867,142377,0
2017-02-07,32.967,33.166,32.827,32.847,120512,0
2017-02-08,32.64,32.64,31.705,32.191,122207,0
2017-02-09,32.241,33.087,32.203,32.837,101998,0
2017-02-10,33.047,33.484,32.798,33.454,94085,0
2017-02-13,33.683,33.951,33.454,33.584,110283,0
2017-02-14,33.414,33.743,33.067,33.703,149918,0
2017-02-15,33.643,34.133,33.374,34.1,108382,0
2017-02-16,34.1,34.1,33.394,33.752,157244,0
2017-02-17,33.772,33.871,33.464,33.782,141069,0
2017-02-21,33.861,34.091,33.614,33.782,92070,0
2017-02-22,33.752,34.041,33.354,33.792,113097,0
2017-02-23,33.822,33.822,33.056,33.225,88631,0
2017-02-24,32.778,33.604,32.48,33.484,126244,0
2017-02-27,33.623,34.548,33.464,34.21,165867,0
2017-02-28,34.17,34.488,33.89,34.22,175684,0
2017-03-01,34.876,35.254,34.587,34.747,171935,0
2017-03-02,34.797,34.846,33.951,34.061,137137,0
2017-03-03,34.14,34.17,33.743,33.901,110728,0
2017-03-06,33.614,33.951,33.486,33.772,77225,0
2017-03-07,33.643,33.901,33.325,33.782,90768,0
2017-03-08,33.921,33.965,33.205,33.235,75653,0
2017-03-09,33.196,33.564,32.723,33.176,90182,0
2017-03-10,33.384,33.404,32.536,32.728,148073,0
2017-03-13,32.708,33.434,32.708,33.404,99206,0
2017-03-14,33.117,33.265,32.64,33.097,86094,0
2017-03-15,33.156,33.782,33.141,33.683,114058,0
2017-03-16,33.802,33.911,33.474,33.633,103517,0
2017-03-17,33.584,34.14,33.504,34.021,417954,0
2017-03-20,33.951,34.225,33.822,33.911,115728,0
2017-03-21,34.15,34.16,31.783,32.55,122068,0
2017-03-22,32.997,34.2,31.823,34.091,279763,0
2017-03-23,34.081,34.19,33.494,33.951,229047,0
2017-03-24,33.971,34.398,33.723,33.822,264076,0
2017-03-27,33.394,33.614,32.41,33.235,234619,0
2017-03-28,33.117,34.24,32.897,34.19,184596,0
2017-03-29,34.1,34.359,33.574,33.713,191749,0
2017-03-30,33.633,33.723,33.265,33.584,122979,0
2017-03-31,33.653,33.842,33.384,33.434,274595,0
2017-04-03,33.464,34.329,32.808,34.001,257639,0
2017-04-04,33.901,34.438,33.901,34.011,143145,0
2017-04-05,34.299,34.558,33.275,33.305,111545,0
2017-04-06,33.334,33.334,32.768,33.285,208731,0
2017-04-07,33.245,33.539,32.649,33.414,194732,0
2017-04-10,33.464,33.911,33.176,33.544,122510,0
2017-04-11,33.544,34.18,33.544,34.041,175163,0
2017-04-12,34.061,34.061,33.137,33.176,127659,0
2017-04-13,33.097,33.325,32.38,32.817,140588,0
2017-04-17,32.937,33.325,32.887,33.265,155833,0
2017-04-18,33.127,33.454,33.012,33.424,179255,0
2017-04-19,33.604,33.812,33.494,33.772,127742,0
2017-04-20,33.931,34.319,33.792,34.29,258432,0
2017-04-21,34.29,34.777,34.21,34.458,193679,0
2017-04-24,35.164,35.354,34.935,35.254,135146,0
2017-04-25,35.492,35.771,35.452,35.541,152181,0
2017-04-26,35.442,35.92,35.442,35.761,251311,0
2017-04-27,35.716,36.334,35.656,35.826,144385,0
2017-04-28,35.886,36.124,35.586,35.856,160150,0
2017-05-01,35.925,35.944,35.258,35.736,159418,0
2017-05-02,35.736,36.134,35.616,35.876,190002,0
2017-05-03,35.656,35.896,35.308,35.358,147156,0
2017-05-04,35.566,35.606,34.74,35.058,89164,0
2017-05-05,35.158,35.348,34.74,35.308,140019,0
2017-05-08,35.318,35.706,35.098,35.456,75552,0
2017-05-09,35.496,35.596,35.148,35.388,82005,0
2017-05-10,35.288,35.756,35.148,35.238,117035,0
2017-05-11,35.098,35.098,34.5,34.82,73058,0
2017-05-12,34.69,34.869,34.301,34.38,81767,0
2017-05-15,33.892,34.928,33.793,34.74,68295,0
2017-05-16,34.83,35.178,34.83,35.108,110939,0
2017-05-17,34.5,34.6,33.414,33.414,160896,0
2017-05-18,33.245,33.514,33.046,33.205,297443,0
2017-05-19,33.364,33.962,33.353,33.474,200628,0
2017-05-22,33.744,34.182,33.624,34.072,208864,0
2017-05-23,34.162,34.162,33.474,33.852,164034,0
