Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,13.988,14.037,13.2,13.2,8970,0
2017-01-04,13.25,13.692,13.25,13.348,1436,0
2017-01-05,13.397,13.397,13.397,13.397,554,0
2017-01-06,13.644,13.644,13.348,13.348,1891,0
2017-01-09,13.298,13.348,13.298,13.347,2559,0
2017-01-12,13.495,13.596,13.416,13.596,7586,0
2017-01-13,13.609,13.791,13.609,13.718,5659,0
2017-01-17,13.545,13.89,13.545,13.742,9902,0
2017-01-18,13.644,13.825,13.644,13.742,1715,0
2017-01-19,13.988,13.988,13.988,13.988,105,0
2017-01-20,13.791,13.791,13.742,13.782,3276,0
2017-01-23,13.791,13.791,13.786,13.791,2850,0
2017-01-25,13.791,13.791,13.791,13.791,112,0
2017-01-26,13.644,13.791,13.644,13.777,1325,0
2017-01-27,13.742,13.939,13.742,13.89,15009,0
2017-01-30,13.56,13.79,13.25,13.25,10449,0
2017-01-31,13.594,13.742,13.594,13.658,61352,0
2017-02-01,13.264,13.742,13.264,13.742,1114,0
2017-02-02,13.742,13.791,13.594,13.692,58646,0
2017-02-03,13.545,13.545,13.545,13.545,30959,0
2017-02-06,13.644,13.644,13.644,13.644,26682,0
2017-02-07,13.644,13.692,13.495,13.495,1520,0
2017-02-08,13.644,13.692,13.53,13.692,2881,0
2017-02-09,13.442,13.84,13.442,13.84,6868,0
2017-02-10,13.644,13.84,13.644,13.84,896,0
2017-02-13,13.411,13.411,13.411,13.411,711,0
2017-02-14,13.51,13.644,13.51,13.644,7384,0
2017-02-15,13.397,13.545,13.348,13.348,11463,0
2017-02-16,13.397,13.545,13.394,13.417,7896,0
2017-02-17,13.447,13.447,13.447,13.447,1278,0
2017-02-21,13.447,13.447,13.397,13.447,9478,0
2017-02-22,13.447,13.447,13.447,13.447,240,0
2017-02-23,13.397,13.447,13.397,13.447,8993,0
2017-02-24,13.447,13.644,13.348,13.348,19130,0
2017-02-27,13.447,13.594,13.298,13.298,1877,0
2017-02-28,13.298,13.447,13.298,13.348,1080,0
2017-03-01,13.447,13.447,13.298,13.298,958,0
2017-03-02,13.298,13.298,13.298,13.298,210,0
2017-03-03,13.298,13.298,13.298,13.298,1718,0
2017-03-06,13.25,13.25,13.101,13.25,4221,0
2017-03-07,13.397,13.397,13.101,13.102,461,0
2017-03-08,13.023,13.184,12.658,12.806,3527,0
2017-03-09,12.708,12.904,12.708,12.855,16432,0
2017-03-10,12.658,13.101,12.658,12.658,4437,0
2017-03-14,12.94,13.376,12.94,13.376,1186,0
2017-03-15,13.397,13.447,13.209,13.25,6569,0
2017-03-16,13.101,13.101,13.101,13.101,154,0
2017-03-17,13.393,15.319,13.101,15.319,84120,0
2017-03-20,14.628,15.022,14.481,14.628,26810,0
2017-03-21,14.55,14.55,14.252,14.327,24537,0
2017-03-22,14.302,14.45,14.203,14.203,9521,0
2017-03-23,14.154,14.252,14.054,14.203,4950,0
2017-03-24,14.425,14.55,13.56,14.302,38965,0
2017-03-27,14.302,14.55,14.005,14.302,12231,0
2017-03-28,14.154,14.796,13.609,14.748,68195,0
2017-03-29,15.342,15.49,14.994,15.044,47777,0
2017-03-30,15.144,15.144,14.55,14.55,8381,0
2017-03-31,15.044,15.143,14.946,15.094,5572,0
2017-04-03,15.044,15.044,14.45,14.45,1770,0
2017-04-04,14.45,14.796,14.352,14.55,13400,0
2017-04-05,14.598,14.698,13.758,14.598,77129,0
2017-04-06,14.302,14.748,14.252,14.401,37493,0
2017-04-07,14.352,14.598,14.352,14.598,9859,0
2017-04-10,14.598,14.648,14.458,14.5,8763,0
2017-04-11,14.203,14.748,14.203,14.598,23515,0
2017-04-12,14.45,14.796,14.45,14.55,4773,0
2017-04-13,14.698,14.846,14.648,14.648,2670,0
