Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,48.819,49.148,48.331,48.998,1974604,0
2017-01-04,49.426,49.844,49.073,49.585,2489681,0
2017-01-05,49.347,49.525,48.441,48.958,1439572,0
2017-01-06,49.187,49.964,48.958,49.844,1541076,0
2017-01-09,49.665,49.894,49.068,49.407,1506843,0
2017-01-10,49.515,49.84,49.128,49.645,1418309,0
2017-01-11,49.555,49.854,49.392,49.755,1126133,0
2017-01-12,49.665,50.282,49.317,50.212,1416731,0
2017-01-13,50.322,50.77,50.322,50.432,1478272,0
2017-01-17,50.312,50.427,49.705,50.053,1363338,0
2017-01-18,50.163,50.541,49.961,50.482,2039964,0
2017-01-19,50.68,50.949,50.207,50.452,1693461,0
2017-01-20,50.72,50.949,50.402,50.581,1229830,0
2017-01-23,50.402,50.75,49.835,50.232,1338906,0
2017-01-24,50.512,51.119,50.262,50.949,1030623,0
2017-01-25,51.387,52.194,51.277,52.164,2027366,0
2017-01-26,52.144,52.587,51.756,51.944,1888572,0
2017-01-27,51.944,52.194,51.392,51.577,1349189,0
2017-01-30,51.577,51.805,50.67,51.159,1477609,0
2017-01-31,51.149,51.227,50.62,50.87,1695833,0
2017-02-01,51.119,51.327,50.432,50.86,1713813,0
2017-02-02,50.551,50.85,50.212,50.81,1029769,0
2017-02-03,51.188,51.467,50.85,51.277,2076668,0
2017-02-06,51.149,51.756,50.959,51.427,3869319,0
2017-02-07,51.776,52.631,51.059,51.447,4802205,0
2017-02-08,51.477,52.244,51.079,52.114,2379163,0
2017-02-09,52.324,53.199,52.234,52.891,1859099,0
2017-02-10,53,53.408,52.821,53.279,1720007,0
2017-02-13,53.508,53.647,53.269,53.428,1749566,0
2017-02-14,53.239,53.388,52.961,53.338,2162684,0
2017-02-15,53.757,54.149,53.378,54.035,2016830,0
2017-02-16,54.025,54.184,53.677,54.125,1771408,0
2017-02-17,53.856,54.254,53.667,54.254,1727330,0
2017-02-21,54.234,54.931,54.115,54.901,6047238,0
2017-02-22,54.672,55.071,54.504,55.061,2546221,0
2017-02-23,55.071,55.231,53.916,54.244,1779311,0
2017-02-24,53.916,54.414,53.816,54.384,1002216,0
2017-02-27,54.474,54.563,54.154,54.254,1475878,0
2017-02-28,54.274,54.424,53.587,53.727,1343520,0
2017-03-01,54.504,55.121,54.504,55.011,1534415,0
2017-03-02,55.061,55.061,54.414,54.454,1146551,0
2017-03-03,54.514,54.771,54.184,54.603,1921844,0
2017-03-06,54.115,54.489,54.039,54.364,1048032,0
2017-03-07,54.494,54.643,54.194,54.264,1046060,0
2017-03-08,54.504,54.712,54.145,54.274,1579190,0
2017-03-09,54.294,54.374,53.508,53.548,1345434,0
2017-03-10,53.677,54.005,53.308,53.378,2276607,0
2017-03-13,53.458,54.055,53.418,54.025,1806214,0
2017-03-14,53.677,53.677,52.941,53.259,1654661,0
2017-03-15,53.488,54.106,53.448,53.947,1784623,0
2017-03-16,54.176,54.196,53.728,53.947,1820138,0
2017-03-17,54.176,54.246,53.708,54.156,1819513,0
2017-03-20,54.206,54.206,53.867,54.056,775976,0
2017-03-21,54.216,54.296,53.06,53.149,1907579,0
2017-03-22,53.139,53.378,52.76,53.209,1508001,0
2017-03-23,53.109,53.598,52.98,53.308,876387,0
2017-03-24,53.298,53.738,53.05,53.269,1367322,0
2017-03-27,52.511,53.513,52.272,53.348,1287212,0
2017-03-28,53.099,54.036,53.06,53.778,1294067,0
2017-03-29,53.708,54.366,53.528,54.036,1362122,0
2017-03-30,53.937,54.256,53.778,53.967,1161406,0
2017-03-31,53.768,54.106,53.628,53.927,1218182,0
2017-04-03,53.937,54.336,53.368,53.518,1574813,0
2017-04-04,53.438,53.768,53.348,53.608,879952,0
2017-04-05,53.907,54.376,53.438,53.538,1102356,0
2017-04-06,53.578,54.276,53.508,54.056,1057395,0
2017-04-07,53.967,54.126,53.768,53.996,1412453,0
2017-04-10,53.976,54.704,53.976,54.356,837362,0
2017-04-11,54.256,54.396,53.788,54.336,696371,0
2017-04-12,54.196,54.336,53.313,53.368,2358134,0
2017-04-13,53.199,53.638,53.04,53.05,1741712,0
2017-04-17,53.348,53.827,53.169,53.817,1176708,0
2017-04-18,53.628,54.056,53.498,53.827,1215083,0
2017-04-19,53.996,54.236,53.558,53.708,1133573,0
2017-04-20,54.036,54.724,53.957,54.615,1663603,0
2017-04-21,54.645,55.014,54.605,54.684,2098785,0
2017-04-24,55.372,56.5,55.124,56.42,2508894,0
2017-04-25,56.778,57.168,56.53,56.868,1815813,0
2017-04-26,56.958,57.288,56.858,56.938,2063872,0
2017-04-27,56.948,57.398,56.798,57.098,1395739,0
2017-04-28,57.068,57.426,56.788,57.038,2101223,0
2017-05-01,57.228,57.476,56.5,57.426,3264226,0
2017-05-02,57.348,59.362,57.278,58.863,4221927,0
2017-05-03,58.734,60.259,58.734,59.74,3783200,0
2017-05-04,59.83,60.518,59.74,60.219,2438712,0
2017-05-05,60.249,60.493,59.945,60.02,2405274,0
2017-05-08,59.94,60.15,59.63,59.76,1480165,0
2017-05-09,59.62,60.249,59.61,60.13,1059132,0
2017-05-10,59.79,60.03,59.471,59.78,967989,0
2017-05-11,59.452,59.71,59.012,59.68,1291267,0
2017-05-12,59.481,59.66,59.122,59.302,1161252,0
2017-05-15,59.521,59.76,59.302,59.551,1141510,0
2017-05-16,59.551,59.78,59.262,59.64,859864,0
2017-05-17,58.892,59.62,58.882,59.302,1653695,0
2017-05-18,58.833,59.412,58.564,58.972,2151894,0
2017-05-19,59.332,60.199,59.192,59.89,1459767,0
2017-05-22,60.11,60.648,59.97,60.408,1019601,0
2017-05-23,60.568,60.698,60.264,60.388,1199128,0
2017-05-24,60.658,61.126,60.458,60.818,1179251,0
2017-05-25,60.947,61.196,60.698,60.917,876214,0
2017-05-26,60.778,61.096,60.558,60.698,571053,0
2017-05-30,60.478,60.698,60.249,60.628,734461,0
2017-05-31,60.718,60.922,60.08,60.847,1319557,0
2017-06-01,61.027,61.575,60.658,61.336,1631684,0
2017-06-02,61.416,62.014,61.186,61.685,1189478,0
2017-06-05,61.695,61.954,61.496,61.625,743992,0
2017-06-06,61.206,61.585,61.076,61.326,1259693,0
2017-06-07,61.486,61.65,61.056,61.356,1073472,0
2017-06-08,61.306,61.844,61.076,61.784,1190146,0
2017-06-09,61.884,62.682,61.794,62.204,1585394,0
2017-06-12,62.164,62.492,61.496,61.585,1204171,0
2017-06-13,61.705,62.084,61.545,61.874,588123,0
2017-06-14,61.984,62.034,61.345,61.455,901872,0
2017-06-15,61.085,62.154,61.016,62.124,784353,0
2017-06-16,62.204,62.533,61.854,62.244,1466406,0
2017-06-19,62.454,62.803,62.244,62.773,708463,0
2017-06-20,62.603,62.663,61.745,61.784,979232,0
2017-06-21,61.755,61.784,60.366,60.426,1986889,0
