Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,10.68,10.89,10.52,10.65,1057289,0
2017-01-04,10.71,10.81,10.535,10.61,1048409,0
2017-01-05,10.56,10.64,10.35,10.35,1171868,0
2017-01-06,10.35,10.44,10.2,10.27,1221593,0
2017-01-09,10.27,10.65,10.24,10.39,1236227,0
2017-01-10,10.44,10.8,10.44,10.69,1173154,0
2017-01-11,10.68,10.76,10.54,10.75,740327,0
2017-01-12,10.69,10.69,10.23,10.49,824269,0
2017-01-13,10.53,10.77,10.42,10.46,1201354,0
2017-01-17,10.38,10.38,9.79,9.79,1729149,0
2017-01-18,9.9,9.97,9.77,9.86,1967949,0
2017-01-19,9.84,9.89,9.48,9.68,2133698,0
2017-01-20,9.69,9.82,9.62,9.69,1785802,0
2017-01-23,9.65,9.79,9.48,9.55,1298582,0
2017-01-24,9.56,9.94,9.51,9.77,1934762,0
2017-01-25,9.91,9.97,9.77,9.86,2031126,0
2017-01-26,9.9,9.9,9.72,9.73,1230095,0
2017-01-27,9.79,9.822,9.67,9.7,860186,0
2017-01-30,9.63,9.63,9.38,9.525,1441395,0
2017-01-31,9.45,9.5,9.33,9.41,1011395,0
2017-02-01,9.51,9.69,9.45,9.63,1272982,0
2017-02-02,9.66,10.19,9.64,9.92,1801586,0
2017-02-03,9.99,10.21,9.95,10.07,1405364,0
2017-02-06,9.99,9.99,9.8,9.98,984430,0
2017-02-07,9.98,10.01,9.54,9.6,1908983,0
2017-02-08,9.6,9.66,9.44,9.66,1834079,0
2017-02-09,9.71,10.01,9.69,9.93,1674104,0
2017-02-10,9.96,10.05,9.705,9.97,1965405,0
2017-02-13,10.08,10.45,10.02,10.44,3764121,0
2017-02-14,9.35,9.91,9.05,9.61,8754903,0
2017-02-15,9.55,9.63,9.285,9.6,3903115,0
2017-02-16,9.55,10.02,9.49,10.01,2518194,0
2017-02-17,9.98,10.09,9.895,10.05,1952420,0
2017-02-21,10.05,10.35,10.02,10.34,2006962,0
2017-02-22,10.35,10.4,10.09,10.1,1464404,0
2017-02-23,10.13,10.23,9.87,10.15,1685817,0
2017-02-24,10.05,10.17,9.95,10.13,1335403,0
2017-02-27,10.14,10.16,9.77,9.86,2192206,0
2017-02-28,9.86,9.93,9.73,9.82,1617663,0
2017-03-01,9.94,10.22,9.83,10.15,1714861,0
2017-03-02,10.14,10.32,10.1,10.255,1606870,0
2017-03-03,10.24,10.36,10.2,10.25,1276989,0
2017-03-06,10.23,10.51,10.12,10.49,1733644,0
2017-03-07,10.49,10.675,10.49,10.64,1353819,0
2017-03-08,10.62,10.935,10.5501,10.74,1515745,0
2017-03-09,10.7,10.74,10.51,10.55,1082496,0
2017-03-10,10.66,10.91,10.6301,10.895,1444900,0
2017-03-13,10.89,11.06,10.76,11.06,1297279,0
2017-03-14,11.06,11.07,10.88,10.9,1157148,0
2017-03-15,10.97,10.99,10.78,10.89,1492596,0
2017-03-16,10.97,11.09,10.76,10.95,794862,0
2017-03-17,10.97,11.15,10.93,11.09,1623887,0
2017-03-20,11.13,11.3,11.02,11.23,1270635,0
2017-03-21,11.24,11.24,10.57,10.59,1418271,0
2017-03-22,10.57,10.815,10.56,10.78,1026196,0
2017-03-23,10.78,10.94,10.71,10.86,704004,0
2017-03-24,10.96,11.12,10.87,10.95,629484,0
2017-03-27,10.85,11.2,10.72,11.16,741196,0
2017-03-28,11.08,11.19,10.95,11.15,703994,0
2017-03-29,11.1,11.15,11.03,11.09,543870,0
2017-03-30,11.06,11.3,11.05,11.28,701897,0
2017-03-31,11.25,11.64,11.11,11.59,2400469,0
2017-04-03,11.61,11.76,11.51,11.56,1487512,0
2017-04-04,11.49,11.66,11.4,11.46,1220308,0
2017-04-05,11.49,11.57,11.18,11.24,1261248,0
2017-04-06,11.3,11.5,11.11,11.45,907313,0
2017-04-07,11.44,11.64,11.4,11.51,1277623,0
2017-04-10,11.53,11.61,11.255,11.39,1257946,0
2017-04-11,11.33,11.39,11.08,11.2,1231501,0
2017-04-12,11.22,11.4,11.16,11.21,1142584,0
2017-04-13,11.15,11.35,10.9,10.9,943133,0
2017-04-17,10.94,11.21,10.81,11.2,1272941,0
2017-04-18,11.14,11.27,10.98,11.22,1362617,0
2017-04-19,11.32,11.42,11.2,11.37,1305849,0
2017-04-20,11.46,11.91,11.3,11.88,1802212,0
2017-04-21,11.85,11.855,11.6,11.73,1543133,0
2017-04-24,11.96,11.98,11.62,11.88,1059642,0
2017-04-25,11.96,12.15,11.84,12.1,1152380,0
2017-04-26,12.08,12.08,11.82,11.98,1285807,0
2017-04-27,11.98,12.48,11.923,12.33,2225382,0
2017-04-28,12.33,12.33,11,11.78,4106509,0
2017-05-01,11.83,12.23,11.83,12.09,1656050,0
2017-05-02,12.08,12.08,11.61,11.71,1833251,0
2017-05-03,11.66,11.76,11.52,11.73,1001250,0
2017-05-04,11.75,12.03,11.64,11.96,1139476,0
2017-05-05,12.04,12.04,11.62,11.85,1113451,0
2017-05-08,11.83,11.91,11.67,11.73,707573,0
2017-05-09,11.78,12.07,11.78,11.98,880688,0
2017-05-10,12.1,12.26,11.87,11.96,1110318,0
2017-05-11,11.92,12.08,11.74,11.9,1363743,0
2017-05-12,11.88,11.94,11.62,11.67,1004181,0
2017-05-15,11.71,11.78,11.59,11.69,1214168,0
2017-05-16,11.77,11.77,11.56,11.67,1188801,0
2017-05-17,11.48,11.49,10.77,10.89,3166959,0
2017-05-18,10.88,11.05,10.73,10.84,1223162,0
2017-05-19,10.75,11.07,10.75,10.96,1117685,0
2017-05-22,10.99,11.15,10.92,11.12,923445,0
2017-05-23,11.16,11.27,11.02,11.19,892370,0
2017-05-24,11.28,11.42,11.18,11.4,886431,0
2017-05-25,11.44,11.585,11.36,11.43,1278326,0
2017-05-26,11.42,11.75,11.18,11.74,1014944,0
2017-05-30,11.72,11.8,11.58,11.63,1048561,0
2017-05-31,11.72,11.76,11.24,11.34,1637651,0
2017-06-01,11.37,11.501,11.24,11.36,821098,0
2017-06-02,11.4,11.47,11.27,11.33,1137229,0
2017-06-05,11.29,11.61,11.26,11.55,695749,0
2017-06-06,11.52,11.87,11.402,11.73,1062676,0
2017-06-07,11.76,12.12,11.76,11.94,947394,0
2017-06-08,12,12.25,11.89,12.23,792270,0
2017-06-09,12.15,12.35,11.15,11.41,1886265,0
2017-06-12,11.28,11.42,10.8184,11.1,1846191,0
2017-06-13,11.29,11.479,11.015,11.09,938461,0
2017-06-14,11.08,11.22,10.58,10.73,1275867,0
2017-06-15,10.45,10.6241,10.34,10.42,1271742,0
2017-06-16,10.35,10.65,10.35,10.56,1374473,0
2017-06-19,10.68,10.89,10.67,10.8,1010620,0
2017-06-20,10.81,10.89,10.555,10.67,1321572,0
2017-06-21,10.74,10.98,10.61,10.68,1051185,0
2017-06-22,10.65,10.83,10.59,10.65,996886,0
2017-06-23,10.66,10.795,10.57,10.63,1002682,0
2017-06-26,10.7,10.79,10.355,10.37,610938,0
2017-06-27,10.3,10.39,10.04,10.13,1162344,0
2017-06-28,10.17,10.475,9.87,10.45,1322945,0
2017-06-29,10.39,10.4,9.68,9.81,1382094,0
2017-06-30,9.82,10.01,9.63,9.77,1387335,0
2017-07-03,9.87,9.94,9.61,9.66,598544,0
2017-07-05,9.7,9.87,9.66,9.82,855717,0
2017-07-06,9.69,9.93,9.66,9.73,981647,0
2017-07-07,9.79,9.96,9.725,9.83,1204827,0
2017-07-10,9.82,10,9.71,9.92,845728,0
2017-07-11,9.91,10.09,9.85,10.04,927435,0
2017-07-12,10.18,10.3,10.13,10.2,662439,0
2017-07-13,10.19,10.265,9.97,10.16,1459813,0
2017-07-14,10.19,10.39,10.12,10.37,750946,0
2017-07-17,10.38,10.515,10.19,10.45,734302,0
2017-07-18,10.4,10.56,10.34,10.56,875107,0
2017-07-19,10.66,10.9,10.5,10.89,923895,0
2017-07-20,10.92,10.92,10.675,10.85,637884,0
2017-07-21,10.88,10.98,10.565,10.955,1531998,0
2017-07-24,10.94,11.03,10.83,11.01,773648,0
2017-07-25,11,11.025,10.89,11.01,823039,0
2017-07-26,11.07,11.14,10.91,11.06,1145979,0
2017-07-27,11.12,11.25,10.72,10.81,1521406,0
2017-07-28,10.72,10.805,10.41,10.49,1728570,0
2017-07-31,10.52,10.65,10.2305,10.37,1840303,0
2017-08-01,10.15,10.49,9.17,9.49,4880490,0
2017-08-02,9.53,9.68,9.07,9.17,2337622,0
2017-08-03,9.15,9.21,8.83,8.85,1646189,0
2017-08-04,8.87,8.935,8.7,8.77,1171121,0
2017-08-07,8.79,9.12,8.79,9.11,1463369,0
2017-08-08,9.16,9.28,9.03,9.12,1668551,0
2017-08-09,9.02,9.02,8.775,8.905,1082981,0
2017-08-10,8.8,8.8,8.52,8.53,1138071,0
2017-08-11,8.55,8.75,8.5,8.73,1124145,0
2017-08-14,8.86,8.94,8.73,8.8,840263,0
2017-08-15,8.77,8.87,8.63,8.69,1058271,0
2017-08-16,8.8,8.91,8.72,8.84,918980,0
2017-08-17,8.76,8.76,8.38,8.38,1436113,0
2017-08-18,8.36,8.525,8.32,8.46,736148,0
2017-08-21,8.44,8.62,8.345,8.59,1067006,0
2017-08-22,8.65,8.8,8.6,8.675,1364022,0
2017-08-23,8.57,8.74,8.57,8.66,668061,0
2017-08-24,8.7,8.79,8.5962,8.71,899413,0
2017-08-25,8.65,8.65,8.41,8.54,1116228,0
2017-08-28,8.58,8.66,8.47,8.63,1018867,0
2017-08-29,8.48,8.87,8.44,8.83,1490005,0
2017-08-30,8.84,9.01,8.7936,8.96,770118,0
2017-08-31,8.99,9.025,8.77,8.78,1179899,0
2017-09-01,8.84,9.12,8.83,9.08,880017,0
2017-09-05,9.02,9.13,8.79,8.91,789610,0
2017-09-06,8.97,8.98,8.8,8.93,648485,0
2017-09-07,8.95,8.99,8.85,8.9,814612,0
2017-09-08,8.87,9,8.815,8.95,1088651,0
2017-09-11,9.04,9.15,8.96,9.14,581467,0
2017-09-12,9.18,9.318,9.09,9.23,765640,0
2017-09-13,9.19,9.51,9.17,9.45,1254889,0
2017-09-14,9.4,9.49,9.28,9.45,1237859,0
2017-09-15,9.49,9.7,9.34,9.65,1460624,0
2017-09-18,9.69,10.02,9.65,9.98,1019414,0
2017-09-19,10.07,10.07,9.79,9.9,924034,0
2017-09-20,9.93,9.9437,9.61,9.81,1446179,0
2017-09-21,9.8,9.92,9.65,9.87,1469627,0
2017-09-22,9.82,10.09,9.77,10.06,908393,0
2017-09-25,9.97,10.06,9.74,9.94,1897987,0
2017-09-26,10.02,10.15,9.905,10.08,1431745,0
2017-09-27,10.19,10.445,10.06,10.3,1524237,0
2017-09-28,10.3,10.59,10.17,10.55,1180323,0
2017-09-29,10.59,10.63,10.34,10.55,1446279,0
2017-10-02,10.6,10.76,10.55,10.65,643831,0
