Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,27.381,27.761,26.813,27.528,41469,0
2017-01-04,27.4,27.86,27.302,27.714,41051,0
2017-01-05,27.538,27.64,27.372,27.585,33430,0
2017-01-06,27.558,27.694,27.382,27.548,37318,0
2017-01-09,27.488,27.567,27.332,27.538,26309,0
2017-01-10,27.449,28.251,27.449,28.153,39287,0
2017-01-11,28.085,28.32,27.967,28.29,33145,0
2017-01-12,28.271,28.321,27.943,28.232,24899,0
2017-01-13,28.31,28.642,28.153,28.32,60956,0
2017-01-17,28.359,28.379,27.635,27.714,32613,0
2017-01-18,27.811,27.811,27.293,27.429,17807,0
2017-01-19,27.372,27.439,27.049,27.077,14939,0
2017-01-20,26.98,27.176,26.745,26.911,68918,0
2017-01-23,26.901,26.901,26.013,26.013,38934,0
2017-01-24,26.206,26.235,25.747,26.089,37777,0
2017-01-25,26.169,26.402,26.169,26.325,19323,0
2017-01-26,28.28,28.28,26.226,26.794,21052,0
2017-01-27,27.126,27.126,26.521,26.725,24293,0
2017-01-30,26.568,26.568,26.069,26.069,26981,0
2017-01-31,26.013,26.235,25.787,26.099,16303,0
2017-02-01,26.685,26.945,25.982,26.316,48281,0
2017-02-02,26.079,26.246,25.825,26.079,58385,0
2017-02-03,26.336,26.66,25.972,26.562,29781,0
2017-02-06,26.316,26.719,26.039,26.049,37368,0
2017-02-07,25.547,26.256,25.441,25.932,19810,0
2017-02-08,25.765,25.853,25.538,25.558,25428,0
2017-02-09,25.676,26.054,25.676,25.962,13980,0
2017-02-10,26.149,26.189,25.892,26.159,38279,0
2017-02-13,26.069,26.552,26.049,26.533,30595,0
2017-02-14,26.552,26.911,26.385,26.817,27847,0
2017-02-15,26.68,26.857,26.562,26.7,17743,0
2017-02-16,26.583,27.103,26.583,26.837,18560,0
2017-02-17,26.906,27.083,26.749,27.053,21513,0
2017-02-21,27.034,27.427,26.99,27.319,17310,0
2017-02-22,27.299,27.506,27.172,27.309,28893,0
2017-02-23,27.496,27.496,27.064,27.369,15757,0
2017-02-24,27.309,27.545,26.802,27.014,18889,0
2017-02-27,27.083,27.172,26.877,27.142,27981,0
2017-02-28,26.916,27.369,26.827,27.162,25626,0
2017-03-01,27.546,27.973,27.378,27.624,20347,0
2017-03-02,27.28,27.659,26.886,26.955,17497,0
2017-03-03,26.955,26.955,26.366,26.7,16966,0
2017-03-06,26.473,26.61,26.366,26.433,17227,0
2017-03-07,26.356,26.483,26.356,26.433,24419,0
2017-03-08,26.693,26.839,26.413,26.483,17738,0
2017-03-09,26.955,27.088,26.483,26.63,20690,0
2017-03-10,26.63,26.842,26.198,26.483,28535,0
2017-03-13,26.817,26.985,26.375,26.67,11956,0
2017-03-14,26.15,26.734,25.893,26.552,18900,0
2017-03-15,26.847,27.407,26.198,26.483,33176,0
2017-03-16,26.483,26.562,26.266,26.404,13512,0
2017-03-17,26.336,26.758,26.296,26.63,47545,0
2017-03-20,26.542,26.64,26.336,26.533,21109,0
2017-03-21,26.413,26.945,26.189,26.366,51959,0
2017-03-22,26.345,26.443,26.002,26.316,34460,0
2017-03-23,26.316,27.703,26.31,27.457,78378,0
2017-03-24,27.762,28.086,27.659,27.978,57956,0
2017-03-27,28.037,28.362,27.752,28.352,37956,0
2017-03-28,28.727,32.641,28.401,29.021,30242,0
2017-03-29,29.377,29.383,28.577,29.031,25163,0
2017-03-30,29.664,29.687,29.417,29.634,36487,0
2017-03-31,29.634,30.119,29.535,29.683,59499,0
2017-04-03,31.256,32.334,29.441,30.158,91550,0
2017-04-04,30.123,30.158,29.683,30.119,58060,0
2017-04-05,30.474,30.474,28.547,28.577,63736,0
2017-04-06,28.715,28.725,28.181,28.24,117270,0
2017-04-07,28.191,28.379,28.037,28.359,34456,0
2017-04-10,28.359,28.4,27.567,27.706,54617,0
2017-04-11,27.676,28.181,27.548,28.181,43890,0
2017-04-12,28.269,28.269,27.607,27.775,36553,0
2017-04-13,27.666,27.716,27.192,27.231,54555,0
2017-04-17,27.261,27.35,27.053,27.251,88927,0
2017-04-18,27.034,27.261,27.034,27.241,36558,0
2017-04-19,27.291,27.469,27.073,27.241,40316,0
2017-04-20,27.192,27.874,27.192,27.805,35362,0
2017-04-21,28.032,28.72,27.993,28.111,57977,0
2017-04-24,28.389,29.011,28.389,28.695,44768,0
2017-04-25,28.893,29.159,28.023,28.211,64161,0
2017-04-26,28.111,29.071,27.983,28.843,37096,0
2017-04-27,28.951,28.951,28.457,28.477,24313,0
2017-04-28,28.586,28.715,27.913,28.013,64478,0
2017-05-01,28.24,28.329,27.785,28.111,33196,0
2017-05-02,28.131,28.507,28.022,28.299,54809,0
2017-05-03,28.417,28.547,28.072,28.279,54940,0
2017-05-04,28.417,28.417,28.091,28.309,36121,0
2017-05-05,28.398,28.763,28.23,28.517,41689,0
2017-05-08,28.398,28.981,28.24,28.981,44000,0
2017-05-09,29.001,29.091,28.487,28.813,74181,0
2017-05-10,28.773,28.833,28.249,28.467,26609,0
2017-05-11,28.408,28.471,27.923,28.121,57531,0
2017-05-12,28.081,28.081,27.459,27.686,32204,0
2017-05-15,27.805,28.042,27.805,27.983,25937,0
2017-05-16,28.032,28.24,27.785,28.141,39569,0
2017-05-17,27.686,27.933,27.288,27.647,47847,0
2017-05-18,27.488,28.121,27.488,27.785,39624,0
2017-05-19,27.775,28.052,27.429,27.439,39280,0
2017-05-22,27.686,28.101,27.587,28.052,29761,0
2017-05-23,28.081,28.427,27.785,28.24,32646,0
2017-05-24,28.279,28.379,28.032,28.151,20343,0
