Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,110.84,111.15,110.22,110.83,848370,0
2017-01-04,111.18,112.29,110.94,112.06,973152,0
2017-01-05,111.72,112.31,111.06,112.23,801123,0
2017-01-06,112.72,113.58,112.3,113.1,649194,0
2017-01-09,112.66,113.01,112.15,112.15,735268,0
2017-01-10,112.13,112.57,111.26,111.38,853560,0
2017-01-11,111.14,111.65,110.42,111.42,1091506,0
2017-01-12,110.8,111.54,110.23,111.42,703057,0
2017-01-13,111.79,112.56,111.79,112.04,605181,0
2017-01-17,111.53,112.82,111,112.37,911571,0
2017-01-18,112.75,112.98,111.99,112.8,971001,0
2017-01-19,113.07,113.74,111,111.03,2004701,0
2017-01-20,111.25,111.45,110.1,110.82,1597615,0
2017-01-23,110.74,111.12,110.08,110.47,772099,0
2017-01-24,111.01,111.47,110.59,110.96,1265433,0
2017-01-25,111.75,112.16,110.87,111.59,1376544,0
2017-01-26,111.69,112.04,111.34,111.7,940823,0
2017-01-27,111.93,112.14,111.14,112.14,863851,0
2017-01-30,111.93,111.93,109.99,111.15,883357,0
2017-01-31,111.02,111.79,110.58,111.78,1209183,0
2017-02-01,111.83,111.87,110.12,110.27,1765193,0
2017-02-02,109.7,111.59,108.93,111.56,1345583,0
2017-02-03,111.86,113.3,111.28,113.14,1438321,0
2017-02-06,112.35,113.45,112.1,113.16,789403,0
2017-02-07,113.68,113.71,113.1,113.32,815374,0
2017-02-08,112.79,113.5,112.3,113.43,758955,0
2017-02-09,113.64,114.26,113.37,114.23,1036869,0
2017-02-10,116.43,116.81,113.08,114.64,1223316,0
2017-02-13,114.58,115.21,114.34,114.92,958006,0
2017-02-14,115.05,115.09,114.03,114.9,799571,0
2017-02-15,114.79,115.75,114.36,115.61,745799,0
2017-02-16,115.75,116.41,115.5,116.33,725343,0
2017-02-17,115.94,116.69,114.95,116.58,970710,0
2017-02-21,116.43,116.85,114.28,114.62,1483178,0
2017-02-22,114.66,115.48,113.99,114.65,1100011,0
2017-02-23,114.9,115.53,114.62,115.24,905614,0
2017-02-24,114.22,115.61,114.22,115.61,718511,0
2017-02-27,115.87,116.23,115.07,115.42,498244,0
2017-02-28,115.17,115.38,114.39,114.7,1222373,0
2017-03-01,116.55,116.94,115.5,116.56,924530,0
2017-03-02,116.6,116.71,115.38,115.51,790297,0
2017-03-03,115.42,115.84,115.06,115.53,768653,0
2017-03-06,114.85,115.65,114.71,114.76,735539,0
2017-03-07,114.57,115.04,114.1,114.59,780412,0
2017-03-08,115.05,115.26,114.02,114.67,1054785,0
2017-03-09,114.81,115.84,114.55,115.38,1184889,0
2017-03-10,115.65,117,115.35,116.91,1505630,0
2017-03-13,117.05,118.08,117.05,117.97,1508481,0
2017-03-14,117.74,117.91,117.18,117.45,788941,0
2017-03-15,117.53,118.2,117.23,118.05,1259022,0
2017-03-16,118.03,118.44,117.58,118.27,968637,0
2017-03-17,118.57,118.9,117.79,117.94,1213108,0
2017-03-20,117.85,118,117.05,117.23,742341,0
2017-03-21,117.98,117.98,116.25,116.62,1152870,0
2017-03-22,116.56,117.1,116.12,116.76,900628,0
2017-03-23,116.73,117.49,116.37,116.53,848848,0
2017-03-24,116.73,117.22,116.13,116.59,814210,0
2017-03-27,115.46,117.5,115.1,117.24,1141659,0
2017-03-28,116.93,118.37,116.8,117.91,1023026,0
2017-03-29,117.42,117.88,116.74,116.81,698326,0
2017-03-30,116.53,117.68,116.05,117.51,1051166,0
2017-03-31,116.93,118.05,116.79,117.72,1193506,0
2017-04-03,117.62,118.03,116.74,117.37,1202690,0
2017-04-04,117.18,117.95,116.46,117.93,934918,0
