Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,9.88,9.88,9.82,9.85,5476,0
2017-01-04,9.9,9.9,9.88,9.8999,12802,0
2017-01-05,9.92,9.967,9.92,9.95,7732,0
2017-01-06,9.93,9.97,9.93,9.94,12457,0
2017-01-09,9.96,10.0298,9.95,10.02,15169,0
2017-01-10,10.02,10.08,10.01,10.08,18871,0
2017-01-11,10.13,10.16,10.1,10.16,8499,0
2017-01-12,10.18,10.1901,10.11,10.15,5501,0
2017-01-13,10.19,10.19,10.13,10.15,4634,0
2017-01-17,10.15,10.18,10.15,10.16,1960,0
2017-01-18,10.2201,10.223,10.18,10.18,6005,0
2017-01-19,10.1495,10.2099,10.1495,10.2099,4570,0
2017-01-20,10.1206,10.2,10.1206,10.19,7069,0
2017-01-23,10.19,10.23,10.19,10.23,4242,0
2017-01-24,10.36,10.36,10.28,10.31,7168,0
2017-01-25,10.3904,10.414,10.38,10.38,6386,0
2017-01-26,10.2,10.5,10.2,10.37,39709,0
2017-01-27,10.38,10.39,10.357,10.37,7388,0
2017-01-30,10.32,10.36,10.32,10.35,3950,0
2017-01-31,10.32,10.4104,10.3,10.36,19535,0
2017-02-01,10.36,10.4099,10.33,10.38,4756,0
2017-02-02,10.46,10.46,10.42,10.42,450,0
2017-02-03,10.43,10.45,10.43,10.4367,4806,0
2017-02-06,10.45,10.5099,10.45,10.47,10118,0
2017-02-07,10.58,10.58,10.47,10.49,11882,0
2017-02-08,10.49,10.63,10.46,10.6299,12266,0
2017-02-09,10.65,10.73,10.65,10.69,6262,0
2017-02-10,10.67,10.7199,10.67,10.7,5368,0
2017-02-13,10.7499,10.77,10.71,10.71,9211,0
2017-02-14,10.73,10.75,10.69,10.75,10438,0
2017-02-15,10.75,10.83,10.75,10.83,3128,0
2017-02-16,10.74,10.7829,10.74,10.7829,2328,0
2017-02-17,10.71,10.72,10.7,10.72,1921,0
2017-02-21,10.803,10.803,10.75,10.777,1735,0
2017-02-22,10.77,10.8099,10.77,10.8099,9304,0
2017-02-23,10.83,10.84,10.81,10.82,13210,0
2017-02-24,10.77,10.79,10.77,10.79,404,0
2017-02-27,10.77,10.7989,10.7699,10.7699,4268,0
2017-02-28,10.75,10.77,10.7108,10.7108,3636,0
2017-03-01,10.7806,10.8379,10.7806,10.8185,2352,0
2017-03-02,10.74,10.74,10.691,10.72,5476,0
2017-03-03,10.67,10.7199,10.67,10.7189,4286,0
2017-03-06,10.68,10.7,10.6409,10.68,4996,0
2017-03-07,10.73,10.76,10.71,10.71,4901,0
2017-03-08,10.667,10.75,10.667,10.75,2366,0
2017-03-09,10.68,10.7,10.6,10.65,12740,0
2017-03-10,10.66,10.7,10.66,10.69,4097,0
2017-03-13,10.68,10.79,10.68,10.75,15575,0
2017-03-14,10.83,10.83,10.74,10.74,8651,0
2017-03-15,10.77,10.99,10.77,10.99,4349,0
2017-03-16,11.03,11.1,11.03,11.07,5046,0
2017-03-17,11.05,11.06,11.03,11.04,7282,0
2017-03-20,11.1386,11.14,11.133,11.14,709,0
2017-03-21,11.16,11.17,11.04,11.04,13680,0
2017-03-22,10.96,12.25,10.96,12.14,289431,0
2017-03-23,12.1,12.2,12.09,12.1,66606,0
2017-03-24,12.03,12.35,12.01,12.16,13959,0
2017-03-27,12.07,12.2899,12.03,12.082,7324,0
2017-03-28,12.12,12.25,12.12,12.25,14446,0
2017-03-29,12.2089,12.23,12.1806,12.2,6755,0
2017-03-30,12.16,12.2,12.135,12.16,15535,0
2017-03-31,12.04,12.23,11.61,12.23,18734,0
2017-04-03,12.19,12.2,12.05,12.18,12486,0
2017-04-04,12.1,12.1799,12.1,12.1799,9461,0
2017-04-05,12.16,12.2,12.1254,12.15,9740,0
2017-04-06,12.11,12.15,12.1,12.15,6416,0
2017-04-07,11.99,12.2,11.99,12.19,18639,0
2017-04-10,12.19,12.23,12.16,12.217,8881,0
2017-04-11,12.08,12.21,12.08,12.17,3833,0
2017-04-12,12.2294,12.25,12.2211,12.2211,3347,0
2017-04-13,12.2,12.3,12.2,12.25,5193,0
2017-04-17,12.3,12.32,12.3,12.32,3626,0
2017-04-18,12.16,12.23,12.14,12.22,4627,0
2017-04-19,12.22,12.22,12.05,12.13,12008,0
2017-04-20,12.22,12.2608,12.22,12.2608,3171,0
2017-04-21,12.22,12.22,12.05,12.05,608,0
2017-04-24,12.12,12.17,12.12,12.15,12485,0
2017-04-25,12.19,12.27,12.19,12.23,6578,0
2017-04-26,12.28,12.28,12.23,12.2394,11861,0
2017-04-27,12.24,12.25,12.22,12.2289,9873,0
2017-04-28,12.2242,12.26,12.2242,12.26,2800,0
2017-05-01,12.31,12.31,12.26,12.26,6596,0
