Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,13.73,13.73,13.5402,13.65,10427,0
2017-01-04,13.7,13.72,13.67,13.7199,54069,0
2017-01-05,13.72,13.7601,13.72,13.7601,42508,0
2017-01-06,13.78,13.85,13.78,13.84,1847,0
2017-01-09,13.86,13.955,13.8524,13.955,4047,0
2017-01-10,14.05,14.15,13.9,13.96,13344,0
2017-01-11,13.93,14.08,13.85,14.08,10543,0
2017-01-12,14.08,14.1,13.99,14.1,3724,0
2017-01-13,14.02,14.15,14.02,14.07,9543,0
2017-01-17,13.95,14.0599,13.95,14.03,7133,0
2017-01-18,14.03,14.04,13.96,14,7553,0
2017-01-19,13.96,14.02,13.95,13.99,2347,0
2017-01-20,14.06,14.08,13.98,14.05,7021,0
2017-01-23,14.09,14.12,14.0148,14.1,8392,0
2017-01-24,14.06,14.12,14.04,14.12,12578,0
2017-01-25,14.1,14.23,14.0999,14.23,70512,0
2017-01-26,14.15,14.32,14.15,14.29,37885,0
2017-01-27,14.3,14.3,14.2,14.26,34580,0
2017-01-30,14.19,14.3,14.15,14.23,10715,0
2017-01-31,14.2,14.29,14.2,14.28,11272,0
2017-02-01,14.3,14.36,14.29,14.3297,23393,0
2017-02-02,14.38,14.38,14.3,14.36,28585,0
2017-02-03,14.41,14.45,14.3301,14.39,24991,0
2017-02-06,14.32,14.43,14.3,14.39,28994,0
2017-02-07,14.42,14.46,14.37,14.38,59335,0
2017-02-08,14.36,14.48,14.36,14.46,84810,0
2017-02-09,14.48,14.55,14.475,14.54,10368,0
2017-02-10,14.55,14.69,14.55,14.67,20362,0
2017-02-13,14.64,14.74,14.64,14.68,8201,0
2017-02-14,14.49,14.68,14.49,14.65,69061,0
2017-02-15,14.59,14.75,14.59,14.68,24454,0
2017-02-16,14.71,14.77,14.6842,14.76,56391,0
2017-02-17,14.73,14.78,14.66,14.69,47827,0
2017-02-21,14.7,14.9,14.6701,14.87,18794,0
2017-02-22,14.81,14.9,14.77,14.9,19955,0
2017-02-23,14.92,15,14.85,15,8504,0
2017-02-24,14.82,14.99,14.76,14.98,16766,0
2017-02-27,14.89,14.89,14.73,14.85,11706,0
2017-02-28,14.82,14.85,14.7739,14.83,34875,0
2017-03-01,14.85,14.9872,14.84,14.9686,5641,0
2017-03-02,14.82,14.82,14.7,14.7,8451,0
2017-03-03,14.77,14.77,14.58,14.64,10951,0
2017-03-06,14.65,14.65,14.54,14.61,16503,0
2017-03-07,14.6,14.72,14.58,14.7,80989,0
2017-03-08,14.73,14.73,14.69,14.69,2656,0
2017-03-09,14.7,14.7,14.46,14.49,7204,0
