Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,4.49,4.977,4.451,4.851,36644,0
2017-01-04,5.5,5.5,4.8,5.075,54040,0
2017-01-05,5,5,4.6,4.7,31964,0
2017-01-06,4.8,5.15,4.7,4.85,20849,0
2017-01-09,5.1,5.1,4.75,4.824,22707,0
2017-01-10,4.95,5.1,4.801,4.9,37853,0
2017-01-11,5,5.1,4.7,4.75,24058,0
2017-01-12,4.85,5.55,4.6,5.399,104341,0
2017-01-13,6.369,6.8,5.1,5.1,294636,0
2017-01-17,5.45,5.45,4.7,4.7,58468,0
2017-01-18,4.7,4.896,4.61,4.61,46232,0
2017-01-19,4.7,4.78,4.611,4.62,35566,0
2017-01-20,4.6,4.799,4.41,4.75,37935,0
2017-01-23,4.8,4.899,4.652,4.734,13315,0
2017-01-24,4.799,4.829,4.509,4.615,11969,0
2017-01-25,4.75,4.8,4.615,4.63,7727,0
2017-01-26,4.77,4.799,4.68,4.707,8711,0
2017-01-27,4.74,4.74,4.638,4.659,9908,0
2017-01-30,4.8,4.8,4.506,4.634,18203,0
2017-01-31,4.7,4.7,4.506,4.521,14206,0
2017-02-01,4.53,4.599,4.205,4.499,22284,0
2017-02-02,4.302,4.42,4.2,4.3,23661,0
2017-02-03,4.349,5.102,4.2,4.971,110966,0
2017-02-06,5.2,5.2,4.5,4.65,30092,0
2017-02-07,4.85,5.2,4.699,5.1,82222,0
2017-02-08,5.2,6.8,5.1,5.4,377942,0
2017-02-09,5,5.338,4.676,5.2,67358,0
2017-02-10,5.35,5.399,4.9,5.3,17734,0
2017-02-13,5.45,5.5,5,5.123,20011,0
2017-02-14,5.35,5.35,5,5.181,17550,0
2017-02-15,5.2,5.3,4.9,5,21502,0
2017-02-16,5.2,5.298,4.801,4.895,12432,0
2017-02-17,4.9,5.3,4.71,5.3,40309,0
2017-02-21,5.25,5.4,4.822,5.1,15240,0
2017-02-22,4.85,5.163,4.8,5.025,18760,0
2017-02-23,5.8,5.8,4.9,4.91,13251,0
2017-02-24,4.95,4.963,4.7,4.825,13727,0
2017-02-27,4.65,5.1,4.65,5.1,24914,0
2017-02-28,5.1,5.1,4.802,4.9,6794,0
2017-03-01,5,5,4.8,4.81,3283,0
2017-03-02,4.9,5.012,4.85,4.9,9327,0
2017-03-03,4.999,5.05,4.85,5.05,8896,0
2017-03-06,5.25,5.25,5,5.1,6384,0
2017-03-07,5.102,5.15,5.05,5.089,10403,0
2017-03-08,5.1,5.152,4.901,5.001,11964,0
2017-03-09,4.908,4.908,4.5,4.51,43005,0
2017-03-10,4.65,4.8,4.5,4.75,27091,0
2017-03-13,4.7,4.911,4.7,4.801,8994,0
2017-03-14,4.95,5.4,4.801,5.1,54783,0
2017-03-15,5.2,5.2,4.75,4.75,14455,0
2017-03-16,4.8,4.946,4.6,4.898,9206,0
2017-03-17,4.898,5.15,4.69,5.15,7972,0
2017-03-20,5.15,5.25,4.71,4.92,19314,0
2017-03-21,5,5,4.725,4.725,7068,0
2017-03-22,4.85,5.2,4.7,4.8,13793,0
2017-03-23,4.9,4.956,4.8,4.899,3291,0
2017-03-24,4.901,4.97,4.799,4.9,2445,0
2017-03-27,5,5.2,4.8,4.854,10055,0
2017-03-28,4.8,4.9,4.4,4.6,48961,0
2017-03-29,4.406,4.604,4.191,4.238,36727,0
2017-03-30,4.3,4.398,4.221,4.336,8342,0
2017-03-31,4.339,4.35,4.22,4.299,5913,0
2017-04-03,4.3,4.3,4,4.02,12715,0
2017-04-04,4.04,4.282,4,4.15,14522,0
2017-04-05,4.25,4.25,4.005,4.15,3885,0
2017-04-06,4.195,4.195,3.5,3.785,28862,0
2017-04-07,3.7,3.719,3.2,3.6,23070,0
2017-04-10,3.6,3.83,3.45,3.77,22451,0
2017-04-11,3.6,3.78,3.5,3.53,26280,0
2017-04-12,3.65,3.65,3.3,3.57,13367,0
2017-04-13,3.7,3.7,3.464,3.515,4344,0
2017-04-17,4.3,4.615,3.333,3.5,270661,0
2017-04-18,3.3,3.33,3.017,3.14,46780,0
2017-04-19,3.252,3.252,3.022,3.148,30100,0
2017-04-20,3.024,3.179,3.024,3.099,31821,0
2017-04-21,3.095,3.3,3.026,3.226,16591,0
2017-04-24,3.267,3.77,3.24,3.54,51408,0
2017-04-25,4,5,3.15,3.25,1020728,0
2017-04-26,3.15,3.15,2.72,3.071,156092,0
2017-04-27,3.01,3.02,2.85,2.87,81489,0
2017-04-28,2.85,3.07,2.51,2.65,307583,0
2017-05-01,2.58,3.89,2.39,2.42,1252882,0
2017-05-02,2.42,2.42,1.72,1.98,588239,0
2017-05-03,1.82,1.9799,1.72,1.78,338631,0
2017-05-04,2.25,4.88,2.17,2.9,10817400,0
2017-05-05,1.25,1.25,1.16,1.2,5645845,0
2017-05-08,1.23,1.27,1.11,1.21,1372016,0
2017-05-09,1.2,1.22,1.18,1.19,800629,0
2017-05-10,1.18,1.18,1.08,1.14,708204,0
2017-05-11,1.13,1.3,1.09,1.11,2654819,0
2017-05-12,1.1,1.12,0.9,1.04,1553543,0
2017-05-15,1.03,1.04,0.9618,1.04,517579,0
2017-05-16,0.98,0.9874,0.85,0.8857,924411,0
2017-05-17,0.89,0.8901,0.801,0.8725,657950,0
2017-05-18,0.9,0.9,0.81,0.85,390798,0
2017-05-19,0.84,0.95,0.831,0.95,542389,0
2017-05-22,0.91,0.91,0.8403,0.86,316229,0
2017-05-23,0.88,0.8983,0.83,0.8451,158885,0
2017-05-24,0.87,0.87,0.7806,0.805,276352,0
2017-05-25,0.8,0.8,0.73,0.7601,422968,0
2017-05-26,0.76,0.8201,0.76,0.8,335617,0
2017-05-30,0.77,0.79,0.72,0.745,192537,0
2017-05-31,0.745,0.75,0.721,0.735,165114,0
2017-06-01,0.765,0.795,0.7401,0.755,138803,0
2017-06-02,0.76,0.8,0.75,0.766,141421,0
2017-06-05,0.79,0.799,0.74,0.76,242459,0
2017-06-06,0.7787,0.8599,0.7241,0.79,826425,0
2017-06-07,0.82,0.82,0.71,0.731,372470,0
2017-06-08,0.73,0.7396,0.702,0.7131,85227,0
2017-06-09,0.71,0.727,0.67,0.72,379509,0
2017-06-12,0.72,0.849,0.69,0.84,1523853,0
2017-06-13,0.86,0.8699,0.782,0.8052,574052,0
2017-06-14,0.81,0.8101,0.7618,0.7896,163218,0
2017-06-15,0.83,0.84,0.7506,0.7506,172005,0
2017-06-16,0.76,0.78,0.75,0.7604,84122,0
2017-06-19,0.81,0.96,0.78,0.8001,678724,0
2017-06-20,0.8,0.85,0.78,0.84,174789,0
2017-06-21,0.84,0.84,0.81,0.8296,102765,0
2017-06-22,0.812,0.9299,0.8002,0.8905,546121,0
2017-06-23,0.925,0.925,0.8201,0.8555,232423,0
2017-06-26,0.85,0.85,0.8022,0.83,224945,0
2017-06-27,0.86,0.8699,0.8012,0.845,183550,0
2017-06-28,0.845,0.855,0.825,0.83,126487,0
2017-06-29,0.8399,0.85,0.7501,0.76,431022,0
2017-06-30,0.79,0.82,0.77,0.7796,293630,0
2017-07-03,0.79,0.84,0.785,0.8114,116546,0
2017-07-05,0.84,0.92,0.78,0.88,486825,0
2017-07-06,0.881,1.2,0.88,1.18,9880651,0
2017-07-07,1.13,1.13,0.9099,0.9501,3890536,0
2017-07-10,0.95,0.96,0.85,0.92,382801,0
2017-07-11,0.9109,1.09,0.8405,1.07,1662765,0
2017-07-12,1.02,1.02,0.92,0.9997,821251,0
2017-07-13,1,1,0.93,0.96,248014,0
2017-07-14,0.96,0.98,0.93,0.9654,162027,0
2017-07-17,0.9635,0.9635,0.93,0.9595,204397,0
2017-07-18,0.92,1.06,0.91,1.01,1206356,0
2017-07-19,0.98,1.1,0.9412,1.02,1877938,0
2017-07-20,1.04,1.1,0.9626,1.0286,985265,0
2017-07-21,1.01,1.1,1,1.075,731603,0
2017-07-24,1.09,1.26,1.04,1.05,4334224,0
2017-07-25,1.07,1.11,0.97,0.9818,910808,0
2017-07-26,1,1,0.9201,0.9312,500943,0
2017-07-27,0.93,0.94,0.8602,0.8699,562788,0
2017-07-28,0.87,0.89,0.851,0.8599,200358,0
2017-07-31,0.87,0.9389,0.87,0.9139,171289,0
2017-08-01,0.95,0.95,0.8752,0.9124,189217,0
2017-08-02,0.9249,0.95,0.92,0.93,169718,0
2017-08-03,0.93,0.93,0.862,0.8983,228800,0
