Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,4.45,4.65,4.45,4.45,37403,0
2017-01-04,4.45,4.65,4.45,4.55,36394,0
2017-01-05,4.55,4.7,4.55,4.7,31330,0
2017-01-06,4.65,4.7,4.5,4.55,17916,0
2017-01-09,4.6,4.7,4.35,4.35,16191,0
2017-01-10,4.45,4.55,4.35,4.35,16126,0
2017-01-11,4.35,4.45,4.25,4.4,16079,0
2017-01-12,4.4,4.5,4.4,4.45,7134,0
2017-01-13,4.55,4.55,4.35,4.5,11216,0
2017-01-17,4.45,4.45,4.3406,4.35,18736,0
2017-01-18,4.4,4.75,4.35,4.6,29067,0
2017-01-19,4.7,4.975,4.6,4.75,56008,0
2017-01-20,4.8,4.8,4.55,4.55,29792,0
2017-01-23,4.6,4.65,4.4,4.55,24901,0
2017-01-24,4.65,4.65,4.45,4.45,14707,0
2017-01-25,4.45,4.65,4.4,4.55,24912,0
2017-01-26,4.65,4.75,4.55,4.55,50106,0
2017-01-27,4.5,4.6,4.45,4.45,9469,0
2017-01-30,4.45,4.45,4.15,4.35,35585,0
2017-01-31,4.5,4.6,4.3,4.4,44970,0
2017-02-01,4.5,4.65,4.3,4.4,9155,0
2017-02-02,4.4,4.45,4.3,4.45,28232,0
2017-02-03,4.45,4.5,4.35,4.5,31319,0
2017-02-06,4.5,4.5,4.35,4.4,9642,0
2017-02-07,4.35,4.45,4.35,4.45,33982,0
2017-02-08,4.45,4.55,4.3,4.5,46242,0
2017-02-09,4.55,4.65,4.55,4.6,24640,0
2017-02-10,4.75,4.85,4.35,4.4,22879,0
2017-02-13,4.5,4.55,4.3,4.45,28289,0
2017-02-14,4.5,4.5,4.4,4.5,8415,0
2017-02-15,4.55,4.6,4.3,4.45,24632,0
2017-02-16,4.4,4.45,4.35,4.35,8012,0
2017-02-17,4.35,4.45,4.3,4.4,19451,0
2017-02-21,4.4,4.4,4.35,4.35,24932,0
2017-02-22,4.25,4.3631,4.25,4.3,16919,0
2017-02-23,4.3,4.35,4.25,4.35,15175,0
2017-02-24,4.35,4.45,4.3,4.35,40550,0
2017-02-27,4.4,4.5,4.375,4.5,19659,0
2017-02-28,4.5,4.5,4.35,4.35,11365,0
2017-03-01,4.4,4.5,4.4,4.4,2713,0
2017-03-02,4.4,4.4,4.3,4.4,11146,0
2017-03-03,4.35,4.4,4.3,4.35,9682,0
2017-03-06,4.3,4.4,4.3,4.4,15016,0
2017-03-07,4.35,4.4,4.35,4.35,12361,0
2017-03-08,4.4,4.4,4.35,4.4,11754,0
2017-03-09,4.35,4.35,4.05,4.3,40043,0
2017-03-10,4.3,4.3,4.25,4.25,2234,0
2017-03-13,4.25,4.3,4.1057,4.3,14889,0
2017-03-14,4.25,4.3,4.2,4.2,12860,0
2017-03-15,4.25,4.3,4.2,4.2,56841,0
2017-03-16,4.15,4.25,4.15,4.2,59780,0
2017-03-17,4.25,4.25,4.1,4.15,16480,0
2017-03-20,4.1,4.2,4.1,4.15,10798,0
2017-03-21,4.1,4.2,4,4.15,29951,0
2017-03-22,4.1,4.2,4,4.2,12336,0
2017-03-23,4.2,4.2,4.05,4.2,3433,0
2017-03-24,4.1,4.15,4.05,4.1,54910,0
2017-03-27,4.05,4.2,4.05,4.15,15315,0
