Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,53.46,53.475,52.367,52.839,1038676,0
2017-01-04,53.106,53.97,52.766,53.732,1483671,0
2017-01-05,53.524,53.98,53.344,53.96,950133,0
2017-01-06,53.888,54.32,53.655,54.126,428253,0
2017-01-09,53.912,54.039,53.538,53.674,696550,0
2017-01-10,53.908,54.15,53.451,53.713,614522,0
2017-01-11,53.679,53.718,53.29,53.708,695827,0
2017-01-12,53.752,53.824,53.092,53.742,770413,0
2017-01-13,53.781,54.053,53.359,53.883,1108021,0
2017-01-17,53.552,54.053,52.805,53.723,812597,0
2017-01-18,53.742,54.116,53.329,53.485,786041,0
2017-01-19,53.475,53.601,52.902,53.154,1005489,0
2017-01-20,53.228,53.533,52.989,53.266,767120,0
2017-01-23,53.519,53.772,53.018,53.752,1002065,0
2017-01-24,53.98,55.19,53.305,55.112,1339961,0
2017-01-25,55.063,56.414,54.999,56.404,2153877,0
2017-01-26,56.123,56.458,55.836,56.293,1533509,0
2017-01-27,57.22,58.974,57.22,57.581,2578897,0
2017-01-30,57.046,57.347,56.264,57.284,1782669,0
2017-01-31,57.585,57.983,56.978,57.637,1290105,0
2017-02-01,57.652,58.041,57.123,57.818,1473051,0
2017-02-02,57.647,57.676,56.812,56.953,1071872,0
2017-02-03,57.201,57.72,55.972,57.478,659930,0
2017-02-06,57.245,57.409,56.783,56.973,536371,0
2017-02-07,56.865,57.235,56.691,56.929,588995,0
2017-02-08,56.793,57.032,56.462,56.968,463285,0
2017-02-09,56.997,57.22,56.555,57.089,715342,0
2017-02-10,57.142,57.671,56.909,57.468,486216,0
2017-02-13,57.686,58.644,57.424,58.415,852525,0
2017-02-14,58.304,58.474,57.789,58.338,783275,0
2017-02-15,58.115,58.561,57.891,58.484,835112,0
2017-02-16,58.672,59.047,58.274,58.488,720404,0
2017-02-17,58.313,58.988,58.09,58.984,815404,0
2017-02-21,59.067,59.79,58.984,59.65,1276614,0
2017-02-22,59.431,60.12,59.256,59.542,847748,0
2017-02-23,59.785,59.907,59.101,59.344,653945,0
2017-02-24,58.921,59.198,57.818,59.013,494995,0
2017-02-27,59.057,59.285,58.556,58.775,667776,0
2017-02-28,58.659,58.896,57.877,58.615,630113,0
2017-03-01,59.498,60.042,59.295,59.513,835306,0
2017-03-02,59.081,59.795,59.081,59.275,621679,0
2017-03-03,59.426,59.63,59.001,59.431,567414,0
2017-03-06,58.8,59.216,58.415,58.444,854785,0
2017-03-07,58.576,58.639,57.735,57.929,990019,0
2017-03-08,57.9,58.736,57.818,58.682,960479,0
2017-03-09,58.624,58.862,58.202,58.255,573291,0
2017-03-10,58.805,58.887,58.158,58.58,622922,0
2017-03-13,58.731,59.479,58.464,59.265,597734,0
2017-03-14,59.052,59.334,58.61,59.207,726614,0
2017-03-15,59.717,60.322,59.616,60.072,793873,0
2017-03-16,60.233,60.233,59.464,59.775,1064317,0
2017-03-17,60.047,60.664,59.755,60.412,1077467,0
2017-03-20,60.334,60.334,59.689,59.722,606393,0
2017-03-21,59.873,60.057,58.669,58.731,1077668,0
2017-03-22,58.813,59.216,58.432,59.183,1438076,0
2017-03-23,59.188,59.736,59.025,59.635,495900,0
2017-03-24,59.616,59.984,59.008,59.193,899155,0
2017-03-27,58.352,59.65,58.294,59.562,639044,0
2017-03-28,59.64,60.04,59.28,59.868,1087491,0
2017-03-29,59.829,60.12,59.567,59.956,1256339,0
2017-03-30,60.067,60.285,59.717,60.243,1522716,0
2017-03-31,60.275,60.439,60.081,60.145,1033280,0
2017-04-03,60.324,60.645,59.645,60.179,1321928,0
2017-04-04,60.184,60.65,59.912,60.13,921724,0
2017-04-05,60.155,61.262,60.101,60.485,3057415,0
2017-04-06,60.519,60.713,60.177,60.694,1293708,0
2017-04-07,60.481,61.053,60.417,60.762,478351,0
2017-04-10,60.757,61.384,60.669,61.344,601784,0
2017-04-11,61.208,61.461,60.748,61.262,1500629,0
2017-04-12,61.252,61.252,59.981,60.218,1416259,0
2017-04-13,60.145,60.402,59.344,59.383,911909,0
2017-04-17,59.873,60.859,59.873,60.586,2224263,0
2017-04-18,60.275,60.701,59.966,60.228,2083579,0
2017-04-19,60.481,60.76,60.358,60.441,1047901,0
2017-04-20,60.81,61.252,60.451,60.961,2109975,0
2017-04-21,61.082,61.164,60.601,60.753,2275508,0
2017-04-24,61.349,61.616,60.859,61.515,1632589,0
2017-04-25,61.782,62.273,61.665,61.967,1564423,0
2017-04-26,61.972,62.098,60.528,60.64,2256446,0
2017-04-27,60.883,60.99,59.839,60.086,1518569,0
2017-04-28,60.013,60.334,59.483,59.993,1375950,0
2017-05-01,60.091,60.5,59.383,59.503,1209221,0
2017-05-02,59.616,59.736,59.023,59.368,2108899,0
2017-05-03,59.091,59.503,58.954,59.062,1362862,0
2017-05-04,59.144,59.396,58.571,59.115,1073647,0
2017-05-05,59.27,60.174,59.159,59.971,1528268,0
2017-05-08,59.844,59.971,59.402,59.77,1419303,0
2017-05-09,59.804,60.548,59.689,59.829,1444969,0
2017-05-10,59.868,60.417,59.809,60.223,1124737,0
2017-05-11,60.106,60.228,59.139,59.339,1751597,0
2017-05-12,59.411,59.464,59.013,59.144,1790322,0
2017-05-15,59.919,63.592,59.839,62.48,7177692,0
2017-05-16,62.57,63.85,62.56,62.858,1984497,0
2017-05-17,62.5,63.244,61.894,62.946,2175841,0
2017-05-18,62.628,63.791,62.252,63.662,2229301,0
2017-05-19,63.552,64.675,63.344,64.545,1506966,0
2017-05-22,64.694,65.011,63.016,63.036,1886487,0
2017-05-23,63.185,64.317,63.096,64.198,1728929,0
2017-05-24,64.079,66.074,64.079,65.855,1645602,0
2017-05-25,65.975,67.027,65.806,66.193,1188322,0
2017-05-26,66.104,66.352,65.499,65.995,708410,0
2017-05-30,65.99,66.458,65.87,66.239,1035390,0
2017-05-31,66.468,66.538,65.591,66.289,1641158,0
2017-06-01,66.637,66.976,66.368,66.966,909281,0
2017-06-02,66.966,67.643,66.856,67.195,678805,0
2017-06-05,66.946,67.165,66.518,66.597,545277,0
2017-06-06,66.408,66.667,65.8,66.209,641684,0
2017-06-07,66.458,66.558,65.721,66.398,693762,0
2017-06-08,66.348,66.627,65.731,66.548,449607,0
2017-06-09,66.647,67.374,66.558,66.956,490876,0
2017-06-12,66.787,67.165,65.751,65.96,1380987,0
2017-06-13,66.219,66.528,65.83,66.438,540958,0
2017-06-14,66.458,66.458,65.721,66.408,620381,0
2017-06-15,66,66.418,65.292,65.661,1086494,0
2017-06-16,65.551,66.468,65.352,66.179,2403219,0
2017-06-19,66.229,67.115,66.159,66.747,666585,0
2017-06-20,66.498,67.046,66.01,66.856,723431,0
2017-06-21,66.707,66.777,66.229,66.597,486275,0
2017-06-22,66.627,66.916,66.229,66.408,476266,0
2017-06-23,66.289,67.255,66.089,66.996,749240,0
2017-06-26,67.066,67.554,66.747,66.757,491730,0
2017-06-27,66.946,66.946,66.388,66.488,634412,0
2017-06-28,67.006,67.036,66.189,66.259,1409092,0
2017-06-29,66.408,66.677,65.233,65.701,708227,0
2017-06-30,65.9,65.93,65.392,65.661,1011860,0
2017-07-03,65.87,66.548,65.711,66.03,277130,0
2017-07-05,65.99,66.418,65.442,65.691,1051651,0
2017-07-06,65.571,65.88,64.924,65.253,929487,0
2017-07-07,65.282,66.129,65.103,65.462,535859,0
2017-07-10,65.233,65.681,64.934,65.492,574259,0
2017-07-11,65.631,66.388,65.267,65.621,1047168,0
2017-07-12,65.95,66.747,65.611,65.82,705025,0
2017-07-13,65.82,65.99,65.163,65.302,948766,0
2017-07-14,65.611,65.781,65.342,65.362,532651,0
2017-07-17,65.591,65.711,65.282,65.342,667379,0
2017-07-18,65.272,66.607,64.944,66.139,836610,0
2017-07-19,66.129,66.747,66.129,66.627,656290,0
2017-07-20,66.568,66.657,66.239,66.348,375529,0
2017-07-21,66.279,66.687,65.98,66.418,355277,0
2017-07-24,66.398,66.468,65.82,66.239,434326,0
2017-07-25,66.647,67.076,66.398,66.757,475338,0
2017-07-26,66.767,66.807,66.109,66.328,288827,0
2017-07-27,66.398,66.418,65.332,65.781,747231,0
2017-07-28,65.651,65.87,64.545,65.213,753206,0
2017-07-31,65.462,65.512,64.376,64.725,900768,0
2017-08-01,64.924,65.512,64.316,64.575,1080094,0
2017-08-02,65.661,65.661,62.588,63.17,1349903,0
2017-08-03,63.3,63.32,61.746,62.533,1125944,0
2017-08-04,62.752,63.419,62.732,63.24,695612,0
2017-08-07,63.28,63.599,63.041,63.17,734270,0
2017-08-08,62.931,63.21,61.935,62.055,623778,0
2017-08-09,61.836,62.194,60.979,61.128,829709,0
2017-08-10,60.72,61.138,60.59,60.839,939065,0
2017-08-11,60.66,61.019,59.575,60.59,1336088,0
2017-08-14,61.019,61.188,60.75,60.969,595905,0
2017-08-15,60.909,61.676,60.271,60.919,645705,0
2017-08-16,61.019,61.806,61.019,61.327,738500,0
2017-08-17,61.248,61.557,60.56,60.6,470335,0
2017-08-18,60.61,61.123,60.311,60.75,634716,0
2017-08-21,60.66,60.829,60.386,60.66,297622,0
2017-08-22,60.959,61.397,60.839,61.228,299823,0
2017-08-23,60.789,61.576,60.789,61.367,524903,0
2017-08-24,61.467,61.656,61.068,61.088,593195,0
2017-08-25,61.317,61.427,60.949,61.238,594516,0
2017-08-28,61.238,61.397,60.909,61.029,429867,0
2017-08-29,60.62,60.909,60.481,60.65,327370,0
2017-08-30,60.66,60.82,60.28,60.79,848677,0
2017-08-31,61.06,62.13,60.905,62.05,626889,0
2017-09-01,62.23,62.33,61.62,62.3,667798,0
2017-09-05,62.03,62.27,61.36,61.41,498931,0
2017-09-06,61.63,61.63,60.98,61.35,456357,0
2017-09-07,61.4,61.57,60.93,61.32,460477,0
2017-09-08,61.26,61.88,61.08,61.67,573018,0
2017-09-11,62.06,63.58,61.74,63.57,797843,0
2017-09-12,63.69,64.22,63.485,63.66,463799,0
2017-09-13,63.65,64.05,63.14,63.65,623453,0
2017-09-14,63.53,63.88,63.45,63.54,554276,0
2017-09-15,63.51,64.08,63.47,64.02,655961,0
2017-09-18,64.02,64.74,63.86,64.74,397946,0
2017-09-19,64.79,64.82,63.98,64.18,459719,0
2017-09-20,64.4,64.48,63.92,64.02,274216,0
2017-09-21,64.22,64.575,63.91,64.22,1069886,0
2017-09-22,64.1,64.76,64.08,64.17,231512,0
2017-09-25,64.24,64.5,64.14,64.26,245124,0
2017-09-26,64.71,65.21,64.33,65.01,548840,0
2017-09-27,65.21,65.47,65.04,65.39,435297,0
2017-09-28,65.32,66.02,65.1501,65.6,536841,0
2017-09-29,65.61,65.99,65.19,65.39,463476,0
2017-10-02,65.41,65.83,65.41,65.7,759669,0
2017-10-03,65.94,67.08,65.84,67.05,827360,0
2017-10-04,67.15,67.56,66.815,67,433948,0
2017-10-05,67.2,67.55,66.95,67,473117,0
2017-10-06,66.72,67.3,66,66.83,596136,0
2017-10-09,66.99,67.1,66.46,66.46,277694,0
2017-10-10,66.62,66.62,66,66.15,322563,0
2017-10-11,66.2,66.24,65.76,65.98,449930,0
2017-10-12,65.85,66.18,65.72,65.92,374732,0
2017-10-13,66.15,66.95,65.85,66.46,500878,0
2017-10-16,66.54,67.25,66.475,66.96,665623,0
2017-10-17,66.84,66.9875,66.56,66.6,301667,0
2017-10-18,66.76,66.86,66.15,66.2,284876,0
2017-10-19,65.93,66.35,65.59,66.19,230628,0
2017-10-20,66.63,66.99,66.5,66.73,318127,0
2017-10-23,66.78,67.19,66.45,66.85,240661,0
2017-10-24,66.9,67.86,66.9,67.65,404718,0
2017-10-25,67.43,68,67.19,67.68,355572,0
2017-10-26,67.99,68.64,67.5401,68.4,343793,0
2017-10-27,68.4,68.715,67.47,68.19,312087,0
2017-10-30,67.71,68.08,67.33,67.57,359650,0
2017-10-31,67.74,68.4,67.68,67.98,439189,0
2017-11-01,68.45,69.33,68.19,68.68,781884,0
2017-11-02,68.54,68.82,68.21,68.73,583088,0
2017-11-03,68.58,68.9,68.04,68.66,519420,0
2017-11-06,68.43,68.99,68.26,68.39,988367,0
2017-11-07,69.21,69.21,65.72,66.16,1040312,0
2017-11-08,66.43,66.66,65.1,65.23,1232168,0
2017-11-09,65.08,65.17,65.08,65.08,717809,0
2017-11-10,64.95,66.08,64.825,66.01,637996,0
