Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,26.96,27.45,26.74,26.9,127868,0
2017-01-04,27.09,27.895,26.961,27.77,171584,0
2017-01-05,27.71,27.97,27.23,27.49,150999,0
2017-01-06,27.65,27.95,26.82,27.5,191456,0
2017-01-09,27.43,27.52,26.94,27.04,96853,0
2017-01-10,26.99,27.52,26.79,27.12,105123,0
2017-01-11,27.08,27.49,27,27.4,54060,0
2017-01-12,27.32,27.32,26.31,26.34,243582,0
2017-01-13,26.64,27,26.31,26.77,196548,0
2017-01-17,26.63,27.0434,26.35,26.35,148109,0
2017-01-18,26.41,26.79,25.7,26.53,194600,0
2017-01-19,26.55,27.03,25.84,25.84,178712,0
2017-01-20,25.81,26.22,25.77,26.18,122612,0
2017-01-23,26.19,26.7463,26.04,26.25,106750,0
2017-01-24,26.3,26.51,25.8,25.95,225325,0
2017-01-25,26.13,26.93,25.8088,26.8,226646,0
2017-01-26,26.89,28.25,26.86,28.18,342016,0
2017-01-27,28.3,28.47,28.05,28.31,164588,0
2017-01-30,28.12,28.64,27.451,28.19,146356,0
2017-01-31,28.14,28.72,27.95,28.46,207911,0
2017-02-01,28.56,28.97,28.5,28.58,69127,0
2017-02-02,28.49,29.0728,28.47,28.74,123450,0
2017-02-03,29.11,29.5389,28.96,29.21,136739,0
2017-02-06,29.21,29.43,28.93,28.98,144795,0
2017-02-07,29.07,29.07,28.45,28.98,115046,0
2017-02-08,28.99,29.4802,28.53,28.71,244847,0
2017-02-09,28.82,29.13,28.1575,28.79,125942,0
2017-02-10,28.96,29.44,28.96,29.24,77652,0
2017-02-13,29.4,29.9,28.91,29.77,141039,0
2017-02-14,29.99,31.06,29.85,31,355904,0
2017-02-15,31,31.33,30.28,30.79,323228,0
2017-02-16,27.71,27.71,22.53,22.74,2671572,0
2017-02-17,23.03,23.89,22.64,23.16,844152,0
2017-02-21,23.58,25.15,23.51,23.74,740954,0
2017-02-22,23.52,24.12,23.05,24.03,449784,0
2017-02-23,25.4,25.43,21.83,21.96,1092416,0
2017-02-24,22.19,22.26,21.37,22.24,404886,0
2017-02-27,22.05,24,21.8101,23.88,636927,0
2017-02-28,23.89,24.8,23.64,24.07,602358,0
2017-03-01,24.54,25.3401,24.3,25.16,429484,0
2017-03-02,25.11,25.72,24.531,25.36,505923,0
2017-03-03,25.26,26.25,25.1774,25.81,477614,0
2017-03-06,25.91,26.2132,24.93,25.76,417465,0
2017-03-07,25.7,26.285,25.4,26.03,337007,0
2017-03-08,26,26.48,25.24,26.22,443975,0
2017-03-09,26.19,26.7,26.01,26.51,288972,0
2017-03-10,26.8,27.05,26.38,26.38,437466,0
2017-03-13,26.49,27.89,26.22,27.86,591236,0
2017-03-14,27.71,28.23,27.261,28,470926,0
2017-03-15,28.1,28.37,27.73,28.19,367641,0
2017-03-16,28.12,29.13,27.9,28.53,387660,0
