Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,8.66,9.15,8.43,9,131437,0
2017-01-04,8.77,9.44,8.5997,9.04,114499,0
2017-01-05,9.01,9.74,9,9.42,85626,0
2017-01-06,9.525,9.7,9.24,9.37,44917,0
2017-01-09,10.1,10.95,9.98,10.93,448178,0
2017-01-10,10.88,11,10.5601,10.84,126871,0
2017-01-11,10.72,10.89,10.52,10.7,77349,0
2017-01-12,10.73,10.8572,10.24,10.68,83691,0
2017-01-13,10.89,11.46,10.57,11.05,109166,0
2017-01-17,11.22,11.47,10.8,11.02,99386,0
2017-01-18,11.12,11.12,10.84,10.98,41437,0
2017-01-19,10.9,11.4058,10.9,11.27,68496,0
2017-01-20,11.3,11.6249,11.17,11.5,59074,0
2017-01-23,11.5,11.7175,11.4,11.47,56542,0
2017-01-24,11.61,11.663,11.22,11.31,34433,0
2017-01-25,11.66,11.719,11.25,11.3,54183,0
2017-01-26,11.28,11.4,11.1453,11.27,29112,0
2017-01-27,11.1332,11.24,10.7,10.87,71003,0
2017-01-30,10.87,10.9781,10.411,10.57,49978,0
2017-01-31,10.51,10.6,10.43,10.59,35497,0
2017-02-01,10.8,10.8,10.32,10.34,28295,0
2017-02-02,10.67,11.25,10.5,10.9,142730,0
2017-02-03,10.95,11.1336,10.8779,11.02,76093,0
2017-02-06,11.39,12.49,11.235,12.43,236830,0
2017-02-07,12.45,13,12.25,12.56,143648,0
2017-02-08,12.7,12.774,12.25,12.45,89133,0
2017-02-09,12.37,12.8,12.3696,12.5,99945,0
2017-02-10,12.52,12.74,12.08,12.239,101791,0
2017-02-13,12.46,12.5617,12.288,12.55,58066,0
2017-02-14,12.8,12.8,12.29,12.44,57184,0
2017-02-15,12.36,12.64,11.75,11.93,133607,0
2017-02-16,11.75,12.19,11.636,11.96,69361,0
2017-02-17,12.12,12.35,11.15,11.33,180674,0
2017-02-21,11.29,11.899,11.1,11.76,87064,0
2017-02-22,11.82,11.99,11.6653,11.86,53416,0
2017-02-23,11.96,11.96,11.1,11.47,60296,0
2017-02-24,11.29,11.56,11.25,11.48,45617,0
2017-02-27,11.63,11.92,11.49,11.77,44323,0
2017-02-28,11.86,11.86,11.03,11.06,61417,0
2017-03-01,11.24,11.54,11.03,11.14,78957,0
2017-03-02,11.22,11.31,10.91,11,71340,0
2017-03-03,10.93,11.2079,10.75,10.89,133954,0
2017-03-06,10.75,10.9882,10.38,10.56,85529,0
2017-03-07,10.51,10.83,10.37,10.38,68906,0
2017-03-08,10.37,10.69,10.25,10.34,102617,0
2017-03-09,10.31,10.5003,10.01,10.1,202301,0
2017-03-10,10.09,10.42,10,10,32034,0
2017-03-13,10,10.7731,9.99,10.74,74593,0
2017-03-14,10.84,10.99,10.485,10.73,48425,0
2017-03-15,10.85,11.87,10.85,11.43,149507,0
2017-03-16,11.4,11.8,11.37,11.47,94143,0
2017-03-17,11.5,11.51,10.711,11.44,193790,0
2017-03-20,11.85,11.85,10.31,10.66,224203,0
2017-03-21,10.92,11,9.86,9.92,116510,0
2017-03-22,10.1,10.3246,9.7,10.12,83136,0
2017-03-23,10.16,10.5,10,10.09,35450,0
2017-03-24,10.07,10.18,9.92,9.97,47854,0
2017-03-27,10,10.92,9.92,10.78,92093,0
2017-03-28,10.76,11.139,10.32,10.53,75692,0
2017-03-29,10.59,10.63,10.41,10.54,33070,0
2017-03-30,10.54,10.6841,10.14,10.45,32580,0
2017-03-31,10.44,10.48,10.18,10.28,15362,0
2017-04-03,10.16,10.5979,10.16,10.23,56990,0
2017-04-04,10.23,10.34,10,10.12,24102,0
2017-04-05,10.23,10.41,9.9501,10.27,62823,0
2017-04-06,10.11,10.27,9.68,9.86,35844,0
2017-04-07,9.82,9.92,9.51,9.7,47422,0
2017-04-10,9.5,10.02,9.4695,9.81,79299,0
2017-04-11,9.81,9.98,9.81,9.85,20091,0
2017-04-12,9.85,9.96,9.85,9.9,50931,0
2017-04-13,9.9,9.99,9.76,9.92,31168,0
2017-04-17,9.914,9.99,9.76,9.88,45219,0
2017-04-18,9.85,10.07,9.85,9.97,22358,0
2017-04-19,9.95,10.24,9.9,10.17,129467,0
2017-04-20,10.25,10.77,10.17,10.66,43347,0
2017-04-21,10.72,10.8629,10.37,10.38,54437,0
2017-04-24,10.53,10.693,10.45,10.62,15792,0
2017-04-25,10.6,10.89,10.51,10.58,21821,0
2017-04-26,10.447,10.6785,10.29,10.29,16117,0
2017-04-27,10.28,10.5777,10.28,10.35,32947,0
2017-04-28,10.23,10.5699,10.2,10.33,54418,0
2017-05-01,10.53,10.61,10.37,10.55,12305,0
2017-05-02,10.49,10.63,10.261,10.39,33711,0
2017-05-03,10.26,10.5,10.26,10.3499,24139,0
2017-05-04,10.35,10.9,10.28,10.8,80592,0
2017-05-05,10.87,11.3299,10.611,11.1,50973,0
2017-05-08,11.49,11.89,11.25,11.68,138884,0
2017-05-09,11.7,12.1185,11.7,11.85,153850,0
2017-05-10,11.91,13.14,11.73,12.94,134441,0
2017-05-11,13.49,15.4,12.5298,14.54,536224,0
2017-05-12,14.53,15.25,14.16,14.36,133146,0
2017-05-15,14.55,15.07,14.537,14.98,116672,0
2017-05-16,15.05,15.05,14.141,14.38,85025,0
2017-05-17,14.22,14.4299,13.4,13.82,105634,0
2017-05-18,13.73,13.945,13.02,13.37,86931,0
2017-05-19,13.52,13.52,12.79,12.96,104364,0
2017-05-22,13.16,14,12.7428,13.87,191401,0
2017-05-23,13.88,14.74,13.56,14.61,206136,0
2017-05-24,14.6,14.8,14.17,14.78,60856,0
2017-05-25,14.94,14.94,14.36,14.63,58166,0
2017-05-26,14.05,14.95,14,14.4,614087,0
2017-05-30,14.54,15.23,14.1579,14.95,188824,0
2017-05-31,15,15.71,14.5,15.5,211861,0
2017-06-01,15.56,16,15.3501,15.83,266314,0
2017-06-02,16.03,16.21,15.537,15.85,301058,0
2017-06-05,15.99,17.27,15.9,16.16,340713,0
2017-06-06,16.16,16.85,16.05,16.09,315775,0
2017-06-07,16.06,16.98,16.06,16.44,191995,0
2017-06-08,16.44,16.49,15.57,15.85,281839,0
2017-06-09,15.85,16.33,14.3,14.41,472595,0
2017-06-12,14.25,14.97,13.8948,14.29,265272,0
2017-06-13,14.38,14.78,13.95,14.01,182993,0
2017-06-14,14.15,14.77,14.02,14.29,127528,0
2017-06-15,14.13,14.21,13.9,14.05,95185,0
2017-06-16,14.03,14.27,13.9,14.01,129201,0
2017-06-19,14.34,14.9,14,14.76,112109,0
2017-06-20,14.75,15.2766,14.321,14.59,124588,0
2017-06-21,14.56,15.2,14.2575,14.71,148845,0
2017-06-22,14.67,15.17,14.48,14.87,168274,0
2017-06-23,14.8,15.1,14.44,14.97,76189,0
2017-06-26,15.01,15.34,14.2,14.23,192209,0
2017-06-27,14.22,14.53,13.88,14.02,126816,0
2017-06-28,14.04,14.439,13.88,14.31,145170,0
2017-06-29,14.08,14.469,14.06,14.46,207059,0
2017-06-30,14.42,14.89,14.23,14.61,87824,0
2017-07-03,14.62,14.62,14.07,14.26,92674,0
2017-07-05,14.25,14.85,14.22,14.43,129442,0
2017-07-06,14.4,14.4,13.95,14.1,84401,0
2017-07-07,14.24,14.42,14.0101,14.19,98002,0
2017-07-10,14.19,14.37,13.9,14.17,95472,0
2017-07-11,14.22,15.04,13.97,14.84,114080,0
2017-07-12,15.19,15.19,14.77,14.85,77108,0
2017-07-13,14.83,15.22,14.47,15.16,98264,0
2017-07-14,15.26,15.3,14.5985,14.96,83294,0
2017-07-17,15,15,13.45,13.76,562693,0
2017-07-18,13.76,14.17,13.58,13.73,149590,0
2017-07-19,13.7,14.08,13.65,13.85,134434,0
2017-07-20,13.85,13.8643,13.53,13.67,55651,0
2017-07-21,13.54,13.84,13.45,13.75,182313,0
2017-07-24,13.76,13.7922,13.515,13.56,100508,0
2017-07-25,13.58,14.1887,13.4,13.76,125899,0
2017-07-26,13.7312,13.87,13.47,13.6,97411,0
2017-07-27,13.65,13.75,12.8239,13.22,139048,0
2017-07-28,13.03,13.12,12.84,13,111416,0
2017-07-31,13.02,13.28,12.85,13.12,60193,0
2017-08-01,13.14,13.46,12.96,13.25,77162,0
2017-08-02,13.26,13.58,12.92,13.18,105658,0
2017-08-03,13.16,13.36,13.014,13.33,49366,0
2017-08-04,13.35,13.669,13.31,13.5,44004,0
2017-08-07,13.26,13.55,13.15,13.32,55590,0
2017-08-08,13.37,13.5257,12.72,12.96,95856,0
2017-08-09,12.8,12.94,12.451,12.65,97601,0
2017-08-10,12.65,12.65,11.77,12.13,198981,0
2017-08-11,12.05,12.715,11.87,12.26,193689,0
2017-08-14,11.99,12.52,11.5328,11.69,254227,0
2017-08-15,12.14,12.695,11.99,12.41,293918,0
2017-08-16,12.47,12.55,12.07,12.38,171975,0
2017-08-17,12.28,12.53,12.17,12.35,149440,0
2017-08-18,12.3,12.66,12.22,12.45,176221,0
2017-08-21,12.45,12.45,11.84,11.94,136884,0
2017-08-22,11.95,12.11,11.6585,11.87,93496,0
2017-08-23,11.82,11.93,11.56,11.56,117281,0
2017-08-24,11.57,11.835,11.15,11.32,167691,0
2017-08-25,11.33,11.42,11,11.06,164123,0
2017-08-28,11.11,11.24,10.8072,10.98,126382,0
2017-08-29,10.94,11.22,10.75,10.88,105244,0
2017-08-30,10.85,11.33,10.77,11.31,102486,0
2017-08-31,11.36,11.9,11.3415,11.58,160921,0
2017-09-01,11.57,11.62,11.45,11.53,89562,0
2017-09-05,10.57,11.09,10.45,10.97,268959,0
2017-09-06,11.46,11.46,10.89,10.97,191166,0
2017-09-07,10.76,11.045,10.46,10.5,135847,0
