Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,34.51,34.9597,33.68,34,93548,0
2017-01-04,34.08,34.8201,34.08,34.64,119948,0
2017-01-05,34.73,35.08,33.34,34.21,106940,0
2017-01-06,34.3,34.535,33.66,34.17,122113,0
2017-01-09,33.99,34,33.31,33.59,112722,0
2017-01-10,33.59,34.69,33.43,33.79,136456,0
2017-01-11,33.79,33.94,33.389,33.93,52121,0
2017-01-12,34.04,34.04,32.69,33.44,93149,0
2017-01-13,33.67,34.6,33.67,34.39,66277,0
2017-01-17,34.26,34.26,33.185,33.33,72956,0
2017-01-18,33.4,33.5,32.89,33.11,54741,0
2017-01-19,32.84,33.15,31.39,32.13,209934,0
2017-01-20,32.16,32.42,31.2,31.4,169771,0
2017-01-23,31.4,32.22,31.32,32.04,94437,0
2017-01-24,32.12,32.81,31.9,32.65,71951,0
2017-01-25,32.36,33.01,32.32,32.95,59760,0
2017-01-26,33.01,33.15,32.44,32.82,52907,0
2017-01-27,33.04,33.3,32.91,33.18,45116,0
2017-01-30,33.02,33.02,32.21,32.66,49610,0
2017-01-31,32.65,32.95,32.18,32.81,68454,0
2017-02-01,33.17,33.4599,32.28,32.63,66523,0
2017-02-02,32.62,32.7201,32.15,32.3,49276,0
2017-02-03,32.55,33.09,32.45,33.04,66309,0
2017-02-06,33,33.25,32.98,33.08,52235,0
2017-02-07,33.22,33.28,32.65,33.01,116431,0
2017-02-08,33,33.16,32.64,32.87,106067,0
2017-02-09,32.93,33.23,32.85,32.98,78748,0
2017-02-10,33.08,33.73,33.08,33.68,64214,0
2017-02-13,33.75,34.46,33.55,34.27,77019,0
2017-02-14,34.26,34.442,33.93,34.2,68396,0
2017-02-15,34.14,34.31,33.52,33.63,86591,0
2017-02-16,33.65,33.78,33.23,33.67,231261,0
2017-02-17,34.4,36.1,33.725,33.99,179303,0
2017-02-21,34,34.38,33.325,34.06,242663,0
2017-02-22,34,34.305,33.36,33.61,103393,0
2017-02-23,33.75,33.8,33.48,33.65,57729,0
2017-02-24,33.45,33.57,33.03,33.16,79797,0
2017-02-27,33.11,34.5986,33.02,34.49,129950,0
2017-02-28,34.55,34.66,33.45,33.51,89702,0
2017-03-01,34.03,34.93,33.6918,34.77,111565,0
2017-03-02,34.73,35.425,33.98,34.3,103456,0
2017-03-03,34.33,34.385,33.505,33.56,71304,0
2017-03-06,33.5,34.52,33.06,33.14,64212,0
2017-03-07,33.02,33.38,32.65,32.77,49468,0
2017-03-08,32.83,33.1236,31.97,32.04,80303,0
2017-03-09,32.03,32.4,31.3,31.36,84524,0
2017-03-10,31.67,31.775,31.02,31.1,84522,0
2017-03-13,31.18,31.3535,30.72,30.87,74562,0
2017-03-14,30.7,31.22,30.2,30.41,154994,0
2017-03-15,30.48,30.76,30.195,30.34,293996,0
