Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,2.38,2.42,2.3,2.31,1440945,0
2017-01-04,2.32,2.36,2.29,2.33,1308478,0
2017-01-05,2.31,2.34,2.25,2.31,726123,0
2017-01-06,2.3,2.35,2.27,2.3,861604,0
2017-01-09,2.32,2.32,2.22,2.28,755111,0
2017-01-10,2.29,2.3,2.231,2.25,845425,0
2017-01-11,2.25,2.32,2.18,2.28,1834612,0
2017-01-12,2.3,2.3,2.19,2.2,1044090,0
2017-01-13,2.2,2.23,2.04,2.09,1891384,0
2017-01-17,2.06,2.16,1.99,2.15,863838,0
2017-01-18,2.15,2.16,2.06,2.14,690465,0
2017-01-19,2.13,2.15,2.06,2.1,693838,0
2017-01-20,2.1,2.14,2.06,2.12,576967,0
2017-01-23,2.1,2.14,2.06,2.1,346067,0
2017-01-24,2.08,2.115,2.04,2.05,348603,0
2017-01-25,2.05,2.111,2,2.04,741078,0
2017-01-26,2.03,2.06,1.93,1.98,992461,0
2017-01-27,1.97,1.97,1.83,1.94,1209141,0
2017-01-30,1.95,2.22,1.8701,2.2,2537975,0
2017-01-31,2.21,2.23,2.1,2.2,1088032,0
2017-02-01,2.2,2.26,2.15,2.23,711720,0
2017-02-02,2.2,2.38,2.1,2.21,2134902,0
2017-02-03,2.2,2.28,2.16,2.25,703093,0
2017-02-06,2.26,2.3,2.24,2.25,673621,0
2017-02-07,2.25,2.27,2.16,2.2,1028632,0
2017-02-08,2.2,2.32,2.1599,2.3,937052,0
2017-02-09,2.29,2.34,2.27,2.3,344754,0
2017-02-10,2.32,2.34,2.24,2.28,464128,0
2017-02-13,2.28,2.305,2.26,2.29,264977,0
2017-02-14,2.27,2.43,2.26,2.41,1150009,0
2017-02-15,2.41,2.67,2.41,2.55,1787034,0
2017-02-16,2.52,2.575,2.46,2.54,1040471,0
2017-02-17,2.54,2.58,2.48,2.58,838234,0
2017-02-21,2.56,2.64,2.4412,2.47,1484544,0
2017-02-22,2.45,2.5,2.35,2.37,825296,0
2017-02-23,2.36,2.3753,2.3,2.31,435823,0
2017-02-24,2.3,2.43,2.3,2.41,563518,0
2017-02-27,2.47,2.5,2.37,2.47,937657,0
2017-02-28,2.5,2.54,2.421,2.46,532063,0
2017-03-01,2.49,2.56,2.46,2.51,967512,0
2017-03-02,2.51,2.565,2.48,2.55,562464,0
2017-03-03,2.55,2.56,2.46,2.5,527313,0
2017-03-06,2.5,2.515,2.43,2.48,688352,0
2017-03-07,2.48,2.51,2.38,2.45,1201936,0
2017-03-08,2.45,2.48,2.41,2.42,864221,0
2017-03-09,2.41,2.46,2.36,2.45,906269,0
2017-03-10,2.45,2.47,2.4,2.44,522034,0
2017-03-13,2.445,2.52,2.43,2.49,1179383,0
2017-03-14,2.53,2.74,2.4699,2.59,2451051,0
2017-03-15,2.64,2.75,2.56,2.75,2020791,0
2017-03-16,2.78,2.85,2.72,2.82,1586256,0
