Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,7.43,7.43,7.33,7.33,405,0
2017-01-04,7.27,7.27,7.27,7.27,116,0
2017-01-05,7.2198,7.2198,7.2198,7.2198,201,0
2017-01-06,7.2,7.21,6.8703,6.8703,19485,0
2017-01-09,6.87,7.06,6.85,7.0386,60857,0
2017-01-10,7.05,7.05,6.86,6.86,3639,0
2017-01-11,7,7,6.99,6.99,2005,0
2017-01-12,7,7,7,7,20014,0
2017-01-13,7.209,7.209,6.9525,7.0906,4643,0
2017-01-17,7.01,7.01,7,7,2236,0
2017-01-18,7.1,7.1,6.78,6.82,96319,0
2017-01-19,6.79,7.08,6.5,7.08,35322,0
2017-01-20,7.08,7.09,6.89,7,4825,0
2017-01-24,7.07,7.08,6.99,7,3459,0
2017-01-25,7.06,7.07,7.05,7.05,910,0
2017-01-26,7.005,7.005,7.005,7.005,214,0
2017-01-27,7.007,7.007,7.007,7.007,264,0
2017-01-30,7.01,7.05,7.01,7.05,830,0
2017-01-31,7,7.04,6.9828,7.04,4209,0
2017-02-01,7.01,7.04,6.89,7,26747,0
2017-02-02,7,7,6.91,6.91,1565,0
2017-02-03,6.89,6.95,6.8601,6.8601,1987,0
2017-02-06,6.5433,6.95,6.51,6.9,4971,0
2017-02-07,6.9,6.9,6.9,6.9,107,0
2017-02-08,6.8714,6.88,6.82,6.8429,2232,0
2017-02-09,6.8589,6.8589,6.8589,6.8589,1098,0
2017-02-10,6.78,6.83,6.65,6.65,34864,0
2017-02-13,6.5198,6.8892,6.4,6.41,9758,0
2017-02-14,6.57,6.57,6.57,6.57,208,0
2017-02-15,6.57,6.57,5.51,6.255,29834,0
2017-02-16,6.29,6.4,6.27,6.4,3346,0
2017-02-17,6.5,6.5,6.24,6.3,15476,0
2017-02-21,6.26,6.4086,6.26,6.3601,12230,0
2017-02-22,5.339,6.5325,5.339,5.98,16312,0
2017-02-23,5.87,5.98,5.87,5.94,4586,0
2017-02-27,5.91,6.42,5.91,6.11,30482,0
2017-02-28,6.06,6.17,5.86,6.17,38105,0
2017-03-01,6.06,6.15,6,6,22963,0
2017-03-02,6.08,6.12,6.08,6.12,200,0
2017-03-03,6.09,6.1,6.06,6.06,2120,0
2017-03-06,6.1,6.1,6,6.02,4459,0
2017-03-07,6.04,6.04,6.04,6.04,119,0
2017-03-08,6.0296,6.0296,5.8513,5.86,6673,0
2017-03-09,5.8285,6.26,5.8285,6.26,643,0
2017-03-10,6.2,6.2,5.95,5.96,12329,0
2017-03-13,5.95,5.95,5.9,5.9,13216,0
2017-03-14,5.9,6.1,5.878,6.1,25659,0
2017-03-15,6.05,6.33,5.88,5.88,22383,0
2017-03-16,5.97,6.18,5.97,6.14,18667,0
2017-03-17,6.14,6.225,5.93,5.93,22865,0
2017-03-20,5.98,6.1102,5.93,5.93,10646,0
2017-03-21,5.87,5.87,5.78,5.85,756,0
2017-03-22,5.8,6.17,5.74,6.17,43596,0
2017-03-23,6.24,6.37,6.15,6.24,29000,0
2017-03-24,6.299,6.41,6.25,6.25,2000,0
2017-03-27,6.29,6.3,6.21,6.21,2439,0
2017-03-28,6.27,6.46,6.27,6.43,685,0
2017-03-29,6.52,6.52,6.01,6.28,37534,0
2017-03-30,6.28,6.68,6,6.18,40448,0
2017-03-31,6.06,6.41,6.06,6.41,61168,0
2017-04-03,6.49,6.7,6.25,6.37,50435,0
2017-04-04,6.42,6.49,6.42,6.49,520,0
2017-04-05,6.5603,6.5603,6.3095,6.35,5328,0
2017-04-06,6.2972,6.51,6.2,6.3,2829,0
2017-04-07,6.29,6.4,6.217,6.22,1717,0
2017-04-10,6.2376,6.43,6.23,6.43,2010,0
2017-04-11,6.33,6.3862,6.1216,6.36,46062,0
2017-04-12,6.26,6.43,6.26,6.43,656,0
2017-04-13,6.5299,6.84,6.4064,6.84,3231,0
2017-04-17,6.87,6.87,6.45,6.65,3786,0
2017-04-18,6.61,6.72,6.59,6.65,5184,0
2017-04-19,6.55,6.75,6.53,6.75,45594,0
2017-04-20,6.86,7,6.8498,7,4045,0
2017-04-24,6.99,7,6.96,7,9077,0
2017-04-25,7,7,6.2663,6.58,45443,0
2017-04-26,6.48,6.58,6.22,6.58,11293,0
2017-04-27,6.4799,6.4799,6,6.01,49419,0
2017-04-28,6.14,6.14,5.9,6.01,4790,0
2017-05-01,6.06,6.31,5.85,5.89,37009,0
2017-05-02,6.0591,6.0591,5.805,5.84,87903,0
2017-05-03,5.81,5.95,5.4,5.7822,91423,0
2017-05-04,5.857,5.92,5.1656,5.85,72235,0
2017-05-05,5.9499,5.97,5.93,5.93,2009,0
2017-05-08,5.91,6.12,5.91,6,1721,0
2017-05-09,5.9001,6.09,5.9001,6.02,3702,0
2017-05-10,6.12,6.16,6.12,6.15,812,0
2017-05-11,6.21,6.21,6.01,6.06,2204,0
2017-05-12,6.06,6.1,5.7,6.0992,37676,0
2017-05-15,6.01,6.2,6.01,6.1792,12366,0
2017-05-16,6.0701,6.15,5.61,5.9,134431,0
2017-05-17,6,6.06,5.8801,6.05,6165,0
2017-05-18,6.13,6.43,6.13,6.24,1373,0
2017-05-19,6.16,6.32,6.15,6.3,4313,0
2017-05-22,6.301,6.4,6.2501,6.3992,3300,0
2017-05-23,6.46,6.46,6.46,6.46,100,0
2017-05-25,6.37,6.37,6.37,6.37,310,0
2017-06-01,6.53,6.75,6.5,6.5,547,0
2017-06-02,6.43,6.6,6.43,6.5992,2571,0
2017-06-05,6.5,6.62,6.45,6.46,9518,0
2017-06-06,6.5889,6.84,6.587,6.83,2623,0
2017-06-07,6.72,6.72,6.2,6.45,8442,0
2017-06-08,6.53,6.98,6.53,6.98,1995,0
2017-06-09,7.03,7.03,6.824,6.89,10763,0
2017-06-12,6.97,6.9999,6.97,6.9892,3332,0
2017-06-13,6.97,6.989,6.7111,6.98,1410,0
2017-06-14,6.8779,6.8917,6.8779,6.8917,1526,0
2017-06-16,6.97,7,6.845,6.98,8116,0
2017-06-19,6.92,7,6.92,6.9692,2902,0
2017-06-20,6.8795,6.8795,6.62,6.72,1800,0
2017-06-21,6.69,6.84,6.69,6.82,1410,0
2017-06-22,6.73,6.81,6.725,6.7892,2606,0
2017-06-23,6.86,6.86,6.78,6.78,461,0
2017-06-28,6.73,6.92,6.6958,6.7784,6380,0
2017-06-29,6.9454,6.9454,6.7871,6.7871,7056,0
2017-06-30,6.78,6.78,6.78,6.78,325,0
2017-07-03,6.78,6.86,6.72,6.78,1582,0
2017-07-05,6.78,6.99,6.71,6.98,7687,0
2017-07-06,6.93,6.99,6.775,6.99,12007,0
2017-07-07,6.77,6.88,6.77,6.78,28031,0
2017-07-10,6.8,6.96,6.74,6.8,10568,0
2017-07-11,6.71,6.8,6.7,6.71,3489,0
2017-07-12,6.54,6.79,6.52,6.64,2442,0
2017-07-13,6.64,7,6.52,6.7825,18594,0
2017-07-14,6.78,6.9125,6.54,6.85,16846,0
2017-07-17,6.54,6.99,6.52,6.99,16799,0
2017-07-18,6.72,6.82,6.655,6.71,8558,0
2017-07-19,6.75,6.82,6.75,6.81,4789,0
2017-07-20,6.94,6.94,6.6624,6.8,4304,0
2017-07-21,6.85,6.87,6.67,6.67,5373,0
2017-07-24,6.83,6.85,6.7501,6.82,10546,0
2017-07-25,6.85,6.85,6.67,6.68,9984,0
2017-07-26,6.7,6.75,6.5701,6.75,2731,0
2017-07-27,6.799,6.8,6.77,6.8,4930,0
2017-07-28,6.5277,6.88,6.5277,6.88,2499,0
2017-07-31,6.88,6.88,6.87,6.88,2004,0
2017-08-01,6.68,6.85,6.65,6.84,3900,0
2017-08-03,6.88,6.88,6.88,6.88,106,0
2017-08-04,6.87,6.87,6.87,6.87,112,0
2017-08-08,6.785,6.9,6.709,6.9,4415,0
2017-08-09,6.85,6.85,6.815,6.85,1698,0
2017-08-10,6.7912,6.9,6.7912,6.9,3933,0
2017-08-11,6.86,6.94,6.8,6.94,4247,0
2017-08-14,6.73,6.84,6.7233,6.83,2464,0
2017-08-15,6.86,6.99,6.7401,6.99,8845,0
2017-08-16,6.9939,7,6.9939,7,2213,0
2017-08-17,6.96,6.99,6.9442,6.9678,1782,0
2017-08-18,6.98,6.98,6.98,6.98,1607,0
2017-08-21,7,7,7,7,513,0
2017-08-22,7.08,7.1,7,7.1,8863,0
2017-08-23,7.06,7.1,7.0513,7.1,3105,0
2017-08-24,6.95,7,6.95,6.95,7049,0
2017-08-25,7,7,6.94,7,13792,0
2017-08-28,6.95,6.95,6.95,6.95,230,0
2017-08-29,6.95,6.95,6.9,6.9,3797,0
2017-08-30,6.94,6.95,6.91,6.95,1814,0
2017-08-31,6.95,6.95,6.86,6.86,9087,0
2017-09-01,6.9,6.95,6.85,6.85,14550,0
2017-09-05,6.85,6.9,6.85,6.9,4679,0
2017-09-06,6.85,7,6.85,7,1012,0
2017-09-07,7.04,7.04,6.91,6.95,1237,0
2017-09-08,6.87,6.98,6.87,6.98,1336,0
2017-09-11,7.05,7.05,6.89,6.96,14517,0
2017-09-12,6.98,6.98,6.7973,6.9292,3210,0
2017-09-13,6.8811,6.99,6.87,6.99,926,0
2017-09-14,7,7.07,6.95,6.99,6587,0
2017-09-15,6.96,6.98,6.94,6.94,3834,0
2017-09-18,6.91,6.97,6.91,6.91,1201,0
2017-09-19,6.9101,6.92,6.71,6.92,10173,0
2017-09-20,6.92,6.92,6.85,6.9,6032,0
2017-09-21,6.813,7,6.813,7,14488,0
2017-09-22,6.99,6.99,6.86,6.86,529,0
2017-09-25,6.9,7,6.874,7,11240,0
2017-09-27,6.95,6.97,6.95,6.97,1417,0
2017-09-28,6.97,7,6.96,7,5575,0
2017-10-02,6.95,7,6.95,7,8012,0
2017-10-03,7,7.08,6.995,7.08,10341,0
2017-10-04,7.1936,7.261,7.18,7.19,5556,0
2017-10-05,7.2,7.23,7.2,7.23,1379,0
2017-10-06,7.2304,7.2304,7.2304,7.2304,301,0
2017-10-10,7.3494,7.3494,7.11,7.11,2917,0
2017-10-11,7.11,7.13,7.0606,7.0606,3372,0
2017-10-12,7.1,7.1,6.95,6.95,1899,0
2017-10-13,7.05,7.05,6.74,6.85,16637,0
2017-10-16,6.839,6.95,6.76,6.95,3874,0
2017-10-17,6.95,6.95,6.792,6.792,993,0
2017-10-18,6.52,6.57,6.444,6.57,3901,0
2017-10-19,6.64,6.65,6.63,6.64,3570,0
2017-10-20,6.67,6.705,6.64,6.705,2413,0
2017-10-23,6.681,6.9,6.63,6.9,1923,0
2017-10-24,6.8315,7.12,6.795,7.12,2444,0
2017-10-25,7.11,7.11,7.11,7.11,690,0
2017-10-27,7.1766,7.1766,7.1766,7.1766,168,0
2017-11-01,6.986,7.15,6.97,7.14,5694,0
2017-11-06,7,7.16,7,7.16,13319,0
2017-11-07,7.2,7.2,6.9,6.92,13799,0
2017-11-08,6.9977,6.9977,6.9977,6.9977,911,0
