Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,32.736,33.033,32.499,32.844,703989,0
2017-01-04,33.023,33.3,32.913,33.092,1329051,0
2017-01-05,33.033,33.28,32.943,33.112,758726,0
2017-01-06,33.043,33.21,32.893,32.953,1042072,0
2017-01-09,33.043,33.043,32.509,32.577,900493,0
2017-01-10,32.716,32.864,32.656,32.766,810430,0
2017-01-11,32.893,32.933,32.616,32.883,1174932,0
2017-01-12,32.943,33.724,32.883,33.636,1233561,0
2017-01-13,33.596,33.824,33.527,33.764,683547,0
2017-01-17,33.784,33.991,33.665,33.704,915892,0
2017-01-18,33.587,34.001,33.537,33.577,831603,0
2017-01-19,33.804,33.824,33.14,33.19,969103,0
2017-01-20,33.26,34.15,33.2,34.15,1085818,0
2017-01-23,34.13,34.516,33.952,34.398,969822,0
2017-01-24,34.486,34.58,34.031,34.199,1219783,0
2017-01-25,34.427,34.655,34.388,34.545,953718,0
2017-01-26,34.466,34.565,34.209,34.436,1015445,0
2017-01-27,34.427,34.615,34.283,34.476,603956,0
2017-01-30,34.278,34.436,33.784,33.971,1060819,0
2017-01-31,34.051,34.248,33.714,34.199,1184048,0
2017-02-01,34.248,34.368,34.001,34.278,1232328,0
2017-02-02,34.15,34.407,33.824,33.981,1025756,0
2017-02-03,34.071,34.738,33.981,34.615,1147278,0
2017-02-06,34.615,34.897,34.388,34.812,1455782,0
2017-02-07,34.842,35.169,34.733,35.06,845288,0
2017-02-08,34.96,35.252,34.773,35.199,793677,0
2017-02-09,35.109,36.602,34.98,36.315,2215567,0
2017-02-10,36.395,36.819,36.088,36.118,1938793,0
2017-02-13,36.128,36.562,36.128,36.415,870900,0
2017-02-14,36.425,36.494,35.861,36.395,1135544,0
2017-02-15,36.475,36.859,36.275,36.839,1383014,0
2017-02-16,36.859,36.919,36.514,36.732,1889006,0
2017-02-17,36.742,36.999,36.632,36.959,1042109,0
2017-02-21,36.819,37.106,36.712,36.879,1264185,0
2017-02-22,36.742,36.939,36.622,36.771,944120,0
2017-02-23,36.899,37.086,36.562,36.662,2023044,0
2017-02-24,36.602,36.602,35.808,36.086,2017093,0
2017-02-27,36.026,36.434,35.818,36.314,1623418,0
2017-02-28,36.106,36.334,35.729,35.828,1432657,0
2017-03-01,36.036,36.384,35.649,36.066,1513046,0
2017-03-02,35.888,36.126,35.768,35.818,1019659,0
2017-03-03,35.649,35.997,35.54,35.927,740646,0
2017-03-06,35.788,35.788,35.381,35.639,781165,0
2017-03-07,35.669,35.927,35.52,35.818,633050,0
2017-03-08,35.868,36.225,35.659,35.689,622103,0
2017-03-09,35.669,35.888,35.421,35.55,1198767,0
2017-03-10,35.798,35.927,35.6,35.908,953500,0
2017-03-13,36.026,36.374,35.937,36.205,825192,0
2017-03-14,36.076,36.314,35.911,35.957,602156,0
2017-03-15,36.036,36.652,36.026,36.572,774394,0
2017-03-16,36.732,36.82,36.324,36.354,693962,0
2017-03-17,36.384,36.562,36.076,36.096,763077,0
2017-03-20,36.016,36.146,35.778,35.868,761040,0
2017-03-21,36.116,36.274,35.709,35.738,639433,0
2017-03-22,35.689,35.689,35.044,35.421,863237,0
2017-03-23,35.212,35.709,35.074,35.371,794410,0
2017-03-24,35.421,35.898,35.252,35.689,831718,0
2017-03-27,35.371,35.719,35.292,35.679,719404,0
2017-03-28,35.679,36.434,35.679,36.205,1247173,0
2017-03-29,36.166,36.612,35.997,36.582,840278,0
2017-03-30,36.612,36.742,36.344,36.384,734813,0
2017-03-31,36.324,36.454,36.156,36.195,843949,0
2017-04-03,36.156,36.304,35.441,36.086,1029932,0
2017-04-04,35.997,36.444,35.808,36.434,1108748,0
2017-04-05,36.454,36.801,36.424,36.552,894560,0
2017-04-06,36.612,36.742,36.493,36.592,2236247,0
2017-04-07,36.533,36.671,36.344,36.523,1185959,0
2017-04-10,36.572,36.89,36.424,36.732,709132,0
2017-04-11,36.662,36.761,36.176,36.542,1094733,0
2017-04-12,36.582,36.712,36.314,36.542,752963,0
2017-04-13,36.464,36.622,36.026,36.086,714586,0
2017-04-17,36.235,36.791,36.086,36.781,907340,0
2017-04-18,36.692,36.692,36.294,36.513,1175585,0
2017-04-19,36.513,36.771,36.116,36.186,774921,0
2017-04-20,36.186,36.552,36.076,36.434,708343,0
2017-04-21,36.354,36.444,35.808,35.957,930922,0
2017-04-24,36.344,36.682,36.225,36.602,1507677,0
2017-04-25,36.602,36.85,36.434,36.752,783385,0
2017-04-26,36.542,36.771,36.444,36.642,926488,0
2017-04-27,36.652,36.781,36.176,36.582,903525,0
2017-04-28,36.552,36.761,36.274,36.682,760941,0
2017-05-01,36.791,36.89,36.652,36.761,525749,0
2017-05-02,36.761,37.566,36.692,37.496,1182490,0
2017-05-03,37.317,37.595,37.07,37.456,995926,0
2017-05-04,37.476,37.556,36.95,37.069,794962,0
2017-05-05,37.138,37.614,37.049,37.466,666577,0
2017-05-08,37.526,37.714,37.228,37.426,2381904,0
2017-05-09,37.516,37.516,36.96,37.01,2388442,0
2017-05-10,37.158,37.178,36.93,37.069,1403582,0
2017-05-11,37,37.834,36.404,37.824,2014378,0
2017-05-12,37.912,38.37,37.794,38.042,1304948,0
2017-05-15,38.4,38.598,38.25,38.438,1091095,0
2017-05-16,38.488,38.707,38.132,38.132,1062872,0
2017-05-17,37.764,37.794,36.96,37.039,1991984,0
2017-05-18,36.513,36.91,36.056,36.513,1566016,0
2017-05-19,36.652,37.426,36.652,37.228,815337,0
2017-05-22,37.486,37.734,37.401,37.724,548589,0
2017-05-23,37.694,37.992,37.546,37.744,1204028,0
2017-05-24,37.734,37.844,37.356,37.794,558612,0
2017-05-25,37.922,38.052,37.168,37.476,809870,0
2017-05-26,37.605,38.089,37.476,37.904,737030,0
2017-05-30,37.765,38.203,37.735,37.735,476174,0
2017-05-31,37.715,37.85,37.396,37.735,788782,0
2017-06-01,37.665,37.815,37.456,37.715,650269,0
2017-06-02,37.705,37.884,37.665,37.815,926115,0
2017-06-05,37.914,38.183,37.486,38.074,599713,0
2017-06-06,38.034,38.173,37.825,38.114,998334,0
2017-06-07,38.114,38.373,37.675,37.805,649335,0
2017-06-08,37.795,38.094,37.765,38.004,575892,0
2017-06-09,38.034,38.273,37.775,38.024,1035528,0
2017-06-12,38.094,38.273,37.615,37.904,1136776,0
2017-06-13,38.134,38.293,37.705,38.074,870412,0
2017-06-14,38.253,38.283,37.86,38.163,712866,0
2017-06-15,37.835,37.994,37.486,37.894,593404,0
2017-06-16,37.954,38.213,37.615,38.153,723327,0
