Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,63.959,63.959,62.282,63.526,85409,0
2017-01-04,63.643,64.077,63.219,63.623,61717,0
2017-01-05,63.456,63.456,60.822,60.851,36682,0
2017-01-06,61.266,62.183,60.281,61.029,44675,0
2017-01-09,61.029,61.61,60.575,61.166,23012,0
2017-01-10,61.286,62.39,61.286,62.094,41782,0
2017-01-11,63.708,63.89,61.029,62.163,35298,0
2017-01-12,62.074,62.124,60.328,61.996,32386,0
2017-01-13,61.877,62.489,61.069,61.393,28063,0
2017-01-17,60.812,61.103,59.697,60.259,22422,0
2017-01-18,60.584,60.94,59.894,60.673,17703,0
2017-01-19,59.76,60.546,59.342,59.617,14685,0
2017-01-20,59.578,60.888,59.578,60.357,15828,0
2017-01-23,60.348,60.949,58.759,59.815,20538,0
2017-01-24,59.894,61.127,59.491,60.989,17940,0
2017-01-25,61.334,62.682,60.91,61.66,28783,0
2017-01-26,61.523,62.045,61,61.818,18555,0
2017-01-27,61.523,61.665,60.309,60.743,21210,0
2017-01-30,60.348,60.555,59.203,59.45,25454,0
2017-01-31,59.203,59.617,58.458,59.312,43804,0
2017-02-01,59.785,61.343,59.461,59.755,24087,0
2017-02-02,59.707,60.012,59.006,59.163,13440,0
2017-02-03,59.677,60.496,59.203,60.279,15748,0
2017-02-06,60.604,61.266,59.173,59.312,24208,0
2017-02-07,59.578,61.71,59.4,61.069,40763,0
2017-02-08,60.723,60.723,58.503,59.737,23227,0
2017-02-09,59.607,61.503,59.607,60.16,19476,0
2017-02-10,60.486,63.071,53.914,61.986,44376,0
2017-02-13,62.874,63.121,61.078,61.423,28424,0
2017-02-14,61.276,62.992,60.683,62.657,52896,0
2017-02-15,62.529,63.742,61.976,63.742,39805,0
2017-02-16,63.821,63.827,62.41,63.159,40429,0
2017-02-17,63.14,63.9,62.587,63.526,37411,0
2017-02-21,63.545,63.633,61.759,62.213,42542,0
2017-02-22,62.607,62.716,62.015,62.193,38963,0
2017-02-23,62.351,62.669,61.074,61.38,18634,0
2017-02-24,60.727,62.242,60.727,61.718,17544,0
2017-02-27,61.37,64.055,61.37,63.956,34195,0
2017-02-28,63.887,64.03,62.669,63.431,61174,0
2017-03-01,64.293,66.017,63.987,65.076,30625,0
2017-03-02,65.502,65.502,63.897,64.68,20839,0
2017-03-03,64.046,64.046,62.975,63.085,26842,0
2017-03-06,63.025,63.025,61.38,61.598,34909,0
2017-03-07,61.034,62.346,60.697,60.856,27156,0
2017-03-08,58.448,59.428,51.028,54.714,300601,0
2017-03-09,54.188,54.218,51.206,51.83,123989,0
2017-03-10,52.475,53.921,52.475,53.367,51020,0
2017-03-13,53.881,54.078,52.475,52.881,38745,0
2017-03-14,52.276,53.42,51.514,52.643,51056,0
2017-03-15,52.999,53.624,52.276,53.129,35949,0
2017-03-16,53.822,55.02,53.475,54.396,49877,0
2017-03-17,54.099,55.625,54.099,55.258,63611,0
2017-03-20,55.179,55.179,53.475,54.169,39964,0
2017-03-21,54.357,54.85,51.86,51.89,27656,0
2017-03-22,51.91,52.643,51.038,52.078,35545,0
2017-03-23,52.722,52.722,51.504,51.712,38457,0
2017-03-24,51.762,52.138,51.276,51.554,26969,0
2017-03-27,50.949,51.612,50.207,50.999,36692,0
2017-03-28,50.82,51.91,50.087,51.752,38815,0
2017-03-29,51.732,52.732,51.712,52.475,22332,0
2017-03-30,52.653,53.515,52.425,52.921,36176,0
2017-03-31,52.911,54.614,52.792,54.109,51046,0
2017-04-03,53.525,54.406,52.554,52.603,54653,0
2017-04-04,52.603,53.435,52.455,52.931,54638,0
2017-04-05,52.841,54.892,52.821,53.367,66012,0
2017-04-06,53.317,54.357,52.841,54.317,34050,0
2017-04-07,54.07,54.902,53.585,54.386,62288,0
2017-04-10,54.238,55.16,53.658,54.109,53285,0
2017-04-11,53.783,55.516,53.445,55.446,49879,0
2017-04-12,54.327,55.04,53.485,53.723,41383,0
2017-04-13,54.317,54.486,53.624,54.169,40296,0
2017-04-17,54.228,54.972,53.455,54.614,33896,0
2017-04-18,54.436,55.233,53.871,54.972,46485,0
2017-04-19,54.981,56.17,54.981,55.506,26819,0
2017-04-20,56.199,57.041,55.714,56.537,27705,0
2017-04-21,56.397,57.24,55.873,56.605,29051,0
2017-04-24,57.438,58.448,56.585,57.012,28192,0
2017-04-25,57.656,58.428,57.458,57.458,34161,0
2017-04-26,57.269,59.122,57.21,58.468,33370,0
2017-04-27,58.567,58.854,57.725,57.844,25647,0
2017-04-28,57.854,57.854,56.412,57.121,39243,0
2017-05-01,57.17,57.834,56.324,57.814,14867,0
2017-05-02,58.052,59.291,58.052,59.013,41841,0
2017-05-03,58.676,59.122,56.963,57.874,32024,0
2017-05-04,58.17,58.817,56.953,58.012,38769,0
2017-05-05,56.497,57.953,55.576,56.467,72687,0
2017-05-08,56.387,56.779,55.476,56.377,46529,0
2017-05-09,56.507,57.111,55.818,57.031,49188,0
2017-05-10,57.111,57.111,55.576,56.893,42099,0
2017-05-11,56.893,57.012,56.001,56.329,38635,0
2017-05-12,56.199,56.853,55.774,56.319,33384,0
2017-05-15,56.547,56.823,55.486,56.457,31965,0
2017-05-16,56.537,57.111,55.883,56.963,47791,0
2017-05-17,56.061,56.833,55.605,56.685,72791,0
2017-05-18,56.685,57.71,56.073,57.421,55725,0
2017-05-19,57.431,57.809,56.446,57.063,65008,0
2017-05-22,57.322,57.481,56.197,57.063,32548,0
2017-05-23,56.337,58.008,56.327,57.282,51551,0
2017-05-24,57.192,58.391,56.267,57.143,43916,0
2017-05-25,57.481,58.028,56.332,56.725,39346,0
2017-05-26,56.735,57.013,55.764,56.814,24279,0
2017-05-30,56.824,57.003,56.008,56.765,27865,0
2017-05-31,56.395,56.924,56.028,56.784,22153,0
2017-06-01,56.715,57.65,56.297,57.541,23616,0
2017-06-02,57.491,59.894,56.317,58.426,56567,0
2017-06-05,58.645,58.934,56.864,57.222,31601,0
2017-06-06,57.033,57.879,56.631,57.232,27286,0
2017-06-07,56.58,57.7,56.247,56.486,87275,0
2017-06-08,56.257,58.257,56.063,57.829,30105,0
2017-06-09,57.919,60.048,57.61,58.386,40079,0
2017-06-12,57.72,59.69,57.451,58.058,44074,0
2017-06-13,57.67,58.944,57.262,57.65,26788,0
2017-06-14,57.879,58.197,57.093,57.7,33316,0
2017-06-15,57.471,58.277,56.635,57.58,31782,0
2017-06-16,57.153,57.76,56.585,57.342,48805,0
2017-06-19,57.919,58.237,56.774,57.461,33592,0
2017-06-20,57.541,57.62,56.774,57.391,31944,0
2017-06-21,57.71,58.138,56.844,57.322,38646,0
2017-06-22,57.202,57.929,57.073,57.371,15459,0
2017-06-23,57.531,58.376,56.973,57.182,53221,0
2017-06-26,57.172,57.959,56.556,56.864,38243,0
2017-06-27,56.854,57.421,55.471,55.74,49463,0
2017-06-28,56.217,56.834,55.933,56.735,21005,0
2017-06-29,56.715,56.824,55.978,56.516,20306,0
2017-06-30,56.038,57.561,55.7,57.003,39443,0
2017-07-03,57.113,57.481,56.768,57.362,12042,0
2017-07-05,57.411,57.421,55.978,56.814,23705,0
2017-07-06,56.595,57.143,55.7,56.814,31981,0
2017-07-07,56.814,59.202,56.118,58.804,31606,0
2017-07-10,58.814,58.814,57.69,57.69,25851,0
2017-07-11,57.799,58.327,57.108,57.7,29920,0
2017-07-12,57.809,58.506,57.123,57.71,32427,0
2017-07-13,57.7,57.71,57.073,57.282,36099,0
2017-07-14,57.123,57.461,56.595,57.172,41135,0
2017-07-17,56.983,57.411,56.725,57.202,39313,0
2017-07-18,57.063,57.212,56.357,56.884,19407,0
2017-07-19,56.894,57.262,56.605,56.755,26415,0
2017-07-20,56.735,57.053,54.542,56.944,27023,0
2017-07-21,57.153,57.312,56.217,56.257,26670,0
2017-07-24,56.267,56.456,55.277,55.302,43463,0
2017-07-25,55.332,55.879,54.884,55.501,31301,0
2017-07-26,55.807,55.879,54.884,55.063,22613,0
2017-07-27,54.974,54.974,53.894,54.864,43253,0
2017-07-28,54.148,55.381,54.118,54.715,47597,0
2017-07-31,54.725,55.133,54.267,54.775,57770,0
2017-08-01,54.725,55.451,54.386,54.765,41992,0
2017-08-02,54.735,54.954,54.406,54.745,27829,0
2017-08-03,54.735,55.65,54.347,54.964,34879,0
