Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,41.681,42.072,41.664,41.913,1053501,0
2017-01-04,42.251,42.521,42.077,42.501,810110,0
2017-01-05,42.666,43.081,42.501,42.907,1113101,0
2017-01-06,42.936,43.013,42.593,42.675,962598,0
2017-01-09,42.308,42.415,42.086,42.223,1175700,0
2017-01-10,42.337,42.482,42.183,42.26,714058,0
2017-01-11,42.231,42.472,41.614,42.415,994504,0
2017-01-12,42.675,42.888,42.377,42.695,980447,0
2017-01-13,42.695,42.936,42.598,42.743,674298,0
2017-01-17,43.022,43.215,42.887,43.215,1125752,0
2017-01-18,43.071,43.172,42.213,42.213,1141784,0
2017-01-19,42.213,42.308,41.982,42.3,826323,0
2017-01-20,42.29,42.685,42.251,42.627,723194,0
2017-01-23,42.559,42.704,42.424,42.656,821101,0
2017-01-24,42.646,43.138,42.549,43.051,761457,0
2017-01-25,43.263,43.302,42.984,43.051,779627,0
2017-01-26,42.867,43.173,42.81,43.138,819000,0
2017-01-27,43.108,43.282,42.954,43.195,735537,0
2017-01-30,43.148,43.263,42.887,43.245,1075363,0
2017-01-31,43.436,43.572,43.195,43.504,1196901,0
2017-02-01,43.282,43.399,42.733,43.138,1401068,0
2017-02-02,43.013,43.013,42.492,42.569,1504730,0
2017-02-03,42.666,42.752,42.367,42.482,1063087,0
2017-02-06,42.395,42.444,42.164,42.308,819415,0
2017-02-07,42.086,42.357,42.004,42.27,859142,0
2017-02-08,42.454,42.67,42.193,42.627,991785,0
2017-02-09,42.858,42.964,42.675,42.723,902701,0
2017-02-10,42.839,43.051,42.772,42.926,630822,0
2017-02-13,42.936,43.051,42.733,42.877,984490,0
2017-02-14,42.897,42.907,42.559,42.81,931361,0
2017-02-15,42.685,43.263,42.685,43.235,1379199,0
2017-02-16,43.312,43.322,42.97,43.195,903347,0
2017-02-17,43.128,43.282,42.969,43.263,791036,0
2017-02-21,43.051,43.292,42.984,43.118,988129,0
2017-02-22,43.003,43.307,42.974,43.272,961675,0
2017-02-23,43.417,43.504,43.22,43.245,866937,0
2017-02-24,43.272,43.302,42.743,42.81,1023999,0
2017-02-27,42.887,42.887,42.444,42.849,1511036,0
2017-02-28,42.636,42.8,42.049,42.077,1380997,0
2017-03-01,42.203,42.203,41.562,41.827,1315467,0
2017-03-02,41.758,41.885,41.604,41.721,879131,0
2017-03-03,41.741,41.827,41.604,41.798,957887,0
2017-03-06,41.691,41.932,41.634,41.865,922408,0
2017-03-07,41.905,41.905,41.681,41.701,871730,0
2017-03-08,41.654,41.681,41.296,41.336,906686,0
2017-03-09,41.316,41.691,41.306,41.681,1153741,0
2017-03-10,41.922,42.024,41.75,41.972,1310083,0
2017-03-13,41.991,41.991,41.756,41.932,1144361,0
2017-03-14,41.708,41.708,41.425,41.464,781031,0
2017-03-15,41.59,42.284,41.532,42.235,1467415,0
2017-03-16,42.284,42.411,42.069,42.098,933085,0
2017-03-17,42.206,42.811,42.206,42.713,1351351,0
2017-03-20,42.626,42.889,41.918,42.079,1507127,0
2017-03-21,42.469,42.586,42.304,42.391,1111214,0
2017-03-22,42.313,43.065,42.274,43.016,1477182,0
2017-03-23,42.928,43.201,42.831,43.026,1075933,0
2017-03-24,42.928,43.206,42.869,42.967,829558,0
2017-03-27,43.006,43.113,42.86,43.035,936581,0
2017-03-28,42.928,43.143,42.85,42.957,807555,0
2017-03-29,42.899,43.143,42.752,43.123,762397,0
