Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,20.59,21.3,20.2313,20.2703,2449,0
2017-01-04,20.8,21.2399,20.74,20.74,514,0
2017-01-05,21.43,21.4799,20.7797,21.305,2837,0
2017-01-06,20.4601,20.4601,20.4601,20.4601,968,0
2017-01-09,20.46,21.49,20.4501,21.49,1582,0
2017-01-10,20.69,20.69,20.45,20.58,1343,0
2017-01-12,20.54,20.54,20,20,1216,0
2017-01-13,20.0099,21.5,20.0099,21.09,2124,0
2017-01-17,20.15,20.616,19.721,20.616,2728,0
2017-01-18,20.03,20.03,20.03,20.03,209,0
2017-01-23,19.66,19.9,18.9844,19.15,7310,0
2017-01-25,19.23,20.4,19.23,20.06,3058,0
2017-01-26,19.8405,20.26,19.15,20.0799,5416,0
2017-01-27,20.08,20.08,19.05,19.1,7106,0
2017-01-30,19.05,19.2,18.6451,18.6451,957,0
2017-01-31,19.11,19.11,19.11,19.11,349,0
2017-02-01,19.03,19.5,19.03,19.5,1054,0
2017-02-03,19.3,19.3,19.3,19.3,529,0
2017-02-06,19.4599,19.4599,18.78,18.78,1117,0
2017-02-07,18.81,18.81,18.81,18.81,817,0
2017-02-08,18.8347,18.8347,18.8347,18.8347,240,0
2017-02-09,18.05,18.89,18.05,18.58,385,0
2017-02-10,18.6201,18.91,18.6201,18.9,515,0
2017-02-13,19.35,19.35,19.35,19.35,569,0
2017-02-14,19.387,19.387,19.387,19.387,110,0
2017-02-15,19.9,19.9,19.9,19.9,300,0
2017-02-16,19.91,19.91,19.91,19.91,526,0
2017-02-17,20.76,20.76,20.7,20.7,788,0
2017-02-21,20.4572,20.4572,20.2201,20.23,2323,0
2017-02-22,19.98,19.98,19.98,19.98,413,0
2017-02-23,20.65,20.65,19.75,19.75,1631,0
2017-02-27,19.86,20.02,19.4607,19.95,2595,0
2017-02-28,20.6699,20.6699,20.6699,20.6699,221,0
2017-03-01,20.3,20.3,20.219,20.219,1072,0
2017-03-02,20.24,20.75,19.9307,20.5,4361,0
2017-03-03,19.51,20.285,19.51,20.02,1909,0
