Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,6.45,6.6,6.15,6.36,638713,0
2017-01-04,6.42,6.91,6.2,6.88,893544,0
2017-01-05,6.87,7.02,6.74,6.93,961815,0
2017-01-06,6.91,7.22,6.91,7.13,1017632,0
2017-01-09,7.26,7.3026,6.27,6.34,1920321,0
2017-01-10,6.4,6.46,6.18,6.19,1085870,0
2017-01-11,6.16,6.4216,5.85,6.07,1425490,0
2017-01-12,6.05,6.14,5.84,6.13,646236,0
2017-01-13,6.13,6.28,6.02,6.25,836180,0
2017-01-17,6.27,6.27,5.93,5.95,642263,0
2017-01-18,5.95,6,5.8135,5.95,496365,0
2017-01-19,5.95,6.145,5.95,6.04,690184,0
2017-01-20,6.05,6.06,5.83,5.95,724044,0
2017-01-23,5.91,6.05,5.84,5.92,607122,0
2017-01-24,5.95,6.27,5.89,6.25,823283,0
2017-01-25,6.27,6.495,6.24,6.48,540003,0
2017-01-26,6.49,6.67,6.41,6.45,736428,0
2017-01-27,6.49,6.54,6.365,6.45,573062,0
2017-01-30,6.41,6.45,5.9557,6.04,822567,0
2017-01-31,6,6.325,5.8708,6.3,619097,0
2017-02-01,6.32,6.41,6.16,6.18,595424,0
2017-02-02,6.17,6.255,5.84,5.86,1178921,0
2017-02-03,5.96,6,5.67,5.79,1151143,0
2017-02-06,5.73,5.81,5.57,5.65,791653,0
2017-02-07,5.67,5.8,5.34,5.67,1922677,0
2017-02-08,5.66,5.84,5.55,5.79,1120850,0
2017-02-09,5.79,6.01,5.785,6,1038487,0
2017-02-10,6,6,5.58,5.66,750418,0
2017-02-13,5.72,5.93,5.66,5.86,607185,0
2017-02-14,5.84,5.89,5.6,5.78,743362,0
2017-02-15,5.77,6.17,5.75,6.16,1103844,0
2017-02-16,6.41,6.75,6.35,6.58,1932785,0
2017-02-17,6.58,6.74,6.33,6.56,1233951,0
2017-02-21,6.6,6.63,6.051,6.1,1232622,0
2017-02-22,6.1,6.1,5.855,5.86,836826,0
2017-02-23,5.88,5.92,5.58,5.6,1139326,0
2017-02-24,5.5,5.61,5.3665,5.49,1323102,0
2017-02-27,4.2,5.91,4.2,5.51,14002648,0
2017-02-28,5.47,6.46,5.4001,6.24,6404361,0
2017-03-01,6.3,7.08,6.27,6.86,4912502,0
2017-03-02,6.87,7.51,6.5801,7.42,4529944,0
2017-03-03,7.44,7.7,7.205,7.68,3273504,0
2017-03-06,7.7,7.955,7.43,7.8,2826061,0
2017-03-07,7.7,7.87,7.33,7.76,1640392,0
2017-03-08,7.75,8.69,7.67,8.41,4868187,0
2017-03-09,7.95,8.86,7.91,8.735,2561868,0
2017-03-10,9.02,9.1,8.25,8.88,6117879,0
2017-03-13,8.92,9.01,8.4,8.6,2361279,0
