Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,5.11,5.2399,5.05,5.05,16294,0
2017-01-04,5.08,5.22,5.05,5.17,13807,0
2017-01-05,5.11,5.17,5.05,5.07,10457,0
2017-01-06,5.07,5.25,5.05,5.18,49466,0
2017-01-09,5.22,5.47,5.1962,5.44,20386,0
2017-01-10,5.46,5.47,5.16,5.19,63477,0
2017-01-11,5.22,5.31,5.07,5.11,45776,0
2017-01-12,5.37,5.37,5.06,5.08,30083,0
2017-01-13,5.07,5.24,5.05,5.13,27704,0
2017-01-17,5.13,5.24,5.0801,5.12,13387,0
2017-01-18,5.19,5.28,5,5.0236,47986,0
2017-01-19,5.01,5.12,5,5.001,28879,0
2017-01-20,5,5.03,5,5.0168,2443,0
2017-01-23,5,5.03,5,5.01,5271,0
2017-01-24,5.06,5.19,5.0155,5.13,14672,0
2017-01-25,5.11,5.22,5.1,5.12,17037,0
2017-01-26,5.1,5.3,5.09,5.202,21483,0
2017-01-27,5.15,5.2,5.0556,5.11,12272,0
2017-01-30,5.1,5.2,5,5,23316,0
2017-01-31,5,5.055,4.9,4.94,22405,0
2017-02-01,4.96,4.96,4.7,4.84,61634,0
2017-02-02,5,5,4.7,4.7,48662,0
2017-02-03,4.9,5.94,4.88,5.46,187548,0
2017-02-06,5.46,5.5918,5.31,5.5,47630,0
2017-02-07,5.43,5.4661,5.35,5.44,21039,0
2017-02-08,5.314,5.45,5.25,5.39,38122,0
2017-02-09,5.44,5.4401,5.23,5.28,158200,0
2017-02-10,5.24,5.53,5.21,5.45,60171,0
2017-02-13,5.49,5.74,5.2953,5.71,49025,0
2017-02-14,5.74,5.93,5.64,5.81,39054,0
2017-02-15,5.8,5.98,5.74,5.84,41801,0
2017-02-16,5.85,5.93,5.75,5.86,25968,0
2017-02-17,5.7,5.92,5.56,5.7928,9015,0
2017-02-21,5.73,6.35,5.73,6.08,35236,0
2017-02-22,6.07,6.07,5.82,5.89,8461,0
2017-02-23,5.83,6.04,5.83,6.02,25704,0
2017-02-24,6.1,6.24,6.1,6.1101,26867,0
2017-02-27,6.17,6.24,5.8732,6.22,16656,0
2017-02-28,6.02,6.51,6,6.42,23910,0
2017-03-01,6.48,6.6434,6.39,6.44,24688,0
2017-03-02,6.38,6.51,6.31,6.45,10570,0
2017-03-03,6.32,6.7,6.32,6.7,56686,0
2017-03-06,6.74,6.86,6.38,6.53,60944,0
2017-03-07,6.6,6.85,6.6,6.7,18574,0
2017-03-08,6.7,6.9288,6.46,6.78,29648,0
2017-03-09,6.79,6.79,6.15,6.53,21357,0
2017-03-10,6.57,6.74,6.31,6.53,8227,0
2017-03-13,6.4601,6.7,6.44,6.46,19538,0
2017-03-14,6.67,6.67,6.07,6.43,38176,0
2017-03-15,6.12,6.4264,6.12,6.28,19163,0
2017-03-16,6.49,6.55,6.35,6.46,24219,0
2017-03-17,6.04,6.74,6.04,6.5,26708,0
2017-03-20,6.43,6.65,6.34,6.43,6223,0
2017-03-21,6.4,6.6,3.17,3.57,1227370,0
2017-03-22,3.75,4.3,3.7289,3.86,550353,0
2017-03-23,3.96,4.02,3.7,3.79,184566,0
2017-03-24,3.89,3.91,3.7,3.83,36227,0
2017-03-27,3.84,3.84,3.72,3.75,76375,0
2017-03-28,3.7,3.9254,3.7,3.8,39569,0
2017-03-29,3.75,4.1,3.75,3.97,78190,0
2017-03-30,3.97,4.0899,3.92,3.92,24591,0
2017-03-31,3.84,3.99,3.7715,3.93,90734,0
2017-04-03,3.97,3.9853,3.75,3.8,36235,0
2017-04-04,3.84,3.84,3.66,3.8,27794,0
2017-04-05,3.85,3.94,3.75,3.81,61687,0
2017-04-06,3.81,3.99,3.761,3.98,14778,0
2017-04-07,3.911,4.41,3.84,4.29,216101,0
2017-04-10,4.15,4.25,4.02,4.02,38707,0
2017-04-11,4.05,4.2299,3.97,4.08,29846,0
2017-04-12,4.05,4.05,3.9328,3.97,2889,0
2017-04-13,3.93,3.98,3.66,3.738,66765,0
2017-04-17,3.71,3.85,3.65,3.76,50324,0
2017-04-18,3.78,3.85,3.65,3.75,58721,0
2017-04-19,3.78,3.85,3.718,3.8,13320,0
2017-04-20,3.8,3.86,3.65,3.76,68284,0
2017-04-21,3.65,4.35,3.02,4.0001,461774,0
2017-04-24,3.74,3.98,3.74,3.94,82600,0
2017-04-25,3.84,3.98,3.8104,3.97,24643,0
2017-04-26,4,4.18,3.954,4.15,36701,0
2017-04-27,4.06,4.14,3.92,4.1,16226,0
2017-04-28,4.1,4.1,3.92,3.98,11929,0
2017-05-01,3.95,3.98,3.85,3.87,17460,0
2017-05-02,3.84,3.86,3.7744,3.81,19739,0
2017-05-03,3.8203,3.92,3.8203,3.9,6145,0
2017-05-04,3.92,4.34,3.88,4.27,148556,0
2017-05-05,4.35,4.58,4.147,4.52,150910,0
2017-05-08,4.52,5.05,4.51,4.99,51188,0
2017-05-09,5.04,5.64,5.03,5.25,156006,0
2017-05-10,5.26,5.4638,5,5.08,23826,0
2017-05-11,5.26,5.26,5,5.11,39166,0
