Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,31.05,31.187,30.539,30.997,26718,0
2017-01-04,30.997,30.997,30.227,30.643,33574,0
2017-01-05,30.409,30.631,29.798,30.259,21649,0
2017-01-06,29.802,30.311,28.933,30.214,41140,0
2017-01-09,30.121,30.121,29.762,29.965,16331,0
2017-01-10,29.821,31.107,29.682,30.539,11144,0
2017-01-11,30.601,30.601,29.73,30.03,14834,0
2017-01-12,30.036,30.036,28.508,28.541,13668,0
2017-01-13,28.639,29.043,28.449,28.546,30661,0
2017-01-17,28.546,28.809,28.194,28.671,30673,0
2017-01-18,28.802,28.917,27.802,28.226,30427,0
2017-01-19,28.142,28.201,27.738,27.788,47700,0
2017-01-20,27.586,27.998,27.479,27.763,41008,0
2017-01-23,27.279,28.069,27.279,27.854,21749,0
2017-01-24,27.874,28.619,27.574,28.535,90494,0
2017-01-25,28.619,29.54,28.619,29.54,21335,0
2017-01-26,29.776,30.083,29.141,29.325,15990,0
2017-01-27,30.017,30.017,29.174,29.416,25361,0
2017-01-30,29.521,29.606,27.848,28.129,35742,0
2017-01-31,27.835,28.671,27.285,28.312,49455,0
2017-02-01,28.096,28.707,27.848,27.861,29433,0
2017-02-02,26.528,27.704,25.894,27.436,46801,0
2017-02-03,27.606,28.423,27.469,27.756,25401,0
2017-02-06,28.096,28.586,27.482,27.494,17273,0
2017-02-07,27.704,27.704,27.058,27.058,25331,0
2017-02-08,27.142,27.181,26.528,26.573,35302,0
2017-02-09,27.247,28.286,27.195,27.586,20895,0
2017-02-10,27.775,28.252,27.115,27.606,30631,0
2017-02-13,27.567,27.896,27.382,27.54,13832,0
2017-02-14,27.382,27.56,27.343,27.534,18247,0
2017-02-15,27.33,27.5,26.876,27.047,52748,0
2017-02-16,26.936,27.587,26.863,27.067,26071,0
2017-02-17,27.061,27.598,27.057,27.547,56269,0
2017-02-21,27.626,27.658,27.218,27.613,18921,0
2017-02-22,27.732,29.598,27.732,28.81,61943,0
