Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,182.96,184.81,181.87,182.91,135716,0
2017-01-04,183.55,185.55,182.3,185.32,154602,0
2017-01-05,185.38,187.16,184.135,185.93,183355,0
2017-01-06,185.93,188,185.93,187.51,125684,0
2017-01-09,188,189.27,187.34,188.38,143310,0
2017-01-10,192.1,194.2,187.5,188.48,224057,0
2017-01-11,188.49,188.76,183.45,187.17,261029,0
2017-01-12,187.19,187.76,185.86,186.41,138182,0
2017-01-13,185.88,189.24,185.88,188.46,124396,0
2017-01-17,187.17,189.29,186.5,187.96,188691,0
2017-01-18,187.57,188.56,186.1,187.87,340277,0
2017-01-19,187.7,188.4,185.9,187.43,336118,0
2017-01-20,188.12,188.58,186.48,186.91,154318,0
2017-01-23,186.09,188.325,185.3,185.73,584762,0
2017-01-24,185.72,187.54,183.43,185.1,248263,0
2017-01-25,185.52,187.98,185.43,187.2,152668,0
2017-01-26,186.37,188.72,186.34,188.01,391528,0
2017-01-27,188,188.98,186.26,186.5,98886,0
2017-01-30,186.35,188.07,184.539,186.61,116069,0
2017-01-31,186.51,190.36,184.97,190.08,178251,0
2017-02-01,190.5,192.6,188.81,189.63,120425,0
2017-02-02,189.54,189.84,188.43,189.31,86090,0
2017-02-03,189.68,191.489,189.42,191.1,89031,0
2017-02-06,190.96,191.5,189.76,191.44,92121,0
2017-02-07,192.06,192.06,188.26,189.71,136393,0
2017-02-08,189.94,190,187.57,189.29,146957,0
2017-02-09,190.06,190.88,189.33,190.88,166454,0
2017-02-10,191.25,191.845,189.63,190.31,103555,0
2017-02-13,191.37,191.49,188.24,189.17,179973,0
2017-02-14,189.12,191.83,188.11,191.75,174706,0
2017-02-15,191.64,192.64,190.9,192.21,84343,0
2017-02-16,192.89,193.278,190.53,191.85,97481,0
2017-02-17,191.86,193.6,190.09,193.27,113452,0
2017-02-21,193.27,194.25,191.3,192.06,148420,0
2017-02-22,192.27,193.12,191.235,191.67,94055,0
2017-02-23,192.5,193.31,190.49,192,145369,0
2017-02-24,189.1,192.73,186.98,191.92,362787,0
2017-02-27,192.16,197.63,191.61,196.83,241667,0
2017-02-28,196.14,197.35,194.64,194.64,270484,0
2017-03-01,195.44,197.705,193.11,196.02,228266,0
2017-03-02,195.72,197.81,195.04,195.41,142357,0
2017-03-03,196.34,198.21,195.73,198.02,191315,0
2017-03-06,196.73,197.78,194.97,195.08,177854,0
2017-03-07,195.02,197.16,193.65,195.5,127287,0
2017-03-08,195,196.98,194.99,196.13,133493,0
2017-03-09,195.52,196.88,195.24,195.71,143485,0
2017-03-10,196.51,197.71,195.78,197.25,317845,0
2017-03-13,197,198.205,195.02,197.61,317656,0
2017-03-14,198.41,203.39,198.2,201.93,536810,0
2017-03-15,202.14,209.5,200.86,207.83,739818,0
2017-03-16,208.24,208.6,200.35,200.96,462106,0
2017-03-17,200.81,200.81,196.4,197.31,615383,0
2017-03-20,197.21,197.21,194.01,196,587825,0
2017-03-21,197.2,199.34,194.75,195.69,246969,0
2017-03-22,195.86,199.23,195.61,199.02,249396,0
2017-03-23,199.11,201.53,197.82,200.19,162854,0
2017-03-24,200.4,203.34,200,200.41,171484,0
2017-03-27,198.68,200.42,198.44,199.64,205697,0
2017-03-28,199.43,201.24,199.165,200.13,210216,0
2017-03-29,200.15,200.38,198,198.55,103345,0
2017-03-30,198.36,199.71,198.34,199.25,99138,0
2017-03-31,198.83,200.76,195.5,199.34,154693,0
2017-04-03,199.4,201.64,199.2,201.48,138646,0
2017-04-04,201.44,201.92,200.63,201.87,178887,0
2017-04-05,202.35,202.68,198.97,199.47,261913,0
2017-04-06,200.33,201.2,198.25,201.02,172008,0
2017-04-07,200.28,202.96,199.94,202.56,147497,0
2017-04-10,202.85,204.335,201.78,202.33,129485,0
2017-04-11,202.16,203.79,201.49,202.71,178364,0
2017-04-12,203.18,206.5,201.85,202.6,131731,0
2017-04-13,201.75,203.445,200.65,202.73,99425,0
2017-04-17,202.95,204.44,201.9,203.87,104375,0
2017-04-18,203.51,205.44,202.255,205.22,149740,0
2017-04-19,206,210.69,205.83,210.27,262585,0
2017-04-20,210.71,211.45,209.4,211.1,159721,0
2017-04-21,210.69,211.66,210,211.59,134267,0
2017-04-24,213.58,213.96,211.975,213.45,120313,0
2017-04-25,214.58,215.48,212.715,213.14,238241,0
2017-04-26,213,215.51,212.47,214.92,163351,0
2017-04-27,215.21,219.34,215.09,217.78,201147,0
2017-04-28,218.07,218.94,216.52,218.26,291165,0
2017-05-01,219.43,220.73,216.85,220.01,136734,0
2017-05-02,220.12,221.57,219.78,220.6,189272,0
2017-05-03,220.33,221.39,218.24,219.98,223599,0
2017-05-04,220.58,221.67,218.63,220.77,206524,0
2017-05-05,223,224.24,215.56,218.14,345218,0
2017-05-08,217.94,217.94,216.09,217.85,88244,0
2017-05-09,217.92,223.47,216.541,223.12,448893,0
2017-05-10,222.02,223.42,220.25,223,189106,0
2017-05-11,222.62,222.712,219.68,221.14,134134,0
2017-05-12,220.86,222.75,220.31,220.51,123442,0
2017-05-15,220.26,223.15,220.26,222.32,90680,0
2017-05-16,222.88,223.57,220.68,223.29,119517,0
2017-05-17,220.9,221.29,218.4,219.54,169863,0
2017-05-18,219.4,221.82,217.56,221.61,293126,0
2017-05-19,221.51,221.8,219.05,219.22,131809,0
2017-05-22,220,221.34,218.77,219.15,154894,0
2017-05-23,219.32,219.72,218.14,219.36,101491,0
2017-05-24,219.15,220.38,218.23,218.95,109288,0
2017-05-25,219.33,221.6,218.5,221.41,92282,0
2017-05-26,218.705,221.68,217.95,220.98,89013,0
2017-05-30,220.62,222.14,219.83,221.71,82350,0
2017-05-31,221.73,223.65,221.73,223.48,108248,0
2017-06-01,224.5,225.405,222.5,225.05,82564,0
2017-06-02,224.9,229.97,224.03,228.35,102238,0
2017-06-05,228,229.27,227.02,227.58,92971,0
2017-06-06,226.82,228.05,225.31,226.35,102106,0
2017-06-07,226.42,228.98,225.55,228.78,80018,0
2017-06-08,228.48,230.31,226.53,229.26,152688,0
2017-06-09,229.43,230.4,225.16,227.31,243975,0
2017-06-12,227.15,227.15,220.38,221.73,193583,0
2017-06-13,222.11,224.28,221.63,222.63,167176,0
2017-06-14,223.79,224.5,219.37,220.61,172094,0
2017-06-15,219.26,220.85,218.16,220.37,62883,0
2017-06-16,220.71,221.63,219.68,220.61,304318,0
2017-06-19,220.8,225.68,219.975,225.03,210131,0
2017-06-20,224.64,226.91,221.03,223.67,72739,0
2017-06-21,224.7,226.98,224.14,226.11,110103,0
2017-06-22,226.22,226.62,222.61,223.35,131063,0
2017-06-23,223.89,224.23,221.865,222.5,176874,0
2017-06-26,222.63,223.19,220.98,221.44,70192,0
2017-06-27,220.49,221.335,218.1,218.23,79417,0
2017-06-28,224,226.99,222.2,226.41,367228,0
2017-06-29,227.44,228.26,222.6,224.16,141805,0
2017-06-30,225.86,226.98,223.61,226.31,138178,0
2017-07-03,226.75,228.24,225.885,227.18,54171,0
2017-07-05,227.03,233.51,227.03,231.69,184840,0
2017-07-06,230.62,230.865,225.49,225.49,176673,0
