Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,64.595,65.392,64.138,64.735,246133,0
2017-01-04,65.093,66.696,64.895,66.486,195848,0
2017-01-05,66.406,67.083,66.029,66.516,210560,0
2017-01-06,66.736,66.736,65.282,65.869,148646,0
2017-01-09,65.929,66.656,65.472,65.969,221370,0
2017-01-10,66.179,66.826,65.507,66.119,184085,0
2017-01-11,66.089,68.209,65.939,68.06,285305,0
2017-01-12,67.83,68.657,66.346,67.81,226939,0
2017-01-13,67.74,69.075,67.612,68.407,210339,0
2017-01-17,67.99,67.99,66.616,66.955,222382,0
2017-01-18,67.223,67.582,66.556,67.293,151463,0
2017-01-19,67.323,67.691,66.239,66.249,193124,0
2017-01-20,66.288,67.443,65.989,66.416,197009,0
2017-01-23,66.366,66.886,65.592,66.249,205710,0
2017-01-24,66.336,67.76,66.179,67.562,218530,0
2017-01-25,68.259,68.437,66.686,67.004,313663,0
2017-01-26,66.816,67.263,66.229,66.886,249081,0
2017-01-27,67.013,67.433,66.596,66.836,214274,0
2017-01-30,66.506,66.506,64.825,65.909,237358,0
2017-01-31,65.611,65.889,64.905,65.282,212735,0
2017-02-01,65.442,65.69,62.565,63.579,384307,0
2017-02-02,63.569,64.925,62.892,64.515,258704,0
2017-02-03,65.142,65.7,64.605,65.152,319230,0
2017-02-06,64.895,65.382,63.998,64.466,335169,0
2017-02-07,64.655,64.705,63.182,63.222,636192,0
2017-02-08,62.932,62.962,61.698,61.778,476602,0
2017-02-09,66.716,71.424,64.525,70.08,2642906,0
2017-02-10,70.36,70.548,66.876,70.419,759981,0
2017-02-13,70.32,71.434,70,71.334,653756,0
2017-02-14,70.607,71.931,69.821,71.832,315489,0
2017-02-15,70.747,73.585,70.747,73.086,369996,0
2017-02-16,72.529,73.077,72.4,72.938,407291,0
2017-02-17,73.057,73.285,68.299,73.096,536710,0
2017-02-21,73.146,73.634,72.638,72.948,291479,0
2017-02-22,72.618,73.4,71.872,72.549,314389,0
2017-02-23,73.067,73.295,72.061,72.688,315061,0
2017-02-24,71.602,72.988,71.602,72.758,229287,0
2017-02-27,72.898,73.596,72.499,73.406,196278,0
2017-02-28,72.25,72.539,71.272,71.322,248076,0
2017-03-01,72.3,73.805,71.372,73.486,298693,0
2017-03-02,73.436,74.064,72.32,73.486,173065,0
2017-03-03,73.466,73.905,72.868,73.656,187354,0
2017-03-06,73.087,73.905,72.948,73.386,184025,0
2017-03-07,73.276,73.994,72.888,73.576,170037,0
2017-03-08,73.835,74.483,73.197,73.436,161593,0
2017-03-09,73.316,73.994,73.063,73.546,188638,0
2017-03-10,74.114,74.533,73.596,74.274,210831,0
2017-03-13,74.573,75.141,74.264,75.012,219663,0
2017-03-14,74.593,75.6,74.593,75.012,291901,0
2017-03-15,75.48,75.994,75.161,75.929,408887,0
2017-03-16,76.428,76.497,75.42,76.368,219588,0
2017-03-17,76.178,76.936,75.47,76.388,483920,0
2017-03-20,76.378,77.484,75.989,76.926,249977,0
2017-03-21,77.494,77.624,74.802,74.892,305754,0
2017-03-22,74.662,75.829,74.503,75.809,238403,0
2017-03-23,75.73,76.537,74.593,75.77,247869,0
2017-03-24,76.228,76.597,75.131,75.919,215361,0
2017-03-27,74.842,75.64,74.244,75.171,256474,0
2017-03-28,74.932,76.039,74.264,75.819,200456,0
2017-03-29,75.78,76.258,75.45,75.869,123167,0
2017-03-30,75.839,77.136,75.839,76.418,264753,0
2017-03-31,76.288,76.896,76.088,76.448,168707,0
2017-04-03,76.497,77.275,75.231,75.7,331451,0
2017-04-04,75.42,76.956,75.42,76.607,216201,0
2017-04-05,76.976,78.003,76.537,76.627,312449,0
2017-04-06,76.906,77.494,75.879,77.285,141530,0
2017-04-07,77.016,77.764,76.448,76.587,192825,0
2017-04-10,76.458,77.504,76.298,76.876,366993,0
2017-04-11,76.677,77.434,76.313,77.175,195022,0
2017-04-12,76.956,77.345,76.328,76.806,145180,0
2017-04-13,76.657,77.285,76.547,76.776,192128,0
2017-04-17,77.036,77.704,75.58,76.637,243173,0
2017-04-18,76.408,77.146,76.138,76.926,129497,0
2017-04-19,77.704,78.651,77.086,78.132,269131,0
2017-04-20,78.571,79,78.013,78.591,198876,0
2017-04-21,78.551,79.05,78.192,78.681,170983,0
2017-04-24,79.738,79.738,78.621,78.741,181313,0
2017-04-25,79.219,79.509,78.442,78.601,248832,0
2017-04-26,78.791,79.289,78.053,78.82,267325,0
2017-04-27,79.02,79.538,78.701,79.03,205300,0
2017-04-28,79.299,80.765,78.043,80.177,567714,0
2017-05-01,80.336,81.353,79.878,81.263,702712,0
2017-05-02,77.175,81.443,75.713,80.605,703030,0
2017-05-03,78.641,79.628,78.317,79.509,468398,0
2017-05-04,79.848,80.516,78.452,78.721,319326,0
2017-05-05,78.84,80.735,78.661,79.15,198376,0
2017-05-08,79.16,79.678,78.631,79.13,169502,0
2017-05-09,79.269,79.538,78.671,79.07,360276,0
2017-05-10,79.04,79.399,78.601,79.13,197713,0
2017-05-11,78.94,79.509,77.843,78.452,179061,0
2017-05-12,78.122,80.595,78.103,79.588,450670,0
2017-05-15,79.768,80.406,78.84,79.638,197873,0
2017-05-16,80.117,80.964,79.937,80.336,174227,0
2017-05-17,79.359,80.226,78.192,78.771,345244,0
2017-05-18,78.522,79.568,78.073,79.17,289272,0
2017-05-19,79.558,80.546,79.409,80.107,317289,0
2017-05-22,80.296,81.762,79.598,81.662,202278,0
2017-05-23,81.762,82.44,80.017,81.583,274176,0
2017-05-24,81.612,82.421,80.993,82.272,207750,0
2017-05-25,82.501,83.25,82.212,82.791,183036,0
2017-05-26,82.921,83.959,81.498,83.56,192317,0
2017-05-30,83.29,84.259,82.871,83.1,224701,0
2017-05-31,83.46,83.819,82.052,82.611,247515,0
2017-06-01,82.861,84.763,82.621,84.748,271179,0
2017-06-02,84.958,86.835,84.659,86.495,315281,0
2017-06-05,86.216,89.531,86.216,87.674,583675,0
2017-06-06,87.025,89.002,86.201,87.314,274658,0
2017-06-07,87.704,88.253,87.184,87.364,199800,0
2017-06-08,87.614,88.523,86.376,87.923,244797,0
2017-06-09,87.993,88.473,84.488,85.437,346730,0
2017-06-12,85.008,85.247,82.321,85.048,306699,0
2017-06-13,85.427,86.675,85.067,86.386,149789,0
2017-06-14,86.465,86.885,84.658,85.467,207799,0
2017-06-15,84.568,85.607,83.55,85.517,129087,0
2017-06-16,85.008,86.505,83.3,86.485,351136,0
2017-06-19,87.384,88.283,86.745,87.304,355563,0
2017-06-20,87.254,88.493,86.246,86.346,182763,0
2017-06-21,86.485,88.363,86.485,86.905,145448,0
2017-06-22,86.985,87.824,86.381,87.484,130847,0
2017-06-23,87.764,89.701,87.764,89.371,336517,0
2017-06-26,90.19,90.729,88.453,89.122,148576,0
2017-06-27,91.858,92.547,89.921,90.23,573463,0
2017-06-28,90.649,92.597,88.822,89.391,8095083,0
2017-06-29,87.903,88.522,85.172,85.477,929999,0
2017-06-30,86.036,87.614,85.577,85.627,598247,0
2017-07-03,85.796,86.366,84.169,84.938,305533,0
2017-07-05,85.297,86.306,84.683,85.926,221124,0
2017-07-06,85.237,85.896,84.568,85.087,264707,0
2017-07-07,85.077,87.164,85.077,87.005,291136,0
2017-07-10,87.035,88.163,86.266,87.484,223063,0
2017-07-11,87.844,89.291,87.404,88.503,265627,0
2017-07-12,89.112,90.769,88.942,89.96,266203,0
2017-07-13,89.831,90.285,88.233,88.533,200838,0
2017-07-14,88.523,89.122,88.413,88.642,182400,0
2017-07-17,88.672,89.072,88.153,88.353,145549,0
2017-07-18,87.973,88.712,87.284,88.183,240045,0
2017-07-19,88.363,89.94,86.985,89.571,224745,0
2017-07-20,89.701,89.861,87.284,89.461,136498,0
2017-07-21,89.95,89.95,89.042,89.431,160581,0
2017-07-24,89.431,91.378,89.371,91.049,120093,0
