Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,57.224,58.101,57.031,57.878,10222750,0
2017-01-04,58.27,58.554,57.848,57.956,6840237,0
2017-01-05,58.2,59.21,58.123,58.926,8588549,0
2017-01-06,58.837,59.122,57.671,58.749,10305752,0
2017-01-09,58.554,58.72,58.456,58.534,5370549,0
2017-01-10,58.583,59.24,58.524,58.779,6178539,0
2017-01-11,56.956,57.691,55.398,55.663,20912941,0
2017-01-12,55.368,55.643,54.893,55.418,10173445,0
2017-01-13,55.428,55.594,54.927,55.094,7815891,0
2017-01-17,54.77,55.447,54.104,55.154,10629163,0
2017-01-18,55.378,55.418,54.77,54.947,6775164,0
2017-01-19,54.977,55.183,54.227,54.378,7043004,0
2017-01-20,49.009,49.675,47.94,48.244,78560899,0
2017-01-23,48.538,49.299,48.166,48.999,24367600,0
2017-01-24,49.048,49.136,47.95,47.979,17516112,0
2017-01-25,48.352,48.578,47.822,48.558,16299919,0
2017-01-26,47.617,48.518,45.089,45.883,45694693,0
2017-01-27,46.314,47.646,46.177,46.784,23369454,0
2017-01-30,47.255,48.116,47,47.715,16057655,0
2017-01-31,47.431,48.43,47.24,48.176,15401111,0
2017-02-01,48.146,48.333,47.353,48.303,16348515,0
2017-02-02,48.362,49.871,48.284,49.489,18978118,0
2017-02-03,49.587,49.893,49.351,49.763,11156933,0
2017-02-06,49.635,50.067,49.548,50.018,8431976,0
2017-02-07,50.459,51.272,50.234,50.626,16069160,0
2017-02-08,50.263,51.076,50.096,50.958,12486165,0
2017-02-09,50.958,51.204,50.429,50.479,5930834,0
2017-02-10,50.576,50.929,50.488,50.616,5963413,0
2017-02-13,50.792,51.048,50.581,50.988,6906308,0
2017-02-14,51.262,53.184,51.045,52.634,20185831,0
2017-02-15,52.624,54.226,52.527,53.928,12096697,0
2017-02-16,53.977,54.051,52.841,53.194,10116538,0
2017-02-17,53.212,53.624,52.997,53.497,9903675,0
2017-02-21,53.321,56.064,52.34,53.683,27380330,0
2017-02-22,54.378,55.32,54.187,54.241,21719707,0
2017-02-23,54.516,54.967,53.918,54.653,14691456,0
2017-02-24,54.8,55.339,54.757,55.31,11613621,0
2017-02-27,55.368,55.853,55.118,55.428,11515512,0
2017-02-28,55.408,55.79,55.084,55.574,9230107,0
2017-03-01,55.858,56.094,55.388,56.035,13613986,0
2017-03-02,55.751,56.339,55.457,55.721,12341511,0
2017-03-03,55.604,56.191,55.492,56.114,9847472,0
2017-03-06,55.878,56.079,55.104,55.83,8073202,0
2017-03-07,55.144,55.496,54.666,55.201,17317082,0
2017-03-08,55.201,56.348,55.094,55.977,13832096,0
2017-03-09,56.221,56.888,56.054,56.829,7688060,0
2017-03-10,56.868,57.367,56.653,57.153,8712841,0
2017-03-13,57.133,57.133,55.721,55.79,11927585,0
2017-03-14,55.81,56.447,55.447,55.555,11986233,0
2017-03-15,55.535,56.77,55.535,56.496,10548917,0
2017-03-16,56.182,56.429,55.977,56.163,10105672,0
2017-03-17,56.084,56.104,54.987,55.164,16205721,0
2017-03-20,55.201,55.574,55.114,55.281,8654649,0
2017-03-21,55.368,55.525,54.271,54.595,9585984,0
2017-03-22,54.585,55.291,54.065,55.231,10006925,0
2017-03-23,54.957,55.398,54.565,54.653,7779486,0
2017-03-24,54.752,55.124,54.56,54.77,6296681,0
2017-03-27,54.486,55.221,54.418,54.917,11365734,0
2017-03-28,54.917,55.24,54.81,55.074,8698641,0
2017-03-29,55.045,55.418,54.805,54.83,6260432,0
2017-03-30,54.84,54.879,54.144,54.251,8312291,0
2017-03-31,54.193,54.555,53.075,53.291,12642711,0
2017-04-03,53.438,54.055,52.791,53.124,16649047,0
2017-04-04,53.124,53.261,52.87,53.055,9180254,0
2017-04-05,53.293,53.426,52.316,52.394,10212888,0
2017-04-06,52.365,52.839,51.832,52.602,7501581,0
2017-04-07,52.582,52.967,52.197,52.73,8073573,0
2017-04-10,52.661,53.017,52.513,52.661,7505997,0
2017-04-11,52.602,52.75,52.256,52.296,7087990,0
2017-04-12,52.138,52.454,52.068,52.306,7284614,0
2017-04-13,52.365,52.498,52.098,52.148,7263109,0
2017-04-17,52.068,52.533,51.852,52.266,6555982,0
2017-04-18,52,52.464,51.911,52.246,8135561,0
2017-04-19,52.316,52.967,52.197,52.513,8246895,0
2017-04-20,52.72,52.869,52.503,52.75,6171426,0
2017-04-21,52.711,53.017,52.464,52.789,5289690,0
2017-04-24,53.155,54.102,52.819,52.859,8867934,0
2017-04-25,52.957,53.619,52.957,53.243,9442007,0
2017-04-26,53.352,53.944,53.017,53.075,9576586,0
2017-04-27,54.645,55.405,53.914,54.951,15505993,0
2017-04-28,54.981,55.603,54.655,55.327,8356397,0
2017-05-01,55.613,56.096,55.188,55.583,7516467,0
2017-05-02,55.613,56.056,54.833,55.227,17122118,0
2017-05-03,54.773,54.862,54.014,54.349,10788932,0
2017-05-04,54.359,54.823,54.241,54.477,6286245,0
2017-05-05,54.536,54.616,54.25,54.438,6015699,0
2017-05-08,54.28,54.468,53.836,54.23,4792385,0
2017-05-09,54.172,54.763,54.043,54.606,7227470,0
2017-05-10,54.468,54.596,54.172,54.428,6432771,0
2017-05-11,54.428,54.941,54.182,54.428,6893577,0
2017-05-12,54.487,54.665,54.092,54.32,5244693,0
2017-05-15,54.32,54.517,54.122,54.388,4977674,0
2017-05-16,54.29,54.566,53.5,53.688,9380496,0
2017-05-17,53.333,53.914,53.007,53.707,7816594,0
2017-05-18,53.5,53.786,52.631,53.085,12582418,0
2017-05-19,53.125,53.579,53.125,53.323,8744242,0
2017-05-22,53.323,53.633,53.185,53.401,4520285,0
2017-05-23,53.461,53.727,53.441,53.51,7271339,0
2017-05-24,53.747,53.747,52.779,53.125,6545812,0
2017-05-25,53.194,53.875,52.997,53.688,8604232,0
2017-05-26,53.668,54.112,53.204,53.273,5033188,0
2017-05-30,53.233,53.54,53.065,53.233,7231488,0
2017-05-31,53.441,53.648,53.165,53.253,8253327,0
2017-06-01,53.303,53.826,53.185,53.826,6637786,0
2017-06-02,54.004,54.458,53.802,54.26,7560593,0
2017-06-05,53.065,53.661,51.536,51.684,18986934,0
2017-06-06,51.625,51.724,50.963,50.993,11875932,0
2017-06-07,51.191,51.901,50.895,51.892,10699920,0
2017-06-08,51.92,52.671,51.872,52.168,8774516,0
2017-06-09,52.088,53.48,51.97,53.055,7652163,0
2017-06-12,53.055,53.846,52.799,53.658,8875394,0
2017-06-13,53.49,53.619,53.204,53.49,4839802,0
2017-06-14,53.54,54.105,53.431,53.816,5693597,0
2017-06-15,53.786,54.025,53.324,53.579,5754025,0
2017-06-16,53.816,53.895,52.917,53.757,12698879,0
2017-06-19,53.757,54.655,53.619,54.507,6288402,0
2017-06-20,54.556,55.682,54.388,54.941,7558459,0
2017-06-21,55.03,55.85,54.882,55.346,8897476,0
2017-06-22,55.543,57.153,55.425,56.59,8397756,0
2017-06-23,56.53,56.619,55.514,55.908,21066032,0
2017-06-26,55.988,56.53,55.622,56.184,5669235,0
2017-06-27,56.066,56.126,55.131,55.179,5547941,0
2017-06-28,55.425,55.652,55.049,55.149,5193796,0
2017-06-29,55.188,55.405,54.773,55.099,5102956,0
2017-06-30,55.267,55.346,54.961,55.001,4740619,0
2017-07-03,55.543,56.146,55.455,55.543,6339422,0
2017-07-05,55.931,56.05,55.215,56.011,5922653,0
2017-07-06,55.762,55.871,54.867,54.947,5579099,0
2017-07-07,55.176,55.658,54.743,55.573,5370640,0
2017-07-10,55.762,55.981,55.484,55.593,3964663,0
2017-07-11,55.474,55.762,54.763,54.997,4658027,0
2017-07-12,55.305,55.901,54.52,54.708,9135997,0
2017-07-13,54.728,54.848,53.893,54.341,8180110,0
2017-07-14,54.48,55.115,54.172,54.818,6079413,0
2017-07-17,54.947,55.195,54.251,54.46,3742100,0
2017-07-18,54.44,54.49,54.095,54.41,3724190,0
2017-07-19,54.44,54.862,54.281,54.738,3341651,0
2017-07-20,54.947,55.384,54.848,55.106,3847091,0
2017-07-21,55.076,55.434,55.046,55.315,5039110,0
2017-07-24,55.315,55.603,54.818,55.265,6740433,0
2017-07-25,55.523,55.842,55.434,55.613,7357159,0
2017-07-26,55.613,55.807,55.166,55.643,8093545,0
2017-07-27,53.009,54.112,51.746,53.913,21400017,0
2017-07-28,53.913,55.255,53.615,54.937,9154595,0
2017-07-31,55.255,56.855,55.166,56.557,10883568,0
2017-08-01,56.806,56.826,55.33,55.772,11133762,0
2017-08-02,55.951,56.11,54.768,54.897,6331549,0
2017-08-03,54.768,55.543,54.748,55.166,5517651,0
2017-08-04,55.215,55.881,55.186,55.613,4186689,0
2017-08-07,55.663,56.011,55.235,55.961,5155088,0
2017-08-08,56.011,57.223,55.963,56.567,7915772,0
2017-08-09,56.448,57.213,56.17,57.054,7722046,0
2017-08-10,56.905,56.905,56.209,56.249,5136200,0
2017-08-11,56.269,56.667,56.07,56.388,4084938,0
2017-08-14,56.617,57.412,56.358,57.273,5688230,0
2017-08-15,57.313,57.646,57.154,57.521,5869030,0
2017-08-16,56.985,57.342,56.597,57.154,7929106,0
2017-08-17,57.134,57.183,56.388,56.428,4300290,0
2017-08-18,56.339,56.597,56.07,56.08,4828170,0
2017-08-21,56.08,56.577,55.911,56.299,4832023,0
2017-08-22,56.448,57.452,56.309,57.323,4457912,0
2017-08-23,57.283,57.82,57.084,57.521,4041626,0
2017-08-24,57.631,57.989,57.452,57.82,4497402,0
2017-08-25,57.939,58.317,57.83,58.018,4095386,0
2017-08-28,58.287,58.535,58.098,58.227,3308687,0
2017-08-29,57.998,58.664,57.83,58.505,4008038,0
2017-08-30,58.515,59.34,58.466,59.022,5352647,0
2017-08-31,59.271,60.384,59.251,60.116,9775571,0
2017-09-01,59.996,60.285,59.36,59.539,6322447,0
2017-09-05,59.181,59.857,59.032,59.45,4410223,0
2017-09-06,59.639,59.927,59.41,59.509,5016453,0
2017-09-07,60.136,63.088,60.126,62.461,17390491,0
2017-09-08,62.362,62.799,61.855,62.243,6618933,0
2017-09-11,62.243,62.755,61.766,62.342,6115816,0
2017-09-12,62.064,62.71,62.044,62.64,4811970,0
2017-09-13,62.501,62.7,61.855,62.104,4380741,0
2017-09-14,62.004,62.73,61.945,62.312,5379062,0
2017-09-15,62.521,62.998,61.935,62.104,10443384,0
2017-09-18,62.114,62.829,61.895,62.322,7018649,0
