Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,29.2,29.39,28.21,28.4,918324,0
2017-01-04,28.47,29.5173,28.47,29.37,753176,0
2017-01-05,29.26,29.48,28.52,29.11,610692,0
2017-01-06,28.91,29.4,28.75,28.84,497982,0
2017-01-09,29.3,29.3,28.5912,28.92,650605,0
2017-01-10,28.95,29.43,28.51,28.9,838985,0
2017-01-11,28.92,29.275,28.68,29.2,472256,0
2017-01-12,29.11,29.11,28.02,28.66,758839,0
2017-01-13,28.9,29.53,28.7,29.15,655578,0
2017-01-17,29.15,29.17,27.87,27.91,829822,0
2017-01-18,28,28.13,27.4,28.08,669774,0
2017-01-19,28.18,28.18,27.32,27.38,573061,0
2017-01-20,27.43,27.7213,26.75,27.14,830095,0
2017-01-23,27.03,27.24,26.17,26.31,963305,0
2017-01-24,26.41,27.25,26.36,27.07,646499,0
2017-01-25,27.5,28.09,27.48,27.82,826957,0
2017-01-26,27.78,28.5,27.694,28.09,491073,0
2017-01-27,28.01,28.47,27.8,28.4,439356,0
2017-01-30,28.39,28.5,27.68,28.36,963862,0
2017-01-31,28.31,30.6,28.29,29.49,1821059,0
2017-02-01,29.88,30.45,29.431,29.75,1195635,0
2017-02-02,29.63,29.63,28.12,28.65,885614,0
2017-02-03,28.91,29.4,28.58,29.15,686533,0
2017-02-06,29.17,29.71,28.77,28.87,632163,0
2017-02-07,28.94,29.325,28.69,28.87,675962,0
2017-02-08,28.81,28.96,28.15,28.57,513642,0
2017-02-09,28.77,29.5596,28.68,29.53,681784,0
2017-02-10,29.57,29.7,29.29,29.56,406971,0
2017-02-13,29.72,30.6,29.66,30.33,686943,0
2017-02-14,30.27,30.47,29.09,30.27,473010,0
2017-02-15,30.33,30.73,29.87,30.15,508056,0
2017-02-16,30,30.3,29.64,30.19,379065,0
2017-02-17,30.11,30.11,29.4406,29.72,675391,0
2017-02-21,29.82,30,29.41,29.6,558212,0
2017-02-22,29.51,30.3999,29.261,30.28,768159,0
2017-02-23,30.36,30.8,30.07,30.65,594883,0
2017-02-24,30.4,31.07,29.9,30.84,938133,0
2017-02-27,31,31.54,30.42,31.32,1147982,0
2017-02-28,31.3,31.8,30.91,31.54,920782,0
2017-03-01,32.05,32.57,31.57,32.11,895767,0
2017-03-02,32.26,32.36,29.52,29.655,1990883,0
2017-03-03,29.58,29.8599,28.74,29.29,1427053,0
2017-03-06,29.44,29.44,28.8,29.03,792593,0
2017-03-07,29.01,29.72,29,29.17,510027,0
2017-03-08,29.55,30.11,29.0954,29.58,780504,0
2017-03-09,29.63,30.19,29.55,29.86,544924,0
2017-03-10,30,30.14,28.8,29.13,740602,0
2017-03-13,29.2,29.5682,28.87,28.94,493243,0
2017-03-14,28.65,28.85,27.54,28.84,789000,0
2017-03-15,28.88,29.345,28.67,28.82,664586,0
2017-03-16,28.82,29.13,28.65,29.1,898067,0
2017-03-17,29.02,29.19,28.73,29,1581413,0
2017-03-20,29,29.1436,28.48,28.65,537187,0
2017-03-21,28.79,28.84,26.54,26.64,1434698,0
2017-03-22,26.52,27.45,26.32,27.44,859666,0
2017-03-23,27.31,27.9104,27.14,27.6,485744,0
2017-03-24,27.77,28.2,27.28,27.47,591135,0
2017-03-27,26.73,27.79,25.78,27.73,956526,0
2017-03-28,27.64,28.54,27.284,28.08,793012,0
2017-03-29,28.02,28.19,24.88,26.95,5277817,0
2017-03-30,26.88,27.99,26.8706,27.58,979424,0
2017-03-31,26.88,27.47,26.1,26.13,2209811,0
2017-04-03,26,26.4,24.6,25.14,2455196,0
2017-04-04,24.9,25.395,24.53,24.71,1071508,0
2017-04-05,24.96,25.23,24.02,24.31,1550419,0
2017-04-06,24.26,24.79,24.06,24.46,1106998,0
2017-04-07,24.22,24.59,23.72,24.15,1598108,0
2017-04-10,24.2,24.42,23.82,24.12,691805,0
2017-04-11,23.98,24.9,23.86,24.79,1325214,0
2017-04-12,24.75,25.06,24.52,24.65,643785,0
2017-04-13,24.88,25.25,24.55,24.71,947872,0
2017-04-17,24.74,24.92,24.02,24.77,796216,0
2017-04-18,24.43,25.15,24.37,24.73,658690,0
2017-04-19,25,25.56,24.89,25.03,1016124,0
2017-04-20,25.34,25.62,25.11,25.54,1056757,0
2017-04-21,25.58,26.42,25.5252,25.79,1288506,0
2017-04-24,26.43,26.691,26.17,26.43,867372,0
2017-04-25,26.65,26.87,26.15,26.35,1547288,0
2017-04-26,26.66,26.85,22.75,24.24,5499321,0
2017-04-27,24.51,25.115,24,24.76,1522703,0
2017-04-28,24.88,24.88,23.66,23.89,1448558,0
2017-05-01,23.9,24.89,23.81,24.51,1231004,0
2017-05-02,24.48,24.51,23.84,24.18,901724,0
2017-05-03,24.04,24.04,23.3975,23.91,981595,0
2017-05-04,24.04,24.32,23.66,23.88,592805,0
2017-05-05,24.02,24.08,23.7166,24.03,531393,0
2017-05-08,24.11,24.68,23.97,24.57,742362,0
2017-05-09,24.56,25.15,23.98,24.21,1004572,0
2017-05-10,24.1,24.159,23.71,23.79,759347,0
2017-05-11,23.73,23.96,23.26,23.5,818606,0
2017-05-12,23.37,23.665,22.93,23.415,928652,0
2017-05-15,23.43,23.95,23.4,23.63,496441,0
2017-05-16,23.65,23.91,23.32,23.88,597952,0
2017-05-17,23.46,23.48,22.58,22.58,977500,0
2017-05-18,22.57,23.19,22.55,22.91,763021,0
2017-05-19,23.01,23.0399,22.18,22.48,1112342,0
2017-05-22,22.21,22.99,22.03,22.88,853791,0
2017-05-23,22.88,23.04,22.39,23,653246,0
2017-05-24,23.07,23.15,21.94,22.1,962032,0
2017-05-25,22.14,22.6828,21.93,22.64,847580,0
2017-05-26,22.56,22.8,22.101,22.43,752492,0
2017-05-30,22.38,22.38,21.76,22.08,885395,0
2017-05-31,22.15,22.37,21.86,22.2,879831,0
2017-06-01,22.2,22.8774,22.13,22.57,743966,0
2017-06-02,22.41,22.72,22.21,22.3,551606,0
2017-06-05,22.3,22.82,22.27,22.3,546350,0
2017-06-06,22.04,22.3,21.86,21.91,634616,0
2017-06-07,21.99,22.3,21.84,21.94,565508,0
2017-06-08,21.91,23.09,21.6,22.73,778418,0
2017-06-09,22.92,23.83,22.9,23.27,889818,0
2017-06-12,23.27,23.73,22.67,22.74,585890,0
2017-06-13,22.99,23.7,22.42,22.575,544830,0
2017-06-14,22.44,22.63,22.075,22.52,582151,0
2017-06-15,22.48,23.22,22.4264,23.02,496761,0
2017-06-16,22.95,23.2,22.6436,23.14,786662,0
2017-06-19,23.36,23.62,23.16,23.38,468323,0
2017-06-20,23.39,23.44,22.92,22.96,441344,0
2017-06-21,22.97,23.135,22.63,22.75,492253,0
2017-06-22,22.67,23.2,22.67,23.02,590547,0
2017-06-23,23.14,23.21,22.71,23.11,1543554,0
2017-06-26,23.3,23.58,23.02,23.49,571525,0
2017-06-27,23.66,24.4,23.62,23.945,686172,0
2017-06-28,24.05,24.59,23,23.82,2055296,0
2017-06-29,24.15,24.44,23.58,23.9,844824,0
2017-06-30,25.19,25.19,23.55,23.72,525399,0
2017-07-03,23.8,24.25,23.62,24.07,360831,0
2017-07-05,24.18,24.329,23.66,23.99,418791,0
2017-07-06,23.89,24,23.33,23.43,368074,0
2017-07-07,23.54,24.06,23.4,24.01,409549,0
2017-07-10,24.07,24.27,23.77,23.93,390321,0
2017-07-11,23.91,23.9752,23.51,23.86,454847,0
2017-07-12,23.81,24.17,23.65,23.8,360933,0
2017-07-13,23.92,23.98,23.56,23.9,328324,0
2017-07-14,23.72,24.03,23.62,23.97,465310,0
2017-07-17,24,24.03,23.52,23.81,433952,0
2017-07-18,23.75,24.48,23.635,24.46,571268,0
2017-07-19,24.5,25,24.46,24.66,567770,0
2017-07-20,24.74,24.99,24.52,24.66,315468,0
2017-07-21,24.71,25.05,24.7,24.91,449790,0
2017-07-24,24.94,25.45,24.87,25.3,591803,0
2017-07-25,25.49,26.45,25.39,25.67,1043095,0
2017-07-26,25.74,25.9,25.03,25.2,651901,0
2017-07-27,25.4,26.17,24.88,24.89,1080502,0
2017-07-28,24.82,28.29,24.501,26.71,2660589,0
2017-07-31,27.08,28.18,27.03,27.87,1196331,0
2017-08-01,27.97,28.5,27.87,28.24,1050650,0
2017-08-02,28.25,28.439,27.33,27.44,715975,0
2017-08-03,27.62,27.91,27.28,27.51,651870,0
2017-08-04,27.76,27.76,26.86,26.97,560977,0
2017-08-07,27.02,27.52,26.53,27.37,523288,0
2017-08-08,27.37,27.76,27.2133,27.73,456982,0
2017-08-09,27.45,28.19,27.33,27.89,602494,0
2017-08-10,27.65,28.1,27.38,27.47,821989,0
2017-08-11,27.6,27.89,26.78,27.18,805463,0
2017-08-14,27.45,27.8,27.23,27.72,539381,0
2017-08-15,27.84,28.015,27.7,27.98,702951,0
2017-08-16,27.98,28.1,27.5,27.62,512962,0
2017-08-17,27.51,27.67,26.72,26.78,483308,0
2017-08-18,26.54,26.74,26.22,26.37,658984,0
2017-08-21,26.3,26.41,25.86,25.97,474331,0
2017-08-22,26.04,26.63,26,26.61,413288,0
2017-08-23,26.41,26.96,26.311,26.72,377846,0
2017-08-24,26.79,26.989,26.48,26.5,441437,0
2017-08-25,26.58,26.66,26.23,26.25,414697,0
2017-08-28,26.41,26.69,26.25,26.55,413669,0
2017-08-29,26.34,26.82,26.21,26.77,397726,0
2017-08-30,26.82,26.92,26.4,26.53,357418,0
