Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,21.51,21.52,21.267,21.393,269242,0
2017-01-04,21.423,21.624,21.296,21.393,258981,0
2017-01-05,21.423,21.646,21.306,21.432,368207,0
2017-01-06,21.423,21.5,21.306,21.335,204061,0
2017-01-09,21.296,21.398,21.17,21.286,278703,0
2017-01-10,21.423,21.423,21.092,21.092,516538,0
2017-01-11,20.985,21.141,20.791,21.024,761617,0
2017-01-12,21.053,21.257,20.985,21.043,743980,0
2017-01-13,21.024,21.291,21.024,21.248,418775,0
2017-01-17,21.199,21.471,21.199,21.296,515045,0
2017-01-18,21.335,21.471,21.209,21.345,777929,0
2017-01-19,21.335,21.345,21.18,21.316,363190,0
2017-01-20,21.364,21.432,21.189,21.316,436576,0
2017-01-23,21.345,21.345,21.17,21.248,364067,0
2017-01-24,21.306,21.427,21.131,21.16,1043196,0
2017-01-25,21.218,21.539,21.218,21.452,1688184,0
2017-01-26,21.364,21.637,21.355,21.598,526442,0
2017-01-27,21.559,21.714,21.486,21.549,165635,0
2017-01-30,21.374,21.374,20.985,21.043,293804,0
2017-01-31,20.956,21.15,20.625,20.995,335190,0
2017-02-01,21.111,21.199,20.713,20.771,412195,0
2017-02-02,20.713,21.121,20.674,21.024,314774,0
2017-02-03,21.16,21.374,21.092,21.248,287365,0
2017-02-06,21.141,21.316,21.073,21.18,278965,0
2017-02-07,21.141,21.301,21.141,21.286,371161,0
2017-02-08,21.199,21.374,21.073,21.189,421158,0
2017-02-09,21.296,21.355,21.189,21.199,598351,0
2017-02-10,21.306,21.5,21.165,21.442,427234,0
2017-02-13,21.432,21.578,21.345,21.432,344565,0
2017-02-14,21.423,21.423,21.209,21.228,185021,0
2017-02-15,21.199,21.481,21.16,21.364,404850,0
2017-02-16,21.248,21.52,21.248,21.277,382603,0
2017-02-17,21.141,21.257,20.966,21.18,312147,0
2017-02-21,21.141,21.549,21.102,21.539,882203,0
2017-02-22,21.568,21.568,21.398,21.491,800443,0
2017-02-23,21.491,21.651,21.423,21.491,346675,0
2017-02-24,21.277,21.364,21.073,21.335,360519,0
2017-02-27,21.432,21.52,21.296,21.413,296083,0
2017-02-28,21.374,21.5,21.316,21.374,375238,0
2017-03-01,21.549,22.074,21.5,22.026,656855,0
2017-03-02,21.928,21.928,21.763,21.792,500642,0
2017-03-03,21.948,22.171,21.851,22.162,337715,0
2017-03-06,22.055,22.133,22.016,22.055,584672,0
2017-03-07,22.123,22.521,22.084,22.492,404679,0
2017-03-08,22.56,22.599,22.21,22.23,297819,0
2017-03-09,22.171,22.424,22.171,22.21,434066,0
2017-03-10,22.356,22.434,22.045,22.201,285645,0
2017-03-13,22.278,22.57,22.133,22.473,303503,0
2017-03-14,22.356,22.726,22.327,22.609,435337,0
2017-03-15,22.687,22.755,22.492,22.726,260166,0
2017-03-16,22.862,23.416,22.745,23.28,317173,0
2017-03-17,23.319,23.552,23.149,23.465,341527,0
2017-03-20,23.426,23.601,23.231,23.436,501232,0
2017-03-21,23.601,23.659,23.241,23.319,634287,0
2017-03-22,23.173,23.533,23.027,23.445,653039,0
2017-03-23,23.484,23.97,23.338,23.844,532190,0
2017-03-24,23.932,24.214,23.883,24.136,306832,0
2017-03-27,23.844,24.126,23.591,24.048,466853,0
2017-03-28,24.048,24.748,24.048,24.748,527753,0
2017-03-29,24.807,24.841,24.544,24.748,570200,0
2017-03-30,24.768,24.812,24.476,24.525,255443,0
2017-03-31,24.486,24.554,24.194,24.389,343966,0
2017-04-03,24.496,24.826,24.33,24.564,499268,0
2017-04-04,24.447,24.758,24.252,24.32,528504,0
2017-04-05,24.447,24.651,24.175,24.214,368193,0
2017-04-06,24.311,24.486,24.155,24.223,472560,0
2017-04-07,24.155,24.389,24.145,24.34,297541,0
2017-04-10,24.311,24.379,24.087,24.136,272298,0
2017-04-11,24.068,24.251,23.873,24.116,468250,0
2017-04-12,24.087,24.184,23.902,24.038,464709,0
2017-04-13,23.97,24.335,23.961,24.223,434331,0
2017-04-17,24.418,24.7,24.282,24.7,322758,0
2017-04-18,24.534,24.612,24.155,24.233,472077,0
2017-04-19,23.86,24.15,23.56,23.64,465363,0
2017-04-20,23.79,23.8,23.46,23.67,651409,0
2017-04-21,23.68,23.84,23.62,23.81,310105,0
2017-04-24,24.19,24.38,23.86,23.97,643341,0
2017-04-25,24.11,24.15,23.73,24.15,663646,0
2017-04-26,24.13,24.15,23.81,23.95,385209,0
2017-04-27,23.97,23.97,23.41,23.59,416904,0
2017-04-28,23.66,23.7,23.16,23.63,405725,0
2017-05-01,23.68,24.2,23.65,24.13,373470,0
2017-05-02,24.02,24.48,23.93,24.3,526453,0
2017-05-03,24.33,24.565,24.06,24.21,546402,0
2017-05-04,24.16,24.16,23.75,24.03,488833,0
2017-05-05,24.14,24.17,23.92,24.09,276025,0
2017-05-08,23.94,24.11,23.83,23.97,296520,0
2017-05-09,24,24,23.57,23.63,327346,0
2017-05-10,23.71,23.94,23.405,23.68,391652,0
2017-05-11,23.67,23.91,23.55,23.77,243803,0
2017-05-12,23.77,23.9901,23.6865,23.77,463014,0
2017-05-15,23.86,24.25,23.81,24.23,398143,0
2017-05-16,24.2,24.2705,24.06,24.25,430717,0
2017-05-17,24.03,24.18,24.03,24.1,270314,0
2017-05-18,23.85,23.9642,23.62,23.74,387040,0
2017-05-19,23.9,24.24,23.89,24.16,357093,0
2017-05-22,24.1,24.19,23.96,24.05,283963,0
2017-05-23,24.17,24.56,24.08,24.56,563911,0
