Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,30.058,30.208,29.714,29.763,13656,0
2017-01-04,29.96,30.404,29.763,30.01,15943,0
2017-01-05,29.96,30.355,29.614,29.862,16094,0
2017-01-06,30.058,30.058,29.418,29.517,11594,0
2017-01-09,29.368,29.911,29.196,29.368,31823,0
2017-01-10,29.467,29.96,29.467,29.565,5763,0
2017-01-11,29.467,29.467,28.577,28.677,12548,0
2017-01-12,28.627,29.322,27.69,27.789,12693,0
2017-01-13,27.936,27.936,27.493,27.59,10442,0
2017-01-17,27.344,27.59,27.197,27.294,16311,0
2017-01-18,27.443,27.443,26.604,26.998,23347,0
2017-01-19,27.394,27.888,27.148,27.64,45459,0
2017-01-20,27.64,28.06,27.64,27.839,21015,0
2017-01-23,27.839,28.085,27.739,28.035,23545,0
2017-01-24,28.231,30.158,28.035,30.108,52528,0
2017-01-25,30.305,30.305,29.022,29.22,38505,0
2017-01-26,29.122,29.122,28.677,28.727,13661,0
2017-01-27,28.727,29.22,28.035,28.231,32948,0
2017-01-30,28.135,28.135,27.197,27.64,28973,0
2017-01-31,27.394,27.839,27.245,27.789,24696,0
2017-02-01,28.185,28.231,27.543,28.085,20110,0
2017-02-02,28.135,28.935,27.197,27.344,19832,0
2017-02-03,27.59,27.69,27.098,27.394,15545,0
2017-02-06,27.197,27.197,26.579,26.654,11752,0
2017-02-07,27.344,27.344,25.716,26.012,18043,0
2017-02-08,26.111,26.161,25.169,25.516,22765,0
2017-02-09,25.665,26.508,25.318,26.309,28123,0
2017-02-10,26.358,26.358,25.8,26.161,15676,0
2017-02-13,26.309,26.556,26.161,26.408,25442,0
2017-02-14,26.508,26.656,26.21,26.408,22870,0
2017-02-15,26.259,26.433,26.259,26.309,14393,0
2017-02-16,26.458,26.458,25.814,26.161,27675,0
2017-02-17,26.012,26.217,25.565,26.061,29969,0
2017-02-21,26.161,26.953,26.161,26.903,29466,0
2017-02-22,26.805,27.152,26.408,27.152,13760,0
2017-02-23,27.052,27.25,26.161,27.202,16991,0
2017-02-24,26.903,27.002,26.458,26.656,22133,0
2017-02-27,26.556,27.399,26.556,27.25,20057,0
2017-02-28,27.25,27.25,26.012,27.102,38361,0
2017-03-01,27.399,28.093,27.394,27.646,29659,0
2017-03-02,27.646,28.836,27.052,27.746,26653,0
2017-03-03,27.943,27.993,27.202,27.202,9896,0
2017-03-06,26.953,27.299,26.458,26.458,15600,0
2017-03-07,26.606,26.953,26.508,26.705,14278,0
2017-03-08,26.855,26.855,26.408,26.508,11827,0
2017-03-09,26.953,27.499,26.606,26.953,17974,0
2017-03-10,27.449,27.449,26.458,26.508,10135,0
2017-03-13,26.805,26.83,26.21,26.458,19983,0
2017-03-14,26.358,26.458,26.259,26.309,7315,0
2017-03-15,26.259,26.705,26.259,26.656,11501,0
2017-03-16,26.656,26.953,26.508,26.606,15581,0
2017-03-17,26.458,27.052,26.338,26.606,60963,0
2017-03-20,26.556,26.556,25.615,25.665,13422,0
2017-03-21,25.764,25.957,25.268,25.516,44131,0
2017-03-22,25.268,25.268,24.674,24.921,37754,0
2017-03-23,24.971,25.418,24.822,25.071,19504,0
2017-03-24,25.169,25.268,24.724,24.724,12873,0
2017-03-27,24.774,25.467,24.724,25.318,18884,0
2017-03-28,25.368,25.815,25.218,25.715,12997,0
2017-03-29,25.565,26.161,25.565,26.061,10694,0
2017-03-30,24.921,26.012,24.822,25.764,36318,0
2017-03-31,25.814,26.855,25.814,26.656,31520,0
2017-04-03,26.458,27.052,25.551,26.705,37318,0
2017-04-04,27.002,27.202,25.442,25.863,40035,0
2017-04-05,25.962,26.556,25.912,26.161,18888,0
2017-04-06,26.161,26.903,26.061,26.805,27693,0
2017-04-07,26.903,27.152,26.855,27.052,25640,0
2017-04-10,27.399,27.452,27.052,27.152,28110,0
2017-04-11,27.052,28.193,27.052,28.093,14732,0
2017-04-12,27.596,27.696,27.152,27.449,20621,0
2017-04-13,27.499,27.796,27.225,27.399,16023,0
2017-04-17,27.399,27.796,27.184,27.746,15782,0
2017-04-18,27.993,27.993,27.449,27.548,13399,0
2017-04-19,27.796,27.893,27.509,27.646,19981,0
2017-04-20,27.993,29.084,27.943,29.034,19725,0
2017-04-21,29.034,29.281,28.587,29.034,22427,0
2017-04-24,29.678,29.678,28.49,28.984,29886,0
2017-04-25,29.431,30.521,28.797,30.273,60717,0
2017-04-26,30.57,32.106,30.57,31.312,30951,0
2017-04-27,31.759,31.759,30.818,30.868,18909,0
2017-04-28,31.165,31.165,29.678,29.777,41515,0
2017-05-01,30.124,30.471,29.53,30.273,18144,0
2017-05-02,30.421,31.118,30.174,30.57,24605,0
2017-05-03,30.57,30.668,29.877,29.877,13858,0
2017-05-04,30.124,30.273,29.628,30.273,12306,0
2017-05-05,30.273,30.421,29.53,30.223,12558,0
2017-05-08,30.273,30.421,29.331,30.025,20255,0
2017-05-09,30.273,30.967,29.926,30.818,22493,0
2017-05-10,30.718,31.314,30.718,31.314,25628,0
2017-05-11,31.265,31.414,31.016,31.116,22690,0
2017-05-12,31.066,31.066,30.37,30.47,32133,0
2017-05-15,30.668,30.668,29.276,29.476,15311,0
2017-05-16,29.624,29.624,29.056,29.526,14402,0
2017-05-17,29.028,29.178,27.984,28.257,23683,0
2017-05-18,28.357,28.357,27.538,28.034,21405,0
2017-05-19,28.034,28.134,27.586,27.686,21821,0
2017-05-22,27.636,27.984,27.586,27.885,20910,0
2017-05-23,27.885,28.332,27.836,27.836,26863,0
2017-05-24,28.034,28.134,27.586,27.836,27627,0
2017-05-25,27.984,28.58,27.736,27.885,21443,0
2017-05-26,27.934,28.928,27.934,28.73,9613,0
2017-05-30,28.73,29.774,28.705,29.476,19266,0
2017-05-31,29.724,29.724,28.978,29.526,14902,0
2017-06-01,29.724,30.569,29.674,30.42,17609,0
2017-06-02,30.668,31.712,30.668,30.868,31147,0
2017-06-05,30.718,31.364,30.172,30.271,14673,0
2017-06-06,30.022,30.395,29.326,29.326,15035,0
2017-06-07,29.426,29.724,29.276,29.376,18975,0
2017-06-08,29.426,31.116,29.326,30.967,19262,0
