Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,5.8,5.95,5.7597,5.95,34137,0
2017-01-04,5.85,6.15,5.85,5.95,54649,0
2017-01-05,5.95,6,5.85,5.85,22156,0
2017-01-06,5.8,5.95,5.8,5.95,11796,0
2017-01-09,5.9,5.956,5.9,5.9,17134,0
2017-01-10,5.85,6.0584,5.85,6.05,29493,0
2017-01-11,6.05,6.352,6,6.1,53298,0
2017-01-12,6,6.1,5.9099,5.975,63458,0
2017-01-13,6.0452,6.25,6,6.05,32057,0
2017-01-17,5.95,6.1,5.95,6,26822,0
2017-01-18,6.05,6.05,5.8,5.85,65371,0
2017-01-19,5.85,5.9,5.8,5.8,25710,0
2017-01-20,5.8,6.05,5.8,5.85,65775,0
2017-01-23,5.85,5.85,5.8,5.8,18722,0
2017-01-24,5.85,6.3,5.8,6.225,91161,0
2017-01-25,6.2,6.2,5.8,5.85,68833,0
2017-01-26,5.9,6.05,5.8,5.8,40324,0
2017-01-27,5.85,6,5.8,5.95,41767,0
2017-01-30,5.8,6,5.8,5.9,12511,0
2017-01-31,5.85,5.95,5.8,5.9,13786,0
2017-02-01,5.9,5.95,5.85,5.95,10998,0
2017-02-02,5.9,5.9941,5.85,5.9,22747,0
2017-02-03,5.9,5.9,5.8,5.8,39454,0
2017-02-06,5.85,5.85,5.6,5.7,33249,0
2017-02-07,5.7,5.8,5.65,5.7,17181,0
2017-02-08,5.75,5.75,5.65,5.65,30577,0
2017-02-09,5.7,5.9,5.7,5.85,6770,0
2017-02-10,5.9,6,5.83,5.95,3447,0
2017-02-13,6,6,5.85,5.95,23360,0
2017-02-14,5.95,6.05,5.9,5.9,12283,0
2017-02-15,5.95,6.0025,5.8,5.9,5104,0
2017-02-16,5.95,6.15,5.9,5.9,12678,0
2017-02-17,5.9,5.9,5.8,5.85,19433,0
2017-02-21,5.8,5.8,5.7,5.725,46663,0
2017-02-22,5.55,5.6,4.9,5,185701,0
2017-02-23,4.9,5.45,4.9,5.4,66419,0
2017-02-24,5.4,5.4,5.1,5.2,35917,0
2017-02-27,5.15,5.35,5.1,5.2,10250,0
2017-02-28,5.15,5.25,5.15,5.15,19932,0
2017-03-01,5.1,5.2,5.1,5.15,19585,0
2017-03-02,5.15,5.1675,4.975,5.1,47144,0
2017-03-03,5.001,5.1,5,5.1,12817,0
2017-03-06,5.05,5.15,4.95,5,31212,0
2017-03-07,4.95,5,4.85,5,29676,0
2017-03-08,5,5,4.9,5,8364,0
2017-03-09,5,5.05,4.9,5.05,10565,0
2017-03-10,5.05,5.2,5.05,5.1,31251,0
2017-03-13,5,5.25,5,5.25,27305,0
2017-03-14,5.2,5.2,5,5.1,12889,0
2017-03-15,5.026,5.25,5,5.2,31492,0
2017-03-16,5.2,5.55,5.2,5.3,36866,0
2017-03-17,5.2,5.3,5.15,5.15,17779,0
2017-03-20,5.25,5.25,4.99,5,33429,0
2017-03-21,5,5.2,5,5,21851,0
2017-03-22,5.05,5.05,4.85,4.85,15005,0
2017-03-23,4.8573,4.9,4.8,4.8875,48961,0
2017-03-24,4.9,4.975,4.7,4.8,53613,0
2017-03-27,4.8,4.8,4.65,4.75,43293,0
2017-03-28,4.7,5.2575,4.7,5.25,328813,0
2017-03-29,5.25,5.45,5.1301,5.35,30291,0
2017-03-30,5.4,5.5075,5.392,5.5,62342,0
2017-03-31,5.5,5.5461,5.3,5.4,40945,0
2017-04-03,5.4503,5.55,5.35,5.45,27378,0
2017-04-04,5.4,5.45,5.35,5.35,17579,0
2017-04-05,5.3,5.4,5.2,5.2,21040,0
2017-04-06,5.239,5.25,5.2,5.25,4440,0
2017-04-07,5.2,5.4,5.055,5.3,9568,0
2017-04-10,5.1501,5.3,5.15,5.25,5217,0
2017-04-11,5.3,5.3,5.2,5.2,9463,0
2017-04-12,5.25,5.25,5.15,5.15,8055,0
2017-04-13,5.1354,5.15,5.05,5.1,1372,0
2017-04-17,5.05,5.1375,4.95,5.05,15359,0
2017-04-18,4.95,5.15,4.95,5.1,8536,0
2017-04-19,5.05,5.2,5.05,5.15,22738,0
2017-04-20,5.1,5.3,5.1,5.3,8102,0
2017-04-21,5.3,5.3,5.25,5.25,13786,0
2017-04-24,5.269,5.3,5.2,5.25,22609,0
2017-04-25,5.2,5.25,5.15,5.219,6902,0
2017-04-26,5.15,5.375,5.15,5.25,17278,0
2017-04-27,5.2,5.2553,5.2,5.2,17404,0
2017-04-28,5.151,5.25,5.15,5.2,12146,0
2017-05-01,5.25,5.25,5.15,5.2,17200,0
2017-05-02,5.1742,5.2,5.15,5.15,20232,0
2017-05-03,5.15,5.15,4.95,5.05,21479,0
2017-05-04,5.1,5.1,5.05,5.1,7116,0
2017-05-05,5.1,5.15,5.05,5.05,16225,0
2017-05-08,5,5,4.95,4.95,9568,0
2017-05-09,4.9,4.95,4.85,4.85,27524,0
2017-05-10,4.8,5.1,4.8,5.05,9651,0
2017-05-11,5.15,5.2,5.1,5.1,31554,0
2017-05-12,5.15,5.15,5.05,5.05,3190,0
2017-05-15,5.025,5.1,4.95,5.05,40746,0
2017-05-16,5,5,4.7,4.9,46467,0
2017-05-17,4.9,4.9,4.75,4.8,14681,0
2017-05-18,4.679,4.85,4.679,4.8,22559,0
2017-05-19,4.65,4.9,4.65,4.8,33071,0
2017-05-22,4.8,4.95,4.8,4.85,7638,0
2017-05-23,4.9,5,4.85,4.9,32538,0
2017-05-24,4.95,4.95,4.85,4.85,6209,0
2017-05-25,4.9,4.95,4.7628,4.9,17582,0
2017-05-26,4.95,4.95,4.85,4.95,15806,0
2017-05-30,4.9,5.05,4.9,5,7882,0
2017-05-31,5,5.1,5,5.05,12499,0
2017-06-01,5,5.05,5,5,23153,0
2017-06-02,5.07,5.15,5.05,5.05,14198,0
2017-06-05,5.05,5.1,5.05,5.05,10603,0
2017-06-06,5.05,5.1,4.95,5.1,32789,0
2017-06-07,5.1,5.1,4.9,4.9,22193,0
2017-06-08,4.95,4.95,4.75,4.85,8692,0
2017-06-09,5,5,4.85,4.85,4486,0
2017-06-12,4.8,4.85,4.8,4.85,12657,0
2017-06-13,4.8,4.9916,4.8,4.875,28047,0
2017-06-14,4.95,4.95,4.8,4.85,11265,0
2017-06-15,4.8,5.15,4.8,5.1,69153,0
2017-06-16,5.085,5.1,4.95,5,21190,0
2017-06-19,5.0001,5.15,5.0001,5.1,43467,0
2017-06-20,5.05,5.15,5.05,5.05,7502,0
2017-06-21,5.1,5.1,5,5.05,2467,0
2017-06-22,5.1,5.1,5,5.05,6286,0
2017-06-23,5.1,5.4,5.04,5.4,97946,0
2017-06-26,5.4427,5.45,5.25,5.35,67894,0
2017-06-27,5.35,5.8,5.35,5.55,54395,0
2017-06-28,5.6,5.75,5.5,5.65,52673,0
2017-06-29,5.65,5.65,5.5,5.6,43843,0
2017-06-30,5.6,5.65,5.55,5.6,47483,0
2017-07-03,5.75,5.75,5.6,5.6,4003,0
2017-07-05,5.601,5.7,5.55,5.65,21068,0
2017-07-06,5.618,5.75,5.55,5.7,45313,0
2017-07-07,5.65,5.7,5.6,5.6,31668,0
2017-07-10,5.55,5.6,5.3,5.6,34939,0
2017-07-11,5.7,5.7,5.505,5.6,57474,0
2017-07-12,5.6,5.7,5.55,5.55,96249,0
2017-07-13,5.55,5.6,5.5,5.55,39115,0
2017-07-14,5.5,5.65,5.5,5.55,9889,0
2017-07-17,5.6085,5.6085,5.5,5.55,8039,0
2017-07-18,5.6118,5.7,5.55,5.55,45568,0
2017-07-19,5.6,5.6,5.4501,5.55,7304,0
2017-07-20,5.5,5.6,5.5,5.5,20741,0
2017-07-21,5.6,5.6,5.45,5.5,12578,0
2017-07-24,5.55,5.625,5.46,5.6,25727,0
2017-07-25,5.55,5.7,5.425,5.65,50465,0
2017-07-26,5.6,5.75,5.6,5.75,79490,0
2017-07-27,5.7,5.8438,5.7,5.75,25531,0
2017-07-28,5.8,5.8,5.7,5.75,42117,0
2017-07-31,5.7415,5.75,5.65,5.7,84640,0
2017-08-01,5.725,5.725,5.55,5.6355,90553,0
2017-08-02,5.6,5.7,5.5,5.5,46315,0
2017-08-03,5.45,5.55,5.45,5.5,75074,0
2017-08-04,5.5,5.6,5.45,5.45,27207,0
2017-08-07,5.45,5.5,5.3,5.3,22471,0
2017-08-08,5.3,5.35,5.175,5.3,56358,0
2017-08-09,5.2,5.3,4.7499,5.05,83423,0
2017-08-10,5.0302,5.05,4.8,4.8,49476,0
2017-08-11,4.8,5.1,4.7,4.95,53494,0
2017-08-14,4.9,5.15,4.85,5.15,64103,0
2017-08-15,5.15,5.15,4.85,4.9,97487,0
2017-08-16,4.95,5,4.55,4.85,124423,0
2017-08-17,4.85,5.15,4.85,5,12114,0
2017-08-18,5,5.05,4.95,5,8940,0
2017-08-21,4.95,4.95,4.9,4.95,15918,0
2017-08-22,4.95,4.95,4.55,4.8,111789,0
2017-08-23,4.8,4.85,4.5,4.85,105729,0
2017-08-24,4.85,4.95,4.8,4.85,13669,0
2017-08-25,4.8866,4.9,4.85,4.85,14427,0
2017-08-28,4.85,4.9,4.85,4.85,7988,0
2017-08-29,4.9,4.95,4.875,4.9,24640,0
2017-08-30,4.85,5.1,4.85,4.95,6700,0
2017-08-31,4.95,5.05,4.9,5,15990,0
2017-09-01,5.0564,5.15,5,5.05,8655,0
2017-09-05,5.1,5.3066,4.75,5.2,41952,0
2017-09-06,5.3,5.3,4.8,4.85,47984,0
2017-09-07,4.85,4.95,4.75,4.75,13255,0
2017-09-08,4.7,4.85,4.6,4.825,62084,0
2017-09-11,4.8,4.9,4.8,4.8,8205,0
2017-09-12,4.75,5.05,4.75,4.95,21440,0
2017-09-13,5,5.15,5,5,22519,0
2017-09-14,4.95,5,4.85,4.95,12752,0
2017-09-15,5,5.1,5,5.05,9609,0
2017-09-18,5,5.1,4.8,5.1,17611,0
2017-09-19,5.045,5.045,4.8,4.95,6290,0
2017-09-20,4.95,5.05,4.85,4.85,14676,0
2017-09-21,4.95,4.95,4.4,4.5,67354,0
2017-09-22,4.5066,4.9245,4.5066,4.9245,5988,0
2017-09-25,4.9,5,4.7,4.8,34694,0
2017-09-26,4.8,4.8999,4.7,4.875,16063,0
2017-09-27,4.85,5.05,4.85,5,4309,0
2017-09-28,5.05,5.1,5,5.05,14867,0
2017-09-29,5,5.25,4.9945,5.25,25656,0
2017-10-02,5.21,5.2605,4.75,4.75,43613,0
2017-10-03,4.8,4.943,4.8,4.8,16806,0
2017-10-04,4.9,5.1,4.75,4.8,11034,0
2017-10-05,4.85,5.025,4.85,5.025,13225,0
2017-10-06,4.95,5.05,4.9,5.05,22594,0
2017-10-09,4.85,5.05,4.85,5,6820,0
2017-10-10,5,5.0703,4.85,4.9,67998,0
2017-10-11,5.025,5.15,5,5.05,39554,0
2017-10-12,5.0889,5.15,4.95,5.05,22460,0
2017-10-13,5.0965,5.15,5.05,5.1,16387,0
2017-10-16,5.15,5.15,5.1,5.1138,948,0
2017-10-17,5.05,5.102,4.95,5,15785,0
2017-10-18,5,5.15,5,5.1485,23902,0
2017-10-19,5.1,5.15,5,5.05,31803,0
2017-10-20,5.0999,5.0999,5.05,5.05,5991,0
2017-10-23,5.05,5.15,5.039,5.15,13387,0
2017-10-24,5.15,5.15,5.05,5.1,7201,0
2017-10-25,5.2,5.314,5.2,5.2,47737,0
2017-10-26,5.25,5.3,5.2,5.25,10491,0
2017-10-27,5.2773,5.35,5.2615,5.35,17884,0
2017-10-30,5.35,5.35,5.3,5.349,14689,0
2017-10-31,5.35,5.4,5.3,5.35,11587,0
2017-11-01,5.2615,5.35,4.7,4.8,70482,0
2017-11-02,4.85,5.075,4.8,4.85,27970,0
2017-11-03,4.85,4.9965,4.85,4.975,9718,0
2017-11-06,5,5,4.425,4.4492,115267,0
2017-11-07,4.45,4.525,4.4499,4.4499,40339,0
2017-11-08,4.5765,4.95,4.55,4.9,33704,0
2017-11-09,4.9,5.35,4.899,5.275,66171,0
2017-11-10,5.25,5.25,5.15,5.15,23942,0
