Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,5.03,5.195,4.91,5.04,3055415,0
2017-01-04,5.08,5.115,4.985,5.04,1807252,0
2017-01-05,5.09,5.13,4.97,4.98,2413764,0
2017-01-06,4.99,5.01,4.865,4.94,1970253,0
2017-01-09,4.77,4.83,4.655,4.69,2813005,0
2017-01-10,4.7,4.76,4.5944,4.62,2343325,0
2017-01-11,4.65,4.689,4.53,4.64,2081557,0
2017-01-12,4.76,4.77,4.46,4.5,2649676,0
2017-01-13,4.5,4.505,4.42,4.45,1254593,0
2017-01-17,4.5,4.53,4.385,4.41,1634160,0
2017-01-18,4.31,4.32,4.08,4.13,2987317,0
2017-01-19,4.13,4.2,4.023,4.05,1946260,0
2017-01-20,4.16,4.18,4.02,4.06,2278462,0
2017-01-23,4.01,4.1,3.94,4.09,1910191,0
2017-01-24,4.14,4.45,4.13,4.39,3506119,0
2017-01-25,4.37,4.53,4.33,4.43,2104490,0
2017-01-26,4.5,4.56,4.26,4.29,2851823,0
2017-01-27,4.25,4.26,4.11,4.15,1764213,0
2017-01-30,4.12,4.12,3.92,3.95,2937896,0
2017-01-31,4,4.05,3.93,4,1909804,0
2017-02-01,4.04,4.04,3.87,4.01,2618399,0
2017-02-02,4.03,4.06,3.94,3.99,1840893,0
2017-02-03,4.01,4.07,3.95,4.01,1875399,0
2017-02-06,4.03,4.03,3.78,3.8,3121666,0
2017-02-07,3.75,3.75,3.53,3.6,4731498,0
2017-02-08,3.56,3.75,3.47,3.75,3838877,0
2017-02-09,3.86,3.92,3.74,3.76,2126309,0
2017-02-10,3.87,3.9588,3.87,3.89,2086537,0
2017-02-13,3.86,3.94,3.8,3.94,1805492,0
2017-02-14,4,4.06,3.92,4.06,1692572,0
2017-02-15,4.03,4.05,3.95,3.98,1910882,0
2017-02-16,4.05,4.07,3.9267,3.94,1320498,0
2017-02-17,3.91,3.93,3.8661,3.9,1226845,0
2017-02-21,3.97,4.1,3.955,4.03,2321845,0
2017-02-22,3.94,3.96,3.83,3.83,1921039,0
2017-02-23,3.97,3.99,3.85,3.88,1953876,0
2017-02-24,3.88,3.88,3.72,3.75,1744767,0
2017-02-27,3.78,3.795,3.67,3.68,1934142,0
2017-02-28,3.64,3.66,3.581,3.63,1890752,0
2017-03-01,3.65,3.73,3.65,3.65,2135624,0
2017-03-02,3.63,3.63,3.4801,3.53,2068717,0
2017-03-03,3.55,3.635,3.51,3.59,1403705,0
2017-03-06,3.56,3.765,3.541,3.76,1889434,0
2017-03-07,3.87,3.88,3.585,3.75,2527626,0
2017-03-08,3.68,3.72,3.4,3.41,3042108,0
2017-03-09,3.4,3.5,3.27,3.44,4225073,0
2017-03-10,3.46,3.55,3.42,3.52,1528253,0
2017-03-13,3.5,3.605,3.5,3.52,1245471,0
2017-03-14,3.43,3.45,3.26,3.3,2795956,0
2017-03-15,3.36,3.55,3.35,3.54,2289778,0
2017-03-16,3.55,3.57,3.475,3.5,1047141,0
2017-03-17,3.53,3.56,3.38,3.44,2192964,0
2017-03-20,3.39,3.46,3.37,3.41,1648529,0
2017-03-21,3.46,3.48,3.23,3.27,1889436,0
2017-03-22,3.2,3.29,3.155,3.27,2269267,0
2017-03-23,3.27,3.31,3.19,3.26,2217878,0
2017-03-24,3.26,3.31,3.11,3.14,2858911,0
2017-03-27,3.09,3.225,3.01,3.21,2791660,0
2017-03-28,3.23,3.36,3.21,3.34,2100406,0
2017-03-29,3.32,3.535,3.32,3.49,2324339,0
2017-03-30,3.53,3.567,3.43,3.44,1976549,0
2017-03-31,3.41,3.49,3.37,3.42,2510761,0
2017-04-03,3.41,3.42,3.26,3.33,1360230,0
2017-04-04,3.35,3.44,3.29,3.43,1367946,0
2017-04-05,3.47,3.565,3.38,3.39,2316166,0
2017-04-06,3.43,3.48,3.39,3.46,1961810,0
2017-04-07,3.47,3.5,3.4,3.41,1050135,0
2017-04-10,3.45,3.59,3.45,3.56,1535021,0
2017-04-11,3.57,3.57,3.45,3.53,1916672,0
2017-04-12,3.55,3.63,3.44,3.47,2307577,0
2017-04-13,3.49,3.51,3.325,3.36,1795347,0
2017-04-17,3.37,3.4277,3.32,3.38,1119033,0
2017-04-18,3.32,3.4,3.28,3.29,1141054,0
2017-04-19,3.3,3.3,3.08,3.09,1784661,0
2017-04-20,3.12,3.1398,2.97,2.98,2450515,0
2017-04-21,2.97,3,2.9,2.99,1918734,0
2017-04-24,3.01,3.05,2.97,2.99,1172084,0
2017-04-25,2.98,3,2.93,2.97,1541363,0
2017-04-26,2.93,3.065,2.91,2.96,1751354,0
2017-04-27,2.91,2.96,2.8,2.96,2148710,0
2017-04-28,3,3.04,2.95,3.02,1860319,0
2017-05-01,3,3.02,2.92,2.93,934508,0
2017-05-02,2.94,2.97,2.88,2.94,1336183,0
2017-05-03,2.95,3.045,2.92,3.01,1539873,0
2017-05-04,2.95,2.95,2.8,2.8,1924787,0
2017-05-05,2.84,3.11,2.82,3.11,3025992,0
2017-05-08,3.11,3.27,3.04,3.27,1908076,0
2017-05-09,3.28,3.28,3.14,3.24,1782355,0
2017-05-10,3.3,3.43,3.26,3.36,2072232,0
2017-05-11,3.38,3.4,3.25,3.26,1539933,0
2017-05-12,3.27,3.32,3.2,3.22,805662,0
2017-05-15,3.37,3.45,3.32,3.33,1525997,0
2017-05-16,3.36,3.415,3.31,3.32,1389025,0
2017-05-17,3.3,3.36,3.225,3.23,1559721,0
2017-05-18,3.19,3.32,3.14,3.27,1310734,0
2017-05-19,3.33,3.4546,3.32,3.43,1578116,0
2017-05-22,3.48,3.5,3.36,3.41,790079,0
2017-05-23,3.49,3.49,3.4,3.44,1204596,0
2017-05-24,3.45,3.48,3.29,3.31,1245378,0
2017-05-25,3.28,3.38,3.05,3.07,2739742,0
2017-05-26,3.09,3.19,3.0818,3.13,1075433,0
2017-05-30,3.07,3.07,2.94,2.95,1802017,0
2017-05-31,2.88,2.93,2.83,2.91,1701063,0
2017-06-01,2.92,3.07,2.9,2.92,1878535,0
2017-06-02,2.9,2.9,2.76,2.8,2405605,0
2017-06-05,2.76,2.82,2.72,2.81,1593883,0
2017-06-06,2.8,2.91,2.76,2.9,1311526,0
2017-06-07,2.87,2.92,2.63,2.63,3394509,0
2017-06-08,2.62,2.72,2.59,2.61,1891663,0
2017-06-09,2.61,2.77,2.61,2.75,2058115,0
2017-06-12,2.83,2.88,2.77,2.79,1675521,0
2017-06-13,2.81,2.9194,2.7825,2.88,1676313,0
2017-06-14,2.85,2.85,2.62,2.63,2552774,0
2017-06-15,2.61,2.655,2.38,2.4,2661812,0
2017-06-16,2.43,2.54,2.42,2.53,1994114,0
2017-06-19,2.53,2.535,2.48,2.5,1551050,0
2017-06-20,2.39,2.43,2.3,2.42,2055174,0
2017-06-21,2.39,2.44,2.18,2.21,3565361,0
