Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,39.504,39.851,38.99,39.673,1500727,0
2017-01-04,39.594,40.495,38.782,40.415,1616963,0
2017-01-05,40.336,40.712,39.792,40.366,1793211,0
2017-01-06,40.575,40.96,40.118,40.692,1807162,0
2017-01-09,40.584,40.911,40.118,40.415,1566423,0
2017-01-10,40.565,40.999,40.153,40.366,2815207,0
2017-01-11,40.218,40.286,39.039,39.722,4485495,0
2017-01-12,39.742,39.976,38.93,39.594,2460978,0
2017-01-13,39.683,40.089,39.653,39.901,1311833,0
2017-01-17,39.722,39.881,39.257,39.396,1617098,0
2017-01-18,39.584,39.584,39.217,39.386,2044255,0
2017-01-19,39.524,39.584,39.227,39.425,1805805,0
2017-01-20,39.514,39.634,39.119,39.465,1822494,0
2017-01-23,39.475,39.719,38.911,39.109,1617997,0
2017-01-24,39.396,40.128,39.376,40.029,2168726,0
2017-01-25,40.346,40.901,40.346,40.891,920827,0
2017-01-26,40.712,41.019,40.291,40.376,1250709,0
2017-01-27,40.385,40.525,39.801,39.999,976732,0
2017-01-30,40.118,40.238,39.485,40.158,1719170,0
2017-01-31,40.019,40.455,39.673,40.425,1827103,0
2017-02-01,40.742,41.089,40.278,40.623,1236839,0
2017-02-02,40.603,40.859,39.871,40.069,1856509,0
2017-02-03,40.296,40.475,40.059,40.198,1034344,0
2017-02-06,39.861,40.188,39.802,40.168,872584,0
2017-02-07,40.089,40.089,39.307,39.703,1695212,0
2017-02-08,39.742,40.193,39.455,40.059,2014224,0
2017-02-09,39.604,40.901,39.604,40.248,2585790,0
2017-02-10,40.485,41.237,40.395,41.218,2120912,0
2017-02-13,41.257,41.762,40.979,41.257,2308871,0
2017-02-14,41.326,41.495,40.712,41.089,1710449,0
2017-02-15,41.089,41.633,40.702,41.495,1547668,0
2017-02-16,41.515,41.832,40.772,40.97,1373033,0
2017-02-17,40.565,41.96,40.258,41.96,2294650,0
2017-02-21,42.197,42.891,41.802,42.207,2453763,0
2017-02-22,42.168,42.436,41.98,42.346,1396576,0
2017-02-23,42.465,42.653,41.925,42.049,1487713,0
2017-02-24,41.583,41.633,40.822,41.119,2561024,0
2017-02-27,41.198,42.186,41.079,42.172,1873185,0
2017-02-28,41.913,42.281,41.784,41.913,1774260,0
2017-03-01,42.609,43.145,42.46,42.708,2115837,0
2017-03-02,42.728,43.106,42.648,42.857,2036562,0
2017-03-03,42.847,42.926,42.42,42.678,2026348,0
2017-03-06,42.132,42.221,41.531,41.625,1733581,0
2017-03-07,41.545,41.715,41.129,41.417,1996357,0
2017-03-08,41.456,41.804,41.302,41.665,1515086,0
2017-03-09,41.715,41.715,41.109,41.287,1577371,0
2017-03-10,41.655,41.883,41.267,41.516,1688886,0
2017-03-13,41.725,42.39,41.615,42.33,1725819,0
2017-03-14,42.023,42.837,41.953,42.738,1686198,0
2017-03-15,42.936,43.94,42.788,43.662,1835664,0
2017-03-16,43.771,43.95,43.294,43.364,1370402,0
2017-03-17,43.274,43.274,42.221,42.48,2145290,0
2017-03-20,42.509,42.638,42.122,42.291,1198405,0
