Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,59.811,60.215,58.893,59.721,18584709,0
2017-01-04,59.821,60.746,59.741,60.53,17189971,0
2017-01-05,60.097,60.55,59.051,59.475,18580010,0
2017-01-06,59.811,59.967,59.219,59.681,17015641,0
2017-01-09,59.287,59.771,58.815,59.357,14803452,0
2017-01-10,59.337,59.977,59.091,59.367,13663538,0
2017-01-11,58.806,59.141,58.396,59.101,21031968,0
2017-01-12,58.677,58.962,57.918,58.381,23097442,0
2017-01-13,58.597,59.455,58.528,58.776,21344608,0
2017-01-17,58.164,58.471,57.198,57.543,25372987,0
2017-01-18,57.158,57.445,56.281,56.568,29688787,0
2017-01-19,56.705,56.775,55.581,55.848,25279339,0
2017-01-20,56.124,56.301,55.227,55.306,28115347,0
2017-01-23,55.316,55.483,54.626,54.882,23460938,0
2017-01-24,55.157,56.331,54.877,55.927,18669819,0
2017-01-25,57.071,57.09,56.281,56.863,21791842,0
2017-01-26,56.775,57.144,56.232,56.538,21092620,0
2017-01-27,56.568,56.588,55.907,56.291,17311476,0
2017-01-30,55.7,55.868,54.961,55.798,17787788,0
2017-01-31,55.522,56.144,54.777,55.03,29643813,0
2017-02-01,55.907,56.164,55.079,55.246,17690458,0
2017-02-02,54.851,55.563,54.594,55.336,15759944,0
2017-02-03,56.384,57.209,55.938,57.094,21649840,0
2017-02-06,56.849,57.679,56.679,56.977,15858034,0
2017-02-07,57.332,57.401,56.354,56.532,14153505,0
2017-02-08,56.264,56.264,55.494,55.672,18837666,0
2017-02-09,55.998,56.877,55.721,56.602,18260434,0
2017-02-10,57.154,57.284,56.472,56.967,14588606,0
2017-02-13,57.323,58.682,57.323,58.271,23043866,0
2017-02-14,58.321,59.418,58.074,59.142,22611815,0
2017-02-15,59.467,60.169,59.013,59.804,22675242,0
2017-02-16,59.655,59.804,59.072,59.684,16093548,0
2017-02-17,59.013,59.477,58.717,59.477,15284174,0
2017-02-21,59.596,59.991,59.537,59.854,15991564,0
2017-02-22,59.487,60.249,59.329,59.922,16206347,0
2017-02-23,59.942,60.139,59.537,59.922,14789312,0
2017-02-24,58.874,59.487,58.874,58.874,20130158,0
2017-02-27,58.874,59.547,58.726,59.329,15894311,0
2017-02-28,58.983,59.399,58.796,59.122,17433000,0
2017-03-01,60.496,61.227,60.299,60.831,26725442,0
2017-03-02,60.97,61.158,59.892,59.932,17461823,0
2017-03-03,59.694,60.545,59.636,60.299,15359886,0
2017-03-06,60.1,60.179,59.567,59.587,15151327,0
2017-03-07,59.497,60.011,59.087,59.804,17497698,0
2017-03-08,60.851,61.811,60.356,60.406,31073390,0
2017-03-09,60.654,61.376,60.526,60.841,21672545,0
2017-03-10,61.227,61.316,60.219,60.782,17618696,0
2017-03-13,60.831,61.079,60.279,60.821,13624045,0
2017-03-14,60.624,60.762,60.11,60.733,11956487,0
2017-03-15,60.99,61.069,59.759,60.139,20315137,0
2017-03-16,60.347,60.704,60.071,60.446,15374362,0
2017-03-17,60.456,60.565,59.507,59.674,32653132,0
2017-03-20,59.409,59.684,58.904,58.904,14984708,0
2017-03-21,59.438,59.507,57.284,57.371,34532421,0
2017-03-22,56.749,57.715,56.245,57.104,25944136,0
2017-03-23,57.094,58.143,56.868,57.381,17111016,0
2017-03-24,57.659,57.866,56.942,57.401,13660780,0
2017-03-27,56.196,57.777,55.899,57.659,17456986,0
2017-03-28,57.52,58.973,57.451,58.736,15569539,0
2017-03-29,58.845,59.191,58.588,58.707,13613491,0
2017-03-30,58.707,60.125,58.677,59.814,15058499,0
2017-03-31,59.616,59.814,59.102,59.132,14572156,0
2017-04-03,59.239,59.399,57.975,58.993,15639275,0
2017-04-04,58.607,59.259,58.518,58.993,9850463,0
2017-04-05,59.804,60.318,58.845,58.904,20528697,0
2017-04-06,58.756,59.537,58.331,59.201,13964276,0
2017-04-07,58.647,59.196,58.578,58.746,13604430,0
2017-04-10,58.677,59.284,58.301,58.597,12236007,0
2017-04-11,58.005,58.371,57.411,58.351,15423770,0
2017-04-12,58.41,58.445,57.599,57.836,15383874,0
2017-04-13,57.629,59.042,57.016,57.371,32111971,0
2017-04-17,57.689,58.38,57.259,58.311,14826668,0
2017-04-18,57.906,58.212,57.401,57.747,17080837,0
2017-04-19,58.172,58.419,56.937,57.066,18309156,0
2017-04-20,57.501,57.975,56.887,57.737,17271782,0
2017-04-21,57.709,57.767,56.967,57.056,15426676,0
