Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,217.49,217.49,212.695,216.34,170890,0
2017-01-04,216.46,221,214.72,220.62,172688,0
2017-01-05,218.48,218.48,207.88,209.49,230959,0
2017-01-06,209.4,210.935,205.19,209.68,178388,0
2017-01-09,209.16,211.89,205.485,207.64,130768,0
2017-01-10,207.74,212.53,207.74,209.69,75512,0
2017-01-11,210.26,211.665,208.62,211.54,53324,0
2017-01-12,210.94,210.94,206.18,210.41,85861,0
2017-01-13,211.3,211.5,207.88,208.48,77892,0
2017-01-17,207.37,209.5,206,207.99,120800,0
2017-01-18,208.1,208.1,205.77,206,69898,0
2017-01-19,207,207,198.055,200.44,159755,0
2017-01-20,200.99,204.91,199.46,203.26,74459,0
2017-01-23,202.9,204.84,202.07,204.18,88059,0
2017-01-24,204.49,211.07,202.56,209.75,87317,0
2017-01-25,209.26,211.11,204.96,208.5,76613,0
2017-01-26,208.48,210.115,205.17,205.835,87204,0
2017-01-27,205.03,208.34,205.03,206.29,68506,0
2017-01-30,205.57,207.99,202,206.45,122883,0
2017-01-31,206.45,207.48,203.045,205.28,122436,0
2017-02-01,203.22,206.87,190,195,756374,0
2017-02-02,194.47,199.73,193.13,198.99,156029,0
2017-02-03,199.62,204.85,198.99,202.98,226143,0
2017-02-06,199.22,205.97,198.13,203.39,155884,0
2017-02-07,203.15,207.25,197.03,197.95,401064,0
2017-02-08,197.79,200.47,191.09,196.79,230463,0
2017-02-09,196.88,205.5,196.84,198.8,245428,0
2017-02-10,199.13,203.6,199.04,199.86,168136,0
2017-02-13,201.05,205,201.05,203.33,125416,0
2017-02-14,202.41,204.02,201.35,201.87,66918,0
2017-02-15,202.31,204.45,199.7,203.1,112426,0
2017-02-16,203,203.31,200.17,202.4,108936,0
2017-02-17,199,199.16,190.57,191.99,339942,0
2017-02-21,194.29,195.46,190.63,194.08,190582,0
2017-02-22,193.61,197.21,193.02,196.96,132162,0
2017-02-23,197.54,199.525,196.6,198.39,150082,0
2017-02-24,197.06,202,194.87,200.79,133266,0
2017-02-27,200.98,204,200.15,203.12,125793,0
2017-02-28,202.13,204.03,199.62,200.46,204317,0
2017-03-01,203.15,205.8,203.15,204.02,252789,0
2017-03-02,206,206,202.71,203.9,89180,0
2017-03-03,204.29,204.81,202.02,203.33,47318,0
2017-03-06,202.81,202.93,199.12,199.8,115878,0
2017-03-07,199.72,200.47,195.34,197.69,164099,0
