Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,28.795,28.828,28.086,28.578,122788,0
2017-01-04,28.748,29.676,28.748,29.524,254207,0
2017-01-05,27.452,27.815,25.236,25.302,708224,0
2017-01-06,25.302,25.302,23.561,24.441,825128,0
2017-01-09,24.431,25.274,24.29,24.933,513470,0
2017-01-10,24.791,25.359,24.394,25.359,347081,0
2017-01-11,25.368,25.368,24.692,25.123,336632,0
2017-01-12,24.924,25.198,24.688,24.99,209189,0
2017-01-13,25.131,25.425,24.791,25.34,258527,0
2017-01-17,25.292,26.296,25.292,25.644,206283,0
2017-01-18,25.577,25.624,25.008,25.482,204957,0
2017-01-19,25.322,25.738,25.065,25.473,277339,0
2017-01-20,25.34,25.733,25.217,25.302,177725,0
2017-01-23,25.227,25.236,24.781,25.131,186168,0
2017-01-24,25.161,25.475,24.867,25.274,167660,0
2017-01-25,25.227,25.41,25.048,25.274,197860,0
2017-01-26,25.274,25.511,24.772,25.123,403217,0
2017-01-27,25.056,25.094,24.337,24.497,223744,0
2017-01-30,24.394,24.394,23.769,24.138,326282,0
2017-01-31,23.769,24.091,23.495,24.034,259172,0
2017-02-01,24.214,24.374,23.475,23.664,287206,0
2017-02-02,23.475,23.977,23.147,23.533,442934,0
2017-02-03,23.551,24.441,23.504,24.404,295625,0
2017-02-06,24.298,24.579,23.787,23.845,201073,0
2017-02-07,24.024,24.062,23.787,23.807,148729,0
2017-02-08,23.76,24.564,23.637,24.394,257895,0
2017-02-09,24.374,25.302,24.176,24.658,270466,0
2017-02-10,24.933,25.558,24.895,25.501,174126,0
2017-02-13,25.501,25.709,24.658,24.754,116467,0
2017-02-14,24.535,25.207,24.535,24.981,149692,0
2017-02-15,24.971,25.17,24.631,25.065,115533,0
2017-02-16,25.028,25.151,24.431,24.725,132358,0
2017-02-17,24.734,25.179,24.602,25.131,143770,0
2017-02-21,25.368,25.624,25.038,25.151,188453,0
2017-02-22,25.018,25.356,24.933,25.161,132340,0
2017-02-23,25.246,25.246,24.214,24.29,271161,0
2017-02-24,24.29,25.075,24.12,24.555,218306,0
2017-02-27,24.517,24.791,24.167,24.374,424846,0
2017-02-28,24.242,24.242,23.447,23.674,193054,0
2017-03-01,23.835,23.874,22.954,23.258,297868,0
2017-03-02,23.027,23.507,22.711,23.172,497470,0
2017-03-03,23.152,23.45,22.567,22.692,355109,0
2017-03-06,22.644,22.672,22.174,22.269,302697,0
2017-03-07,22.184,22.394,21.79,21.895,248517,0
2017-03-08,21.867,22.164,21.751,22.039,350324,0
2017-03-09,21.895,22.25,21.617,21.962,389952,0
2017-03-10,22.059,22.184,21.847,22.029,355487,0
2017-03-13,22.01,22.097,21.665,21.761,214147,0
2017-03-14,21.79,22.059,21.704,21.79,185710,0
2017-03-15,21.837,22.116,21.742,22.049,431065,0
2017-03-16,21.771,21.771,20.149,21.454,563942,0
2017-03-17,21.598,21.819,20.629,21.032,963299,0
2017-03-20,20.956,21.109,20.437,20.716,342271,0
2017-03-21,20.716,20.716,19.881,20.36,405603,0
2017-03-22,20.216,20.341,19.603,19.89,477004,0
2017-03-23,19.976,20.878,19.976,20.648,298940,0
2017-03-24,20.552,20.724,20.369,20.561,341624,0
2017-03-27,20.36,21.137,20.36,20.763,293738,0
2017-03-28,20.552,20.571,20.034,20.379,485121,0
2017-03-29,20.629,21.291,20.446,21.089,402446,0
2017-03-30,21.071,21.234,20.811,21.176,277595,0
2017-03-31,21.176,21.186,20.839,21.071,402360,0
2017-04-03,21.079,21.079,20.379,20.446,258265,0
2017-04-04,20.341,20.504,19.66,19.708,244778,0
2017-04-05,19.784,20.015,19.05,19.151,475098,0
2017-04-06,19.17,19.871,18.93,19.554,333258,0
2017-04-07,19.487,19.881,19.381,19.746,726897,0
2017-04-10,19.833,20.466,19.833,20.043,272198,0
2017-04-11,20.082,20.994,19.851,20.964,440020,0
2017-04-12,20.936,21.099,20.648,20.974,381688,0
2017-04-13,20.936,20.936,20.254,20.476,296405,0
2017-04-17,20.561,21.003,20.399,20.936,227165,0
2017-04-18,20.916,21.262,20.744,21.214,249226,0
2017-04-19,21.272,21.512,21.118,21.195,194580,0
2017-04-20,21.301,21.895,21.301,21.694,204209,0
2017-04-21,21.636,21.684,21.136,21.482,391302,0
2017-04-24,21.713,21.713,21.128,21.473,275437,0
2017-04-25,21.589,21.78,21.396,21.656,240118,0
2017-04-26,21.761,22.116,21.704,21.78,226204,0
2017-04-27,21.886,21.952,21.569,21.79,177116,0
2017-04-28,21.713,21.722,21.349,21.646,169886,0
2017-05-01,21.617,21.876,21.181,21.396,203514,0
2017-05-02,21.319,21.79,21.301,21.636,190207,0
2017-05-03,21.627,21.679,21.281,21.579,176937,0
2017-05-04,21.627,21.713,20.994,21.071,146947,0
2017-05-05,21.109,21.886,20.831,21.829,234446,0
2017-05-08,21.857,22.154,21.66,21.665,288855,0
2017-05-09,21.684,22.356,21.684,21.952,248987,0
2017-05-10,21.914,22.231,21.617,22.145,309888,0
2017-05-11,22.059,22.059,21.079,21.464,207580,0
2017-05-12,21.281,21.281,20.811,21.147,221906,0
2017-05-15,21.301,21.473,20.763,20.792,255947,0
2017-05-16,20.706,20.926,20.159,20.399,260236,0
2017-05-17,20.149,20.581,20.034,20.331,279990,0
2017-05-18,20.034,21.204,19.996,20.658,416573,0
2017-05-19,20.677,20.878,20.168,20.351,351692,0
2017-05-22,20.543,21.234,20.369,21.166,341970,0
2017-05-23,21.243,21.243,20.456,20.485,316235,0
2017-05-24,20.379,20.897,20.36,20.773,289996,0
2017-05-25,20.946,21.079,20.379,20.379,395588,0
2017-05-26,20.312,20.437,19.736,19.765,294067,0
2017-05-30,19.765,19.765,19.238,19.458,393192,0
2017-05-31,19.478,19.718,18.96,19.343,468442,0
2017-06-01,19.285,19.665,18.651,19.655,718170,0
2017-06-02,19.743,19.85,18.914,18.933,407745,0
2017-06-05,18.933,18.982,18.29,18.816,389189,0
2017-06-06,18.67,18.792,17.792,17.812,406739,0
2017-06-07,17.88,18.002,17.129,17.139,520282,0
2017-06-08,17.08,17.119,16.105,16.144,610145,0
2017-06-09,16.114,17.314,16.095,17.217,648488,0
2017-06-12,17.226,18.075,17.226,17.412,568565,0
2017-06-13,17.412,17.558,17.041,17.343,423812,0
2017-06-14,17.402,17.568,17.022,17.529,414993,0
2017-06-15,17.421,17.587,17.261,17.47,354768,0
2017-06-16,17.285,17.392,16.875,17.363,778819,0
2017-06-19,17.373,17.734,17.002,17.695,389017,0
2017-06-20,17.899,17.899,17.217,17.236,327204,0
2017-06-21,17.178,17.363,16.787,16.865,233582,0
2017-06-22,16.856,17.041,16.7,16.709,212286,0
2017-06-23,16.69,17.109,16.583,17.08,430994,0
