Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,17.36,17.41,17,17.2,1019028,0
2017-01-04,17.21,17.41,17.11,17.3,924673,0
2017-01-05,17.54,17.63,17.37,17.41,489888,0
2017-01-06,17.29,17.43,17.18,17.38,421919,0
2017-01-09,17.41,17.54,17.29,17.32,425418,0
2017-01-10,17.5,17.64,17.29,17.36,505584,0
2017-01-11,17.11,17.87,17.05,17.87,614803,0
2017-01-12,18.74,18.885,18.31,18.55,648917,0
2017-01-13,17.85,18.27,17.81,18.12,521614,0
2017-01-17,17.81,18.11,17.71,17.95,707739,0
2017-01-18,17.82,17.91,17.43,17.49,959599,0
2017-01-19,17.61,17.7,17.4,17.6,858758,0
2017-01-20,17.81,18.08,17.79,18.04,440625,0
2017-01-23,18.41,18.72,18.3,18.71,723787,0
2017-01-24,18.55,18.82,18.39,18.73,629866,0
2017-01-25,18.77,19.13,18.77,19.03,337954,0
2017-01-26,18.94,19.06,18.81,19.03,584273,0
2017-01-27,18.97,19.035,18.74,18.78,545472,0
2017-01-30,18.44,18.58,18.33,18.46,496163,0
2017-01-31,18.53,18.6,18.28,18.34,451014,0
2017-02-01,18.42,18.47,18.1,18.28,513010,0
2017-02-02,18.37,18.62,18.34,18.48,458271,0
2017-02-03,18.52,18.9,18.44,18.81,423551,0
2017-02-06,18.6,18.8,18.39,18.62,464415,0
2017-02-07,18.58,18.69,18.29,18.37,267949,0
2017-02-08,18.33,18.72,18.26,18.69,359332,0
2017-02-09,18.51,18.56,18.36,18.45,406476,0
2017-02-10,18.46,18.69,18.43,18.61,418005,0
2017-02-13,18.74,18.77,18.42,18.44,278807,0
2017-02-14,18.49,18.68,18.21,18.66,488673,0
2017-02-15,18.73,19.27,18.638,19.23,320398,0
2017-02-16,19.2,19.36,18.87,18.89,291576,0
2017-02-17,18.67,18.81,18.61,18.73,337637,0
2017-02-21,18.92,19.28,18.87,19.23,472359,0
2017-02-22,19.25,19.32,19.09,19.2,271604,0
2017-02-23,19.59,19.6299,18.93,18.95,378455,0
2017-02-24,18.24,18.42,18.09,18.41,449811,0
2017-02-27,18.45,18.69,18.36,18.58,395517,0
2017-02-28,18.62,18.64,18.05,18.12,327593,0
2017-03-01,18.28,18.82,18.28,18.61,646048,0
2017-03-02,18.49,18.67,18.08,18.11,679707,0
2017-03-03,18.41,18.61,18.21,18.58,356113,0
2017-03-06,18.89,18.89,18.27,18.28,317051,0
2017-03-07,18.26,18.43,18.18,18.25,383504,0
2017-03-08,18.01,18.05,17.29,17.46,616863,0
2017-03-09,17.39,17.44,16.93,16.96,500725,0
2017-03-10,17.52,17.62,17.325,17.43,415168,0
2017-03-13,17.48,17.83,17.29,17.81,374232,0
2017-03-14,17.8,17.84,17.45,17.46,382402,0
2017-03-15,17.55,18.225,17.24,18.19,648652,0
2017-03-16,18.27,18.59,18.0701,18.2,446373,0
2017-03-17,18.46,18.5,17.985,18.36,607553,0
2017-03-20,18.21,19.07,18.2,19.04,556886,0
2017-03-21,19.04,19.11,18.6101,18.74,364755,0
2017-03-22,18.89,19.56,18.86,19.54,1002137,0
2017-03-23,19.7,19.81,19.31,19.73,626420,0
2017-03-24,19.99,20.1,18.76,19.63,1724142,0
2017-03-27,19.51,19.83,19.37,19.67,508132,0
2017-03-28,19.85,20.23,19.56,19.62,436793,0
2017-03-29,19.72,19.97,19.68,19.89,539199,0
2017-03-30,19.77,19.87,19.41,19.52,358280,0
2017-03-31,19.4,19.49,19.13,19.2,654705,0
2017-04-03,19.28,19.51,19.1608,19.49,286514,0
2017-04-04,19.37,19.49,18.9901,19.48,288542,0
2017-04-05,19.66,19.68,19.18,19.21,348281,0
2017-04-06,19.08,19.33,18.77,18.91,448130,0
2017-04-07,19.05,19.24,18.81,18.94,373235,0
2017-04-10,19.02,19.04,18.71,18.93,334860,0
2017-04-11,18.83,18.85,18.26,18.67,481129,0
2017-04-12,18.6,18.61,18.37,18.52,416912,0
2017-04-13,18.54,18.83,18.43,18.43,277520,0
2017-04-17,18.75,19.54,18.7,19.48,477064,0
2017-04-18,19.5,20.15,19.45,19.89,592495,0
