Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,32.175,32.303,31.838,32.195,1276667,0
2017-01-04,32.235,33.423,32.108,33.366,1537713,0
2017-01-05,33.486,33.711,32.692,32.82,2065610,0
2017-01-06,32.84,33.317,32.592,32.929,988720,0
2017-01-09,32.89,33.039,31.748,31.798,1400718,0
2017-01-10,31.986,32.255,31.728,32.215,937148,0
2017-01-11,32.293,32.74,32.125,32.602,803016,0
2017-01-12,32.77,32.939,32.215,32.632,1190061,0
2017-01-13,32.592,32.77,32.105,32.502,859241,0
2017-01-17,32.502,32.876,32.205,32.323,833719,0
2017-01-18,32.303,32.452,31.856,32.016,1098237,0
2017-01-19,32.016,32.373,31.429,31.579,887356,0
2017-01-20,31.609,31.778,31.002,31.371,1492292,0
2017-01-23,31.281,31.778,31.192,31.619,1026264,0
2017-01-24,31.788,32.723,31.718,32.602,1705114,0
2017-01-25,33.167,34.36,32.82,34.28,2561317,0
2017-01-26,34.757,34.915,34.113,34.419,1435497,0
2017-01-27,34.36,34.409,33.366,33.614,1046194,0
2017-01-30,33.267,33.335,32.373,32.949,1222474,0
2017-01-31,33.049,33.177,32.353,32.979,1064584,0
2017-02-01,33.187,33.505,32.448,32.672,971885,0
2017-02-02,32.602,32.959,32.245,32.463,1038051,0
2017-02-03,32.87,33.614,32.682,33.099,975932,0
2017-02-06,33.079,33.167,32.622,32.672,886448,0
2017-02-07,32.75,32.9,32.13,32.473,1569414,0
2017-02-08,32.443,32.473,31.599,31.996,1499933,0
2017-02-09,31.976,33.104,31.788,32.979,1326163,0
2017-02-10,33.059,33.476,32.662,33.446,1031035,0
2017-02-13,33.546,34.637,33.546,34.448,1691114,0
2017-02-14,34.26,35.124,33.585,35.104,2159196,0
2017-02-15,35.035,35.898,34.945,35.749,2409381,0
2017-02-16,35.671,35.72,35.154,35.521,1674723,0
2017-02-17,35.144,35.144,33.483,33.714,2080663,0
2017-02-21,34.21,35.204,34.042,34.905,1496189,0
2017-02-22,34.687,34.905,34.22,34.478,1119874,0
2017-02-23,34.647,34.697,33.257,33.654,1412601,0
2017-02-24,33.336,33.694,32.929,33.634,1207206,0
2017-02-27,33.604,34.37,33.277,34.071,1396256,0
2017-02-28,34.031,34.061,32.979,33.336,1946800,0
2017-03-01,32.79,33.593,31.906,32.81,5458793,0
2017-03-02,32.602,32.959,32.265,32.612,2658924,0
2017-03-03,32.572,33.187,31.981,32.205,1855255,0
2017-03-06,31.956,31.976,30.944,31.321,1854959,0
2017-03-07,31.281,31.596,30.407,30.725,2255958,0
2017-03-08,30.715,31.4,30.715,30.894,1495784,0
2017-03-09,30.794,30.874,29.439,30.05,2157150,0
2017-03-10,30.268,30.467,29.801,30.11,1877901,0
2017-03-13,29.901,30.278,29.689,29.911,1843036,0
2017-03-14,29.563,29.841,29.394,29.791,1430026,0
2017-03-15,29.851,30.402,29.702,30.328,1623359,0
2017-03-16,30.586,30.686,30.119,30.258,1210396,0
2017-03-17,30.069,30.089,29.531,29.621,3208184,0
2017-03-20,29.621,29.76,29.243,29.501,1764646,0
2017-03-21,29.581,29.601,28.65,28.785,2452050,0
2017-03-22,28.715,29.093,28.347,28.626,1873081,0
2017-03-23,28.646,29.074,28.516,28.884,1113703,0
2017-03-24,28.954,29.253,28.601,28.695,1430540,0
2017-03-27,28.297,28.815,28.267,28.725,930142,0
2017-03-28,28.864,29.805,28.825,29.671,1454528,0
2017-03-29,29.74,30.228,29.442,30.029,1435335,0
2017-03-30,30.158,30.756,30.099,30.507,1372384,0
2017-03-31,30.397,30.835,30.397,30.606,1120774,0
2017-04-03,30.686,30.726,29.89,30.029,1243427,0
2017-04-04,29.959,30.457,29.92,30.049,1222688,0
2017-04-05,30.407,30.676,30.049,30.178,2923637,0
2017-04-06,30.218,30.626,30.213,30.278,1079861,0
2017-04-07,30.228,30.417,29.979,30.218,1099076,0
2017-04-10,30.268,30.905,30.228,30.716,1302433,0
2017-04-11,30.686,30.825,30.178,30.338,1008793,0
2017-04-12,30.328,30.328,29.601,29.681,1136893,0
2017-04-13,29.571,29.76,28.735,28.805,1917459,0
2017-04-17,28.894,29.064,28.526,28.944,1392721,0
2017-04-18,28.695,29.521,28.626,29.382,2092833,0
2017-04-19,29.86,30.238,29.661,29.74,1630676,0
2017-04-20,29.86,30.102,29.601,29.969,1028352,0
2017-04-21,29.959,30.024,29.541,29.81,1004004,0
2017-04-24,30.357,30.636,30.009,30.437,1132113,0
2017-04-25,30.586,30.935,30.203,30.865,1453880,0
2017-04-26,30.855,31.542,30.726,31.164,968044,0
2017-04-27,31.034,31.054,30.288,30.557,1042670,0
2017-04-28,30.557,30.636,29.641,29.939,1465848,0
2017-05-01,29.989,30.238,29.621,30.029,1195109,0
2017-05-02,30.039,30.566,30.039,30.357,1910939,0
2017-05-03,30.268,30.318,29.283,29.581,1100533,0
2017-05-04,29.263,29.263,28.765,28.954,1312708,0
2017-05-05,29.034,29.352,28.815,29.163,1081800,0
2017-05-08,29.113,29.263,28.79,28.924,1798332,0
2017-05-09,26.963,27.292,24.913,26.794,11719546,0
2017-05-10,26.665,26.774,25.182,25.271,5372600,0
2017-05-11,25.251,25.371,23.987,24.206,4854321,0
2017-05-12,24.256,24.256,22.803,22.932,4832288,0
2017-05-15,23.39,23.615,22.793,22.932,4256182,0
