Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,2.7,2.75,2.6,2.75,69848,0
2017-01-04,2.8,2.85,2.7,2.7,75076,0
2017-01-05,2.75,2.85,2.75,2.85,21365,0
2017-01-06,2.9,2.95,2.75,2.75,35269,0
2017-01-09,2.75,2.8,2.7,2.75,21610,0
2017-01-10,2.85,3.9,2.85,3.65,1283293,0
2017-01-11,3.6,3.65,3,3.35,654355,0
2017-01-12,3.35,3.65,3.2,3.6,297183,0
2017-01-13,3.65,3.8,3.4,3.45,329558,0
2017-01-17,3.55,3.55,3.25,3.4,104251,0
2017-01-18,3.35,3.35,3.15,3.2,103726,0
2017-01-19,3.15,3.2,3.05,3.2,67333,0
2017-01-20,3.3,3.45,3.05,3.05,69762,0
2017-01-23,3.1,3.25,3.05,3.25,116369,0
2017-01-24,3.25,3.6,3.25,3.35,224271,0
2017-01-25,3.4,3.5,3.35,3.45,83258,0
2017-01-26,3.5,3.6,3.45,3.55,140491,0
2017-01-27,3.5,3.6,3.25,3.45,90098,0
2017-01-30,3.4,3.55,3.3,3.45,124977,0
2017-01-31,3.4,3.5,3.3,3.35,135506,0
2017-02-01,3.3,3.45,3.3,3.45,26248,0
2017-02-02,3.4,4.1,3.3234,3.85,494369,0
2017-02-03,3.9,3.95,3.6,3.9,174088,0
2017-02-06,3.8,4,3.725,3.75,102610,0
2017-02-07,3.75,3.85,3.55,3.65,90289,0
2017-02-08,3.6,4,3.55,3.95,151297,0
2017-02-09,3.95,4,3.725,3.75,146531,0
2017-02-10,3.85,3.9,3.8,3.9,130052,0
2017-02-13,3.95,4.245,3.9,4.05,225215,0
2017-02-14,4.1,4.15,3.9,3.95,59189,0
2017-02-15,3.95,4.05,3.9,4,80662,0
2017-02-16,4,4.05,3.9,3.9,46487,0
2017-02-17,3.85,3.9892,3.8,3.9,101294,0
2017-02-21,3.9,4.2,3.85,4.2,148656,0
2017-02-22,4.1,4.2,4.011,4.1,80189,0
2017-02-23,4.8,4.9,4.15,4.4,998583,0
2017-02-24,4.4,4.45,4.05,4.4,172710,0
2017-02-27,4.4,4.8,4.3,4.7,323575,0
2017-02-28,4.8,4.85,4.63,4.65,134164,0
2017-03-01,4.8,5.1,4.65,4.95,372302,0
2017-03-02,5.1,5.1,4.8,4.9,117249,0
2017-03-03,5,5.2,4.85,5.05,184732,0
2017-03-06,5,5,4.45,4.75,190429,0
2017-03-07,4.7,4.85,4.65,4.85,62493,0
2017-03-08,4.85,4.8854,4.75,4.85,51832,0
2017-03-09,4.75,4.85,4.605,4.7,86010,0
2017-03-10,4.65,4.725,4.45,4.55,109242,0
2017-03-13,4.445,4.6,4.4,4.6,41029,0
2017-03-14,4.5135,4.55,4.4,4.4,44913,0
2017-03-15,4.4,4.725,4.4,4.65,93651,0
2017-03-16,4.674,4.7,4.5,4.5,28962,0
2017-03-17,4.55,4.55,4.45,4.45,81400,0
2017-03-20,4.5,4.5,4.2,4.4,79432,0
2017-03-21,4.3753,4.4,4.15,4.2,109175,0
2017-03-22,4.15,4.5,4.105,4.5,137300,0
2017-03-23,4.5,4.75,4.45,4.7,101077,0
2017-03-24,4.75,5.15,4.7,4.85,221078,0
2017-03-27,4.7,4.8573,4.65,4.75,27916,0
2017-03-28,4.75,4.8,4.65,4.8,31343,0
2017-03-29,4.9378,5.75,4.895,5.6125,675577,0
2017-03-30,5.7,5.85,5.4,5.75,226485,0
2017-03-31,5.65,5.8,5.4,5.45,257458,0
2017-04-03,5.5,5.6,5.3,5.55,81000,0
2017-04-04,5.45,5.55,5.4,5.45,51018,0
2017-04-05,5.45,5.55,4.85,5.05,121851,0
2017-04-06,4.95,5.3,4.95,5.2,27647,0
2017-04-07,5.2,5.65,5.2,5.4,112070,0
2017-04-10,5.4,5.43,5.1,5.3,56092,0
2017-04-11,5.15,5.25,4.605,4.65,248110,0
2017-04-12,4.65,4.8,4.65,4.75,37698,0
