Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,57.736,57.953,56.658,56.945,325780,0
2017-01-04,56.975,58.031,56.896,57.943,490349,0
2017-01-05,57.676,57.864,56.738,57.143,342032,0
2017-01-06,57.33,57.784,57.113,57.489,376171,0
2017-01-09,57.242,57.242,56.421,56.698,397114,0
2017-01-10,56.698,57.38,56.455,57.162,302144,0
2017-01-11,57.212,57.459,56.491,57.459,222124,0
2017-01-12,57.133,57.133,56.087,56.579,296194,0
2017-01-13,56.778,58.209,56.758,57.202,345675,0
2017-01-17,56.798,56.798,55.147,55.216,610337,0
2017-01-18,54.327,54.624,53.349,54.436,838078,0
2017-01-19,54.209,54.693,53.813,54.07,660469,0
2017-01-20,54.13,54.792,54.021,54.327,356260,0
2017-01-23,53.923,54.337,53.803,54.15,301813,0
2017-01-24,54.367,55.246,53.853,55.138,578045,0
2017-01-25,55.69,56.057,55.443,55.937,664290,0
2017-01-26,56.096,56.866,55.82,56.826,570698,0
2017-01-27,56.728,56.801,54.427,56.244,368950,0
2017-01-30,55.957,55.957,55.196,55.81,464385,0
2017-01-31,55.603,56.134,55.483,55.84,1477557,0
2017-02-01,56.362,56.876,54.832,54.95,702311,0
2017-02-02,54.693,55.019,54.07,54.466,505532,0
2017-02-03,55.286,56.007,55.029,55.907,484043,0
2017-02-06,55.523,56.324,55.523,55.897,436693,0
2017-02-07,55.947,56.274,55.286,55.375,451062,0
2017-02-08,55.226,55.226,54.436,54.802,234058,0
2017-02-09,54.959,55.631,54.792,55.414,259548,0
2017-02-10,55.83,55.947,55.266,55.878,359280,0
2017-02-13,56.125,56.718,56.125,56.451,371874,0
2017-02-14,56.411,57.527,56.234,57.429,424113,0
2017-02-15,57.527,57.886,57.3,57.784,333498,0
2017-02-16,57.657,58.021,57.38,58.001,340044,0
2017-02-17,57.419,58.585,57.252,58.398,568928,0
2017-02-21,58.762,59.029,58.595,58.979,396732,0
2017-02-22,58.772,59.503,58.466,59.336,593920,0
2017-02-23,59.266,59.479,58.258,58.921,370021,0
2017-02-24,58.268,58.565,57.953,58.545,337858,0
2017-02-27,58.437,59.099,58.378,59.009,272105,0
2017-02-28,58.535,58.892,58.071,58.298,338507,0
2017-03-01,59.079,59.869,58.951,59.731,630060,0
2017-03-02,59.662,59.662,58.011,58.091,369752,0
2017-03-03,58.318,58.699,58.121,58.476,311922,0
2017-03-06,58.111,58.447,57.577,58.2,343970,0
2017-03-07,57.894,58.418,57.784,58.061,269706,0
2017-03-08,58.264,58.671,57.422,57.472,343873,0
2017-03-09,57.502,57.958,57.264,57.352,328435,0
2017-03-10,57.749,57.749,56.638,57.312,259117,0
2017-03-13,57.302,57.928,56.65,57.54,291396,0
2017-03-14,57.154,57.57,56.738,57.502,458060,0
2017-03-15,57.759,58.205,57.089,57.154,442471,0
2017-03-16,57.342,57.997,57.342,57.798,275027,0
2017-03-17,58.046,58.046,57.114,57.749,1340786,0
2017-03-20,57.511,57.739,56.946,57.074,287825,0
2017-03-21,57.332,57.402,54.437,54.496,501497,0
2017-03-22,54.506,54.675,53.456,53.922,558271,0
2017-03-23,53.694,55.072,53.694,54.288,279872,0
2017-03-24,54.408,54.904,54.06,54.516,308003,0
2017-03-27,53.644,54.298,52.702,54.239,302183,0
2017-03-28,54.011,54.894,53.802,54.586,406075,0
2017-03-29,54.586,54.794,54.04,54.338,215135,0
2017-03-30,54.298,56.292,54.266,56.034,393139,0
2017-03-31,55.776,56.084,54.666,55.686,368967,0
2017-04-03,55.826,56.221,54.685,55.399,356270,0
2017-04-04,55.072,55.756,55.072,55.448,310043,0
2017-04-05,55.826,56.122,54.388,54.486,400625,0
2017-04-06,54.428,55.32,54.13,55.042,276636,0
2017-04-07,54.656,55.122,54.408,54.972,338311,0
2017-04-10,55.002,55.28,54.1,54.338,340911,0
2017-04-11,54.19,54.576,53.694,54.506,609391,0
2017-04-12,54.566,54.566,53.654,53.773,525992,0
2017-04-13,54.308,54.308,51.581,52.464,950665,0
2017-04-17,52.632,53.753,52.216,53.495,430912,0
2017-04-18,52.89,53.773,52.737,53.416,468715,0
2017-04-19,53.654,54.104,52.732,53.564,402576,0
2017-04-20,53.942,54.566,53.694,54.506,376168,0
2017-04-21,54.477,54.71,54.05,54.506,308378,0
2017-04-24,55.796,56.142,55.29,55.428,375476,0
2017-04-25,55.756,56.132,55.409,55.458,346503,0
2017-04-26,55.458,56.41,53.199,56.024,308691,0
2017-04-27,56.132,56.35,55.25,55.578,345492,0
2017-04-28,55.637,55.696,54.368,54.486,611862,0
2017-05-01,54.734,55.34,54.408,55.072,411542,0
2017-05-02,55.092,55.23,54.576,54.864,317231,0
2017-05-03,54.636,55.361,54.447,55.28,232072,0
2017-05-04,55.726,56.192,55.35,55.618,297203,0
2017-05-05,55.875,55.875,54.992,55.488,306064,0
2017-05-08,55.488,55.904,55.228,55.875,356852,0
2017-05-09,55.954,56.272,55.19,55.448,365149,0
2017-05-10,54.962,55.751,54.962,55.548,418889,0
2017-05-11,55.28,55.35,54.239,54.626,326910,0
2017-05-12,54.288,54.566,53.674,54.536,335884,0
2017-05-15,54.636,55.122,54.546,54.724,350464,0
2017-05-16,54.636,54.962,54.13,54.854,357790,0
2017-05-17,53.773,54.021,52.504,52.96,577984,0
2017-05-18,52.801,53.485,52.722,53.059,362269,0
2017-05-19,53.069,53.991,53.039,53.664,676684,0
2017-05-22,53.892,53.991,53.326,53.753,254714,0
2017-05-23,53.753,54.744,53.456,54.447,200504,0
2017-05-24,54.506,54.566,53.723,54.13,245050,0
2017-05-25,54.249,54.358,53.773,54.001,368793,0
2017-05-26,53.971,54.17,53.664,53.773,271466,0
2017-05-30,53.396,53.624,52.801,53.426,232241,0
2017-05-31,53.446,53.446,52.702,53.079,636211,0
2017-06-01,53.426,54.418,52.86,54.398,350920,0
2017-06-02,53.882,54.496,53.545,53.773,278415,0
2017-06-05,53.733,54.278,53.694,53.743,214062,0
2017-06-06,53.297,53.912,53.109,53.594,538962,0
2017-06-07,53.798,54.137,53.619,53.838,273803,0
2017-06-08,54.047,55.87,53.689,55.103,417519,0
2017-06-09,55.451,57.084,55.451,56.756,349637,0
2017-06-12,56.716,57.692,56.21,56.845,430739,0
2017-06-13,57.293,57.363,56.547,56.855,229936,0
2017-06-14,56.437,56.995,55.83,56.955,289867,0
2017-06-15,56.666,57.224,56.397,56.796,355380,0
2017-06-16,56.776,56.955,56.318,56.746,1633209,0
2017-06-19,57.025,57.418,56.806,57.074,384190,0
2017-06-20,57.035,57.074,56.596,56.746,376255,0
2017-06-21,56.875,57.004,56.089,56.168,406359,0
2017-06-22,56.109,56.278,55.72,55.969,304712,0
2017-06-23,56.347,56.377,55.372,55.412,584123,0
2017-06-26,55.85,56.118,55.282,55.66,363233,0
2017-06-27,55.86,56.397,55.551,55.82,271210,0
2017-06-28,56.387,56.706,56.218,56.487,426170,0
2017-06-29,57.443,57.562,56.362,57.084,395584,0
2017-06-30,57.423,57.473,56.447,56.586,320735,0
2017-07-03,56.606,58.14,56.537,57.602,226885,0
2017-07-05,57.652,57.761,56.905,57.443,218729,0
2017-07-06,57.283,57.473,56.308,56.447,325647,0
2017-07-07,56.636,57.094,56.248,56.875,227070,0
2017-07-10,56.875,57.044,56.457,56.636,257086,0
2017-07-11,56.487,56.517,55.88,56.168,394939,0
2017-07-12,56.109,56.517,55.889,55.999,286038,0
2017-07-13,58.239,58.239,56.497,57.971,739201,0
2017-07-14,57.751,58.339,57.234,57.961,634916,0
2017-07-17,57.971,58.2,57.274,57.423,465821,0
2017-07-18,57.144,57.423,56.895,57.303,364740,0
2017-07-19,57.303,57.732,57.044,57.493,277054,0
2017-07-20,57.532,57.771,56.786,57.592,288594,0
2017-07-21,57.423,57.801,57.169,57.373,334252,0
2017-07-24,57.194,57.99,57.194,57.941,249485,0
2017-07-25,58.757,58.986,58.508,58.857,603713,0
2017-07-26,58.847,58.847,57.393,57.532,289341,0
2017-07-27,57.532,57.961,57.184,57.582,332957,0
2017-07-28,57.453,57.453,56.806,57.264,295900,0
2017-07-31,57.353,58.09,57.214,57.791,435295,0
2017-08-01,58.239,58.429,57.741,58.419,435102,0
2017-08-02,58.429,58.513,57.771,58.13,242147,0
2017-08-03,58.04,58.209,57.493,57.662,202254,0
2017-08-04,58.13,58.508,57.826,57.951,238901,0
2017-08-07,58.14,58.14,57.503,57.522,165001,0
2017-08-08,57.552,58.359,57.373,57.483,267173,0
2017-08-09,57.104,57.303,56.557,56.726,391062,0
2017-08-10,55.78,56.198,55.113,55.133,399117,0
2017-08-11,55.232,55.591,54.466,54.983,370045,0
2017-08-14,55.66,56.527,55.601,56.377,336325,0
2017-08-15,56.766,56.865,56.059,56.079,207660,0
2017-08-16,56.308,56.308,55.77,55.959,224554,0
2017-08-17,55.68,55.899,54.187,54.256,309170,0
2017-08-18,53.998,54.505,53.614,54.127,672557,0
2017-08-21,54.137,54.137,53.649,53.858,204591,0
2017-08-22,54.057,54.336,53.938,54.137,248608,0
2017-08-23,53.679,54.595,53.629,54.346,263303,0
2017-08-24,54.635,54.675,54.266,54.495,212592,0
2017-08-25,54.764,55.073,54.466,54.794,238488,0
2017-08-28,54.824,54.973,54.346,54.495,165293,0
2017-08-29,53.838,54.376,53.639,54.247,193835,0
2017-08-30,54.266,54.824,54.247,54.515,287655,0
2017-08-31,54.744,54.904,54.476,54.754,303007,0
2017-09-01,54.814,55.451,54.804,55.043,257228,0
2017-09-05,54.675,54.854,53.41,53.51,213666,0
2017-09-06,53.669,53.998,53.311,53.44,186236,0
2017-09-07,53.38,53.5,51.9,52.39,247643,0
2017-09-08,52.3,53.58,52.09,53.19,333981,0
2017-09-11,53.69,54.54,53.69,54.1,380014,0
2017-09-12,54.34,54.86,54.13,54.84,391879,0
2017-09-13,54.47,55.14,54.33,55,283783,0
2017-09-14,55.21,55.42,54.55,54.71,313968,0
2017-09-15,54.7,55.36,54.44,55.17,1068016,0
2017-09-18,55.38,55.83,55.27,55.78,256787,0
2017-09-19,55.66,56.16,55.66,55.89,333716,0
2017-09-20,55.98,56.56,55.47,56.4,481996,0
2017-09-21,56.39,56.73,56.36,56.52,281620,0
2017-09-22,56.42,56.72,56.22,56.48,320740,0
2017-09-25,56.5,56.81,56.02,56.25,387492,0
2017-09-26,56.42,56.73,56.21,56.42,821102,0
2017-09-27,57.3,57.59,56.58,57.31,634864,0
2017-09-28,57.42,57.68,56.55,57.41,414345,0
2017-09-29,57.4,58.43,57.4,57.77,566399,0
2017-10-02,57.74,58.35,57.48,58.35,323756,0
2017-10-03,58.25,58.36,57.78,58.33,401987,0
2017-10-04,58.29,58.29,57.49,57.57,183756,0
2017-10-05,57.76,58.42,57.4,58.3,208400,0
2017-10-06,58.25,58.7,58.08,58.41,168734,0
2017-10-09,58.45,58.46,57.9,57.98,265985,0
2017-10-10,58.19,58.58,57.87,58.44,316154,0
2017-10-11,58.28,58.45,57.87,58.08,272537,0
2017-10-12,57,57.05,56.135,56.68,1130376,0
2017-10-13,56.35,57.04,55.82,56.43,458800,0
2017-10-16,56.4,57.03,55.5474,57,349120,0
2017-10-17,57.01,57.01,56.36,56.48,296079,0
2017-10-18,56.61,57.34,56.59,57.05,305161,0
2017-10-19,56.46,57.7,56.42,57.55,216500,0
2017-10-20,58.25,58.29,57.77,58,203178,0
2017-10-23,58.07,58.13,57.63,57.72,312438,0
2017-10-24,57.89,58.45,57.82,58.36,318768,0
2017-10-25,58.49,58.56,57.37,57.88,280700,0
2017-10-26,57.93,58.64,57.93,58.6,340089,0
2017-10-27,58.58,58.8,58.25,58.75,338830,0
2017-10-30,58.45,58.54,57.62,57.63,333090,0
2017-10-31,57.78,58.49,57.5,58.16,704203,0
2017-11-01,58.43,58.8342,57.51,57.78,451351,0
2017-11-02,57.7,58.28,57.11,58.11,397002,0
2017-11-03,58.08,58.08,57.52,57.85,561916,0
2017-11-06,57.72,57.89,57.46,57.69,372029,0
2017-11-07,57.78,57.94,56.03,56.1,352381,0
2017-11-08,56.1,56.1,55.37,55.46,405837,0
2017-11-09,55.12,56.18,54.67,55.03,350208,0
2017-11-10,55.05,55.63,54.99,55.18,225872,0
