Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,50.154,50.831,49.79,50.478,223984,0
2017-01-04,50.664,51.952,50.664,51.411,399328,0
2017-01-05,51.284,51.706,50.733,50.851,326295,0
2017-01-06,50.94,51.49,50.625,51.234,181605,0
2017-01-09,51.107,51.53,50.743,50.92,240412,0
2017-01-10,51.244,52.011,50.969,51.274,415160,0
2017-01-11,51.667,52.001,50.733,51.952,285410,0
2017-01-12,52.158,52.325,51.087,51.873,165188,0
2017-01-13,51.854,52.698,51.794,52.679,189950,0
2017-01-17,52.424,53.013,52.08,52.531,311764,0
2017-01-18,52.875,53.043,52.217,52.885,318835,0
2017-01-19,53.033,53.446,52.679,53.101,285580,0
2017-01-20,53.101,53.573,52.895,53.19,285618,0
2017-01-23,52.895,53.593,52.895,53.524,201805,0
2017-01-24,53.937,54.959,53.593,54.88,278268,0
2017-01-25,54.841,55.39,54.742,55.283,305811,0
2017-01-26,54.782,55.44,54.782,55.223,181807,0
2017-01-27,55.233,55.233,54.634,54.909,178958,0
2017-01-30,54.487,54.487,53.317,54.35,205920,0
2017-01-31,54.585,54.752,53.622,54.408,274209,0
2017-02-01,54.507,55.519,54.178,55.293,342613,0
2017-02-02,56.629,59.666,56.329,56.629,923230,0
2017-02-03,56.502,57.533,56.167,57.483,656642,0
2017-02-06,57.042,57.483,56.177,56.482,536801,0
2017-02-07,56.502,56.934,56.029,56.186,266951,0
2017-02-08,56.059,56.53,55.534,56.52,302159,0
2017-02-09,56.757,56.875,56.079,56.55,402362,0
2017-02-10,57.091,57.269,56.53,56.55,458844,0
2017-02-13,56.796,57.169,56.383,56.875,417095,0
2017-02-14,56.737,57.602,56.525,57.563,360583,0
2017-02-15,57.493,57.818,56.934,57.71,434091,0
2017-02-16,57.445,57.99,56.973,57.326,379506,0
2017-02-17,56.796,57.386,56.742,57.012,250762,0
2017-02-21,57.249,57.769,57.052,57.366,340824,0
2017-02-22,57.03,57.737,57.03,57.376,257728,0
2017-02-23,57.79,57.86,56.516,56.902,233838,0
2017-02-24,56.122,56.902,55.522,56.902,308608,0
2017-02-27,56.922,57.672,56.742,57.544,350928,0
2017-02-28,57.228,57.484,56.961,57.268,403290,0
2017-03-01,58.146,58.911,58.146,58.423,421887,0
2017-03-02,58.364,58.447,57.672,57.742,310760,0
2017-03-03,57.613,57.88,57.258,57.672,346283,0
2017-03-06,57.218,57.326,56.655,57.168,206631,0
2017-03-07,57.05,57.584,56.852,57.554,292138,0
2017-03-08,57.712,57.998,57.258,57.386,344625,0
2017-03-09,57.148,57.603,56.942,57.208,247720,0
2017-03-10,57.672,58.028,57.464,57.9,234336,0
2017-03-13,58.364,58.561,57.968,58.176,266700,0
2017-03-14,57.652,57.88,57.198,57.474,252725,0
2017-03-15,57.958,58.878,57.944,58.748,483535,0
2017-03-16,59.006,59.154,58.344,58.561,243803,0
2017-03-17,58.542,59.846,58.492,59.43,433775,0
2017-03-20,59.44,59.553,58.863,59.094,204430,0
2017-03-21,59.39,59.46,58.048,58.156,258409,0
2017-03-22,58.018,58.265,57.119,57.326,425136,0
2017-03-23,57.386,57.79,56.977,57.514,297814,0
2017-03-24,57.613,58.077,57.346,57.544,285463,0
2017-03-27,56.606,57.944,56.448,57.662,234877,0
2017-03-28,57.8,58.59,57.79,58.423,338637,0
2017-03-29,58.432,58.527,57.87,58.146,300627,0
2017-03-30,58.265,58.966,58.265,58.907,231032,0
2017-03-31,58.66,59.52,58.482,59.174,382458,0
2017-04-03,59.46,59.52,58.058,58.62,268419,0
2017-04-04,58.719,58.907,58.048,58.68,273645,0
2017-04-05,59.242,59.242,57.464,57.742,345558,0
2017-04-06,57.87,58.304,57.564,58.235,354387,0
2017-04-07,57.958,58.126,57.632,57.85,224147,0
2017-04-10,58.058,58.211,57.584,57.771,204724,0
2017-04-11,57.464,58.344,57.326,58.314,220627,0
2017-04-12,58.324,58.73,57.109,57.277,180074,0
2017-04-13,57.228,57.426,56.2,56.27,200555,0
2017-04-17,56.576,56.902,56.25,56.842,353745,0
2017-04-18,56.181,57.06,56.181,56.862,321286,0
2017-04-19,57.129,57.623,56.912,57.474,295297,0
2017-04-20,57.9,58.778,57.732,58.62,269283,0
2017-04-21,58.432,58.6,58.126,58.314,186766,0
2017-04-24,59.194,59.964,58.966,59.598,205694,0
2017-04-25,59.984,60.358,59.648,60.152,222681,0
2017-04-26,59.756,60.32,59.726,59.974,183878,0
2017-04-27,59.766,60.398,59.668,59.954,191007,0
2017-04-28,59.944,60.584,59.312,59.45,198758,0
2017-05-01,59.588,60.062,59.144,59.618,250288,0
2017-05-02,60.112,60.581,54.783,55.539,1052924,0
2017-05-03,54.512,55.183,53.642,54.077,567214,0
2017-05-04,53.761,54.186,53.138,53.435,469816,0
2017-05-05,53.83,53.84,53.119,53.306,332947,0
2017-05-08,52.813,53.168,52.398,52.437,322298,0
2017-05-09,52.467,52.556,50.867,50.946,537493,0
2017-05-10,50.946,51.608,49.919,51.529,1218442,0
2017-05-11,51.183,52.042,51.183,51.4,572982,0
2017-05-12,51.361,51.519,51.045,51.222,402747,0
2017-05-15,51.558,51.963,51.252,51.371,319357,0
2017-05-16,51.469,51.805,51.232,51.46,590344,0
2017-05-17,50.66,50.986,49.869,50.215,464331,0
2017-05-18,49.84,50.502,49.593,50.126,476267,0
2017-05-19,50.343,51.232,50.334,50.808,294128,0
2017-05-22,51.292,51.292,50.61,50.768,264650,0
2017-05-23,50.976,51.163,50.383,50.492,453200,0
2017-05-24,51.928,53.16,51.431,52.673,740071,0
2017-05-25,52.872,53.329,52.032,52.494,385727,0
2017-05-26,52.643,52.643,52.072,52.405,321833,0
2017-05-30,52.325,52.733,52.116,52.574,288920,0
2017-05-31,52.554,52.554,51.679,51.908,535626,0
2017-06-01,52.037,52.484,51.878,52.405,323501,0
2017-06-02,52.504,53.458,52.405,52.802,312095,0
2017-06-05,52.852,53.041,52.256,52.295,478140,0
2017-06-06,51.967,52.295,51.634,52.077,435440,0
2017-06-07,52.087,52.136,51.52,51.59,485738,0
2017-06-08,51.61,53.011,51.302,52.762,446990,0
2017-06-09,52.862,53.22,52.524,53.2,350743,0
2017-06-12,53.2,54.005,53.08,53.299,485682,0
2017-06-13,53.558,53.915,53.1,53.866,324886,0
2017-06-14,53.985,53.985,53.041,53.677,370897,0
2017-06-15,53.09,53.925,53.09,53.428,583683,0
2017-06-16,53.369,53.786,52.782,53.717,631498,0
2017-06-19,53.995,54.591,53.986,54.432,452735,0
2017-06-20,53.776,54.561,53.379,54.452,622465,0
2017-06-21,54.561,54.561,52.951,53.09,367255,0
2017-06-22,53.09,53.259,51.749,51.848,913925,0
2017-06-23,51.948,52.529,51.908,52.047,759597,0
2017-06-26,52.325,52.584,51.729,52.196,255583,0
2017-06-27,52.196,52.534,51.987,52.017,306675,0
2017-06-28,52.504,53.468,52.171,53.309,538231,0
2017-06-29,53.528,53.528,52.037,52.534,209037,0
2017-06-30,52.723,53.438,52.688,53.1,246297,0
2017-07-03,53.478,53.766,53.15,53.269,135414,0
2017-07-05,53.16,53.16,52.484,52.743,314754,0
2017-07-06,52.524,53.279,52.524,53.041,361764,0
2017-07-07,53.031,53.657,52.713,53.528,222431,0
2017-07-10,52.981,53.915,52.822,52.951,316722,0
2017-07-11,53.061,53.309,52.733,53.09,244932,0
2017-07-12,53.587,54.114,53.438,53.538,215773,0
2017-07-13,53.637,53.637,52.534,53.2,407943,0
2017-07-14,53.399,53.796,53.21,53.478,182934,0
2017-07-17,53.617,54.412,53.478,54.343,274192,0
2017-07-18,54.114,54.114,53.299,53.399,232624,0
2017-07-19,53.498,54.666,53.488,54.631,212578,0
2017-07-20,54.601,54.601,53.985,54.174,102451,0
2017-07-21,54.184,54.353,53.667,54.323,194331,0
2017-07-24,54.363,55.346,53.93,54.78,412985,0
2017-07-25,55.197,55.406,54.651,55.168,411860,0
2017-07-26,55.158,55.158,53.846,54.025,230263,0
2017-07-27,54.243,54.243,53.677,53.965,218549,0
2017-07-28,53.786,54.293,53.786,54.134,242877,0
2017-07-31,54.263,54.929,53.955,53.995,321386,0
2017-08-01,54.71,55.048,54.164,54.541,446513,0
2017-08-02,53.538,53.593,51.54,52.425,602062,0
2017-08-03,52.285,52.703,51.202,51.48,393068,0
2017-08-04,51.709,52.415,51.48,52.345,329520,0
2017-08-07,52.295,52.514,51.967,52.206,225100,0
2017-08-08,52.077,52.668,51.769,51.948,245718,0
2017-08-09,51.47,51.808,51.292,51.61,218626,0
2017-08-10,51.192,51.5,51.043,51.123,241325,0
2017-08-11,50.417,51.431,50.248,51.262,296805,0
2017-08-14,51.441,51.848,51.182,51.62,408729,0
2017-08-15,53.597,53.597,51.838,52.126,481867,0
2017-08-16,52.206,52.584,52.027,52.544,322260,0
2017-08-17,52.444,52.444,50.864,50.894,449699,0
2017-08-18,50.834,51.749,50.636,51.341,362355,0
2017-08-21,51.52,51.729,51.262,51.391,255544,0
2017-08-22,51.928,51.928,51.53,51.55,294679,0
2017-08-23,51.41,52.16,51.3769,51.99,1274092,0
2017-08-24,52.27,52.27,51.82,51.85,261130,0
2017-08-25,52.18,52.5,52.09,52.33,237676,0
2017-08-28,52.66,52.725,51.65,51.88,284805,0
2017-08-29,51.59,52.25,51.37,51.99,289718,0
2017-08-30,52.04,52.38,51.88,52.26,205664,0
2017-08-31,52.61,52.88,52.32,52.68,234732,0
2017-09-01,52.93,53.67,52.78,53.43,170937,0
2017-09-05,53.47,53.675,52.41,52.51,151335,0
2017-09-06,52.71,53.03,52.4,52.69,593288,0
2017-09-07,52.74,53.04,52.4041,52.84,189533,0
2017-09-08,52.65,52.65,52.13,52.41,257405,0
2017-09-11,52.8,53.51,52.8,53.24,214394,0
2017-09-12,53.38,53.717,52.84,52.93,269767,0
2017-09-13,52.96,53.345,52.6,53.14,288219,0
2017-09-14,53.06,53.51,53.06,53.35,369035,0
2017-09-15,53.26,53.385,53.04,53.3,342086,0
2017-09-18,53.7,53.925,53.57,53.66,178943,0
2017-09-19,53.72,53.94,53.56,53.74,359755,0
2017-09-20,54.07,54.07,53.48,53.71,371662,0
2017-09-21,53.97,55.43,53.95,55.31,453047,0
2017-09-22,55.3,55.89,55.13,55.8,319418,0
2017-09-25,55.82,56,55.53,55.55,279220,0
2017-09-26,55.83,55.83,55.24,55.39,339855,0
2017-09-27,55.75,56.45,55.33,56.02,298705,0
2017-09-28,56.11,56.37,55.82,56.34,237704,0
2017-09-29,56.35,56.35,55.73,55.8,405427,0
2017-10-02,55.55,57.47,55.5,57.39,368246,0
2017-10-03,57.71,57.82,56.81,57.64,296101,0
2017-10-04,57.77,57.99,57.29,57.34,223549,0
2017-10-05,57.74,57.8,57.31,57.49,165205,0
2017-10-06,57.28,57.645,57.02,57.36,252758,0
2017-10-09,57.36,57.85,57.13,57.29,165832,0
2017-10-10,57.54,58.14,57.38,57.6,334359,0
2017-10-11,57.68,58.25,57.67,58.03,292307,0
2017-10-12,57.93,58.75,57.715,58.59,178562,0
2017-10-13,58.95,59.12,58.6,58.73,188943,0
2017-10-16,58.99,59.03,58.36,58.51,178171,0
2017-10-17,58.32,58.54,58,58.43,203552,0
2017-10-18,58.64,58.82,58.37,58.69,224708,0
2017-10-19,58.46,58.66,58.02,58.56,259534,0
2017-10-20,59.2,59.2,58.43,58.57,182185,0
2017-10-23,58.79,59.16,58.31,58.36,275695,0
2017-10-24,58.6,60.06,58.6,59.93,331480,0
2017-10-25,59.51,60.04,58.935,59.15,282265,0
2017-10-26,59.62,59.91,59.53,59.88,228223,0
2017-10-27,59.85,60.05,59.32,60.02,275223,0
2017-10-30,60.04,60.38,59.95,60.17,483512,0
2017-10-31,60.34,61.115,60.05,60.96,340500,0
2017-11-01,61.19,64.21,61.19,63.29,671633,0
2017-11-02,63.59,63.7,62.55,62.71,874689,0
2017-11-03,62.53,64.16,62.43,63.99,581755,0
2017-11-06,64.48,64.66,64.03,64.26,443933,0
2017-11-07,64.33,64.345,63.58,63.79,372679,0
2017-11-08,63.44,63.655,62.43,63.54,320266,0
2017-11-09,62.76,63.45,61.97,62.21,344809,0
2017-11-10,62.26,62.425,61.54,62.24,295675,0
