Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,13.6,13.775,13.45,13.75,138931,0
2017-01-04,13.85,14.05,13.7,13.9,197128,0
2017-01-05,13.9,13.9,13.4,13.6,138474,0
2017-01-06,13.7,13.7,13.45,13.55,67474,0
2017-01-09,13.55,13.6,13.325,13.4,75550,0
2017-01-10,13.45,13.6,13.25,13.35,125771,0
2017-01-11,13.4,13.5,13.25,13.4,132010,0
2017-01-12,13.4,13.425,13.05,13.2,191057,0
2017-01-13,13.3,13.5,13.3,13.4,62296,0
2017-01-17,13.35,13.4,13.15,13.15,94549,0
2017-01-18,13.2,13.25,13,13.1,85808,0
2017-01-19,13.05,13.15,12.95,13,102819,0
2017-01-20,13,13.15,12.95,13,184395,0
2017-01-23,12.9,13,12.85,12.95,84728,0
2017-01-24,12.9,13.15,12.9,13.1,81469,0
2017-01-25,13.15,13.3,13,13.2,62047,0
2017-01-26,13.2,13.3,12.95,13.2,73738,0
2017-01-27,13.1,13.2,13,13,51698,0
2017-01-30,12.9,13.05,12.8,13,133006,0
2017-01-31,12.85,13.1,12.85,13.1,176620,0
2017-02-01,13.05,13.2,12.775,12.85,539375,0
2017-02-02,12.9,13,12.7,12.75,105416,0
2017-02-03,12.85,13.1,12.75,12.95,110858,0
2017-02-06,12.9,13,12.85,12.95,183544,0
2017-02-07,13,13.05,12.95,12.95,187270,0
2017-02-08,12.85,13,12.75,12.85,121627,0
2017-02-09,12.85,13.05,12.85,12.95,156290,0
2017-02-10,13.05,13.2,12.95,13.2,80372,0
2017-02-13,13.25,13.25,13,13.1,132409,0
2017-02-14,13.15,13.3,13.1,13.25,204466,0
2017-02-15,13.15,13.4,13,13.3,199701,0
2017-02-16,13.25,13.6,13,13.35,229909,0
2017-02-17,13.45,13.75,13.4,13.55,337239,0
2017-02-21,13.45,13.7,13.439,13.6,318668,0
2017-02-22,13.6,13.65,13.5,13.5,148758,0
2017-02-23,13.55,13.6,13.375,13.45,96813,0
2017-02-24,13.4,13.45,13.2,13.45,152821,0
2017-02-27,13.35,13.5,13.35,13.45,98372,0
2017-02-28,13.35,13.45,13.05,13.3,342230,0
2017-03-01,13.35,13.65,13.35,13.65,193346,0
2017-03-02,13.55,13.7,13.45,13.55,107548,0
2017-03-03,13.55,13.65,13.45,13.65,160533,0
2017-03-06,13.55,13.65,13.45,13.65,123533,0
2017-03-07,13.25,13.725,13,13.65,196808,0
2017-03-08,13.8,13.85,13.55,13.6,162341,0
2017-03-09,13.65,13.75,13.55,13.6,182443,0
2017-03-10,13.65,14,13.6,13.9,233304,0
2017-03-13,13.85,14.2,13.85,14,160632,0
2017-03-14,13.9,14.075,13.85,14,156068,0
2017-03-15,14.1,14.25,13.9,14.05,189250,0
2017-03-16,14.1,14.255,14.05,14.15,117853,0
2017-03-17,14.15,14.25,14.05,14.1,202659,0
2017-03-20,14.05,14.15,13.9,13.95,113789,0
2017-03-21,14.05,14.1,13.9,14,301516,0
2017-03-22,13.9,14.05,13.85,13.85,178460,0
2017-03-23,13.85,13.95,13.7,13.7,205298,0
2017-03-24,13.7,13.85,13.7,13.75,133787,0
2017-03-27,13.65,13.75,13.55,13.6,226297,0
2017-03-28,13.5,13.75,13.4,13.7,167111,0
2017-03-29,13.65,13.65,13.5,13.55,107076,0
2017-03-30,13.6,13.6,13.45,13.5,146117,0
2017-03-31,13.45,13.6,13.45,13.55,407256,0
2017-04-03,13.6,13.85,13.45,13.8,284596,0
2017-04-04,13.85,14.05,13.725,14,215940,0
2017-04-05,14.05,14.1,13.9,14,307129,0
2017-04-06,13.95,14.05,13.9,14,328476,0
2017-04-07,14,14.15,13.95,14.05,149731,0
2017-04-10,14.1,14.2,13.9,14,205556,0
2017-04-11,14,14.1,13.9,14.1,140791,0
2017-04-12,14.1,14.1,13.95,14,193951,0
2017-04-13,14,14.1,13.95,13.95,110440,0
2017-04-17,13.75,14.15,13.75,14.1,119520,0
2017-04-18,14.05,14.2,14.05,14.15,93524,0
2017-04-19,14.2,14.5,14.15,14.45,191188,0
2017-04-20,14.45,14.75,14.4,14.75,139740,0
2017-04-21,14.75,14.75,14.5,14.65,283370,0
2017-04-24,14.75,15,14.75,14.9,236712,0
2017-04-25,15,15.15,14.975,15,131032,0
2017-04-26,14.85,15.35,14.8,15.2,177878,0
2017-04-27,15.35,15.75,15.35,15.7,154060,0
2017-04-28,15.75,15.85,15.45,15.75,224698,0
2017-05-01,15.8,15.9,15.6,15.7,182336,0
2017-05-02,15.65,15.75,15.5,15.6,180845,0
2017-05-03,15.55,15.6,15.25,15.5,246736,0
2017-05-04,15.55,15.6502,15.45,15.6,173894,0
2017-05-05,15.7,15.8,15.55,15.65,223882,0
2017-05-08,15.65,15.7,15.425,15.5,100898,0
2017-05-09,15.45,15.5,15.3,15.45,121097,0
2017-05-10,15.45,15.55,15.25,15.55,144049,0
2017-05-11,15.35,15.45,15.2,15.25,192510,0
2017-05-12,15.25,15.4,15.1,15.25,100097,0
2017-05-15,15.1,15.35,14.95,15.25,216175,0
2017-05-16,15.25,15.55,15.1,15.55,235567,0
2017-05-17,15.35,15.4,15.05,15.05,258999,0
2017-05-18,15,15.3,14.7,15,334311,0
2017-05-19,15,15.1,14.8,15,213330,0
2017-05-22,14.95,15.1,14.95,15.1,161845,0
2017-05-23,15.15,15.15,14.95,15.1,120428,0
2017-05-24,15.1,15.2,14.9,14.95,182673,0
2017-05-25,15,15.2,14.95,15,237700,0
2017-05-26,15,15.1,14.95,15,124918,0
2017-05-30,14.9,15.05,14.85,15,79852,0
2017-05-31,15,15.1,14.925,15.1,150758,0
2017-06-01,15.1,15.1,14.95,15.05,175718,0
2017-06-02,15.05,15.4,15.05,15.2,246346,0
2017-06-05,15.2,15.3,14.95,14.95,82469,0
2017-06-06,14.85,15,14.75,14.95,189468,0
2017-06-07,15.05,15.15,14.875,15,216019,0
2017-06-08,14.95,15.1,14.9,15,242796,0
2017-06-09,15.1,15.45,14.95,15.45,211245,0
2017-06-12,15.4,15.65,15.2,15.25,207993,0
2017-06-13,15.3,15.4,15.2,15.25,96109,0
2017-06-14,15.25,15.4,15.175,15.35,100001,0
2017-06-15,15.2,15.4,15.1,15.25,127883,0
2017-06-16,15.05,15.3,14.95,15.15,308075,0
2017-06-19,15.15,15.35,15.15,15.2,111516,0
2017-06-20,15.2,15.3,15.05,15.1,182412,0
2017-06-21,15.05,15.2,14.995,15.05,102754,0
2017-06-22,15.1,15.25,14.95,15.1,175578,0
2017-06-23,15.1,15.25,15,15.1,380278,0
2017-06-26,15.1,15.3,15.075,15.15,112680,0
2017-06-27,15.15,15.35,15.05,15.1,199351,0
2017-06-28,15.2,15.3,15.075,15.15,136123,0
2017-06-29,15.2,15.25,15,15.15,172218,0
2017-06-30,15.15,15.15,14.95,15,146197,0
2017-07-03,15.05,15.15,15,15.15,44274,0
2017-07-05,15.1,15.15,14.95,15.1,164500,0
2017-07-06,15.1,15.1,14.9,14.9,205760,0
2017-07-07,14.9,15.05,14.9,14.95,134922,0
2017-07-10,14.95,15.05,14.775,14.8,212748,0
2017-07-11,14.85,15,14.65,14.9,207442,0
2017-07-12,14.9,15.2,14.9,15.1,260724,0
2017-07-13,15.1,15.375,15.025,15.35,245969,0
2017-07-14,15.25,15.45,15.2,15.45,152880,0
2017-07-17,15.4,15.55,15.2,15.5,169514,0
2017-07-18,15.25,15.6,15.15,15.35,211742,0
2017-07-19,15.35,15.55,15.275,15.35,213532,0
2017-07-20,15.35,15.4,15.25,15.25,133906,0
2017-07-21,15.3,15.35,15.15,15.15,153129,0
2017-07-24,15.1,15.2,14.975,15,108782,0
2017-07-25,15.05,15.2,14.9,14.95,293703,0
2017-07-26,14.95,15.05,14.9,14.9,166170,0
2017-07-27,14.9,15,14.85,14.9,192089,0
2017-07-28,14.85,15,14.85,14.9,360528,0
2017-07-31,15,15.05,14.85,14.85,262767,0
2017-08-01,14.85,15.05,14.825,15,314004,0
2017-08-02,15,15,14.7,14.75,121461,0
2017-08-03,14.7,15,14.25,14.95,130748,0
2017-08-04,14.95,14.95,14.65,14.85,104892,0
2017-08-07,14.85,14.925,14.575,14.7,148431,0
2017-08-08,14.75,14.8,14.475,14.6,231879,0
2017-08-09,14.55,14.55,14.3,14.45,220340,0
2017-08-10,14.4,14.5,14.15,14.45,264892,0
2017-08-11,14.3,14.6,14.05,14.5,296224,0
2017-08-14,14.65,14.9,14.55,14.85,170485,0
2017-08-15,14.85,14.9,14.65,14.8,173278,0
2017-08-16,14.8,15.125,14.75,14.9,186152,0
2017-08-17,14.85,15,14.75,14.75,205966,0
2017-08-18,14.65,14.8,14.55,14.55,259672,0
2017-08-21,14.55,14.85,14.55,14.85,138866,0
2017-08-22,14.9,15,14.65,14.7,112345,0
2017-08-23,14.65,14.95,14.65,14.95,117934,0
2017-08-24,14.9,14.95,14.75,14.8,111744,0
2017-08-25,14.85,14.95,14.6,14.7,149047,0
2017-08-28,14.7,14.9,14.6,14.65,130116,0
2017-08-29,14.55,14.75,14.45,14.65,108876,0
2017-08-30,14.7,14.75,14.625,14.65,120639,0
2017-08-31,14.7,15.25,14.7,15.15,505178,0
2017-09-01,15,15.25,14.975,15.15,159286,0
2017-09-05,15.1,15.345,15.05,15.05,454719,0
2017-09-06,15.05,15.2,14.775,14.85,157496,0
2017-09-07,14.95,15,14.725,14.85,118118,0
2017-09-08,14.85,14.9,14.7,14.8,148931,0
2017-09-11,14.95,15.05,14.85,14.95,205198,0
2017-09-12,15,15.3,14.9998,15.15,152220,0
2017-09-13,15.05,15.225,15.05,15.05,122998,0
2017-09-14,15.1,15.1,14.95,15.05,115797,0
2017-09-15,15.1,15.15,14.95,15.15,342510,0
2017-09-18,15.15,15.3,15.05,15.3,89637,0
2017-09-19,15.25,15.4,15.15,15.25,133847,0
2017-09-20,15.25,15.625,15.25,15.3,226908,0
2017-09-21,15.25,15.7,15.25,15.65,193480,0
2017-09-22,15.65,16.1,15.6,16,243812,0
2017-09-25,16.1,16.2,15.9,15.95,92432,0
2017-09-26,16,16,15.775,15.95,103291,0
2017-09-27,16,16.5,15.95,16.5,201597,0
2017-09-28,16.4,16.45,16.05,16.4,180660,0
2017-09-29,16.35,16.45,16.125,16.25,175859,0
2017-10-02,16.35,16.65,16.25,16.65,188549,0
2017-10-03,16.55,16.7,16.4,16.45,208601,0
2017-10-04,16.55,16.75,16.45,16.6,217647,0
2017-10-05,16.65,16.8,16.6,16.6,268981,0
2017-10-06,16.55,16.65,16.2,16.55,246242,0
2017-10-09,16.45,16.75,16.45,16.7,98301,0
2017-10-10,16.75,16.9,16.55,16.8,122058,0
2017-10-11,16.75,16.9,16.7,16.85,101189,0
2017-10-12,16.85,16.95,16.8,16.8,79805,0
2017-10-13,16.85,17,16.75,16.85,91310,0
2017-10-16,16.9,16.95,16.675,16.95,131577,0
2017-10-17,16.95,16.95,16.725,16.8,124520,0
2017-10-18,16.85,17.05,16.7,16.85,95907,0
2017-10-19,16.85,16.95,16.7,16.9,95690,0
2017-10-20,17.05,17.05,16.75,16.8,121530,0
2017-10-23,16.9,17.1,16.75,16.95,149488,0
2017-10-24,16.9,17.1,16.825,16.95,134357,0
2017-10-25,16.9,17.075,16.85,16.95,63501,0
2017-10-26,17,17.2,16.95,17,74108,0
2017-10-27,17,17.25,16.95,17.25,119999,0
2017-10-30,17.15,17.25,16.75,16.75,139062,0
2017-10-31,16.85,17.1,16.7,16.95,219667,0
