Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,30.663,30.984,30.595,30.87,2255635,0
2017-01-04,31.077,31.196,30.949,31.087,1131157,0
2017-01-05,31.196,31.451,31.096,31.441,1809859,0
2017-01-06,31.471,31.57,31.245,31.421,2444393,0
2017-01-09,31.52,31.579,31.196,31.451,1001578,0
2017-01-10,31.845,31.923,30.944,30.999,1399340,0
2017-01-11,31.707,32.317,31.363,31.982,2579714,0
2017-01-12,32.149,32.229,31.707,31.727,1095943,0
2017-01-13,31.785,31.885,31.461,31.638,1108292,0
2017-01-17,31.678,32.072,31.446,31.697,2976813,0
2017-01-18,32.002,32.495,31.697,32.455,3114717,0
2017-01-19,32.602,33.399,32.563,33.321,5124179,0
2017-01-20,33.469,33.566,33.153,33.488,2037493,0
2017-01-23,33.488,33.725,33.38,33.705,1477888,0
2017-01-24,33.813,34.502,33.685,34,2974372,0
2017-01-25,34.03,34.325,33.951,34.255,2862969,0
2017-01-26,34.217,34.393,33.843,33.882,1400340,0
2017-01-27,34.02,34.138,33.734,33.783,936612,0
2017-01-30,33.557,33.725,33.35,33.586,1141590,0
2017-01-31,33.97,34.093,33.586,33.98,1494105,0
2017-02-01,34.04,34.374,33.734,34.187,1069183,0
2017-02-02,34.197,34.552,34.118,34.393,1100268,0
2017-02-03,34.472,34.542,34.233,34.275,626778,0
2017-02-06,34.235,34.644,34.158,34.561,903081,0
2017-02-07,34.403,34.826,34.403,34.768,2480720,0
2017-02-08,34.709,35.132,34.659,35.082,1837898,0
2017-02-09,34.905,35.132,34.502,34.6,1729998,0
2017-02-10,34.452,34.552,34.305,34.472,2043200,0
2017-02-13,34.669,34.856,34.532,34.639,742881,0
2017-02-14,34.552,34.59,34.285,34.532,938004,0
2017-02-15,34.245,34.935,34.226,34.895,1328018,0
2017-02-16,34.797,34.935,34.576,34.885,996134,0
2017-02-17,34.965,35.2,34.816,34.836,1107796,0
2017-02-21,34.787,34.905,34.659,34.826,1555085,0
2017-02-22,34.866,35.132,34.699,35.023,546484,0
2017-02-23,35.062,35.416,34.945,35.033,790644,0
2017-02-24,34.718,34.718,34.128,34.393,1069842,0
2017-02-27,34.384,34.542,34.235,34.442,648660,0
2017-02-28,34.217,34.619,34.098,34.138,1095446,0
2017-03-01,34.197,34.561,33.872,33.941,1378505,0
2017-03-02,33.951,34.255,33.862,34.049,1002419,0
2017-03-03,33.96,34.624,33.813,34.571,883491,0
2017-03-06,34.532,34.532,34.158,34.384,615771,0
2017-03-07,34.442,34.925,34.442,34.826,1064206,0
2017-03-08,34.768,35.152,34.6,34.915,715204,0
2017-03-09,34.836,34.965,34.522,34.797,2006536,0
2017-03-10,35.082,35.196,35.003,35.112,741135,0
2017-03-13,35.229,35.397,35.072,35.181,1969854,0
2017-03-14,34.955,34.985,34.778,34.885,1106781,0
2017-03-15,34.915,35.506,34.895,35.359,2853966,0
2017-03-16,35.466,35.633,35.309,35.623,1187500,0
2017-03-17,35.781,35.811,35.392,35.496,1892965,0
2017-03-20,35.594,35.663,35.274,35.436,1547865,0
2017-03-21,35.426,36.362,35.2,35.801,2135528,0
2017-03-22,35.988,36.342,35.742,36.322,1415585,0
2017-03-23,36.253,36.952,36.185,36.805,2171545,0
2017-03-24,36.588,37.286,36.588,37.089,2120346,0
2017-03-27,37.06,37.445,36.942,37.179,1739844,0
2017-03-28,37.316,37.627,37.189,37.316,1625788,0
2017-03-29,37.385,37.395,36.815,37.051,2802146,0
2017-03-30,37.248,37.276,36.873,37.099,1395687,0
2017-03-31,37.159,37.169,36.873,37.089,1285355,0
2017-04-03,37.041,37.041,36.578,36.922,907450,0
2017-04-04,36.952,37.099,36.618,37.089,1782331,0
2017-04-05,37.07,37.238,36.863,36.892,1494935,0
2017-04-06,37.036,37.104,36.718,36.728,1346847,0
2017-04-07,36.877,36.996,36.56,36.62,681576,0
2017-04-10,36.936,37.055,36.689,36.718,961114,0
2017-04-11,36.887,36.896,36.63,36.838,764428,0
2017-04-12,36.808,36.936,36.63,36.788,1343131,0
2017-04-13,36.877,37.016,36.728,36.976,953297,0
2017-04-17,37.055,37.292,36.887,37.292,569875,0
2017-04-18,37.322,37.738,37.244,37.728,1307767,0
2017-04-19,37.659,37.728,37.452,37.58,1026362,0
2017-04-20,37.56,37.698,37.292,37.302,1224072,0
