Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,83.354,85.093,82.559,85.093,22670,0
2017-01-04,85.589,87.725,85.217,87.725,29166,0
2017-01-05,86.484,88.222,85.838,86.335,35334,0
2017-01-06,86.037,86.931,84.646,84.894,17462,0
2017-01-09,84.348,86.434,83.702,85.44,22336,0
2017-01-10,85.291,86.583,84.844,84.944,27076,0
2017-01-11,84.546,86.086,82.857,84.497,26141,0
2017-01-12,84.397,85.44,83.205,84.099,15491,0
2017-01-13,84.298,84.894,82.46,84.546,13022,0
2017-01-17,84.248,84.397,83.304,83.453,10912,0
2017-01-18,83.602,85.639,83.006,84.993,25042,0
2017-01-19,85.341,85.341,82.982,83.106,10492,0
2017-01-20,83.652,84.596,82.311,83.255,17969,0
2017-01-23,83.106,83.801,82.609,83.453,6191,0
2017-01-24,84.199,84.844,83.553,84.447,28528,0
2017-01-25,85.043,86.186,84.348,86.186,21112,0
2017-01-26,86.831,86.831,84.695,84.844,18807,0
2017-01-27,85.341,85.639,83.801,85.391,22488,0
2017-01-30,84.596,85.937,84.447,85.341,22179,0
2017-01-31,85.341,87.427,84.944,87.427,44406,0
2017-02-01,87.278,92.345,86.881,91.103,52217,0
2017-02-02,91.153,91.153,88.421,88.719,14428,0
2017-02-03,89.663,89.861,88.421,89.414,11537,0
2017-02-06,89.116,91.203,89.116,90.458,36164,0
2017-02-07,91.203,91.302,88.57,88.818,25340,0
2017-02-08,88.818,88.818,86.285,86.881,26157,0
2017-02-09,87.278,90.209,86.831,88.669,31870,0
2017-02-10,89.067,89.861,88.173,89.563,6968,0
2017-02-13,90.408,90.519,88.868,89.911,20915,0
2017-02-14,88.818,92.097,88.222,91.451,56730,0
2017-02-15,90.905,91.948,90.408,91.948,116599,0
2017-02-16,91.699,91.699,89.857,90.855,21495,0
2017-02-17,91.401,91.848,91.054,91.699,21045,0
2017-02-21,91.848,91.848,90.259,91.6,13854,0
2017-02-22,91.302,93.14,91.252,92.941,31077,0
2017-02-23,92.991,92.991,91.062,91.898,21059,0
2017-02-24,91.302,92.296,91.153,91.501,18763,0
2017-02-27,91.451,92.743,91.352,91.749,18647,0
2017-02-28,91.6,91.799,89.563,90.855,26918,0
2017-03-01,91.6,93.835,89.812,93.686,23260,0
2017-03-02,95.127,95.127,91.401,91.501,14588,0
2017-03-03,91.55,93.885,90.756,92.395,26861,0
2017-03-06,91.65,92.147,90.905,91.6,21571,0
2017-03-07,91.501,92.196,91.252,91.401,11002,0
2017-03-08,91.501,92.345,90.616,91.6,25136,0
2017-03-09,91.352,92.196,91.153,91.451,14111,0
2017-03-10,92.494,92.494,91.352,91.749,12226,0
2017-03-13,91.054,93.488,91.054,92.594,18520,0
2017-03-14,92.842,93.488,90.905,92.196,13338,0
2017-03-15,92.643,92.643,91.401,92.047,19391,0
2017-03-16,92.842,93.339,91.501,91.997,13020,0
2017-03-17,91.898,97.66,91.55,97.263,57694,0
2017-03-20,96.568,96.915,94.233,94.63,18931,0
2017-03-21,95.028,95.505,91.6,91.6,20770,0
2017-03-22,91.699,93.14,91.103,92.693,22535,0
2017-03-23,92.991,95.599,90.711,94.432,13593,0
2017-03-24,94.68,95.773,91.699,92.792,13637,0
2017-03-27,92.345,92.743,90.954,92.445,16108,0
2017-03-28,92.345,93.239,91.302,91.749,14848,0
2017-03-29,92.047,93.14,91.401,92.842,17587,0
2017-03-30,92.892,92.892,91.228,92.395,20181,0
2017-03-31,92.395,95.673,91.898,94.779,40888,0
2017-04-03,95.276,96.568,92.537,93.587,20966,0
2017-04-04,93.488,94.779,93.488,94.73,20818,0
2017-04-05,95.226,96.101,94.382,96.021,34882,0
2017-04-06,96.071,97.263,92.594,95.872,49151,0
2017-04-07,95.773,97.313,92.544,95.475,89997,0
2017-04-10,95.226,97.611,93.041,94.68,29798,0
2017-04-11,94.283,97.313,92.792,97.313,25987,0
2017-04-12,97.611,97.611,92.395,93.885,17489,0
2017-04-13,93.835,96.518,93.065,95.375,16414,0
