Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,20.81,21.02,20.6755,20.75,12186,0
2017-01-04,20.82,21.05,20.77,20.87,13284,0
2017-01-05,20.87,21.09,20.81,20.95,24867,0
2017-01-06,20.87,20.95,20.71,20.85,15808,0
2017-01-09,20.62,20.85,20.59,20.77,9327,0
2017-01-10,20.85,20.88,20.69,20.7,21907,0
2017-01-11,20.71,20.88,20.68,20.79,18395,0
2017-01-12,20.85,20.96,20.76,20.95,16346,0
2017-01-13,20.77,20.94,20.77,20.9,12571,0
2017-01-17,20.78,20.89,20.71,20.71,5017,0
2017-01-18,20.77,20.825,20.72,20.72,7198,0
2017-01-19,20.68,20.72,20.57,20.59,7556,0
2017-01-20,20.59,20.9099,20.57,20.7,12681,0
2017-01-23,20.69,20.74,20.53,20.74,4621,0
2017-01-24,20.7,20.9,20.68,20.88,19730,0
2017-01-25,20.9,21,20.87,20.93,12831,0
2017-01-26,20.94,21.14,20.931,21.06,33657,0
2017-01-27,21.01,21.45,21.01,21.45,16342,0
2017-01-30,21.38,21.38,21.0201,21.33,71265,0
2017-01-31,21.33,21.49,21.33,21.4189,30070,0
2017-02-01,21.5,21.5,21.4,21.42,9943,0
2017-02-02,21.41,21.63,21.26,21.5268,15375,0
2017-02-03,21.5401,21.7,21.5401,21.61,10351,0
2017-02-06,21.61,21.67,21.49,21.4915,10270,0
2017-02-07,21.31,21.5756,21.31,21.563,11372,0
2017-02-08,21.49,21.49,21.3,21.3,34222,0
2017-02-09,21.24,21.3011,20.73,21.14,32325,0
2017-02-10,21.19,21.32,21.13,21.19,78415,0
2017-02-13,21.13,21.27,20.7867,21.24,12672,0
2017-02-14,21.35,21.42,21.3,21.35,7831,0
2017-02-15,21.22,21.4,21.22,21.29,4367,0
2017-02-16,21.27,21.2755,20.8426,21.2755,3747,0
2017-02-17,21.22,21.22,20.9701,21.14,16026,0
2017-02-21,21.17,21.28,21.17,21.19,9728,0
2017-02-22,21.08,21.16,21.03,21.15,18758,0
2017-02-23,21.2,21.2,21.13,21.15,5661,0
2017-02-24,20.91,21.06,20.909,20.95,19350,0
2017-02-27,21.02,21.02,20.9,20.94,8248,0
2017-02-28,20.84,20.84,20.5516,20.71,17049,0
2017-03-01,20.88,20.88,20.72,20.79,72804,0
2017-03-02,20.7,20.75,20.4432,20.68,13880,0
2017-03-03,20.75,20.81,20.48,20.71,32262,0
2017-03-06,20.71,20.71,20.49,20.53,13396,0
2017-03-07,20.43,20.5535,20.43,20.47,15986,0
2017-03-08,20.47,20.48,20.17,20.17,11783,0
2017-03-09,20.14,20.14,19.74,19.74,20352,0
2017-03-10,19.94,20,19.85,19.96,14033,0
2017-03-13,20.02,20.19,20.02,20.19,4956,0
2017-03-14,20.11,20.11,19.89,19.91,13249,0
2017-03-15,19.96,20.19,19.96,20.15,26986,0
2017-03-16,20.2,20.51,20.17,20.48,47234,0
2017-03-17,20.61,20.79,20.61,20.79,9099,0
2017-03-20,20.68,20.97,20.43,20.93,11467,0
2017-03-21,21.01,21.19,20.74,20.86,15515,0
2017-03-22,20.72,20.965,20.69,20.96,9846,0
2017-03-23,20.83,21.04,20.83,21,9057,0
2017-03-24,21,21.1346,21,21.13,5385,0
