Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,21.037,21.114,20.979,20.979,46292,0
2017-01-04,21.056,21.133,20.941,21.094,101502,0
2017-01-05,21.094,21.123,20.941,21.076,22789,0
2017-01-06,21.076,21.133,21.015,21.133,29546,0
2017-01-09,21.307,21.307,21.066,21.133,165405,0
2017-01-10,21.104,21.191,21.104,21.123,54703,0
2017-01-11,21.133,21.439,21.076,21.268,105488,0
2017-01-12,21.345,21.345,21.008,21.239,84882,0
2017-01-13,21.229,21.403,21.201,21.354,48622,0
2017-01-17,21.345,21.354,21.182,21.354,39955,0
2017-01-18,21.354,21.354,21.094,21.249,109617,0
2017-01-19,21.191,21.229,21.094,21.094,13144,0
2017-01-20,21.162,21.302,21.133,21.278,63722,0
2017-01-23,21.307,21.307,21.066,21.22,61280,0
2017-01-24,21.172,21.47,21.172,21.354,144345,0
2017-01-25,21.528,21.615,21.507,21.615,79270,0
2017-01-26,21.663,21.663,21.451,21.585,53146,0
2017-01-27,21.634,21.634,21.509,21.615,79820,0
2017-01-30,21.653,21.653,21.258,21.518,105786,0
2017-01-31,21.518,21.557,21.278,21.557,25973,0
2017-02-01,21.595,21.624,21.432,21.499,122518,0
2017-02-02,21.415,21.595,21.377,21.557,96543,0
2017-02-03,21.634,21.808,21.595,21.653,57913,0
2017-02-06,21.701,21.73,21.595,21.673,55699,0
2017-02-07,21.615,21.749,21.615,21.673,40524,0
2017-02-08,21.74,21.98,21.74,21.923,56037,0
2017-02-09,21.951,22.144,21.913,22.076,94124,0
2017-02-10,22.067,22.241,22.048,22.192,93386,0
2017-02-13,22.211,22.332,22.211,22.27,53166,0
2017-02-14,22.346,22.405,22.048,22.405,85371,0
2017-02-15,22.423,22.51,22.317,22.462,53045,0
2017-02-16,22.462,22.562,22.442,22.452,48257,0
2017-02-17,22.337,22.51,22.337,22.471,92880,0
2017-02-21,22.433,22.655,22.414,22.606,99795,0
2017-02-22,22.491,22.722,22.442,22.558,79504,0
2017-02-23,22.673,22.673,22.454,22.616,94027,0
2017-02-24,22.481,22.568,22.423,22.471,33744,0
2017-02-27,22.481,22.626,22.481,22.594,42095,0
