Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,1.74,1.7465,1.66,1.68,46037,0
2017-01-04,1.66,1.74,1.66,1.66,46031,0
2017-01-05,1.66,1.6899,1.62,1.63,52433,0
2017-01-06,1.6249,1.7,1.55,1.67,29705,0
2017-01-09,1.64,1.7,1.64,1.68,43653,0
2017-01-10,1.6916,1.7,1.6301,1.631,13474,0
2017-01-11,1.6699,1.68,1.63,1.6701,10564,0
2017-01-12,1.64,1.6905,1.64,1.6905,1900,0
2017-01-13,1.66,1.73,1.66,1.71,29387,0
2017-01-17,1.71,1.7582,1.69,1.72,84700,0
2017-01-18,1.72,1.7325,1.71,1.71,24605,0
2017-01-19,1.73,1.75,1.71,1.75,4227,0
2017-01-20,1.749,1.749,1.7272,1.7272,3668,0
2017-01-23,1.73,1.73,1.68,1.6817,16237,0
2017-01-24,1.6808,1.73,1.6808,1.71,29539,0
2017-01-25,1.7027,1.9,1.7027,1.8881,159565,0
2017-01-26,1.88,2.1768,1.87,2.04,68162,0
2017-01-27,2,2.13,1.91,2.0478,85266,0
2017-01-30,2.15,2.89,2.05,2.2,144841,0
2017-01-31,2.24,2.4499,2.2334,2.28,75869,0
2017-02-01,2.31,2.31,2.02,2.23,47210,0
2017-02-02,2.2355,2.39,2.18,2.27,61436,0
2017-02-03,2.28,3.19,2.28,3.1,580663,0
2017-02-06,3.1,3.64,2.7,2.72,1011100,0
2017-02-07,2.68,2.68,2.3,2.4,313707,0
2017-02-08,2.42,2.4572,2.36,2.39,114003,0
2017-02-09,2.42,2.6,2.42,2.57,98474,0
2017-02-10,2.6,2.6,2.46,2.51,115144,0
2017-02-13,2.51,2.59,2.37,2.4,93386,0
2017-02-14,2.38,2.45,2.38,2.39,144990,0
2017-02-15,2.38,2.42,2.36,2.36,49523,0
2017-02-16,2.34,2.37,2.25,2.3,70091,0
2017-02-17,2.3,2.3899,2.29,2.3,44000,0
2017-02-21,2.32,2.32,2.0901,2.17,98470,0
2017-02-22,2.22,2.22,1.93,1.93,169681,0
2017-02-23,1.9,1.997,1.84,1.87,105023,0
2017-02-24,1.81,1.93,1.8,1.88,145533,0
2017-02-27,1.84,2.04,1.8,1.85,85157,0
2017-02-28,1.89,1.91,1.8,1.84,56784,0
2017-03-01,1.91,1.91,1.82,1.89,23899,0
2017-03-02,1.81,1.88,1.8,1.835,72948,0
2017-03-03,1.83,1.83,1.76,1.8,125967,0
2017-03-06,1.7891,1.83,1.789,1.81,49314,0
2017-03-07,1.8199,1.88,1.8,1.86,38423,0
2017-03-08,1.87,1.98,1.86,1.95,89713,0
2017-03-09,2,2,1.92,1.92,43730,0
2017-03-10,1.95,2.1824,1.8993,1.95,146282,0
2017-03-13,2.0797,2.15,1.86,1.94,176641,0
2017-03-14,1.95,1.95,1.9,1.94,35652,0
2017-03-15,1.93,2.01,1.93,1.95,22038,0
2017-03-16,1.96,2.05,1.9569,2.05,68811,0
2017-03-17,2.05,2.19,2.049,2.19,78074,0
2017-03-20,2.2,2.2,2.1136,2.14,16926,0
2017-03-21,2.15,2.16,2.1,2.1091,28791,0
2017-03-22,2.1,2.1248,2.1,2.1,21622,0
2017-03-23,2.12,2.1258,2.06,2.0601,27111,0
2017-03-24,2.0876,2.156,2.0876,2.156,10282,0
2017-03-27,2.1,2.1657,2.1,2.14,41256,0
2017-03-28,2.11,2.1595,2.11,2.11,21344,0
2017-03-29,2.11,2.1507,2.11,2.1275,10937,0
2017-03-30,2.14,2.189,2.14,2.16,10361,0
2017-03-31,2.16,2.16,2.13,2.131,8324,0
2017-04-03,2.13,2.15,2.07,2.08,17280,0
2017-04-04,2.08,2.11,2.07,2.07,20086,0
2017-04-05,2.07,2.3,2.0672,2.21,131247,0
2017-04-06,2.21,2.24,2.16,2.2004,53698,0
2017-04-07,2.23,2.3967,2.16,2.39,58638,0
2017-04-10,2.39,2.4,2.22,2.37,34689,0
2017-04-11,2.38,2.38,2.22,2.22,14675,0
2017-04-12,2.22,2.2777,2.2111,2.22,14225,0
2017-04-13,2.25,2.25,2.12,2.1393,20728,0
2017-04-17,2.12,2.2967,2.12,2.2093,32753,0
2017-04-18,2.21,2.27,2.15,2.22,33326,0
2017-04-19,2.29,2.29,2.21,2.27,35806,0
2017-04-20,2.25,2.2796,2.21,2.21,14376,0
2017-04-21,2.2043,2.21,2.131,2.16,32021,0
2017-04-24,2.2,2.28,2.2,2.26,22036,0
2017-04-25,2.27,2.28,2.265,2.27,26188,0
2017-04-26,2.2576,2.37,2.23,2.29,24208,0
2017-04-27,2.31,2.3597,2.17,2.26,26502,0
2017-04-28,2.3444,2.44,2.27,2.321,50484,0
2017-05-01,2.2876,2.3,2.19,2.3,34425,0
2017-05-02,2.29,2.29,2.22,2.22,5215,0
2017-05-03,2.21,2.277,2.2,2.23,27043,0
2017-05-04,2.23,2.23,2.19,2.2001,16558,0
2017-05-05,2.2,2.21,2.18,2.21,9093,0
2017-05-08,2.17,2.21,2.02,2.1,101634,0
2017-05-09,2.09,2.09,1.85,2.03,140394,0
2017-05-10,2.05,2.0697,2.0399,2.0691,15594,0
2017-05-11,2.05,2.0693,2.011,2.04,19909,0
2017-05-12,2.0447,2.07,2.02,2.05,69374,0
2017-05-15,2.0548,2.07,2.0299,2.07,4761,0
2017-05-16,2.08,2.08,2.0101,2.0101,16841,0
2017-05-17,2.01,2.05,2.01,2.02,20106,0
2017-05-18,2.01,2.08,2.01,2.08,35027,0
2017-05-19,2.08,2.2,2.061,2.18,48405,0
2017-05-22,2.25,2.25,2.04,2.05,38770,0
2017-05-23,2.07,2.07,2.04,2.05,6305,0
2017-05-24,2.05,2.0649,2.0499,2.0572,2196,0
2017-05-25,2.07,2.07,2.04,2.04,4747,0
2017-05-26,2.041,2.0562,2,2.02,12929,0
2017-05-30,2.11,2.11,1.95,1.95,21126,0
2017-05-31,1.95,2.2,1.95,2.2,35459,0
2017-06-01,2.19,2.19,2.04,2.04,12413,0
2017-06-02,2.05,2.0801,2.05,2.08,7221,0
2017-06-05,2.11,2.19,2.0801,2.16,23242,0
2017-06-06,2.18,2.25,2.13,2.23,32217,0
2017-06-07,2.24,2.25,2.18,2.25,25074,0
2017-06-08,2.26,2.35,2.22,2.3,19096,0
2017-06-09,2.33,2.4,2.2432,2.31,82314,0
2017-06-12,2.37,2.37,2.14,2.25,27958,0
2017-06-13,2.32,2.32,2.1,2.29,37248,0
2017-06-14,2.21,2.3,2.17,2.19,18965,0
2017-06-15,2.19,2.3,2.19,2.23,29217,0
2017-06-16,2.2033,2.34,2.05,2.19,105244,0
2017-06-19,2.17,2.18,2.08,2.09,35014,0
2017-06-20,2.08,2.38,2.08,2.16,19132,0
2017-06-21,2.14,2.16,2.1033,2.13,26246,0
2017-06-22,2.11,2.2,2.11,2.11,14724,0
2017-06-23,2.11,2.13,2.06,2.1,95594,0
2017-06-26,2.1,2.11,2.041,2.07,10130,0
2017-06-27,2.09,2.09,2.07,2.07,7117,0
2017-06-28,2.07,2.09,2.04,2.04,23385,0
2017-06-29,2.05,2.09,2.05,2.09,13519,0
2017-06-30,2.08,2.08,2.05,2.08,8443,0
2017-07-03,2.05,2.075,2.01,2.02,9757,0
2017-07-05,2,2.05,1.9981,2.04,16409,0
2017-07-06,2.035,2.0475,2.03,2.04,3418,0
2017-07-07,2.0368,2.16,2.0368,2.16,15280,0
2017-07-10,2.14,2.14,2.05,2.1,19687,0
2017-07-11,2.1,2.13,2.05,2.05,13582,0
2017-07-12,2.06,2.16,2.06,2.15,17051,0
2017-07-13,2.14,2.15,2.0631,2.15,12274,0
2017-07-14,2.1499,2.25,2.14,2.22,9099,0
2017-07-17,2.22,2.22,2.1453,2.22,5422,0
2017-07-18,2.2,2.24,2.0615,2.24,19149,0
2017-07-19,2.23,2.23,2.19,2.2,1995,0
2017-07-20,2.21,2.23,2.1378,2.15,11197,0
2017-07-21,2.1,2.1379,2.07,2.07,17775,0
2017-07-24,2.1288,2.2,2.1,2.13,21145,0
2017-07-25,2.13,2.19,2.08,2.08,10461,0
2017-07-26,2.11,2.15,2.1,2.15,6834,0
2017-07-27,2.1164,2.2,2.1164,2.19,9599,0
2017-07-28,2.19,2.24,2.15,2.24,17715,0
2017-07-31,2.25,2.29,2.1834,2.29,19851,0
2017-08-01,2.27,2.3,2.21,2.23,9589,0
2017-08-02,2.2601,2.2687,2.15,2.15,6080,0
2017-08-03,2.18,2.23,2.15,2.23,4256,0
2017-08-04,2.18,2.19,2.1,2.18,25983,0
2017-08-07,2.18,2.19,2.15,2.18,2404,0
2017-08-08,2.21,2.2328,2.1355,2.23,9502,0
2017-08-09,2.2,2.2257,2.1511,2.17,13241,0
2017-08-10,2.12,2.1553,2.1,2.1,19204,0
2017-08-11,2.1042,2.1868,2.1,2.1485,24837,0
2017-08-14,2.1443,2.2,2.1357,2.2,8733,0
2017-08-15,2.1903,2.25,2.18,2.22,20195,0
2017-08-16,2.2,2.2,2.1632,2.2,4810,0
2017-08-17,2.22,2.22,2.1528,2.1595,5927,0
2017-08-18,2.19,2.24,2.15,2.23,4221,0
2017-08-21,2.22,2.22,2.15,2.16,6308,0
2017-08-22,2.2135,2.2224,2.16,2.16,11963,0
2017-08-23,2.192,2.2,2.18,2.1976,2111,0
2017-08-24,2.22,2.25,2.16,2.2,17744,0
2017-08-25,2.24,2.24,2.2,2.22,14239,0
2017-08-28,2.22,2.22,2.2091,2.21,1377,0
2017-08-29,2.2,2.29,2.2,2.24,17204,0
2017-08-30,2.2399,2.35,2.2399,2.34,28893,0
2017-08-31,2.36,2.48,2.34,2.37,55431,0
2017-09-01,2.38,2.49,2.36,2.42,49362,0
2017-09-05,2.44,2.5,2.35,2.45,29886,0
2017-09-06,2.416,2.45,2.37,2.4,12186,0
2017-09-07,2.46,2.46,2.37,2.44,7101,0
2017-09-08,2.46,2.56,2.46,2.49,52797,0
2017-09-11,2.525,2.5551,2.44,2.49,8646,0
2017-09-12,2.47,2.56,2.47,2.56,17034,0
2017-09-13,2.56,2.75,2.56,2.67,32640,0
2017-09-14,2.72,2.74,2.56,2.64,24599,0
2017-09-15,2.65,2.71,2.51,2.51,19540,0
2017-09-18,2.52,2.7,2.52,2.58,5934,0
2017-09-19,2.565,2.615,2.53,2.6,22225,0
2017-09-20,2.55,2.669,2.54,2.62,173335,0
2017-09-21,2.61,2.6401,2.52,2.56,5265,0
2017-09-22,2.59,2.64,2.49,2.6,22958,0
2017-09-25,2.56,2.56,2.4901,2.51,4304,0
2017-09-26,2.5101,2.63,2.5101,2.6,9895,0
2017-09-27,2.67,2.67,2.6153,2.62,8488,0
2017-09-28,2.6,2.63,2.458,2.6,24281,0
2017-09-29,2.55,2.55,2.42,2.42,16421,0
2017-10-02,2.42,2.495,2.4052,2.45,49659,0
2017-10-03,2.4499,2.516,2.43,2.46,4088,0
2017-10-04,2.47,2.48,2.43,2.44,10424,0
2017-10-05,2.45,2.45,2.41,2.4299,7612,0
2017-10-06,2.41,2.5,2.41,2.49,8180,0
2017-10-09,2.5,2.5241,2.5,2.52,5903,0
2017-10-10,2.49,2.58,2.49,2.5,2041,0
2017-10-11,2.53,2.65,2.5,2.5,27249,0
2017-10-12,2.5214,2.6,2.5214,2.55,12215,0
2017-10-13,2.6419,2.6419,2.4301,2.46,102716,0
2017-10-16,2.49,2.49,2.4633,2.4828,3533,0
2017-10-17,2.484,2.484,2.4129,2.4492,10809,0
2017-10-18,2.45,2.479,2.4048,2.42,10147,0
2017-10-19,2.41,2.42,2.4091,2.42,4220,0
2017-10-20,2.46,2.46,2.39,2.42,10085,0
2017-10-23,2.45,2.4592,2.37,2.44,11620,0
2017-10-24,2.4594,2.4594,2.3975,2.4,3781,0
2017-10-25,2.42,2.475,2.41,2.45,12383,0
2017-10-26,2.48,2.5,2.461,2.5,2929,0
2017-10-27,2.49,2.5,2.44,2.48,10521,0
2017-10-30,2.44,2.45,2.39,2.39,10108,0
2017-10-31,2.39,2.4198,2.39,2.4197,1042,0
2017-11-01,2.45,2.4598,2.4,2.42,3916,0
2017-11-02,2.39,2.47,2.37,2.47,2524,0
2017-11-03,2.47,2.49,2.3751,2.3751,3930,0
2017-11-06,2.37,2.3955,2.36,2.37,22531,0
2017-11-07,2.35,2.3944,2.35,2.3944,26170,0
2017-11-08,2.43,2.4899,2.4,2.4798,17549,0
2017-11-09,2.4739,2.4739,2.4739,2.4739,1008,0
2017-11-10,2.4884,2.4884,2.45,2.45,15056,0
