Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,14.27,15.6,14.27,15.1645,4099,0
2017-01-04,15.1,15.32,14.96,15.1062,643,0
2017-01-05,13.6,13.6,13.1825,13.45,15898,0
2017-01-06,13.41,13.41,12.8,12.86,14367,0
2017-01-09,12.71,12.79,12.41,12.42,1573,0
2017-01-10,12.58,12.6372,12.4301,12.63,2300,0
2017-01-11,12.18,12.18,11.9279,11.9815,11432,0
2017-01-12,11.99,11.99,11.3554,11.6499,10071,0
2017-01-13,11.66,11.66,11.0221,11.2,3167,0
2017-01-17,11.11,11.11,10.87,10.9811,6727,0
2017-01-18,10.91,11.019,10.7303,10.88,3559,0
2017-01-19,10.72,10.72,10.36,10.36,3976,0
2017-01-20,10.69,11.46,10.69,11.3303,3429,0
2017-01-23,11.13,11.2761,11.11,11.11,2839,0
2017-01-24,11.0216,11.05,10.81,10.81,4297,0
2017-01-25,11.0065,11.0065,10.82,10.82,3848,0
2017-01-26,10.83,10.96,10.83,10.96,748,0
2017-01-27,10.71,10.8124,10.4315,10.74,1239,0
2017-01-30,10.7156,10.72,10.64,10.72,774,0
2017-01-31,10.45,10.45,10.0601,10.2,3479,0
2017-02-01,10.195,10.37,10,10.07,5505,0
2017-02-02,10.12,10.29,10.12,10.29,1223,0
2017-02-03,10.21,10.21,10.21,10.21,247,0
2017-02-06,10.1,10.35,10.02,10.3489,2543,0
2017-02-07,9.95,9.95,9.71,9.7455,7903,0
2017-02-08,9.52,9.53,9.42,9.53,5028,0
2017-02-09,9.81,9.9043,9.53,9.9,2688,0
2017-02-10,9.856,9.856,9.62,9.7067,3968,0
2017-02-13,10.47,10.51,10,10.14,2328,0
2017-02-14,9.97,10.1845,9.895,10.1845,1281,0
2017-02-15,9.86,10.185,9.86,10.01,4844,0
2017-02-16,9.91,10,9.71,9.82,2639,0
2017-02-21,9.43,9.45,9.31,9.43,3727,0
2017-02-22,9.36,9.36,9.21,9.28,3262,0
2017-02-23,9.3525,9.3525,9.35,9.35,445,0
2017-02-24,9.06,9.08,8.919,8.978,3992,0
