Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,2.3339,2.3729,2.2948,2.3144,4385786,0
2017-01-04,2.3046,2.3241,2.2558,2.2948,5368609,0
2017-01-05,2.3046,2.3144,2.2362,2.2558,4273303,0
2017-01-06,2.2362,2.2558,2.1972,2.2167,3245171,0
2017-01-09,2.2655,2.2851,2.2265,2.246,3148390,0
2017-01-10,2.2558,2.2753,2.2265,2.2362,4416951,0
2017-01-11,2.2362,2.4022,2.2167,2.3925,7775157,0
2017-01-12,2.4511,2.6415,2.4471,2.5975,6560371,0
2017-01-13,2.5585,2.5682,2.5097,2.539,3098821,0
2017-01-17,2.6171,2.6903,2.5731,2.6464,4902635,0
2017-01-18,2.6757,2.6952,2.578,2.5975,3875403,0
2017-01-19,2.6366,2.6366,2.5585,2.5878,5148325,0
2017-01-20,2.6366,2.6561,2.578,2.6073,3420807,0
2017-01-23,2.6854,2.7636,2.6659,2.7636,4954401,0
2017-01-24,2.7636,2.7977,2.7147,2.7343,5205685,0
2017-01-25,2.7245,2.7928,2.6561,2.7343,5279957,0
2017-01-26,2.7733,2.788,2.705,2.7343,5866624,0
2017-01-27,2.7343,2.7538,2.6953,2.7245,5103973,0
2017-01-30,2.705,2.705,2.5985,2.6366,8085436,0
2017-01-31,2.7636,2.8075,2.7245,2.7733,6621132,0
2017-02-01,2.7831,2.8026,2.705,2.7538,4843853,0
2017-02-02,2.7928,2.8612,2.7636,2.8514,4245797,0
2017-02-03,2.871,2.9003,2.8319,2.8319,3191357,0
2017-02-06,2.8319,2.8417,2.6952,2.6952,5315020,0
2017-02-07,2.7636,2.7733,2.6854,2.6952,3880629,0
2017-02-08,2.6952,2.7928,2.6659,2.744,8653220,0
2017-02-09,2.7733,2.7733,2.6464,2.705,9970101,0
2017-02-10,2.7636,2.8612,2.7098,2.8026,16180508,0
2017-02-13,2.8759,2.91,2.8417,2.8905,3910374,0
2017-02-14,2.91,2.9247,2.8368,2.9198,3630212,0
2017-02-15,2.9979,3.1639,2.9784,3.1346,7356033,0
2017-02-16,3.1737,3.2811,3.1737,3.2225,5109491,0
2017-02-17,3.203,3.2616,3.1468,3.2225,4276727,0
2017-02-21,3.4081,3.5057,3.4081,3.4959,6040338,0
2017-02-22,3.6034,3.6668,3.3983,3.4666,8673184,0
2017-02-23,3.6034,3.6131,3.3592,3.3788,7517004,0
2017-02-24,3.3592,3.369,3.2616,3.3104,3829619,0
2017-02-27,3.2909,3.3251,3.1835,3.242,3627734,0
2017-02-28,3.1835,3.2811,3.1444,3.2225,5652785,0
2017-03-01,3.1835,3.3397,3.1688,3.3202,7255642,0
2017-03-02,3.2811,3.3202,3.203,3.242,4699438,0
2017-03-03,3.3202,3.4666,3.3153,3.4666,13563957,0
2017-03-06,3.4862,3.5057,3.3739,3.3983,4202730,0
2017-03-07,3.5057,3.6229,3.4569,3.6131,5998299,0
2017-03-08,3.5155,3.5497,3.3495,3.4374,7787401,0
2017-03-09,3.3788,3.3983,3.2323,3.2811,6044626,0
2017-03-10,3.3495,3.3788,3.2714,3.369,3860269,0
2017-03-13,3.4959,3.5545,3.4715,3.5155,5271289,0
2017-03-14,3.4764,3.4813,3.3007,3.369,4656876,0
2017-03-15,3.3397,3.5057,3.3104,3.4959,5246499,0
2017-03-16,3.5155,3.6327,3.5155,3.5838,4496259,0
2017-03-17,3.7108,3.7498,3.5155,3.6131,6828243,0
2017-03-20,3.5936,3.6522,3.4178,3.4569,5629751,0
2017-03-21,3.4178,3.4471,3.1444,3.1444,11061175,0
2017-03-22,3.0956,3.1249,2.7928,3.076,19019630,0
2017-03-23,3.0956,3.159,2.9491,3.0272,6921291,0
2017-03-24,3.1151,3.1932,3.1053,3.1639,3978669,0
2017-03-27,3.0858,3.2469,3.076,3.242,3302946,0
2017-03-28,3.1932,3.242,3.1151,3.1639,3555022,0
2017-03-29,3.0858,3.2225,3.0565,3.1932,3698736,0
2017-03-30,3.1835,3.2128,3.0956,3.1151,3031694,0
2017-03-31,3.1444,3.2225,3.1151,3.2128,3553424,0
2017-04-03,3.203,3.2128,3.1151,3.1639,2578640,0
2017-04-04,3.1249,3.1542,3.0663,3.0858,4321258,0
2017-04-05,3.1053,3.1542,3.0077,3.0174,4880362,0
2017-04-06,3.0174,3.0565,2.9491,2.9589,4123751,0
2017-04-07,2.9784,3.0565,2.9491,3.0174,4624306,0
2017-04-10,3.0174,3.0272,2.91,2.9589,6680125,0
2017-04-11,2.9882,3.0565,2.91,3.037,4811289,0
2017-04-12,2.9686,2.9686,2.8514,2.9198,8467089,0
