Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,1.74,1.79,1.68,1.76,53815,0
2017-01-04,1.85,1.85,1.801,1.83,58703,0
2017-01-05,1.8,1.85,1.769,1.8,9387,0
2017-01-06,1.72,1.75,1.71,1.71,11133,0
2017-01-09,1.74,1.84,1.71,1.81,35964,0
2017-01-10,1.8,1.83,1.79,1.8269,78686,0
2017-01-11,1.81,1.83,1.76,1.83,5495,0
2017-01-12,1.79,1.85,1.79,1.83,11218,0
2017-01-13,1.84,1.84,1.81,1.84,19859,0
2017-01-17,1.83,1.83,1.81,1.81,11400,0
2017-01-18,1.7799,1.89,1.77,1.81,110329,0
2017-01-19,1.84,2.16,1.74,1.8,361902,0
2017-01-20,1.81,1.86,1.68,1.79,110546,0
2017-01-23,1.81,1.85,1.78,1.82,20297,0
2017-01-24,1.83,1.9,1.79,1.83,68306,0
2017-01-25,1.81,1.835,1.8,1.81,35967,0
2017-01-26,1.81,1.82,1.77,1.81,3822,0
2017-01-27,1.78,1.83,1.75,1.76,5760,0
2017-01-30,1.75,1.77,1.6882,1.76,29207,0
2017-01-31,1.8,2.1,1.77,1.85,136057,0
2017-02-01,1.88,2,1.85,1.92,153296,0
2017-02-02,1.9,1.9394,1.85,1.85,21396,0
2017-02-03,1.82,1.94,1.82,1.86,25745,0
2017-02-06,1.8604,1.87,1.85,1.8651,3077,0
2017-02-07,1.8678,1.88,1.85,1.8689,10652,0
2017-02-08,1.88,2.18,1.88,1.99,544386,0
2017-02-09,2.04,2.0486,1.9,2.01,163482,0
2017-02-10,2.02,2.02,1.9,1.92,49067,0
2017-02-13,1.91,1.96,1.8549,1.9358,55909,0
2017-02-14,1.94,1.97,1.9342,1.95,5257,0
2017-02-15,1.95,1.96,1.92,1.9392,33760,0
2017-02-16,1.93,1.94,1.92,1.94,1560,0
2017-02-17,1.92,1.93,1.9,1.93,16672,0
2017-02-21,1.95,1.95,1.9286,1.93,3411,0
2017-02-22,1.94,1.97,1.93,1.93,4416,0
2017-02-23,1.9598,1.9598,1.911,1.9116,7468,0
2017-02-24,1.9021,1.93,1.9,1.9,4203,0
2017-02-27,1.9,1.9,1.8,1.81,74678,0
2017-02-28,1.81,1.85,1.78,1.83,13450,0
2017-03-01,1.8101,1.855,1.8101,1.85,1456,0
2017-03-02,1.8314,1.8314,1.75,1.8201,28552,0
2017-03-03,1.7921,1.8354,1.79,1.8086,9203,0
2017-03-06,1.8,1.82,1.8,1.8,7931,0
2017-03-07,1.8,1.83,1.7689,1.8024,15569,0
2017-03-08,1.8181,1.82,1.7885,1.8,3602,0
2017-03-09,1.78,1.82,1.73,1.82,16306,0
2017-03-10,1.82,1.82,1.7841,1.82,538,0
2017-03-13,1.81,1.83,1.7765,1.8016,5994,0
2017-03-14,1.74,1.81,1.7,1.7899,24744,0
2017-03-15,1.7847,1.79,1.75,1.79,5766,0
2017-03-16,1.7792,1.81,1.72,1.7827,30936,0
2017-03-17,1.7984,1.81,1.72,1.78,26551,0
2017-03-20,1.7329,1.8,1.7329,1.77,7053,0
2017-03-21,1.7739,1.7739,1.7735,1.7735,1097,0
2017-03-22,1.8,1.8,1.778,1.78,9284,0
2017-03-23,1.7577,1.77,1.7577,1.77,1514,0
2017-03-24,1.75,1.78,1.75,1.78,10231,0
2017-03-27,1.7672,1.7909,1.75,1.7909,7252,0
2017-03-28,1.78,1.8,1.78,1.8,5829,0
2017-03-29,1.8,1.84,1.8,1.82,26506,0
2017-03-30,1.81,1.847,1.7859,1.801,7677,0
2017-03-31,1.78,1.9,1.77,1.8,2414,0
2017-04-03,1.8,1.8,1.75,1.78,11862,0
2017-04-04,1.79,1.87,1.76,1.76,5745,0
2017-04-05,1.76,1.7838,1.75,1.7801,12685,0
2017-04-06,1.75,1.78,1.75,1.7701,10294,0
2017-04-07,1.75,1.9,1.75,1.82,100262,0
2017-04-10,1.76,1.7806,1.75,1.76,11901,0
2017-04-11,1.75,1.7605,1.72,1.72,14527,0
2017-04-12,1.72,1.87,1.72,1.76,46343,0
2017-04-13,1.74,1.78,1.73,1.73,7516,0
2017-04-17,1.74,1.85,1.74,1.826,8401,0
2017-04-18,1.82,1.84,1.73,1.75,27450,0
2017-04-19,1.74,1.7799,1.73,1.76,8011,0
2017-04-20,1.8,1.87,1.74,1.75,35866,0
2017-04-21,1.77,1.82,1.7311,1.7922,17107,0
2017-04-24,1.78,1.81,1.771,1.81,1549,0
2017-04-25,1.79,1.8054,1.79,1.7964,2811,0
2017-04-26,1.81,1.825,1.81,1.825,723,0
2017-04-27,1.795,1.81,1.795,1.81,3900,0
2017-04-28,1.8376,1.8376,1.764,1.78,2713,0
2017-05-01,1.791,1.82,1.77,1.82,8965,0
2017-05-02,1.82,1.82,1.79,1.796,1695,0
2017-05-03,1.7411,1.825,1.7411,1.8025,4294,0
2017-05-04,1.8,1.86,1.74,1.81,27090,0
2017-05-05,1.86,1.86,1.78,1.81,8640,0
2017-05-08,1.8,1.8,1.77,1.79,13713,0
2017-05-09,1.75,1.8,1.7476,1.76,37337,0
2017-05-10,1.751,1.785,1.751,1.77,9433,0
2017-05-11,1.75,1.78,1.75,1.75,1308,0
2017-05-12,1.77,1.7715,1.75,1.7588,6934,0
2017-05-15,1.77,1.78,1.74,1.75,11068,0
2017-05-16,1.76,1.77,1.75,1.75,11762,0
2017-05-17,1.75,1.77,1.74,1.7617,7426,0
2017-05-18,1.74,1.76,1.72,1.73,27649,0
2017-05-19,1.7318,1.76,1.73,1.74,13704,0
2017-05-22,1.72,1.7558,1.72,1.75,1474,0
2017-05-23,1.73,1.765,1.73,1.73,16931,0
2017-05-24,1.71,1.8,1.71,1.8,3330,0
2017-05-25,1.81,1.83,1.72,1.75,88845,0
2017-05-26,1.71,1.76,1.6821,1.75,12858,0
2017-05-30,1.7,1.7801,1.7,1.78,1510,0
2017-05-31,1.7326,1.75,1.7326,1.75,922,0
2017-06-01,1.7,1.77,1.66,1.77,23600,0
2017-06-02,1.7215,1.77,1.7215,1.74,11670,0
2017-06-05,1.69,1.745,1.68,1.7,25137,0
2017-06-06,1.68,1.7401,1.6742,1.74,20385,0
2017-06-07,1.7289,1.73,1.71,1.7213,5028,0
2017-06-08,1.75,1.7873,1.73,1.77,27623,0
2017-06-09,1.79,1.79,1.77,1.79,5251,0
2017-06-12,1.76,1.76,1.74,1.75,426,0
2017-06-13,1.7401,1.8165,1.74,1.8165,2225,0
2017-06-14,1.76,1.76,1.75,1.75,225,0
2017-06-15,1.72,1.75,1.66,1.71,23277,0
2017-06-16,1.72,1.76,1.72,1.76,6576,0
2017-06-19,1.75,1.75,1.68,1.71,6417,0
2017-06-20,1.67,1.75,1.67,1.7,10613,0
2017-06-21,1.739,1.74,1.7053,1.72,6475,0
2017-06-22,1.75,1.75,1.71,1.73,4805,0
2017-06-23,1.68,1.76,1.68,1.69,2666,0
