Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,5.3,5.7,5.3,5.65,67313,0
2017-01-04,5.65,5.95,5.5,5.8,87559,0
2017-01-05,5.6585,5.85,5.65,5.75,74801,0
2017-01-06,5.75,6.1,5.75,5.95,256447,0
2017-01-09,5.95,6.1,5.8,6,182658,0
2017-01-10,6,6,5.75,5.9,108827,0
2017-01-11,5.9,6,5.55,5.95,96829,0
2017-01-12,5.95,6.05,5.8,5.95,64843,0
2017-01-13,5.9,6.225,5.6793,5.9,16123,0
2017-01-17,5.9,6,5.7,5.9,42268,0
2017-01-18,5.9,5.9,5.8,5.85,64630,0
2017-01-19,5.9,6,5.75,5.85,39411,0
2017-01-20,5.9,5.9,5.7,5.9,12314,0
2017-01-23,5.85,5.95,5.8087,5.95,44439,0
2017-01-24,6,6,5.9,5.95,69421,0
2017-01-25,5.95,6,5.9,5.95,47474,0
2017-01-26,5.9,5.9,5.5052,5.55,50799,0
2017-01-27,5.6,5.65,5.5,5.65,30590,0
2017-01-30,5.55,5.55,5.3,5.4,33186,0
2017-01-31,5.4,5.625,5.3,5.6,55934,0
2017-02-01,5.65,5.8,5.5,5.75,58307,0
2017-02-02,5.85,6,5.7,5.9,82561,0
2017-02-03,6,6.1,5.8,5.95,130753,0
2017-02-06,6,6.05,5.8,6,57547,0
2017-02-07,5.95,6.1,5.7,5.75,40042,0
2017-02-08,5.75,5.8,5.55,5.75,62373,0
2017-02-09,5.75,5.85,5.6,5.8,51271,0
2017-02-10,5.8,5.95,5.45,5.5,96590,0
2017-02-13,5.5,5.7418,5.2,5.25,96442,0
2017-02-14,5.3,5.3,5.15,5.25,81356,0
2017-02-15,5.25,5.35,5,5.35,92054,0
2017-02-16,5.3,5.45,5.2,5.3,50355,0
2017-02-17,5.5,5.6,5.2,5.5,136591,0
2017-02-21,5.7,5.8,5.5482,5.7,65532,0
2017-02-22,5.7,5.9,5.7,5.75,33837,0
2017-02-23,5.75,5.95,5.7,5.9,59129,0
2017-02-24,5.9,5.9,5.7,5.85,46345,0
2017-02-27,5.7,5.9,5.7,5.8,38664,0
2017-02-28,5.7,5.85,5.5,5.5,46748,0
2017-03-01,5.6,5.7,5.5093,5.6,56595,0
2017-03-02,5.6,5.6,5.55,5.6,26462,0
2017-03-03,5.6,5.631,5.5,5.6,29476,0
2017-03-06,5.6,5.725,5.5,5.6716,133164,0
2017-03-07,5.45,5.7,5,5.45,238228,0
2017-03-08,5.4,5.45,5.25,5.25,86211,0
2017-03-09,5.25,5.425,5.25,5.3,89147,0
2017-03-10,5.35,5.4,5.3,5.3,50622,0
2017-03-13,5.45,5.45,5.35,5.35,53123,0
2017-03-14,5.4,5.4,5.25,5.25,58116,0
2017-03-15,5.25,5.4,5.25,5.4,50751,0
2017-03-16,5.35,5.4,5.35,5.35,48667,0
2017-03-17,5.4,5.6,5.35,5.45,99050,0
2017-03-20,5.4,5.55,5.35,5.5,78832,0
2017-03-21,5.5,5.6,5.25,5.3,46816,0
2017-03-22,5.3,5.35,5.255,5.3,72536,0
2017-03-23,5.3,5.4,5.25,5.3,246073,0
2017-03-24,5.25,5.65,5.25,5.45,47522,0
2017-03-27,5.45,5.56,5.35,5.5,64398,0
2017-03-28,5.45,5.65,5.35,5.4,51158,0
2017-03-29,5.35,5.5,5.3,5.3,22886,0
2017-03-30,5.3,5.55,5.3,5.5,76510,0
2017-03-31,5.45,5.5,5.4,5.4,69077,0
2017-04-03,5.4,5.6,5.4,5.4,82443,0
2017-04-04,5.4,5.5,5.3,5.35,121122,0
2017-04-05,5.4,5.4,5.2,5.25,90203,0
2017-04-06,5.2,5.5,5.2,5.45,70550,0
2017-04-07,5.4,5.55,5.35,5.35,45416,0
2017-04-10,5.25,5.55,5.25,5.45,61838,0
2017-04-11,5.45,5.5,5.35,5.45,51236,0
2017-04-12,5.45,5.5,5.4,5.45,91441,0
2017-04-13,5.5,5.5,5.35,5.4,27611,0
2017-04-17,5.4,5.4,5.3,5.4,32744,0
2017-04-18,5.4,5.5,5.2,5.2,35402,0
2017-04-19,5.25,5.4,5.25,5.35,126400,0
2017-04-20,5.4,5.4,5.2,5.25,38257,0
2017-04-21,5.3,5.4,5.1,5.2,98278,0
2017-04-24,5.25,5.4,5.15,5.2,43113,0
2017-04-25,5.2,5.35,5.2,5.35,50907,0
2017-04-26,5.3,5.4,5.25,5.25,42653,0
2017-04-27,5.3,5.4,5.3,5.3,20705,0
2017-04-28,5.3,5.35,5.25,5.25,12193,0
2017-05-01,5.3,5.4,5.2,5.35,119997,0
2017-05-02,5.35,5.35,5.25,5.3,41893,0
2017-05-03,5.35,5.6,5.349,5.55,48752,0
2017-05-04,5.5,5.55,5.35,5.45,34361,0
2017-05-05,5.5,5.5,5.35,5.4,33983,0
2017-05-08,5.35,5.5,5.35,5.45,27122,0
2017-05-09,5.55,5.8,5.55,5.75,61364,0
2017-05-10,5.8,5.85,5.7,5.8,69507,0
2017-05-11,5.8,6,5.75,5.9,65245,0
2017-05-12,6,6,5.85,5.9,126525,0
2017-05-15,6,6,5.9,6,65189,0
2017-05-16,6,6,5.95,5.95,59197,0
2017-05-17,5.95,6,5.8,5.85,64394,0
2017-05-18,5.8,6,5.75,5.9,46878,0
2017-05-19,5.9,6,5.9,6,34638,0
2017-05-22,6,6,5.9,5.95,58089,0
2017-05-23,6,6,5.95,5.95,67175,0
2017-05-24,6,6,5.95,5.95,47624,0
2017-05-25,5.95,6,5.95,6,46002,0
2017-05-26,6,6,5.85,5.9,35801,0
2017-05-30,5.85,6,5.85,5.95,81372,0
2017-05-31,5.95,6,5.9,5.95,56987,0
2017-06-01,6,6.15,5.946,6.1,140695,0
2017-06-02,6.15,6.45,6.15,6.45,69794,0
2017-06-05,6.5,6.525,6.25,6.25,53073,0
2017-06-06,6.25,6.4,6.2,6.35,83677,0
2017-06-07,6.35,6.5,6.3,6.375,75196,0
2017-06-08,6.4,6.6,6.3,6.45,100142,0
2017-06-09,6.6,6.8,6.5,6.8,137793,0
2017-06-12,6.8,6.8,6.45,6.45,81435,0
2017-06-13,6.45,6.8,6.45,6.7,139683,0
2017-06-14,6.65,6.65,6.4,6.45,99894,0
2017-06-15,6.45,6.5,6.3,6.45,84660,0
2017-06-16,6.5,6.525,6.4,6.5,61955,0
2017-06-19,6.6,6.6,6.4,6.5,187617,0
2017-06-20,6.45,6.5,6.45,6.45,82105,0
2017-06-21,6.45,6.5,6.4,6.45,79880,0
2017-06-22,6.45,6.6,6.45,6.5,154956,0
2017-06-23,6.5,6.6,6.45,6.55,2188884,0
2017-06-26,6.65,7.1,6.6,6.75,403461,0
