Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,21.652,21.954,21.31,21.642,1313649,0
2017-01-04,21.698,22.328,21.642,22.285,1128666,0
2017-01-05,22.276,22.695,22.157,22.382,1386492,0
2017-01-06,22.285,22.645,21.874,22.05,2855782,0
2017-01-09,21.124,21.552,20.274,20.304,5722173,0
2017-01-10,20.343,20.861,19.905,20.772,5067410,0
2017-01-11,20.07,20.787,20.07,20.42,2599937,0
2017-01-12,20.156,20.323,19.655,19.911,2016095,0
2017-01-13,19.911,20.186,19.827,19.999,1667648,0
2017-01-17,20.049,20.161,19.538,19.705,2154681,0
2017-01-18,19.764,20.677,19.635,20.48,2758311,0
2017-01-19,20.146,20.303,19.528,19.655,1822623,0
2017-01-20,19.764,20.029,19.705,19.862,2614402,0
2017-01-23,20.44,20.44,19.68,19.792,1649763,0
2017-01-24,20.313,20.406,19.822,20.245,2475068,0
2017-01-25,20.216,20.971,20.019,20.961,4058089,0
2017-01-26,20.882,21.305,20.739,20.961,2771650,0
2017-01-27,21.011,21.098,20.577,20.754,1563495,0
2017-01-30,20.52,20.52,19.797,20.293,1526564,0
2017-01-31,20.303,20.607,19.685,20.049,1776398,0
2017-02-01,20.176,20.53,19.655,19.94,1588122,0
2017-02-02,20.029,20.44,19.911,20.43,3157952,0
2017-02-03,20.45,20.784,20.126,20.764,2946972,0
2017-02-06,20.647,20.872,20.637,20.864,2528258,0
2017-02-07,20.931,21.068,20.445,20.607,2396062,0
2017-02-08,20.52,20.627,20.313,20.597,2057443,0
2017-02-09,20.677,21.981,20.677,21.893,3389718,0
2017-02-10,22.12,22.227,21.666,21.696,2311244,0
2017-02-13,22.08,22.491,21.878,21.943,2350576,0
2017-02-14,21.833,21.833,21.402,21.786,1591349,0
2017-02-15,21.746,22.785,21.726,22.708,4461329,0
2017-02-16,22.688,22.845,22.354,22.6,2046318,0
2017-02-17,22.277,22.551,22,22.197,1463679,0
2017-02-21,22.257,22.404,22.172,22.247,1002888,0
2017-02-22,21.923,21.963,21.432,21.509,3720159,0
2017-02-23,21.666,21.706,20.068,20.176,4827218,0
2017-02-24,19.764,20.226,19.685,20.059,1786141,0
2017-02-27,20.049,21.098,20.02,20.794,2796889,0
2017-02-28,20.794,21.068,20.45,20.734,2156345,0
2017-03-01,21.362,21.898,21.255,21.265,3464994,0
2017-03-02,20.864,20.931,19.695,19.745,3111645,0
2017-03-03,19.872,19.979,19.538,19.715,2728315,0
2017-03-06,19.411,19.675,19.244,19.617,1616279,0
2017-03-07,19.528,19.715,18.743,18.822,2108833,0
2017-03-08,18.85,18.94,18.488,18.537,2567102,0
2017-03-09,18.449,18.64,17.978,18.047,2096702,0
2017-03-10,18.252,18.419,17.918,18.242,1809018,0
2017-03-13,18.518,18.738,18.311,18.675,2443493,0
2017-03-14,18.449,18.684,18.252,18.546,1497793,0
2017-03-15,18.802,19.293,18.596,19.194,1734090,0
2017-03-16,19.548,19.685,19.067,19.097,1589317,0
2017-03-17,19.244,19.396,18.665,18.703,4327400,0
2017-03-20,18.703,18.703,18.374,18.439,2563617,0
2017-03-21,18.527,18.546,17.723,17.811,3911019,0
2017-03-22,17.811,18.125,17.723,17.958,4747684,0
2017-03-23,19.361,20.029,18.498,18.546,5579257,0
2017-03-24,18.37,18.537,17.688,17.761,3174842,0
2017-03-27,17.369,17.595,17.08,17.556,2907058,0
2017-03-28,17.978,18.665,17.9,18.586,4361837,0
2017-03-29,18.556,18.616,18.341,18.556,2125388,0
2017-03-30,18.596,18.86,18.596,18.753,2373574,0
2017-03-31,18.694,18.94,18.351,18.773,2168281,0
2017-04-03,18.941,19.138,18.417,18.822,1635284,0
2017-04-04,18.783,18.975,18.674,18.822,1265992,0
2017-04-05,19.039,19.118,17.992,18.012,1926708,0
2017-04-06,18.052,18.328,17.745,18.101,2001832,0
2017-04-07,18.012,18.595,17.923,18.338,2129644,0
2017-04-10,18.387,18.476,18.061,18.2,1211591,0
2017-04-11,18.259,18.634,17.958,18.595,1259047,0
2017-04-12,18.328,18.34,17.825,17.874,1545285,0
