Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,79.227,79.435,76.881,77.519,196308,0
2017-01-04,78.248,79.395,77.509,79.107,162575,0
2017-01-05,79.107,79.107,77.329,78.228,88103,0
2017-01-06,78.228,79.415,77.859,79.037,98021,0
2017-01-09,78.517,79.027,77.689,78.188,186398,0
2017-01-10,78.009,79.277,78.009,79.177,186888,0
2017-01-11,79.575,80.305,77.999,78.737,133054,0
2017-01-12,77.658,78.347,76.959,77.338,140514,0
2017-01-13,77.868,78.517,77.868,78.008,100061,0
2017-01-17,77.248,77.258,76.149,76.279,132859,0
2017-01-18,77.169,77.169,75.09,76.399,101274,0
2017-01-19,76.429,77.139,75.98,77.019,144541,0
2017-01-20,76.799,76.899,75.86,76.179,146286,0
2017-01-23,76.329,77.278,75.4,75.69,106228,0
2017-01-24,75.28,76.499,74.431,76.339,114287,0
2017-01-25,77.238,78.218,76.379,77.948,81386,0
2017-01-26,77.798,78.377,77.149,77.788,121755,0
2017-01-27,77.598,78.647,77.458,78.527,168824,0
2017-01-30,78.427,78.427,76.319,76.519,151332,0
2017-01-31,75.66,77.628,75.43,77.338,222757,0
2017-02-01,77.828,78.178,76.729,77.328,103713,0
2017-02-02,77.568,78.717,77.278,77.788,105612,0
2017-02-03,78.927,79.626,78.178,79.616,103414,0
2017-02-06,79.706,79.706,78.647,79.027,68682,0
2017-02-07,79.456,79.926,78.432,78.857,150570,0
2017-02-08,78.467,78.957,77.858,78.617,69877,0
2017-02-09,78.387,80.685,77.788,80.625,89915,0
2017-02-10,81.125,81.385,80.106,81.185,70502,0
2017-02-13,81.644,81.984,81.035,81.494,171737,0
2017-02-14,80.435,82.224,80.435,82.174,87839,0
2017-02-15,81.335,82.943,80.955,82.244,72537,0
2017-02-16,81.105,82.663,81.045,82.404,100825,0
2017-02-17,82.274,83.223,81.325,83.113,123096,0
2017-02-21,83.273,85.421,83.113,85.231,147590,0
2017-02-22,85.261,85.791,82.329,83.043,107011,0
2017-02-23,83.223,83.633,82.044,83.463,84157,0
2017-02-24,82.943,83.932,82.294,83.603,81222,0
2017-02-27,84.062,84.392,83.563,84.142,134478,0
2017-02-28,83.623,83.623,81.564,82.034,118396,0
2017-03-01,82.963,85.401,82.963,85.211,144042,0
2017-03-02,85.491,85.531,84.183,84.572,82713,0
2017-03-03,84.811,84.811,83.513,84.282,108811,0
2017-03-06,83.802,84.522,82.753,83.932,76280,0
2017-03-07,83.553,84.392,83.153,83.952,96953,0
2017-03-08,84.552,84.593,83.672,84.152,108926,0
2017-03-09,83.922,83.922,78.327,78.567,261169,0
2017-03-10,78.627,78.997,76.329,77.288,170464,0
2017-03-13,76.989,77.558,75.96,77.488,178013,0
2017-03-14,76.849,77.178,75.29,76.349,143753,0
2017-03-15,76.429,79.187,76.189,78.417,226463,0
2017-03-16,78.887,78.887,77.908,78.287,117549,0
2017-03-17,77.588,78.707,77.578,78.447,368514,0
2017-03-20,78.897,79.267,77.538,78.078,132274,0
2017-03-21,78.737,78.737,75.605,75.64,163519,0
2017-03-22,75.31,76.159,74.551,75.23,142481,0
2017-03-23,74.841,75.46,74.401,75.24,117692,0
2017-03-24,75.51,76.319,75.215,75.84,176413,0
2017-03-27,75.3,76.709,74.081,76.459,145222,0
2017-03-28,77.628,79.596,76.589,79.307,255142,0
2017-03-29,79.127,79.346,78.377,78.727,87059,0
2017-03-30,78.208,79.576,78.128,79.336,144444,0
2017-03-31,79.307,80.635,78.208,80.026,366222,0
2017-04-03,80.565,80.885,77.888,78.317,138979,0
2017-04-04,77.948,78.987,77.218,77.618,113447,0
2017-04-05,77.878,78.058,75.74,75.87,259812,0
2017-04-06,75.83,75.93,74.041,74.481,282632,0
2017-04-07,74.011,74.351,73.612,73.902,175616,0
2017-04-10,73.432,74.831,72.768,73.202,185202,0
2017-04-11,72.952,74.011,72.893,73.372,157780,0
2017-04-12,73.082,73.702,72.263,72.653,76239,0
2017-04-13,72.643,73.322,71.268,71.344,112214,0
2017-04-17,71.494,73.592,71.374,73.512,125598,0
2017-04-18,72.773,73.582,72.223,72.992,112421,0
