Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,37.862,38.643,37.666,38.624,951727,0
2017-01-04,38.496,38.985,38.282,38.858,827173,0
2017-01-05,38.741,39.923,38.693,39.895,967557,0
2017-01-06,40.069,40.069,39.435,39.445,608437,0
2017-01-09,39.288,39.455,38.918,39.035,737166,0
2017-01-10,38.848,38.936,37.891,38.106,1493765,0
2017-01-11,38.233,38.878,37.929,38.848,852298,0
2017-01-12,38.565,38.663,38.096,38.369,455900,0
2017-01-13,38.536,38.838,38.331,38.82,409037,0
2017-01-17,38.908,39.249,38.79,39.093,446604,0
2017-01-18,39.083,39.283,38.805,38.966,491304,0
2017-01-19,39.063,39.259,38.707,38.868,405865,0
2017-01-20,39.063,39.357,38.956,39.347,450422,0
2017-01-23,39.063,39.885,39.063,39.768,635783,0
2017-01-24,39.933,40.452,39.796,40.179,545366,0
2017-01-25,40.343,40.745,40.206,40.676,529341,0
2017-01-26,40.559,41.546,40.48,41.283,699291,0
2017-01-27,41.38,41.428,40.999,41.203,476390,0
2017-01-30,41.273,41.35,40.843,41.35,617263,0
2017-01-31,41.067,41.546,40.989,41.537,683119,0
2017-02-01,41.663,41.737,40.921,41.34,851669,0
2017-02-02,41.458,41.541,41.009,41.302,710779,0
2017-02-03,41.497,41.907,41.37,41.428,457424,0
2017-02-06,41.38,41.487,41.096,41.34,720889,0
2017-02-07,41.253,41.957,41.253,41.477,929550,0
2017-02-08,41.35,41.35,40.305,40.686,1811106,0
2017-02-09,40.833,41.057,40.49,40.793,993274,0
2017-02-10,41.018,41.223,40.539,41.077,1176794,0
2017-02-13,41.487,41.859,41.263,41.859,1266278,0
2017-02-14,41.605,41.752,41.33,41.41,1091462,0
2017-02-15,41.312,41.839,41.248,41.712,847749,0
2017-02-16,41.507,41.879,41.273,41.312,670509,0
2017-02-17,41.194,41.614,41.131,41.487,403074,0
2017-02-21,41.537,41.937,41.458,41.907,614679,0
2017-02-22,41.927,42.562,41.81,42.406,995069,0
2017-02-23,43.246,43.246,41.722,42.142,2043782,0
2017-02-24,41.742,42.025,40.96,41.321,1476374,0
2017-02-27,40.872,41.233,40.773,41.057,1059542,0
2017-02-28,41.165,41.312,40.793,40.92,1564503,0
2017-03-01,41.428,41.722,40.676,41.067,1288884,0
2017-03-02,40.783,40.979,40.666,40.881,785980,0
2017-03-03,40.676,41.194,40.656,41.116,988930,0
2017-03-06,41.136,41.293,41.037,41.264,892811,0
2017-03-07,41.264,41.46,41.106,41.332,767048,0
2017-03-08,41.402,41.52,41.184,41.244,507645,0
2017-03-09,41.45,42.346,41.229,42.247,1077697,0
