Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,44.438,44.705,43.371,43.576,181045,0
2017-01-04,43.585,44.086,43.4,44.076,517076,0
2017-01-05,43.791,43.93,42.442,43.157,417637,0
2017-01-06,43.353,43.821,43.157,43.381,286263,0
2017-01-09,42.99,43.167,42.296,42.382,180031,0
2017-01-10,41.581,41.581,40.533,41.15,2038095,0
2017-01-11,41.267,42.065,40.631,41.658,949696,0
2017-01-12,41.658,41.733,40.279,40.671,856224,0
2017-01-13,41.033,41.462,40.905,41.257,773658,0
2017-01-17,40.847,41.12,39.818,39.917,490934,0
2017-01-18,40.171,40.485,39.848,40.22,343456,0
2017-01-19,40.279,40.393,39.642,39.838,329062,0
2017-01-20,39.887,40.319,39.887,40.269,466591,0
2017-01-23,40.093,40.338,39.555,39.957,260611,0
2017-01-24,40.093,40.847,39.515,40.7,504294,0
2017-01-25,41.189,41.376,40.7,40.749,407339,0
2017-01-26,42.745,42.745,39.977,40.553,515245,0
2017-01-27,40.289,40.533,39.858,39.994,364727,0
2017-01-30,39.633,39.731,39.006,39.339,503268,0
2017-01-31,39.29,39.614,38.694,38.909,535156,0
2017-02-01,39.418,39.565,38.409,38.419,666414,0
2017-02-02,38.176,38.488,37.725,38.077,424459,0
2017-02-03,38.684,39.154,38.498,39.016,400458,0
2017-02-06,38.819,39.155,38.515,38.731,386005,0
2017-02-07,38.849,39.105,38.426,38.584,349662,0
2017-02-08,38.278,38.278,37.521,37.855,305759,0
2017-02-09,38.092,39.046,37.924,38.574,266950,0
2017-02-10,38.849,38.849,38.348,38.623,326924,0
2017-02-13,38.978,39.656,38.879,39.223,278919,0
2017-02-14,39.085,39.99,38.515,39.803,347365,0
2017-02-15,39.942,40.306,39.617,40.187,326468,0
2017-02-16,40.099,40.453,39.952,40.433,420536,0
2017-02-17,40.306,40.463,39.833,40.306,313238,0
2017-02-21,40.403,40.827,40.149,40.503,299095,0
2017-02-22,40.316,40.68,40.069,40.59,234384,0
2017-02-23,40.729,40.729,39.863,40.58,283125,0
2017-02-24,39.972,40.311,39.912,40.158,234932,0
2017-02-27,40.079,40.375,39.843,40.197,209252,0
2017-02-28,39.912,40.03,39.085,39.253,332116,0
2017-03-01,40.336,40.6,39.193,40.286,306922,0
2017-03-02,40.256,40.413,39.174,39.223,301008,0
2017-03-03,39.262,39.538,39.066,39.439,158027,0
2017-03-06,39.026,39.193,38.505,38.986,196889,0
2017-03-07,38.968,39.125,38.485,38.544,155787,0
2017-03-08,38.968,39.066,38.209,38.259,231433,0
2017-03-09,38.328,38.682,38.121,38.229,175257,0
2017-03-10,38.593,38.593,37.777,38.338,336148,0
2017-03-13,38.358,39.085,37.954,38.819,465614,0
2017-03-14,38.465,38.859,38.131,38.672,262253,0
2017-03-15,38.761,39.184,38.219,38.535,341129,0
2017-03-16,39.882,39.882,38.859,39.253,661546,0
2017-03-17,39.213,39.882,38.702,39.656,1997835,0
2017-03-20,39.39,39.39,38.662,38.781,391824,0
2017-03-21,38.869,39.046,36.753,36.792,607159,0
2017-03-22,36.468,36.812,35.799,36.241,393507,0
2017-03-23,36.144,36.98,36.054,36.812,315872,0
2017-03-24,36.921,37.304,36.714,37.127,356129,0
2017-03-27,36.37,37.374,35.937,37.275,465468,0
2017-03-28,37.157,37.895,36.911,37.708,237431,0
2017-03-29,37.708,38.338,37.267,37.541,290410,0
2017-03-30,37.599,38.776,37.599,38.712,412131,0
2017-03-31,38.652,38.672,38.219,38.367,405359,0
2017-04-03,38.426,38.465,37.389,37.688,354253,0
2017-04-04,37.561,37.964,37.314,37.58,284758,0
2017-04-05,37.984,38.219,36.773,36.792,268275,0
2017-04-06,36.812,37.432,36.498,37.284,254070,0
2017-04-07,36.97,37.294,36.704,37.117,258546,0
2017-04-10,37.088,37.629,36.595,36.842,237727,0
