Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,58.181,58.558,55.893,56.457,422642,0
2017-01-04,56.566,57.72,56.378,56.734,317226,0
2017-01-05,56.249,57.135,54.723,55.684,408426,0
2017-01-06,55.714,56.249,55.15,55.318,426804,0
2017-01-09,55.338,56.101,54.982,55.279,274601,0
2017-01-10,55.357,56.903,55.299,55.883,216852,0
2017-01-11,56.18,56.18,54.704,55.08,263278,0
2017-01-12,54.853,55.011,54.08,54.348,201425,0
2017-01-13,55.259,55.784,54.875,55.764,234656,0
2017-01-17,55.576,56.814,55.576,56.566,336896,0
2017-01-18,56.497,56.497,54.129,55.07,382964,0
2017-01-19,55.219,55.318,54.318,54.635,374853,0
2017-01-20,55.03,55.367,54.676,54.853,217079,0
2017-01-23,54.516,55.487,53.811,55.011,403042,0
2017-01-24,55.289,55.922,54.992,55.655,192947,0
2017-01-25,56.081,56.597,55.694,55.893,286462,0
2017-01-26,55.982,56.309,54.972,54.992,185122,0
2017-01-27,55.13,55.347,54.189,54.536,422970,0
2017-01-30,52.752,53.788,52.287,53.645,813946,0
2017-01-31,52.654,54.08,51.455,53.852,813809,0
2017-02-01,53.981,55.357,53.713,54.516,450935,0
2017-02-02,54.001,54.625,53.446,53.555,409840,0
2017-02-03,53.109,53.535,51.367,51.495,1296345,0
2017-02-06,51.267,53.674,51.267,52.555,812801,0
2017-02-07,52.495,53.595,52.495,52.575,573010,0
2017-02-08,52.515,53.318,52.158,53.278,808279,0
2017-02-09,53.357,54.109,52.704,52.782,1125370,0
2017-02-10,55.477,60.33,55.467,59.26,1944813,0
2017-02-13,58.735,59.152,57.437,57.517,788460,0
2017-02-14,57.319,58.597,57.24,57.784,432652,0
2017-02-15,57.636,57.685,56.606,56.973,441887,0
2017-02-16,56.913,57.655,55.982,56.22,346015,0
2017-02-17,56.21,56.477,55.645,56.269,415563,0
2017-02-21,56.15,57.23,55.284,55.546,587561,0
2017-02-22,55.704,56.026,55.219,55.576,276291,0
